Country,type,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indonesia,Countries,32.63955,26.22089,23.09118,24.13745,23.24022,24.19652,23.68036,23.66551,24.7692,25.70163,27.09401,27.09504,32.91914,26.73386,26.40577,21.8413,21.5709,18.56307,18.89011,19.26227,16.84084,17.36776,17.2828,17.58489,16.70014,16.96289,16.81188,17.29381,17.73889,,16.85466,15.88407,15.10001,14.59992,13.32778,15.5735,15.57347,13.32195,11.73669,12.37469,13.00236,13.36892,15.23202,14.92948,12.50989,,,12.6824,
Iran (Islamic Republic of),Countries,,20.23899,21.98447,20.97592,22.33624,29.04675,25.11439,23.22361,24.01552,18.94798,18.80178,18.38392,24.62107,21.14904,21.98494,15.14976,18.46178,21.2383,24.79407,26.41422,25.87698,26.70094,28.56159,24.52636,20.50595,23.04146,,,24.22419,23.2158,22.70771,23.25738,23.85199,25.81898,31.08068,26.91433,,,,,,,,,,,,,
Iraq,Countries,,22.2899,22.35,23.43308,19.50751,25.42559,23.21641,22.62767,21.64695,23.50629,22.87041,23.64977,22.03707,19.05444,18.06385,18.64175,17.48572,17.07381,16.74497,18.28449,,17.62592,,19.0113,,,17.56331,,,14.83547,14.8221,,,14.76242,15.50997,,,15.06209,,,,,,,,,,,
Ireland,Countries,,,,,,31.46942,30.80377,30.93917,30.8313,29.9845,29.30819,28.76056,28.56332,28.10116,28.68513,28.68803,28.64214,29.18524,28.59807,29.56776,29.0985,28.08016,27.35053,26.41704,25.27908,24.72714,24.48892,23.96206,,,,,,,,,,,,,,,,,,,,,
Isle of Man,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Countries,,29.32804,29.31423,29.79513,29.02121,32.9582,32.78504,31.91197,31.61805,,,,,,,,,,,,30.01509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Countries,,33.08076,29.83502,32.60536,31.26956,30.15065,28.69082,24.92326,23.86802,19.93524,18.53022,17.27748,16.74142,16.28378,15.67284,15.23439,15.35334,14.89609,14.49178,14.1643,14.29621,14.33181,14.99184,14.99127,14.34927,13.76533,13.85412,,13.37752,13.23326,13.01974,12.77769,12.71834,12.0928,12.4081,12.31632,12.37337,11.6213,,,,,,12.70434,12.53097,12.40968,12.03926,,
Jamaica,Countries,,,,,30.96406,36.46885,39.9042,37.17805,,,,,,,,,,36.83118,30.93262,32.50298,34.67047,32.15176,,,,,,,,25.23286,24.27274,23.68731,23.53391,21.25328,22.11032,,,23.82133,,,,,,,,11.51072,10.74003,,
Japan,Countries,,22.87019,22.59905,22.85748,24.11195,24.72622,24.42747,24.18042,23.91811,23.49147,22.74444,21.87531,20.97396,20.46801,20.10091,19.70076,19.2178,18.90587,18.83688,18.83858,18.65503,18.2953,17.9211,19.05443,16.88291,16.49162,17.55896,17.36944,,,,,,,,,,,,,,,,25.99755,25.48328,24.98921,27.29682,,
Jersey,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Countries,,35.81879,40.26852,38.26171,37.43045,34.17873,33.00662,32.87126,31.92045,29.30962,26.85446,26.59159,28.37751,26.85012,26.25962,25.81611,20.92365,23.94245,20.93477,23.76803,23.52256,23.20538,23.36738,25.93452,23.11974,22.44712,22.20857,22.40174,20.74866,22.20961,21.88032,,21.14914,20.27444,20.36357,20.35219,20.35182,19.28755,20.6876,,18.42929,16.94387,16.93804,16.3791,17.7286,17.14,16.95452,17.87505,
Kazakhstan,Countries,,,,,,,,,,,,14.05,,,,,12.74901,,,12.35772,13.00471,11.70884,10.8409,9.91951,9.47769,,,,,8.89249,,13.21318,11.87728,11.55959,10.64632,10.73177,10.58251,10.64422,10.41384,10.02138,,9.70136,9.65974,9.47393,9.34928,,,,
Kenya,Countries,,,,,,,,,,,,,,41.99875,,37.15903,39.73946,37.82825,,38.72091,38.63636,36.63856,36.28465,34.70776,34.20881,,,,,26.99059,26.30784,26.00096,28.72659,25.02591,23.23391,22.76433,22.43873,22.15706,21.98958,20.68199,,,24.08177,,26.29836,29.55448,28.87448,,
Kiribati,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Countries,,18.85812,18.16157,16.47949,16.30788,16.66719,18.55042,17.69695,17.2978,18.3856,17.41746,17.66804,17.27026,17.07835,17.15848,17.556,16.86885,17.59609,17.2507,17.75298,18.16094,16.12079,15.86979,18.10061,16.921,16.74616,15.70525,15.08134,15.48142,15.11196,15.70158,14.49047,14.27653,13.4169,13.2207,13.17285,12.37269,11.89847,11.43826,,11.0542,11.01768,10.74487,10.33143,9.70488,9.23401,9.16737,8.73264,
Kyrgyzstan,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26027,18.39565,19.04433,19.78124,20.95044,21.7709,22.69138,23.94724,25.35946,26.76587,27.23731,26.23661,26.93081,,,,,,,
Lao People's Democratic Republic,Countries,,,34,28.4,,,,,27.74118,19.64943,18.70335,21.01587,17.89706,14.38313,16.73266,20.17125,16.29616,,19.98389,,18.54312,19.5932,15.86836,15.60627,15.7743,16.04711,17.4584,17.41878,17.79352,17.59381,17.13651,15.30633,15.08657,15.32941,15.3921,15.28618,15.37792,15.47489,17.64946,23.63408,19.01398,16.41408,18.88959,,19.18014,18.71411,18.27826,18.24073,
Latvia,Countries,,,,,,,,,,,,,,,,,,,,,12.26314,9.03192,7.9135,6.53961,7.12663,7.86133,8.08088,7.84589,8.84191,8.72839,8.65611,8.38231,8.28946,10.20143,10.23344,10.91037,10.34357,10.36744,10.13191,9.94566,11.22189,11.36477,11.4244,13.74754,10.85659,10.09944,9.72915,,
Lebanon,Countries,,,,,,,,,,,,18.70533,17.8575,,,,,24.65094,,,,,,,,,,,,13.39246,,18.62005,18.39413,18.38438,16.24458,15.97097,15.60076,15.81043,15.83428,16.06606,15.83554,15.19795,15.63865,13.96097,15.82878,,15.52952,15.62193,
Lesotho,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31421,,18.66748,20.38654,20.47624,20.48063,,19.42044,,,,,24.38444,,,18.3481,13.08,17.29564,18.46019,,
Liberia,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.12114,43.07473,,,,,,,,,,,,,,46.49114,53.25422,47.51154,,
Libya,Countries,,24.81818,25.86275,23.84302,20.5642,17.90294,21.22802,19.89372,17.6431,,19.26952,17.49126,,17.82168,16.19407,16.43318,14.29876,,,,,,,,,,,,,8.36327,,,9.56574,,,,8.94851,,,,,,,,,,,,
Liechtenstein,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92647,13.45161,9.64773,9.62651,8.3617,7.66667,7.60638,7.71134,10.8209,10.67143,,7.65341,8.4,8.04124,,
Lithuania,Countries,,,,,,,,,,,,7.7278,,,,,7.20612,,,6.83486,6.32849,6.11845,6.07786,6.35897,5.93559,6.50995,6.8312,7.02856,7.48868,7.35163,8.08269,,8.00914,8.13036,7.93538,7.82728,8.05745,7.14934,6.86284,7.31326,7.35266,7.28173,7.11051,,,9.4955,9.26066,,
Luxembourg,Countries,25.63793,24.64984,24.37463,24.14731,23.12903,22.51194,21.89086,21.19494,17.95674,17.85567,18.74815,18.36386,17.72535,18.35109,18.37324,18.01176,17.67955,18.23465,17.35435,16.80983,17.24678,,17.41283,,19.1609,19.29128,17.64643,17.00685,16.15214,,,18.40479,15.35487,13.86223,13.22773,13.59045,12.07948,11.93888,11.7383,,10.94397,10.23401,10.17317,9.75621,10.27401,9.09392,10.09107,,
Madagascar,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82239,,,,,,,36.74542,36.74987,30.83047,26.3347,28.38514,23.14219,,,26.76458,20.40422,24.67421,23.39489,22.58862,
Malawi,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.04502,,,
Malaysia,Countries,,,,,33.8964,,,,,,,,,32.391,30.81498,32.44269,,30.95916,31.79701,21.29086,30.52195,34.14243,33.83432,24.04492,,,24.55948,,25.47402,26.93516,27.38091,,22.53468,21.37896,22.78988,22.63092,22.37218,23.88368,22.5478,18.1105,17.82338,,19.50235,18.976,17.90055,16.58534,16.46366,15.3206,
Maldives,Countries,28.56667,25.15625,,,,,,46.59259,39.28125,,,,,,,,,,,,,,,,,,,,32.23529,30.92802,31.37226,22.23785,22.9697,22.45691,24.30297,26.17248,23.45336,24.30606,20.88172,18.94947,19.16793,25.01399,25.37284,19.31357,16.62272,16.83106,15.95914,15.53254,
Mali,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,31.62624,32.3258,42.3375,34.88593,,,21.1797,21.174,21.17143,,,35.11149,36.15298,37.55406,37.49518,37.49069,44.01483,,20.54173,19.6666,21.22737,18.82403,20.33355,
Malta,Countries,,,,18.39456,17.7482,,15.36207,17.3423,,,17.97448,17.96963,18.866,21.06061,18.70531,19.14216,24.37963,23.34375,21.88594,21.28195,17.93651,16.44331,17.00867,17.25251,16.54398,14.55366,13.65973,13.47527,12.81566,12.55168,10.99562,10.58817,11.09007,10.69406,11.16117,9.78375,12.02475,11.8019,14.31208,11.28911,14.16805,12.42898,12.67639,13.04176,13.19023,12.60014,12.06254,,
Marshall Islands,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28767,,,11.85484,,,,,,,,,,,,,,,,
Martinique,Countries,,42.5566,45.59857,47.06047,45.50901,,36.61945,,,32.36609,30.83225,30.74435,28.86519,26.32399,26.57734,,,30.80602,,,,,,,30.66379,30.76648,32.1697,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Countries,,,,,,,,,,,,,,,,,,,,,,,,7.40741,,,,,,,,,,,19.3786,,,,,,,,,,,19.21508,,,
Mauritius,Countries,26.26,25.02538,23.95313,25.98837,26.02703,25.7905,28.4539,26.03289,25.78366,26.51304,25.83664,21.19275,19.55249,,,,,,,,17.97573,,,19.18838,,,13.95059,16.57805,16.5735,16.37009,16.02614,15.70668,15.27551,15.39872,15.15077,14.93643,14.69292,14.51134,14.26289,14.28674,14.4669,13.95725,13.19087,13.73208,13.39049,14.0188,12.79521,,
Mayotte,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Countries,,35.31768,37.66647,,38.50216,37.28275,38.16457,39.02542,38.44493,,33.4754,33.10736,32.42094,31.74625,31.07542,29.69229,29.5721,28.62586,28.10466,27.63916,27.02559,26.04556,25.20177,25.0045,24.50899,23.86888,23.62039,22.14293,22.83806,22.3939,22.35769,21.90282,21.58641,22.26763,28.30953,28.87584,28.09159,28.39226,27.08045,25.85208,25.37274,25.20885,25.25566,25.28014,25.17977,24.93416,24.9683,25.02113,
Micronesia (Federated States of),Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,Countries,,,,,,,,,,,,,,,,,,,,,,19.21277,18.5,,23.97727,22.47826,22.06522,,,24.55263,,24.45,,,,,,,,,,,,,,21.5,18.64815,19.11538,
Mongolia,Countries,,20.56458,27.12219,25.76538,,18.69075,21.76221,25.40777,25.55945,27.66688,27.60482,27.47215,,28.34158,,,28.33107,29.69178,28.37379,29.28406,26.4769,25.94396,23.41365,22.95579,18.99461,11.4822,12.15131,12.2671,13.08821,24.62678,26.33289,25.70308,26.30721,26.96311,27.61402,24.14544,29.01924,29.03188,25.27655,24.16832,24.51937,26.25349,27.17567,,,,32.98522,33.33772,
Montenegro,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50626,17.46456,16.74286,15.7632,15.14264,14.41339,,13.03429,12.60705,13.34274,17.56241,,,,,,,
Montserrat,Countries,,,,,19.83333,,,19.30435,17.3913,,,,13.9,,,,,,,,,,,,13.12903,,,,,11.88889,10.25,12.44444,10.77778,,13.55556,15.22222,11.09091,10.54545,,9.14286,,,,,,,7.72727,8.18182,
Morocco,Countries,,,,,,,,,,18.75201,19.51886,19.57202,20.09736,20.27909,21.47174,21.76367,21.33819,21.00523,20.59424,20.76528,20.54936,20.41168,20.58884,21.36472,21.64064,21.7949,21.27554,21.01355,20.66331,20.08408,18.2523,17.88083,19.45608,16.93675,17.36133,17.32658,17.44748,17.47822,18.17297,22.04076,18.63684,,18.14681,,,,,,
Mozambique,Countries,,34.16129,25.09091,26.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.58725,,,,,,,16.36891,18.66736,17.56933,18.2784,17.32325,,,,,,,18.99277,
Namibia,Countries,,,,,,,,,,,,,,,,,,,,,,,25.26267,,,,,,,26.63525,,,,,,,,,,,,,,,,,,37.60631,
Nauru,Countries,,,,,,,,,,,,,,,,19.15,,,,,,,,,,,,,,,12.64706,12.66,12.93878,13.36364,13,15.92308,16.075,17.15385,15.78571,,,,,,,,22.5,,
Nepal,Countries,,,,,,,,,,,,,,21.17847,23.00682,,,,,,,,,,,,,,,,,21.88952,20.33956,20.3388,21.1101,42.10037,,42.09917,41.28742,38.20214,24.89103,24.85464,23.43248,23.11052,22.68402,22.04845,20.75702,20.36342,
Netherlands,Countries,,30.82186,29.87328,29.54177,28.9716,27.68915,25.2317,23.76631,22.3016,21.01156,19.50226,18.31653,17.74149,17.61113,17.81145,17.77242,16.76141,17.05921,17.04171,17.30622,17.36377,17.16923,16.55865,16.23229,15.00398,,,,,,,,,,,,,,,,,15.30897,14.84008,15.44236,15.49556,15.5013,15.73516,,
Netherlands Antilles,Countries,,,31.192,,,,,,,,,,24.98276,24.94842,,,,,,,,,23.76433,,,,,,,21.44798,20.3118,21.23453,19.94498,,,,,,,,,,,,,,,,
New Caledonia,Countries,20.42953,31.15306,,,,,,,,,,,35.05217,25.21802,24.8022,24.35775,24.9027,25.09091,24.87563,24.53682,25.10514,24.7961,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Countries,39.31502,38.21856,39.68981,38.77883,40.66173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.93774,8.14523,,7.81943,
Nicaragua,Countries,,,,,,,,,,,33.03463,,31.79373,35.32606,35.91756,31.66112,32.19565,31.22861,32.75684,30.40562,33.38669,33.08771,31.74453,31.71571,28.50191,,31.46296,29.42428,31,25.82251,25.97043,25.32721,24.82299,21.96163,21.96278,25.33159,24.59583,22.17097,19.98994,,21.1937,,,,,,,,
Niger,Countries,,,,49,43.38889,40.52632,46,49.56,34.62791,39.78571,27.41463,30.12941,33.08537,33.28235,32.12245,34.96296,34.6087,25.88525,,36.64394,39.84838,36.8959,41.5836,34.33243,,24.8475,22.06954,23.85202,23.81377,20.79856,18.17544,21.28028,25.62993,25.23977,24.21514,23.35757,25.53838,23.40049,30.042,30.68814,33.92381,32.42891,31.60499,30.67751,28.19319,26.74417,21.53794,28.38695,
Nigeria,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.90915,,,,,,,,,,
Niue,Countries,15,,15,12.2,7.55,7.82222,,,,,,,,,,,,,,,,,,,,,,,13.5,10.5,,5.66667,,,,,,,,,,,,,5.33333,5.4,6.2,,
Norfolk Island,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Countries,,,5.1881,,,,5.52556,5.16907,5.04263,5.68786,,4.63589,4.57814,,4.35089,4.33404,,,,3.8805,3.87716,3.88259,4.49276,4.6365,,,,7.2214,6.21183,,,,,,,,,,,,,,,,,,10.27701,,
Oman,Countries,,,,,18,21,40,,,,,36,24.07143,27.03125,23.56757,20.28395,23.4507,21.54237,21.48819,22.02985,21.94245,20.34254,20.70098,19.88789,19.86555,18.69643,19.64552,19.03245,20.14121,,,,,,,,,,,19.4328,,,,25.68042,27.98621,25.2495,24.91701,22.56189,
Pakistan,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.875,,,,,,,,,,,,,,17.86207,,,,
Palestine,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,30.41206,30.77192,29.08456,,28.60378,22.02048,20.01358,20.00782,25.42071,26.94743,25.52514,25.9388,19.15935,19.69369,19.41001,19.48939,18.81388,18.32456,17.87314,19.33839,22.90693,23.12339,16.85217,
Panama,Countries,30.22271,24.80511,23.98705,27.25798,26.57477,27.1291,29.33178,28.64565,24.11982,27.22595,28.11783,26.57579,25.52381,25.43602,24.77175,24.53256,24.22432,23.30558,23.23992,23.40833,21.74027,22.11741,22.89807,23.04534,22.31135,21.99153,22.76957,,,19.15361,19.24139,18.73312,20.46126,,17.55134,19.83345,19.11957,18.37894,17.8604,17.94992,17.32741,18.74088,17.49001,18.62823,20.37883,18.41093,15.0403,,
Papua New Guinea,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.26919,,,,,,,,,,,,,,41.61706,,
Paraguay,Countries,29.43191,,,,,,,,,,,,,,,,,,,,,,18.45987,18.45779,21.11606,,23.32594,,,,,,25.61553,25.98723,25.98536,,,,,,,,24.08645,,,,,,
Peru,Countries,36.86409,40.20145,36.33756,34.96495,33.15202,38.58511,38.15592,36.45236,,34.22583,33.66303,32.32296,34.60921,31.08843,,30.58888,30.68912,28.84975,28.0241,27.37077,24.63115,24.84802,24.69884,28.67781,21.94724,23.05377,22.74264,22.398,29.47285,38.78396,27.82807,28.2376,26.75173,25.06755,24.60625,24.73565,22.793,20.40715,19.59269,19.9382,20.00387,17.73656,17.85078,,,18.15347,18.9531,19.10868,19.54931
Philippines,Countries,,34.57133,33.68245,,,,,,,,,,43.23169,42.29809,40.00132,,40.90897,40.73307,38.75038,41.20386,,40.81242,38.97392,43.23444,42.87582,,,,34.69129,32.87074,,30.09904,30.00056,31.86697,31.37395,33.58471,32.87067,34.65493,,,,,,,,29.64186,33.62756,,
Pitcairn,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Countries,,19.7045,19.48533,,,26.51605,24.8675,24.22518,23.89035,24.17733,24.11576,23.37655,20.49073,18.65688,17.24961,17.35831,17.41592,17.8308,17.07252,16.33143,14.62755,13.64396,13.64034,14.33091,14.16307,13.22695,13.26022,13.31432,13.16764,,12.43361,12.0058,,15.59586,,17.11212,17.18416,17.56221,17.09274,16.92128,16.97089,14.68572,15.07155,14.99331,14.91572,13.58191,12.35006,,
Portugal,Countries,,24.76156,24.62055,25.28533,24.64307,23.21858,23.55859,21.26048,19.96269,18.61193,19.28798,19.84902,20.33502,19.0717,19.51631,18.39712,19.98892,26.96505,25.56028,,18.04747,18.70619,,,18.95925,,,,,,16.49342,16.98883,16.87323,17.43373,17.52833,15.40671,14.99725,15.89776,15.66096,15.73709,15.65153,15.77947,16.13468,16.32882,17.05417,17.20247,16.9637,,
Puerto Rico,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83482,15.79331,16.86329,24.92609,,17.83483,17.5,,
Qatar,Countries,,14.59574,23.87805,19.14815,14.23288,30.9,37.73684,23.84091,26.51515,27,,,21.71711,24.25954,23.11039,22.32903,19.67206,29.07595,18.81818,17.74074,17.05307,18.223,15.92157,16.96839,22.97959,22.4702,21.86293,,,20.62435,20.63084,17.23748,16.52351,16.05241,15.16387,16.546,17.88662,17.00684,16.57175,15.28236,,14.65541,,15.4222,13.92013,14.16722,14.54416,14.3971,
Republic of Korea,Countries,,13.41627,13.10921,12.48111,13.47819,13.79732,14.87784,16.25743,17.33582,18.57517,19.8308,19.89608,38.83439,38.77972,32.14515,33.86636,33.90712,29.95919,33.30705,30.98754,27.59801,22.39382,21.5559,21.33545,25.87318,26.00198,25.13248,,,,,,,,,,,,,,,,,14.67344,13.63037,13.36119,13.25222,,
Republic of Moldova,Countries,,,,,,,,,,,,9.73132,,,,,9.25504,,,9.26483,9.12652,8.84968,8.64891,8.0569,8.06525,7.47518,,,,7.81012,8.65662,9.36639,9.3365,9.99382,9.92732,9.92012,9.9486,9.87078,9.78732,9.78279,9.60995,9.67628,9.71192,,,,13.38868,13.32609,
Réunion,Countries,,36.86798,44.55108,51.58221,47.02032,,46.59686,,,46.86767,38.5345,38.51481,35.18235,33.21454,30.88433,32.5315,31.10066,28.87725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Countries,,23.73294,25.10335,25.47666,25.50434,24.25782,24.04392,23.57156,23.89312,23.79699,24.13942,24.29661,23.89145,25.822,25.98868,26.09922,25.78402,25.50322,26.4562,26.64064,26.71172,20.32429,20.43253,20.63443,19.09058,19.02811,17.93365,16.83159,17.01465,17.09145,17.30293,17.9595,17.78794,18.35494,18.40998,18.27565,18.13279,17.75029,17.41255,17.06677,17.38226,18.037,18.01613,16.5705,16.04885,15.94475,15.45586,,
Russian Federation,Countries,,,,,,,,,,,,10.71992,,,,,9.58346,,,9.48193,9.41029,9.14545,8.96094,9.84425,8.81734,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.91271,,,,,,,,,,38.03978,40.16107,41.23618,34.10212,34.09915,31.68903,32.35981,
Saint Helena,Countries,12.5,10.33333,12.5,,9.6,8.5,8.63636,8.5,8.4,8.4,8,6.66667,,,8.125,8.85714,14.66667,,,,,,,,,,,,7.57143,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,Countries,,,,,,,,,,,,,,,,22.13462,32.63043,,12.48113,17.21277,,,18.96629,16.2931,18.48485,,,,,,,,,,,,,,13.62712,15.73529,20.05952,20.17978,,15.1165,12.46207,10.57692,,,
Saint Lucia,Countries,,,,,,,,,,,,,,,,,18.37129,19.4186,,20.96535,20,15.78235,16.66667,14.72903,12.32836,,,11.83333,,11.95289,13.19385,11.80939,11.70195,11.48397,11.50291,11.50279,11.0843,10.83286,10.75346,10.84615,10.1213,10.37273,10.24412,9.8029,10.22881,,5.93924,,
Saint Pierre and Miquelon,Countries,,30.41667,30.76923,32.64286,38.45455,,,,,,23.33333,19.77778,19.44444,19.44444,19.83333,20.22222,20.05556,20.72222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Countries,,,,,,,,,,,,,,,,,,12.5731,,,,13.84444,,,14.28571,,,,,,,,,,11.42308,,,,,7.7381,,,,7.08889,,10.47649,7.38771,7.88496,
Saint-Barthélemy,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Martin (French part),Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Countries,16,,,,24.4,24.075,22.01042,,,,,,,,,,,,,,,,13.05495,,,,,,,,41.79845,41.45736,,,,,,14.57962,14.64643,13.64548,11.59736,11.7485,10.19825,,11.47576,12.15,11.83871,13.21311,
San Marino,Countries,,22.8,23.93333,21.2,20.85714,20.70588,10.80882,10.5942,10.41096,9.89189,9.90909,9.63736,9.3913,8.83673,8.56566,8.06731,7.46789,8.07921,8.23,7.93,7.15741,7.02778,7.28155,7.62136,7.95098,,9.2234,8.89583,,,7.63492,,,,8.20611,,,,7.50365,7.38028,7.43165,7.54286,7.76056,,,,,,
Sao Tome and Principe,Countries,,44.8,40,,,,,,,,,,,,,,,,,,29.7069,,,,,,,,,28.10791,,25.46552,25.41848,25.44186,,,,,,22.59486,19.11818,,,17.75,15.00857,13.00604,,,
Saudi Arabia,Countries,,,,,,,,,,28.68096,,,,,,,,,,,,,,,,,,,,,,,,,,9.56997,,10.93579,10.35374,10.50588,10.28357,10.2927,10.68961,9.63006,10.81629,10.69019,,11.33396,
Senegal,Countries,,,,,,,,,,,,,,,,23.7096,23.33455,,,,25.37997,25.58859,24.41457,,23.04261,,20.59208,19.99244,19.9799,19.10299,18.71186,22.1794,26.4663,21.08209,27.65356,36.30216,26.98748,,24.93864,25.36685,24.43635,20.09592,17.5769,17.59318,17.2181,16.98876,21.65401,22.01485,
Serbia,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17891,19.4417,19.23681,19.11933,18.10172,17.78757,17.2411,17.29762,14.69622,14.8561,14.51151,14.04712,13.22435,12.93248,12.70262,12.74439,12.13654,11.91951,11.91148,
Seychelles,Countries,,,,37.60976,38.04878,,,,27.66234,22.8481,28.21978,30.94444,29.1405,31.03191,28.27273,29.17431,26.22047,24.00746,19.65455,19.97688,,18.61143,18.17614,17.85714,18.09714,18.46591,18.12222,,17.03093,16.47179,14.87864,14.23077,13.88614,14.71271,15.01587,14.95238,15.17742,14.84293,14.18932,15.17098,12.65086,16.66286,17.44767,15.07692,16.55738,17.56471,16.67742,16.3545,
Sierra Leone,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.53276,18.85934,,,,,,,,,,17.23627,21.1415,18.83061,,19.29537,22.67386,13.84226,
Singapore,Countries,24.11,24.77941,22.86364,20.28626,19.47727,17.56475,19.74409,21.01481,22.89781,20.66129,,,,,22.62117,22.89181,22.50069,22.53402,23.03684,23.01289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Countries,,,,,,,,,,,,14.28646,,,13.97354,,13.66913,,,13.19464,,11.61847,10.93644,10.94796,11.61248,11.91584,10.7619,,10.65618,10.3782,10.09735,9.99994,9.84955,9.86682,12.53241,13.58707,13.50326,13.37599,13.25773,12.77748,12.45689,12.3471,12.39973,12.62694,12.56513,12.439,,,
Slovenia,Countries,,,,,,,,,,,,12.28149,12.53388,12.52492,12.48901,12.41173,12.08037,11.90998,12.07742,11.88831,11.57944,11.32799,10.12475,11.13392,11.54695,11.17172,10.96733,11.00772,10.2427,10.89747,11.03544,10.63347,10.41181,10.04037,9.36212,9.39089,9.21824,9.16603,9.18833,9.17091,9.23715,9.16371,9.15306,9.18952,9.15729,9.09206,9.1063,,
Solomon Islands,Countries,7.14286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.29774,15.46596,38.76333,42.28893,36.54441,33.84135,33.22261,24.23027,,26.03256,
Somalia,Countries,,39.66667,37.9,17.50769,13.93258,,15.88235,13.70455,15.81731,36.27397,14.19863,14.60839,11.83784,12.83444,8.8963,10.22388,11.71429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Countries,,,,,,,,,,,,,,,,,,,,,,,,,27.23639,,23.51172,,,35.9339,34.90116,38.89666,35.28189,35.37039,35.54382,31.39266,33.04599,33.19098,32.71231,33.57823,,32.59743,32.93779,32.02908,29.64376,,,,
South Sudan,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.01354,,,,34.665,,,
Spain,Countries,,39.52345,,38.53942,36.29005,36.93395,37.38012,35.50408,35.58112,34.38803,33.92576,33.22538,32.51091,31.80293,30.74945,29.54059,28.48781,27.66025,26.68086,26.28504,25.7385,24.8264,23.35497,20.87476,19.8356,19.83518,19.26957,,17.92081,,,,,,,,,,,,,,,13.91752,14.16012,14.0399,13.59595,,
