"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",USA,USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,,GEO,,-44.96,35785,35788,3.56E-05,0.06,1436.11,"4,793","3,000","15,000",2000-11-15T00:00,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2000-072A,26608,"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14.",320
Intelsat 20 (IS-20),USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,68.5,35780,35790,1.19E-04,0.02,1436.03,"6,094","2,989","19,300",2012-08-02T00:00,18 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-043A,38740,"Replacement for Intelsat 7 and Intelsat 10. C-band and Ku-band for DTH television, cellularbackhaul and VSAT services.",215
Intelsat 21 (IS-21),USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-58,35774,35811,4.39E-04,0.06,1436.39,"5,984","3,600",,2012-08-19T00:00,15 yrs.,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL,2012-045A,38749,"Will replace Intelsat 9 - Meet needs of key customers SKY Mexico, Turner, Discovery, Fox, Telespazio, etc.",232
Intelsat 22,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,72,35781,35792,1.30E-04,0.03,1436.11,"6,199",,,2012-03-25T00:00,18 yrs.,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton,2012-011A,38098,"Provide C-band and Ku-band communications services over Africa, Asia, Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force.",85
Intelsat 23,NR,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,307,35781,35797,1.90E-04,0.03,1436.21,"3,200","1,503",,2012-10-14T00:00,15-18 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton/M,2012-057A,38867,"15 Ku-band, 24 C-band. Americas, Caribbean, Western Europe, Africa.",288
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",NR,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,328.5,35778,35793,1.78E-04,0.02,1436.1,"4,100",,"11,000",2008-07-07T00:00,16 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2008-034A,33153,"First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million.",189
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",Japan,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,50,35779,35794,1.78E-04,0.02,1436.1,"3,124","1,841","5,200",1997-02-16T00:00,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1997-007A,24732,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010.",47
Intelsat 29E,NR (12/16),USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-50,35785,35788,3.56E-05,0.09,1436.11,"6,500",,,2016-01-27T00:00,15+ yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2016-004A,41308,New EPIC class of Intelsat satellites.,27
Intelsat 30/DLA 1,NR,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-95,35776,35793,2.02E-04,0.03,1435.97,"6,220",,,2014-10-16T00:00,15+ yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-062A,40271,"72 Ku-band transponders and 10 C-band transponders. Hosts DLA-1, DirecTV to Latin America.",289
Intelsat 31/DLA 2,NR (12/16),USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-95,35580,35860,0.003326206,0.01,1435.1,"6,450",,,2016-06-09T00:00,20 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2016-035A,41581,DirecTV Latin America has leased all of the satellite’s Ku-band communications capacity to broadcast hundreds of high-definition television channels to customers across Central and South America and the Caribbean. Intelsat retains the use of a smaller C-band payload on the spacecraft.,161
Intelsat 33 (IS-33),NR (12/16),USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,60,35549,36152,0.007141081,0.04,1439.36,"6,600",,,2016-08-24T00:00,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2016-053B,41748,Equivalent of 269 Ku- and C-band transponders.,237
Intelsat 34,NR,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,304.5,35777,35811,4.03E-04,0.1,1436.1,"3,300",,,2015-08-20T00:00,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2015-039A,40874,,232
Intelsat 35E,NR (10/17),USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-34.5,35778,35794,1.90E-04,0,1436.09,"6,761",,,2017-07-05T00:00,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2017-041A,42818,"Fourth “Epic-class” relay satellite developed and launched by Intelsat, carry all-digital payloads, giving the company added flexibility in how it beams video, voice and data signals.",186
Intelsat 36 (IS-36),NR (12/16),USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,68.5,35785,35801,1.90E-04,0.1,1436.1,"3,250",,,2016-08-24T00:00,15 yrs.,Space Systems/Loral,UsA,Guiana Space Center,Ariane 5,2016-053A,41747,"34 Ku-band, 10 C-band. Additional service to subsaharan Africa and East Asia.",237
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-156.9,35774,35798,2.85E-04,0.03,1436.09,"2,730","2,519","9,700",1997-08-28T00:00,15 yrs.,Hughes Space and Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-046A,24916,"28 C-band, 28 Ku-band; covers Arab world. Inclined.",240
Intelsat 805 ,NR,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-55.49,35775,35797,2.61E-04,0.01,1436.08,"3,420","2,200","4,900",1998-06-18T00:00,14 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,1998-037A,25371,"36 C-band, 6 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",169
"Intelsat 9 (IS-9, PAS-9) ",USA,USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,,GEO,,-29.5,35782,35792,1.19E-04,0.01,1436.14,"3,659","2,389 (BOL)","9,900",2000-07-28T00:00,15 yrs.,Hughes,USA,Sea Launch Odyssey,Zenit 3SL,2000-043A,26451,"160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe.",210
Intelsat 901 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-18.01,35775,35798,2.73E-04,0.01,1436.12,"4,723","1,972","10,000",2001-06-09T00:00,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,2001-024A,26824,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",160
Intelsat 902 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,62.05,35775,35797,2.61E-04,0.02,1436.1,"4,723","1,972","8,500",2001-08-30T00:00,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2001-039A,26900,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.",242
Intelsat 903 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-34.55,35773,35802,3.44E-04,0.02,1436.16,"4,723","1,972","8,600",2002-03-30T00:00,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-016A,27403,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",89
Intelsat 904 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,60.05,35782,35789,8.30E-05,0.01,1436.07,"4,680","2,350","8,500",2002-02-23T00:00,13 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-007A,27380,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Indian Ocean region.",54
Intelsat 905 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-24.52,35768,35805,4.39E-04,0.01,1436.12,"4,723","1,984","10,000",2002-06-05T00:00,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-027A,27438,"76 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Atlantic Ocean region.",156
Intelsat 906 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,64.19,35775,35796,2.49E-04,0.01,1436.07,"4,723","1,955","7,000",2002-09-06T00:00,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2002-041A,27513,"72 C-band, 22 Ku-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks.",249
Intelsat 907 ,USA,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,-27.45,35770,35803,3.91E-04,0.02,1436.1,"4,685","1,973","10,000",2003-02-15T00:00,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44L,2003-007A,27683,"76 C-band transponders; business, video, internet.",46
Intelsat APR-2 (INSAT 2E),India,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,83.03,35769,35804,4.15E-04,0.18,1436.11,"2,550","1,150","2,000",1999-04-03T00:00,12 yrs.,Aerospatiale ,France,Xichang Satellite Launch Center,Long March CZ3B,1999-016A,25666,"6 C-band, broadcasting, business services, direct-to-home TV broadcasting, telecommunications, VSAT networks; Asia Pacific region.",93
Intelsat New Dawn (Intelsat 28),NR,USA,"Intelsat, S.A.",Commercial,Communications,,GEO,,32.8,35800,35892,0.001089634,0.05,1439.15,"3,000","1,283","4,800",2011-04-22T00:00,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2011-016A,37392,"Carries 14 active C-band transponders and 16 Ku-band transponders to serve customers in Africa, the Middle East, Pakistan and Western Europe; the C-band antenna has failed to deploy as of 6/11.",112
International Space Station (ISS [first element Zarya]),USA,Multinational,National Aeronautics and Space Administration (NASA)/Multinational,Government,Space Science,,LEO,Non-Polar Inclined,0,401,422,0.00154833,51.6,92.8,,,,1998-11-20T00:00,30+ yrs.,Boeing Satellite Systems (prime)/Multinational,Multinational,Baikonur Cosmodrome,Proton,1998-067A,25544,Final size of a Boeing 747; first component.,324
Interstellar Boundary EXplorer (IBEX),USA,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Space Science,,Elliptical,Deep Highly Eccentric,0,62200,268679,0.600895178,15.2,8 days,462,,,2008-10-19T00:00,,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL,2008-051A,33401,Monitor the boundary between heliosphere and interstellar medium.,293
Iridium 10 (Iridium SV010),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-06-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030D,24839,"66 satellite constellation with 13 spares; 15-20 ground stations with master control complex in Landsdowne, VA; backup in Italy, third engineering center in Chandler, AZ; Filed for Chapter 11 in 2000; started to let system deorbit. Iridium Satellite LLC purchased assets of Iridium LLC. DoD stepped in-- renewable DoD contract; unlimited airtime to 20,000 govt. workers; mobile voice, data and paging",169
Iridium 11A (Iridium SV088),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-12-19T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074B,25578,,353
Iridium 12 (Iridium SV012),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-06-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030B,24837,,169
Iridium 13 (Iridium SV013),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1997-06-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-030E,24840,,169
Iridium 14A (Iridium SV092),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,708,711,2.12E-04,86.5,99,689,556,50,1999-06-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032A,25777,,162
Iridium 15 (Iridium SV015),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-07-09T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034A,24869,,190
Iridium 18 (Iridium SV018),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-07-09T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-034D,24872,,190
Iridium 19 (Iridium SV019),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-09-27T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056A,24965,,270
Iridium 20A (Iridium SVO89),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-12-19T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-074A,25577,,353
Iridium 21A (Iridium SVO93),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,775,780,3.50E-04,86.4,100.4,689,556,50,1999-06-11T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032B,25778,,162
Iridium 22 (Iridium SV022),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-08-21T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043E,24907,,233
Iridium 23 (Iridium SV023),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-08-21T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043D,24906,,233
Iridium 25 (Iridium SV025),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-08-21T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043B,24904,,233
Iridium 3 (Iridium SV078),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1998-08-19T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048A,25431,,231
Iridium 31 (Iridium SVO31),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-09-14T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051G,24950,,257
Iridium 32 (Iridium  SV032),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-09-14T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1997-051B,24945,,257
Iridium 34 (Iridium SV034),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-09-27T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056E,24969,,270
Iridium 35 (Iridium SV035),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-09-27T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056B,24966,,270
Iridium 37 (Iridium SV037),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-09-27T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-056D,24968,,270
Iridium 41 (Iridium SV041),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-11-09T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-069B,25040,,313
Iridium 45 (Iridium SV045),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-12-20T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082A,25104,,354
Iridium 46 (Iridium SV046),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-08-21T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043C,24905,,233
Iridium 47 (Iridium SV047),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1997-12-20T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082C,25106,,354
Iridium 49 (Iridium SV049),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-12-20T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082E,25108,,354
Iridium 5 (Iridium SV005),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-05-05T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020D,24795,"According to Rod Sladen, the only person who tracks the Iridium system, Iridium 51 may have replaced Iridium 5, but its not certain at this time.",125
Iridium 50 (Iridium SV050),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1998-02-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010D,25172,,49
Iridium 51 (Iridium SV 051),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-03-25T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018A,25262,Iridium 51 and Iridium 5 were first confused by OIG. They have been correctly separated.,84
Iridium 52 (Iridium SV052),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-02-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010A,25169,,49
Iridium 53 (Iridium SV053),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-02-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010E,25173,,49
Iridium 54 (Iridium SV054),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,,556,50,1998-02-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010C,25171,,49
Iridium 55 (Iridium SV055),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-03-30T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019A,25272,,89
Iridium 56 (Iridium SV056),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-02-18T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010B,25170,,49
Iridium 58 (Iridium SV058),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-03-30T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019C,25274,,89
Iridium 59 (Iridium SV059),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1998-03-30T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019D,25275,,89
Iridium 6 (Iridium SV006),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1997-05-06T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020C,24794,,126
Iridium 60 (Iridium SV060),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-03-30T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019E,25276,,89
Iridium 61 (Iridium SV061),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-03-25T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018B,25263,,84
Iridium 62 (Iridium SV062),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-04-07T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021A,25285,,97
Iridium 64 (Iridium SV064),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-04-07T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021C,25287,,97
Iridium 65 (Iridium SV065),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-04-07T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021D,25288,,97
Iridium 66 (Iridium SV066),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-04-07T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021E,25289,,97
Iridium 67 (Iridium SV067),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-04-07T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021F,25290,,97
Iridium 68 (Iridium SV068),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-04-07T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021G,25291,,97
Iridium 7 (Iridium SV007),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-05-05T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020B,24793,,125
Iridium 70 (Iridium SV070),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.3,100.4,689,556,50,1998-05-17T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032A,25342,,137
Iridium 72 (Iridium SV072),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-05-17T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032B,25343,,137
Iridium 74 (Iridium SV074),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,747,751,2.81E-04,86.5,99.8,689,556,50,1998-05-17T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032D,25345,,137
Iridium 75 (Iridium SV075),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-05-17T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032E,25346,,137
Iridium 76 (Iridium SV076),China,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1998-08-19T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048B,25432,"Spare; stored in 667 km storage orbit, not raised to 780 km operational orbit until needed",231
Iridium 77 (Iridium SV077),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,780,2.80E-04,86.4,100.4,689,556,50,1998-09-08T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051E,25471,,251
Iridium 8 (Iridium SV008),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1997-05-05T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020A,24792,,125
Iridium 80 (Iridium SV080),USA,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,,LEO,Polar,0,776,779,2.10E-04,86.4,100.4,689,556,50,1998-09-08T00:00,8 yrs.,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051C,25469,,251
