Agency,Agency w/ USSR,Category,Launch Year,Tag,Years
US,US,O,1970,1970-031,1970s
,Soviet Union,O,1982,1982-039,
RU,RU,O,1992,1992-087,
CN,CN,O,2013,2013-059,
RU,RU,O,1998,1998-036,
US,US,O,1959,1959 EPS,
US,US,O,1975,1975-117,
,Soviet Union,O,1971,1971-029,
US,US,O,1982,1982-110,
US,US,O,2002,2002-001,
ILSL,ILSL,O,2002,2002-044,
,Soviet Union,O,1979,1979-078,
US,US,O,1969,1969-007,
MMCLS,MMCLS,O,1994,1994-035,
J,J,O,1975,1975-082,
,Soviet Union,O,1976,1976-116,
,Soviet Union,O,1967,1967-027,
RU,RU,O,2006,2006-019,
,Soviet Union,O,1984,1984-004,
,Soviet Union,O,1960,1960 EPS,1960s
,Soviet Union,O,1970,1970-018,1970s
,Soviet Union,O,1980,1980-034,1980s
SPX,SPX,O,2013,2013-055,
,Soviet Union,O,1978,1978-036,
ULAB,ULAB,O,2012,2012-053,
,Soviet Union,O,1973,1973-031,
,Soviet Union,O,1977,1977-072,
,Soviet Union,O,1969,1969-012,
AE,AE,O,1995,1995-044,
J,J,O,1981,1981-017,
US,US,O,1962,1962 A THE,
,Soviet Union,O,1987,1987-108,
ULAB,ULAB,O,2018,2018-065,2018
,Soviet Union,O,1983,1983-115,
,Soviet Union,F,1988,1988-F04,
,Soviet Union,O,1971,1971-114,
AE,AE,O,2018,2018-033,2018
,Soviet Union,O,1979,1979-004,
,Soviet Union,O,1977,1977-066,
US,US,O,1969,1969-059,
RU,RU,O,2003,2003-039,
US,US,O,1996,1996-026,
,Soviet Union,O,1991,1991-043,
US,US,O,1961,1961 A THE,
US,US,O,1972,1972-002,
US,US,O,1994,1994-006,
AE,AE,O,2018,2018-024,2018
,Soviet Union,O,1979,1979-011,
US,US,O,1967,1967-109,
ELUS,ELUS,O,2012,2012-069,
,Soviet Union,O,1978,1978-046,
,Soviet Union,O,1988,1988-116,
CN,CN,O,1993,1993-063,
US,US,O,1974,1974-013,
,Soviet Union,O,1990,1990-042,1990s
MDSSC,MDSSC,O,1991,1991-001,
,Soviet Union,O,1983,1983-106,
US,US,O,1968,1968-042,
US,US,O,1979,1979-025,
,Soviet Union,O,1986,1986-062,
,Soviet Union,O,1973,1973-073,
,Soviet Union,O,1979,1979-001,
,Soviet Union,O,1983,1983-023,
,Soviet Union,O,1984,1984-013,
CN,CN,O,2017,2017-074,
,Soviet Union,O,1984,1984-001,
US,US,O,1974,1974-040,
,Soviet Union,O,1985,1985-103,
US,US,O,1961,1961 SIG,
CN,CN,O,1996,1996-039,
,Soviet Union,O,1966,1966-108,
,Soviet Union,O,1979,1979-088,
,Soviet Union,O,1989,1989-022,
RU,RU,O,2017,2017-043,
,Soviet Union,O,1985,1985-012,
RU,RU,O,1994,1994-012,
ULAL,ULAL,O,2018,2018-042,2018
IL,IL,O,2010,2010-031,2010s
CN,CN,O,2018,2018-003,2018
RU,RU,O,2010,2010-014,2010s
CN,CN,O,2002,2002-049,
,Soviet Union,O,1970,1970-064,1970s
,Soviet Union,O,1977,1977-082,
,Soviet Union,F,1963,1963-F11,
RU,RU,O,2016,2016-032,
US,US,O,1967,1967-068,
SPX,SPX,O,2018,2018-059,2018
,Soviet Union,O,1971,1971-107,
,Soviet Union,O,1967,1967-052,
,Soviet Union,O,1991,1991-065,
,Soviet Union,O,1987,1987-104,
,Soviet Union,F,1983,1983-F02,
ILSK,ILSK,O,2011,2011-069,
,Soviet Union,O,1982,1982-059,
,Soviet Union,O,1971,1971-103,
J,J,O,1990,1990-077,1990s
RU,RU,O,1999,1999-047,
,Soviet Union,O,1982,1982-003,
,Soviet Union,O,1983,1983-012,
,Soviet Union,O,1972,1972-080,
US,US,O,1999,1999-034,
RU,RU,O,2003,2003-053,
,Soviet Union,F,1969,1969-F15,
J,J,F,1976,1976-F01,
,Soviet Union,O,1970,1970-058,1970s
US,US,O,1994,1994-073,
,Soviet Union,O,1970,1970-102,1970s
,Soviet Union,O,1985,1985-047,
,Soviet Union,O,1981,1981-001,
US,US,O,1964,1964-082,
OSC,OSC,O,1997,1997-063,
,Soviet Union,O,1990,1990-044,1990s
GDCLS,GDCLS,O,1994,1994-022,
RU,RU,O,2013,2013-025,
OSC,OSC,O,1998,1998-007,
US,US,O,1984,1984-021,
,Soviet Union,O,1986,1986-008,
CN,CN,O,2011,2011-066,
RU,RU,O,1992,1992-029,
IN,IN,O,2009,2009-051,
CN,CN,O,2007,2007-055,
,Soviet Union,O,1979,1979-029,
,Soviet Union,O,1980,1980-101,1980s
,Soviet Union,O,1971,1971-061,
RU,RU,O,1994,1994-082,
US,US,O,2000,2000-062,2000s
RU,RU,O,1995,1995-039,
RU,RU,O,1994,1994-053,
SPX,SPX,O,2014,2014-040,
US,US,O,1962,1962 B ETA,
,Soviet Union,O,1983,1983-048,
RU,RU,O,1995,1995-010,
SPX,SPX,O,2018,2018-044,2018
CN,CN,O,1999,1999-061,
RU,RU,O,2015,2015-008,
AE,AE,O,1999,1999-009,
US,US,O,1985,1985-093,
,Soviet Union,O,1974,1974-028,
,Soviet Union,F,1965,1965-F03,
RU,RU,O,1994,1994-025,
AE,AE,O,2012,2012-043,
,Soviet Union,O,1988,1988-007,
AE,AE,O,1996,1996-063,
ULAB,ULAB,O,2009,2009-052,
,Soviet Union,O,1980,1980-071,1980s
CN,CN,O,1995,1995-064,
ULAB,ULAB,O,2009,2009-001,
RU,RU,O,2006,2006-044,
RU,RU,O,2015,2015-082,
OSC,OSC,O,1999,1999-070,
AE,AE,O,1999,1999-059,
OSC,OSC,O,2000,2000-014,2000s
,Soviet Union,O,1988,1988-050,
CN,CN,O,2013,2013-037,
,Soviet Union,O,1984,1984-043,
STSM,STSM,O,2003,2003-022,
,Soviet Union,O,1989,1989-076,
US,US,O,1965,1965-076,
,Soviet Union,O,1971,1971-102,
,Soviet Union,O,1973,1973-051,
ILSK,ILSK,O,2001,2001-019,
,Soviet Union,O,1980,1980-086,1980s
US,US,O,2000,2000-055,2000s
,Soviet Union,O,1976,1976-037,
,Soviet Union,O,1968,1968-009,
,Soviet Union,O,1985,1985-107,
,Soviet Union,F,1990,1990-F02,1990s
,Soviet Union,O,1963,1963-020,
US,US,O,1972,1972-012,
,Soviet Union,O,1968,1968-071,
,Soviet Union,O,1976,1976-061,
CN,CN,O,2010,2010-057,2010s
,Soviet Union,O,1976,1976-090,
,Soviet Union,O,1975,1975-067,
,Soviet Union,O,1988,1988-032,
,Soviet Union,O,1982,1982-035,
US,US,F,1998,1998-F02,
,Soviet Union,O,1991,1991-085,
US,US,O,1983,1983-008,
SPX,SPX,O,2018,2018-023,2018
MDSSC,MDSSC,O,1996,1996-008,
LMA,LMA,O,1997,1997-011,
,Soviet Union,O,1989,1989-057,
,Soviet Union,O,1970,1970-087,1970s
RU,RU,O,1997,1997-054,
US,US,O,1964,1964-060,
RU,RU,O,1994,1994-074,
,Soviet Union,O,1988,1988-045,
,Soviet Union,O,1978,1978-022,
SPX,SPX,O,2015,2015-023,
US,US,O,1962,1962 ETA,
US,US,O,1973,1973-056,
,Soviet Union,O,1977,1977-030,
,Soviet Union,O,1972,1972-020,
US,US,O,1996,1996-032,
US,US,O,1997,1997-068,
,Soviet Union,O,1988,1988-103,
,Soviet Union,O,1979,1979-058,
OSC,OSC,O,1999,1999-026,
US,US,O,1998,1998-035,
,Soviet Union,O,1974,1974-083,
,Soviet Union,O,1975,1975-095,
,Soviet Union,O,1980,1980-068,1980s
US,US,O,2001,2001-009,
BLS,BLS,O,2000,2000-048,2000s
US,US,O,1975,1975-066,
US,US,O,1964,1964-061,
,Soviet Union,F,1982,1982-F02,
,Soviet Union,O,1985,1985-023,
IN,IN,O,2003,2003-046,
US,US,O,1973,1973-100,
AE,AE,O,2009,2009-035,
,Soviet Union,O,1967,1967-125,
US,US,F,1960,1960-F08,1960s
RU,RU,O,2011,2011-033,
RU,RU,O,1994,1994-002,
US,US,O,1963,1963-021,
,Soviet Union,O,1975,1975-108,
US,US,O,1971,1971-070,
,Soviet Union,O,1984,1984-086,
,Soviet Union,O,1985,1985-008,
,Soviet Union,O,1988,1988-044,
CN,CN,O,1999,1999-025,
AE,AE,O,2013,2013-074,
US,US,O,1967,1967-036,
AE,AE,O,1997,1997-016,
US,US,O,1962,1962 A EPS,
RU,RU,O,1992,1992-067,
AE,AE,O,2008,2008-065,
SPX,SPX,O,2018,2018-061,2018
,Soviet Union,O,1971,1971-034,
,Soviet Union,O,1972,1972-055,
US,US,O,1994,1994-020,
AE,AE,O,1990,1990-091,1990s
,Soviet Union,O,1991,1991-049,
,Soviet Union,F,1958,1958-F03,
,Soviet Union,F,1958,1958-F15,
,Soviet Union,F,1958,1958-F17,
,Soviet Union,F,1958,1958-F20,
,Soviet Union,F,1959,1959-F06,
,Soviet Union,F,1960,1960-F06,1960s
,Soviet Union,F,1960,1960-F09,1960s
,Soviet Union,F,1960,1960-F12,1960s
,Soviet Union,F,1960,1960-F19,1960s
,Soviet Union,F,1961,1961-F11,
,Soviet Union,F,1961,1961-F14,
,Soviet Union,F,1961,1961-F15,
,Soviet Union,F,1962,1962-F06,
,Soviet Union,F,1962,1962-F08,
,Soviet Union,F,1963,1963-F01,
,Soviet Union,F,1963,1963-F05,
,Soviet Union,F,1963,1963-F08,
,Soviet Union,F,1963,1963-F13,
,Soviet Union,F,1963,1963-F15,
,Soviet Union,F,1964,1964-F01,
,Soviet Union,F,1964,1964-F03,
,Soviet Union,F,1964,1964-F05,
,Soviet Union,F,1964,1964-F12,
,Soviet Union,F,1964,1964-F13,
,Soviet Union,F,1965,1965-F05,
,Soviet Union,F,1965,1965-F08,
,Soviet Union,F,1965,1965-F12,
,Soviet Union,F,1966,1966-F03,
,Soviet Union,F,1966,1966-F04,
,Soviet Union,F,1966,1966-F06,
,Soviet Union,F,1966,1966-F09,
,Soviet Union,F,1966,1966-F11,
,Soviet Union,F,1966,1966-F12,
,Soviet Union,F,1967,1967-F02,
,Soviet Union,F,1967,1967-F06,
,Soviet Union,F,1967,1967-F07,
,Soviet Union,F,1967,1967-F09,
,Soviet Union,F,1967,1967-F11,
,Soviet Union,F,1967,1967-F12,
,Soviet Union,F,1968,1968-F01,
,Soviet Union,F,1968,1968-F02,
,Soviet Union,F,1968,1968-F03,
,Soviet Union,F,1968,1968-F05,
,Soviet Union,F,1968,1968-F06,
,Soviet Union,F,1969,1969-F01,
,Soviet Union,F,1969,1969-F03,
,Soviet Union,F,1969,1969-F04,
,Soviet Union,F,1969,1969-F05,
,Soviet Union,F,1969,1969-F06,
,Soviet Union,F,1969,1969-F07,
,Soviet Union,F,1969,1969-F08,
,Soviet Union,F,1969,1969-F11,
,Soviet Union,F,1970,1970-F01,1970s
,Soviet Union,F,1970,1970-F03,1970s
,Soviet Union,F,1970,1970-F06,1970s
,Soviet Union,F,1970,1970-F10,1970s
,Soviet Union,F,1971,1971-F03,
,Soviet Union,F,1971,1971-F05,
,Soviet Union,F,1971,1971-F06,
,Soviet Union,F,1971,1971-F07,
,Soviet Union,F,1971,1971-F08,
,Soviet Union,F,1971,1971-F09,
,Soviet Union,F,1971,1971-F12,
,Soviet Union,F,1972,1972-F02,
,Soviet Union,F,1972,1972-F04,
,Soviet Union,F,1972,1972-F05,
,Soviet Union,F,1972,1972-F06,
,Soviet Union,F,1972,1972-F07,
,Soviet Union,F,1973,1973-F03,
,Soviet Union,F,1973,1973-F05,
,Soviet Union,F,1974,1974-F02,
,Soviet Union,F,1974,1974-F03,
,Soviet Union,F,1974,1974-F04,
,Soviet Union,F,1974,1974-F06,
,Soviet Union,F,1975,1975-F02,
,Soviet Union,F,1975,1975-F04,
,Soviet Union,F,1975,1975-F05,
,Soviet Union,F,1976,1976-F02,
,Soviet Union,F,1977,1977-F01,
,Soviet Union,F,1977,1977-F02,
,Soviet Union,F,1977,1977-F03,
,Soviet Union,F,1977,1977-F06,
,Soviet Union,F,1978,1978-F02,
,Soviet Union,F,1978,1978-F03,
,Soviet Union,F,1978,1978-F04,
,Soviet Union,F,1979,1979-F01,
,Soviet Union,F,1981,1981-F02,
,Soviet Union,F,1982,1982-F01,
,Soviet Union,F,1982,1982-F03,
,Soviet Union,F,1982,1982-F04,
,Soviet Union,F,1982,1982-F05,
,Soviet Union,F,1982,1982-F07,
,Soviet Union,F,1982,1982-F08,
,Soviet Union,F,1983,1983-F01,
,Soviet Union,F,1985,1985-F04,
,Soviet Union,F,1986,1986-F02,
,Soviet Union,F,1986,1986-F07,
,Soviet Union,F,1987,1987-F04,
,Soviet Union,F,1988,1988-F01,
,Soviet Union,F,1988,1988-F02,
,Soviet Union,F,1988,1988-F05,
,Soviet Union,F,1989,1989-F01,
,Soviet Union,F,1990,1990-F03,1990s
,Soviet Union,F,1990,1990-F04,1990s
,Soviet Union,F,1990,1990-F05,1990s
,Soviet Union,F,1991,1991-F02,
,Soviet Union,F,1991,1991-F03,
AE,AE,F,1985,1985-F03,
AE,AE,F,1990,1990-F01,1990s
AE,AE,F,1994,1994-F04,
AE,AE,F,2002,2002-F03,
BR,BR,F,1997,1997-F03,
BR,BR,F,1999,1999-F05,
CN,CN,F,1973,1973-F07,
CN,CN,F,1974,1974-F05,
CN,CN,F,1974,1974-F07,
CN,CN,F,1976,1976-F03,
CN,CN,F,1979,1979-F02,
CN,CN,F,1995,1995-F01,
CN,CN,F,1996,1996-F01,
CN,CN,F,2002,2002-F01,
CN,CN,F,2005,2005-F04,
CN,CN,F,2011,2011-F02,
CN,CN,F,2013,2013-F03,
CN,CN,F,2016,2016-F01,
CN,CN,F,2017,2017-F03,
EER,EER,F,1995,1995-F05,
ELUS,ELUS,F,2013,2013-F01,
EUROK,EUROK,F,2005,2005-F03,
F,F,F,1971,1971-F14,
GDCLS,GDCLS,F,1991,1991-F01,
GDCLS,GDCLS,F,1992,1992-F02,
I-ELDO,I-ELDO,F,1968,1968-F09,
I-ELDO,I-ELDO,F,1969,1969-F09,
I-ELDO,I-ELDO,F,1971,1971-F10,
I-ESA,I-ESA,F,1980,1980-F01,1980s
I-ESA,I-ESA,F,1982,1982-F06,
I-ESA,I-ESA,F,1996,1996-F03,
IL,IL,F,1998,1998-F01,
ILSK,ILSK,F,2007,2007-F03,
ILSK,ILSK,F,2015,2015-F01,
IN,IN,F,1979,1979-F03,
IN,IN,F,1987,1987-F01,
IN,IN,F,1988,1988-F03,
IN,IN,F,1993,1993-F03,
IN,IN,F,2010,2010-F01,2010s
IN,IN,F,2010,2010-F04,2010s
IR,IR,F,2008,2008-F02,
IR,IR,F,2012,2012-F02,
IR,IR,F,2012,2012-F03,
IR,IR,F,2017,2017-F04,
J,J,F,1966,1966-F10,
J,J,F,1966,1966-F13,
J,J,F,1967,1967-F03,
J,J,F,1970,1970-F08,1970s
J,J,F,1999,1999-F04,
J,J,F,2017,2017-F01,
KP,KP,F,1998,1998-F04,
KP,KP,F,2009,2009-F02,
KP,KP,F,2012,2012-F01,
KR,KR,F,2009,2009-F03,
KR,KR,F,2010,2010-F02,2010s
LMA,LMA,F,1999,1999-F01,
LMSC,LMSC,F,1995,1995-F04,
MDSSC,MDSSC,F,1997,1997-F01,
OSC,OSC,F,1994,1994-F03,
OSC,OSC,F,1995,1995-F03,
OSC,OSC,F,2011,2011-F01,
OSC,OSC,F,2014,2014-F02,
RLABU,RLABU,F,2017,2017-F02,
RU,RU,F,1992,1992-F01,
RU,RU,F,1993,1993-F01,
RU,RU,F,1994,1994-F02,
RU,RU,F,1995,1995-F02,
RU,RU,F,1996,1996-F02,
RU,RU,F,1996,1996-F04,
RU,RU,F,1997,1997-F02,
RU,RU,F,1998,1998-F05,
RU,RU,F,1999,1999-F02,
RU,RU,F,1999,1999-F03,
RU,RU,F,2000,2000-F03,2000s
RU,RU,F,2005,2005-F01,
RU,RU,F,2005,2005-F02,
RU,RU,F,2010,2010-F03,2010s
RU,RU,F,2011,2011-F03,
RU,RU,F,2011,2011-F04,
RU,RU,F,2013,2013-F02,
RU,RU,F,2014,2014-F01,
RU,RU,F,2016,2016-F02,
RU,RU,F,2017,2017-F05,
RU,RU,F,2018,2018-F01,2018
SEALC,SEALC,F,2000,2000-F02,2000s
SEALP,SEALP,F,2007,2007-F01,
SPX,SPX,F,2006,2006-F01,
SPX,SPX,F,2007,2007-F02,
SPX,SPX,F,2015,2015-F02,
UK,UK,F,1970,1970-F07,1970s
US,US,F,1957,1957-F01,1957
US,US,F,1958,1958-F02,
US,US,F,1958,1958-F04,
US,US,F,1958,1958-F05,
US,US,F,1958,1958-F06,
US,US,F,1958,1958-F07,
US,US,F,1958,1958-F08,
US,US,F,1958,1958-F09,
US,US,F,1958,1958-F10,
US,US,F,1958,1958-F11,
US,US,F,1958,1958-F12,
US,US,F,1958,1958-F13,
US,US,F,1958,1958-F14,
US,US,F,1958,1958-F18,
US,US,F,1958,1958-F19,
US,US,F,1959,1959-F01,
US,US,F,1959,1959-F02,
US,US,F,1959,1959-F03,
US,US,F,1959,1959-F05,
US,US,F,1959,1959-F07,
US,US,F,1959,1959-F08,
US,US,F,1960,1960-F01,1960s
US,US,F,1960,1960-F02,1960s
US,US,F,1960,1960-F03,1960s
US,US,F,1960,1960-F07,1960s
US,US,F,1960,1960-F10,1960s
US,US,F,1960,1960-F11,1960s
US,US,F,1960,1960-F13,1960s
US,US,F,1960,1960-F15,1960s
US,US,F,1960,1960-F17,1960s
US,US,F,1960,1960-F18,1960s
US,US,F,1961,1961-F01,
US,US,F,1961,1961-F02,
US,US,F,1961,1961-F03,
US,US,F,1961,1961-F04,
US,US,F,1961,1961-F06,
US,US,F,1961,1961-F07,
US,US,F,1961,1961-F08,
US,US,F,1961,1961-F09,
US,US,F,1961,1961-F10,
US,US,F,1961,1961-F12,
US,US,F,1961,1961-F13,
US,US,F,1962,1962-F01,
US,US,F,1962,1962-F02,
US,US,F,1962,1962-F03,
US,US,F,1962,1962-F04,
US,US,F,1962,1962-F05,
US,US,F,1962,1962-F09,
US,US,F,1963,1963-F02,
US,US,F,1963,1963-F03,
US,US,F,1963,1963-F04,
US,US,F,1963,1963-F07,
US,US,F,1963,1963-F09,
US,US,F,1963,1963-F12,
US,US,F,1964,1964-F02,
US,US,F,1964,1964-F04,
US,US,F,1964,1964-F08,
US,US,F,1964,1964-F09,
US,US,F,1964,1964-F10,
US,US,F,1964,1964-F11,
US,US,F,1965,1965-F01,
US,US,F,1965,1965-F06,
US,US,F,1965,1965-F07,
US,US,F,1965,1965-F09,
US,US,F,1965,1965-F10,
US,US,F,1965,1965-F11,
US,US,F,1966,1966-F05,
US,US,F,1966,1966-F08,
US,US,F,1967,1967-F01,
US,US,F,1967,1967-F04,
US,US,F,1967,1967-F05,
US,US,F,1968,1968-F04,
US,US,F,1968,1968-F07,
US,US,F,1968,1968-F08,
US,US,F,1969,1969-F12,
US,US,F,1971,1971-F01,
US,US,F,1971,1971-F04,
US,US,F,1971,1971-F13,
US,US,F,1972,1972-F01,
US,US,F,1972,1972-F03,
US,US,F,1973,1973-F04,
US,US,F,1973,1973-F06,
US,US,F,1974,1974-F01,
US,US,F,1975,1975-F01,
US,US,F,1975,1975-F03,
US,US,F,1977,1977-F05,
US,US,F,1978,1978-F01,
US,US,F,1980,1980-F02,1980s
US,US,F,1981,1981-F03,
US,US,F,1985,1985-F02,
US,US,F,1986,1986-F01,
US,US,F,1986,1986-F03,
US,US,F,1986,1986-F04,
US,US,F,1987,1987-F02,
US,US,F,1993,1993-F02,
US,US,F,1993,1993-F04,
US,US,F,1998,1998-F03,
,Soviet Union,O,1957,1957 ALP,1957
,Soviet Union,O,1957,1957 BET,1957
,Soviet Union,O,1958,1958 DEL,
,Soviet Union,O,1959,1959 MU,
,Soviet Union,O,1959,1959 THE,
,Soviet Union,O,1959,1959 XI,
,Soviet Union,O,1960,1960 LAM,1960s
,Soviet Union,O,1960,1960 RHO,1960s
,Soviet Union,O,1961,1961 BET,
,Soviet Union,O,1961,1961 GAM,
,Soviet Union,O,1961,1961 IOT,
,Soviet Union,O,1961,1961 MU,
,Soviet Union,O,1961,1961 TAU,
,Soviet Union,O,1961,1961 THE,
,Soviet Union,O,1962,1962 A IOT,
,Soviet Union,O,1962,1962 A MU,
,Soviet Union,O,1962,1962 A NU,
,Soviet Union,O,1962,1962 A OME,
,Soviet Union,O,1962,1962 A PI,
,Soviet Union,O,1962,1962 A XI,
,Soviet Union,O,1962,1962 B NU,
,Soviet Union,O,1962,1962 B OME,
,Soviet Union,O,1962,1962 B THE,
,Soviet Union,O,1962,1962 B ZET,
,Soviet Union,O,1962,1962 IOT,
,Soviet Union,O,1962,1962 NU,
,Soviet Union,O,1962,1962 THE,
,Soviet Union,O,1962,1962 UPS,
,Soviet Union,O,1962,1962 XI,
,Soviet Union,O,1963,1963-001,
,Soviet Union,O,1963,1963-006,
,Soviet Union,O,1963,1963-008,
,Soviet Union,O,1963,1963-010,
,Soviet Union,O,1963,1963-012,
,Soviet Union,O,1963,1963-017,
,Soviet Union,O,1963,1963-018,
,Soviet Union,O,1963,1963-023,
,Soviet Union,O,1963,1963-033,
,Soviet Union,O,1963,1963-040,
,Soviet Union,O,1963,1963-043,
,Soviet Union,O,1963,1963-044,
,Soviet Union,O,1963,1963-050,
,Soviet Union,O,1963,1963-052,
,Soviet Union,O,1964,1964-010,
,Soviet Union,O,1964,1964-013,
,Soviet Union,O,1964,1964-014,
,Soviet Union,O,1964,1964-016,
,Soviet Union,O,1964,1964-017,
,Soviet Union,O,1964,1964-019,
,Soviet Union,O,1964,1964-021,
,Soviet Union,O,1964,1964-023,
,Soviet Union,O,1964,1964-028,
,Soviet Union,O,1964,1964-033,
,Soviet Union,O,1964,1964-034,
,Soviet Union,O,1964,1964-038,
,Soviet Union,O,1964,1964-039,
,Soviet Union,O,1964,1964-042,
,Soviet Union,O,1964,1964-046,
,Soviet Union,O,1964,1964-049,
,Soviet Union,O,1964,1964-050,
,Soviet Union,O,1964,1964-053,
,Soviet Union,O,1964,1964-059,
,Soviet Union,O,1964,1964-062,
,Soviet Union,O,1964,1964-065,
,Soviet Union,O,1964,1964-066,
,Soviet Union,O,1964,1964-069,
,Soviet Union,O,1964,1964-070,
,Soviet Union,O,1964,1964-078,
,Soviet Union,O,1964,1964-080,
,Soviet Union,O,1965,1965-001,
,Soviet Union,O,1965,1965-006,
,Soviet Union,O,1965,1965-011,
,Soviet Union,O,1965,1965-012,
,Soviet Union,O,1965,1965-014,
,Soviet Union,O,1965,1965-015,
,Soviet Union,O,1965,1965-018,
,Soviet Union,O,1965,1965-020,
,Soviet Union,O,1965,1965-022,
,Soviet Union,O,1965,1965-025,
,Soviet Union,O,1965,1965-030,
,Soviet Union,O,1965,1965-035,
,Soviet Union,O,1965,1965-036,
,Soviet Union,O,1965,1965-040,
,Soviet Union,O,1965,1965-044,
,Soviet Union,O,1965,1965-046,
,Soviet Union,O,1965,1965-049,
,Soviet Union,O,1965,1965-052,
,Soviet Union,O,1965,1965-053,
,Soviet Union,O,1965,1965-054,
,Soviet Union,O,1965,1965-056,
,Soviet Union,O,1965,1965-059,
,Soviet Union,O,1965,1965-066,
,Soviet Union,O,1965,1965-069,
,Soviet Union,O,1965,1965-071,
,Soviet Union,O,1965,1965-075,
,Soviet Union,O,1965,1965-077,
,Soviet Union,O,1965,1965-083,
,Soviet Union,O,1965,1965-084,
,Soviet Union,O,1965,1965-085,
,Soviet Union,O,1965,1965-087,
,Soviet Union,O,1965,1965-088,
,Soviet Union,O,1965,1965-091,
,Soviet Union,O,1965,1965-092,
,Soviet Union,O,1965,1965-094,
,Soviet Union,O,1965,1965-095,
,Soviet Union,O,1965,1965-097,
,Soviet Union,O,1965,1965-099,
,Soviet Union,O,1965,1965-103,
,Soviet Union,O,1965,1965-106,
,Soviet Union,O,1965,1965-111,
,Soviet Union,O,1965,1965-112,
,Soviet Union,O,1966,1966-001,
,Soviet Union,O,1966,1966-003,
,Soviet Union,O,1966,1966-006,
,Soviet Union,O,1966,1966-010,
,Soviet Union,O,1966,1966-011,
,Soviet Union,O,1966,1966-014,
,Soviet Union,O,1966,1966-017,
,Soviet Union,O,1966,1966-021,
,Soviet Union,O,1966,1966-023,
,Soviet Union,O,1966,1966-027,
,Soviet Union,O,1966,1966-028,
,Soviet Union,O,1966,1966-033,
,Soviet Union,O,1966,1966-035,
,Soviet Union,O,1966,1966-036,
,Soviet Union,O,1966,1966-037,
,Soviet Union,O,1966,1966-043,
,Soviet Union,O,1966,1966-050,
,Soviet Union,O,1966,1966-054,
,Soviet Union,O,1966,1966-057,
,Soviet Union,O,1966,1966-060,
,Soviet Union,O,1966,1966-061,
,Soviet Union,O,1966,1966-064,
,Soviet Union,O,1966,1966-067,
,Soviet Union,O,1966,1966-068,
,Soviet Union,O,1966,1966-078,
,Soviet Union,O,1966,1966-079,
,Soviet Union,O,1966,1966-088,
,Soviet Union,O,1966,1966-091,
,Soviet Union,O,1966,1966-094,
,Soviet Union,O,1966,1966-101,
,Soviet Union,O,1966,1966-105,
,Soviet Union,O,1966,1966-106,
,Soviet Union,O,1966,1966-107,
,Soviet Union,O,1966,1966-112,
,Soviet Union,O,1966,1966-117,
,Soviet Union,O,1967,1967-005,
,Soviet Union,O,1967,1967-009,
,Soviet Union,O,1967,1967-012,
,Soviet Union,O,1967,1967-013,
,Soviet Union,O,1967,1967-017,
,Soviet Union,O,1967,1967-019,
,Soviet Union,O,1967,1967-023,
,Soviet Union,O,1967,1967-024,
,Soviet Union,O,1967,1967-025,
,Soviet Union,O,1967,1967-028,
,Soviet Union,O,1967,1967-030,
,Soviet Union,O,1967,1967-032,
,Soviet Union,O,1967,1967-033,
,Soviet Union,O,1967,1967-037,
,Soviet Union,O,1967,1967-039,
,Soviet Union,O,1967,1967-044,
,Soviet Union,O,1967,1967-045,
,Soviet Union,O,1967,1967-046,
,Soviet Union,O,1967,1967-047,
,Soviet Union,O,1967,1967-049,
,Soviet Union,O,1967,1967-054,
,Soviet Union,O,1967,1967-056,
,Soviet Union,O,1967,1967-057,
,Soviet Union,O,1967,1967-058,
,Soviet Union,O,1967,1967-059,
,Soviet Union,O,1967,1967-061,
,Soviet Union,O,1967,1967-063,
,Soviet Union,O,1967,1967-067,
,Soviet Union,O,1967,1967-069,
,Soviet Union,O,1967,1967-074,
,Soviet Union,O,1967,1967-077,
,Soviet Union,O,1967,1967-078,
,Soviet Union,O,1967,1967-081,
,Soviet Union,O,1967,1967-082,
,Soviet Union,O,1967,1967-085,
,Soviet Union,O,1967,1967-088,
,Soviet Union,O,1967,1967-089,
,Soviet Union,O,1967,1967-091,
,Soviet Union,O,1967,1967-093,
,Soviet Union,O,1967,1967-095,
,Soviet Union,O,1967,1967-097,
,Soviet Union,O,1967,1967-099,
,Soviet Union,O,1967,1967-102,
,Soviet Union,O,1967,1967-104,
,Soviet Union,O,1967,1967-105,
,Soviet Union,O,1967,1967-106,
,Soviet Union,O,1967,1967-107,
,Soviet Union,O,1967,1967-108,
,Soviet Union,O,1967,1967-110,
,Soviet Union,O,1967,1967-115,
,Soviet Union,O,1967,1967-116,
,Soviet Union,O,1967,1967-119,
,Soviet Union,O,1967,1967-124,
,Soviet Union,O,1967,1967-126,
,Soviet Union,O,1967,1967-127,
,Soviet Union,O,1968,1968-003,
,Soviet Union,O,1968,1968-006,
,Soviet Union,O,1968,1968-010,
,Soviet Union,O,1968,1968-011,
,Soviet Union,O,1968,1968-013,
,Soviet Union,O,1968,1968-015,
,Soviet Union,O,1968,1968-016,
,Soviet Union,O,1968,1968-019,
,Soviet Union,O,1968,1968-021,
,Soviet Union,O,1968,1968-022,
,Soviet Union,O,1968,1968-023,
,Soviet Union,O,1968,1968-024,
,Soviet Union,O,1968,1968-027,
,Soviet Union,O,1968,1968-028,
