Region,Country,City,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Americas,Honduras,Tegucigalpa,Count,,,,,,674,805,"1,046","1,250","1,290",944,979,873,995,
Americas,Honduras,Tegucigalpa,Rate,,,,,,68.4,80.1,102,119.6,121.2,79,91.6,80.5,90.5,
Americas,Jamaica,Kingston,Count,,,,565,727,641,632,441,328,357,371,289,288,323,
Americas,Jamaica,Kingston,Rate,,,,99.1,126.8,111.2,109.1,75.8,56.1,60.8,63,48.9,48.5,54.3,
Americas,Jamaica,Portmore,Count,,,,,,,,,,,,,,88,
Americas,Jamaica,Portmore,Rate,,,,,,,,,,,,,,47.5,
Americas,Mexico,Mexico City,Count,,948,878,819,848,931,981,"1,078","1,100","1,086","1,107","1,089","1,079","1,280","1,314"
Americas,Mexico,Mexico City,Rate,,12.5,11.4,10.5,10.7,11.5,12,12.9,13,12.7,12.7,12.3,12.2,,
Americas,Nicaragua,Managua,Count,,,162,178,,,,236,,,,,,,
Americas,Nicaragua,Managua,Rate,,,11.7,14.1,,,,18.7,,,,,,,
Americas,Panama,Chiriqui,Count,,,,,,,,,,,,,,30,
Americas,Panama,Chiriqui,Rate,,,,,,,,,,,,,,6.6,
Americas,Panama,Ciudad de Panama (Capital),Count,,,257,247,305,465,610,549,530,491,435,388,252,217,
Americas,Panama,Ciudad de Panama (Capital),Rate,,,20.2,19,23.1,34.5,44.5,39.4,37.3,34,29.6,26,16.6,14.1,
Americas,Panama,Panama oeste,Count,,,,,,,,,,,,,,38,
Americas,Panama,Panama oeste,Rate,,,,,,,,,,,,,,6.7,
Americas,Paraguay,Asuncion,Count,,,68,93,69,42,53,36,45,32,39,33,30,,
Americas,Paraguay,Asuncion,Rate,,,14.6,19.6,14.4,8.6,10.7,7.2,8.9,6.2,7.4,6.3,5.7,,
Americas,Paraguay,Departamento Central,Count,,,,,,,,,,,,,65,,
Americas,Paraguay,Departamento Central,Rate,,,,,,,,,,,,,3.3,,
Americas,Paraguay,Departamento de Alto Parana,Count,,,,,,,,,,,,,90,,
Americas,Paraguay,Departamento de Alto Parana,Rate,,,,,,,,,,,,,11.6,,
Americas,Peru,La Libertad,Count,,,,,,,,,,,,151,132,100,
Americas,Peru,La Libertad,Rate,,,,,,,,,,,,19.3,16.6,12.4,
Americas,Peru,Lima,Count,336,264,500,484,712,563,593,478,499,626,547,556,597,779,
