date, pm25, pm10, o3, no2, so2, co
2019/7/10, 52, 50, 45, 51, , 
2019/7/11, 102, 54, 42, 56, , 
2019/7/12, 69, 47, 32, 31, , 
2019/7/13, 47, 34, 31, 25, , 
2019/7/14, 53, 61, 27, 27, , 
2019/7/15, 53, 24, 34, 33, , 
2019/7/16, 54, 33, 41, 41, , 
2019/7/17, 63, 35, 44, 43, , 
2019/7/18, 63, 28, 30, 32, , 
2019/7/19, 50, 19, 29, 22, , 
2019/7/20, 43, 27, 18, 23, , 
2019/7/21, 48, 30, 26, 15, , 
2019/7/22, 47, 50, 53, 33, , 
2019/7/23, 59, 64, 47, 45, , 
2019/7/24, 66, 53, 68, 55, , 
2019/7/25, 70, 76, 55, 69, , 
2019/7/26, 88, 46, 33, 25, , 
2019/7/27, 62, 23, 27, 20, , 
2019/7/28, 40, 34, 28, 23, , 
2019/7/29, 48, 56, 38, 40, , 
2019/7/30, 56, 44, 25, 29, , 
2019/7/31, 49, 27, 23, 27, , 
2019/8/1, 41, 39, 35, 41, , 
2019/8/2, 51, 42, 37, 33, , 
2019/8/3, 49, 49, 35, 37, , 
2019/8/4, 61, 35, 46, 40, , 
2019/8/5, 61, 37, 26, 30, , 
2019/8/6, 47, 21, 17, 27, , 
2019/8/7, 47, 23, 26, 28, , 
2019/8/8, 42, 29, 31, 35, , 
2019/8/9, 53, 25, 20, 29, , 
2019/8/10, 55, 27, 28, 17, , 
2019/8/11, 44, 29, 24, 22, , 
2019/8/12, 47, 25, 24, 26, , 
2019/8/13, 41, 27, 23, 20, , 
2019/8/14, 38, 27, 24, 25, , 
2019/8/15, 46, 23, 20, 14, , 
2019/8/16, 31, 30, 24, 25, , 
2019/8/17, 43, 17, 16, 21, , 
2019/8/18, 43, 14, 23, 22, , 
2019/8/19, 36, 23, 25, 43, , 
2019/8/20, 41, 9, 33, 8, , 
2019/8/21, 42, 12, 37, 9, , 
2019/8/22, 52, 14, 45, 14, , 
2019/8/23, 57, 16, 51, 11, , 
2019/8/24, 59, 16, 50, 16, , 
2019/8/25, 62, 27, 61, 29, , 
2019/8/26, 77, 48, 62, 65, , 
2019/8/27, 75, 52, 61, 59, , 
2019/8/28, 72, 27, 42, 36, , 
2019/8/29, 64, 18, 30, 27, , 
2019/8/30, 46, 36, 35, 41, , 
2019/8/31, 52, 47, 43, 43, , 
2019/9/1, 55, 29, 28, 25, , 
2019/9/2, 34, 41, 32, 37, , 
2019/9/3, 46, 39, 32, 37, , 
2019/9/4, 42, 21, 28, 15, , 
2019/9/5, 46, 14, 24, 8, , 
2019/9/6, 38, 26, 32, 23, , 
2019/9/7, 43, 37, 21, 24, , 
2019/9/8, 36, 38, 30, 24, , 
2019/9/9, 41, 43, 29, 40, , 
2019/9/10, 55, 48, 34, 39, , 
2019/9/11, 50, 39, 27, 38, , 
2019/9/12, 48, 32, 13, 25, , 
2019/9/13, 41, 34, 15, 28, , 
2019/9/14, 52, 39, 28, 29, , 
2019/9/15, 53, 53, 42, 45, , 
2019/9/16, 65, 37, 29, 34, , 
2019/9/17, 59, 21, 28, 14, , 
2019/9/18, 47, 21, 26, 9, , 
2019/9/19, 34, 18, 26, 11, , 
2019/9/20, 34, 20, 31, 11, , 
2019/9/21, 32, 21, 33, 16, , 
2019/9/22, 45, 14, 21, 12, , 
2019/9/23, 36, 21, 25, 20, , 
2019/9/24, 35, 17, 18, 26, , 
2019/9/25, 44, 22, 19, 27, , 
2019/9/26, 45, 16, 25, 24, , 
2019/9/27, 41, 24, 22, 21, , 
2019/9/28, 38, 17, 25, 15, , 
2019/9/29, 39, 13, 26, 14, , 
2019/9/30, 33, 20, 24, 19, 4, 
2019/10/1, 37, 21, 21, 27, 1, 
2019/4/2, 98, 40, 35, 41, , 
2019/4/3, 70, 23, 34, 36, , 
2019/4/4, 36, 27, 35, 41, , 
2019/4/5, 51, 31, 33, 41, , 
2019/4/6, 52, 36, 35, 44, , 
2019/4/7, 73, 27, 35, 46, , 
2019/4/8, 44, 50, 29, 51, , 
2019/4/9, 70, 34, 28, 45, , 
2019/4/10, 70, 42, 23, 31, , 
2019/4/11, 113, 46, 30, 37, , 
2019/4/12, 80, 46, 29, 37, , 
2019/4/13, 92, 41, 33, 42, , 
2019/4/14, 75, 32, 34, 26, , 
2019/4/15, 83, 65, 37, 36, , 
2019/4/16, 86, 36, 26, 37, , 
2019/4/17, 74, 64, 32, 39, , 
2019/4/18, 64, 70, 44, 50, , 
2019/4/19, 61, 92, 47, 63, , 
2019/4/20, 71, 53, 52, 59, , 
2019/4/21, 68, 110, 51, 63, , 
2019/4/22, 74, 68, 46, 53, , 
2019/4/23, 75, 47, 25, 48, , 
2019/4/24, 74, 66, 35, 30, , 
2019/4/25, 60, 40, 30, 37, , 
2019/4/26, 42, 39, 30, 36, , 
2019/4/27, 50, 56, 33, 27, , 
2019/4/28, 38, 26, 29, 29, , 
2019/4/29, 42, 52, 28, 44, , 
2019/4/30, 64, 59, 30, 39, , 
2019/5/1, 98, 50, 37, 34, , 
2019/5/2, 108, 49, 29, 35, , 
2019/5/3, 87, 41, 26, 41, , 
2019/5/4, 59, 31, 24, 37, , 
2019/5/5, 49, 30, 33, 32, , 
2019/5/6, 47, 42, 31, 45, , 
2019/5/7, 63, 44, 36, 47, , 
2019/5/8, 61, 23, 27, 27, , 
2019/5/9, 45, 27, 28, 37, , 
2019/5/10, 45, 36, 29, 43, , 
2019/5/11, 54, 28, 32, 33, , 
2019/5/12, 61, 34, 35, 36, , 
2019/5/13, 56, 37, 36, 20, , 
2019/5/14, 52, 32, 37, 27, , 
2019/5/15, 54, 26, 39, 32, , 
2019/5/16, 56, 38, 39, 40, , 
2019/5/17, 55, 52, 30, 46, , 
2019/5/18, 74, 32, 33, 34, , 
2019/5/19, 60, 35, 27, 29, , 
2019/5/20, 92, 32, 33, 24, , 
2019/5/21, 61, 36, 29, 40, , 
2019/5/22, 71, 44, 41, 50, , 
2019/5/23, 68, 51, 49, 57, , 
2019/5/24, 68, 41, 42, 45, , 
2019/5/25, 63, 37, 32, 37, , 
2019/5/26, 64, 30, 24, 26, , 
2019/5/27, 56, 32, 32, 25, , 
2019/5/28, 41, 30, 25, 27, , 
2019/5/29, 44, 33, 30, 36, , 
2019/5/30, 59, 25, 19, 21, , 
2019/5/31, 36, 50, 41, 36, , 
2019/6/1, 58, 43, 41, 41, , 
2019/6/2, 64, 45, 45, 45, , 
2019/6/3, 58, 32, 29, 34, , 
2019/6/4, 49, 33, 34, 37, , 
2019/6/5, 58, 15, 27, 32, , 
2019/6/6, 43, 19, 30, 24, , 
2019/6/7, 40, 34, 34, 24, , 
2019/6/8, 34, 31, 27, 19, , 
2019/6/9, 40, 35, 33, 33, , 
2019/6/10, 56, 23, 30, 24, , 
2019/6/11, 44, 30, 27, 40, , 
2019/6/12, 48, 24, 24, 33, , 
2019/6/13, 39, 28, 29, 34, , 
2019/6/14, 39, 31, 38, 43, , 
2019/6/15, 56, 25, 33, 30, , 
2019/6/16, 48, 21, 25, 22, , 
2019/6/17, 44, 36, 32, 38, , 
2019/6/18, 57, 54, 40, 43, , 
2019/6/19, 61, 52, 36, 39, , 
2019/6/20, 59, 28, 29, 33, , 
2019/6/21, 50, 21, 31, 38, , 
2019/6/22, 54, 23, 41, 38, , 
2019/6/23, 54, 28, 40, 39, , 
2019/6/24, 65, 35, 43, 45, , 
2019/6/25, 66, 37, 52, 50, , 
2019/6/26, 69, 47, 50, 46, , 
2019/6/27, 84, 52, 47, 41, , 
2019/6/28, 74, 42, 57, 51, , 
2019/6/29, 58, 37, 61, 52, , 
2019/6/30, 62, 31, 38, 29, , 
2019/7/1, 59, 25, 33, 25, , 
2019/1/2, 61, 34, 21, 36, , 
2019/1/3, 51, 36, 16, 40, , 
2019/1/4, 57, 40, 16, 41, , 
2019/1/5, 73, 37, 17, 32, , 
2019/1/6, 77, 41, 13, 41, , 
2019/1/7, 86, 39, 14, 39, , 
2019/1/8, 74, 33, 18, 36, , 
2019/1/9, 50, 27, 18, 32, , 
2019/1/10, 45, 43, 17, 44, 1, 
2019/1/11, 56, 39, 14, 43, 1, 
2019/1/12, 76, 28, 20, 35, , 
2019/1/13, 63, 21, 24, 25, , 
2019/1/14, 42, 36, 22, 34, , 
2019/1/15, 50, 43, 22, 45, , 
2019/1/16, 58, 40, 19, 39, , 
2019/1/17, 65, 29, 19, 36, , 
2019/1/18, 47, 51, 8, 52, , 
2019/1/19, 83, 32, 9, 35, , 
2019/1/20, 73, 35, 12, 33, , 
2019/1/21, 86, 61, 3, 40, 1, 
2019/1/22, 137, 43, 9, 32, , 
2019/1/23, 106, 26, 15, 43, , 
2019/1/24, 67, 53, 8, 45, , 
2019/1/25, 119, 42, 4, 42, , 
2019/1/26, 96, 15, 24, 37, , 
2019/1/27, 46, 12, 26, 27, , 
2019/1/28, 37, 28, 22, 34, , 
2019/1/29, 50, 31, 14, 42, , 
2019/1/30, 64, 21, 19, 41, , 
2019/1/31, 54, 25, 13, 41, , 
2019/2/1, 63, 34, 15, 51, , 
2019/2/2, 66, 34, 15, 35, , 
2019/2/3, 73, 35, 15, 33, , 
2019/2/4, 67, 40, 14, 39, , 
2019/2/5, 77, 39, 14, 40, , 
2019/2/6, 69, 36, 14, 35, , 
2019/2/7, 70, 24, 24, 41, , 
2019/2/8, 53, 25, 26, 29, , 
2019/2/9, 41, 31, 28, 27, , 
2019/2/10, 48, 31, 46, 27, , 
2019/2/11, 35, 41, 27, 42, , 
2019/2/12, 54, 54, 14, 55, 1, 
2019/2/13, 95, 53, 9, 40, , 
2019/2/14, 100, 61, 6, 44, , 
2019/2/15, 96, 74, 6, 62, 1, 
2019/2/16, 113, 71, 12, 63, 1, 
2019/2/17, 135, 55, 23, 52, , 
2019/2/18, 114, 70, 23, 50, , 
2019/2/19, 93, 63, 21, 42, , 
2019/2/20, 66, 67, 19, 54, , 
2019/2/21, 112, 75, 5, 61, 1, 
2019/2/22, 133, 78, 12, 63, 1, 
2019/2/23, 143, 46, 20, 38, , 
2019/2/24, 83, 42, 19, 41, , 
2019/2/25, 75, 68, 17, 49, 1, 
2019/2/26, 85, 80, 15, 54, 1, 
2019/2/27, 93, 82, 12, 62, 1, 
2019/2/28, 129, 54, 28, 48, , 
2019/3/1, 89, 33, 30, 38, , 
2019/3/2, 59, 32, 26, 38, , 
2019/3/3, 55, 26, 28, 20, , 
2019/3/4, 42, 25, 35, 26, , 
2019/3/5, 37, 31, 26, 38, , 
2019/3/6, 44, 29, 17, 42, , 
2019/3/7, 54, 19, 30, 34, , 
2019/3/8, 33, 20, 30, 37, , 
2019/3/9, 34, 22, 26, 34, , 
2019/3/10, 44, 26, 36, 23, , 
2019/3/11, 40, 34, 31, 34, , 
2019/3/12, 44, 34, 31, 35, , 
2019/3/13, 51, 33, 30, 30, , 
2019/3/14, 42, 20, 27, 31, , 
2019/3/15, 37, 24, 24, 29, , 
2019/3/16, 40, 25, 34, 27, , 
2019/3/17, 41, 19, 33, 30, , 
2019/3/18, 41, 29, 26, 40, , 
2019/3/19, 49, 46, 29, 51, , 
2019/3/20, 68, 53, 24, 52, , 
2019/3/21, 89, 53, 29, 49, , 
2019/3/22, 90, 58, 20, 48, , 
2019/3/23, 107, 53, 26, 39, , 
2019/3/24, 111, 51, 22, 32, , 
2019/3/25, 105, 41, 31, 37, , 
2019/3/26, 57, 42, 33, 38, , 
2019/3/27, 53, 54, 30, 40, , 
2019/3/28, 78, 53, 27, 39, , 
2019/3/29, 108, 64, 27, 46, , 
2019/3/30, 87, 54, 38, 60, , 
2019/3/31, 88, 71, 40, 58, , 
2019/4/1, 99, 61, 40, 46, , 
2018/10/2, 44, 33, 17, 37, 1, 4
2018/10/3, 50, 28, 16, 33, 1, 4
2018/10/4, 48, 47, 22, 46, 2, 5
2018/10/5, 64, 75, 21, 58, 2, 7
2018/10/6, 81, 64, 32, 54, 2, 5
2018/10/7, 74, 34, 14, 31, 1, 3
2018/10/8, 65, 49, 22, 45, 1, 6
2018/10/9, 66, 61, 23, 52, 2, 5
2018/10/10, 76, 63, 25, 49, 2, 6
2018/10/11, 81, 40, 24, 39, 1, 3
2018/10/12, 48, 35, 21, 38, , 4
2018/10/13, 57, 54, 20, 46, , 3
2018/10/14, 65, 44, 29, 37, , 2
2018/10/15, 60, 51, 30, 48, , 3
2018/10/16, 69, 60, 26, 57, 1, 6
2018/10/17, 80, 49, 15, 45, , 5
2018/10/18, 67, 53, 17, 33, , 3
2018/10/19, 77, 54, 13, 32, , 4
2018/10/20, 92, 72, 17, 36, , 3
2018/10/21, 94, 71, 12, 38, , 3
2018/10/22, 109, 55, 13, 37, , 3
2018/10/23, 77, 46, 15, 41, , 4
2018/10/24, 60, 46, 10, 34, , 4
2018/10/25, 60, 49, 15, 39, , 5
2018/10/26, 72, 42, 19, 40, , 4
2018/10/27, 67, 43, 18, 39, , 3
2018/10/28, 55, 50, 13, 26, , 1
2018/10/29, 67, 39, 11, 28, , 3
2018/10/30, 70, 29, 14, 35, , 3
2018/10/31, 56, 32, 10, 35, , 3
2018/11/1, 70, 21, 14, 34, , 2
2018/11/2, 50, 34, 17, 44, , 4
2018/11/3, 68, 48, 13, 53, 1, 6
2018/11/4, 94, 42, 8, 34, , 4
2018/11/5, 105, 41, 8, 34, , 4
2018/11/6, 79, 29, 19, 37, , 3
2018/11/7, 53, 21, 18, 31, , 2
2018/11/8, 46, 32, 16, 34, , 2
2018/11/9, 54, 35, 15, 38, , 3
2018/11/10, 66, 18, 20, 29, , 2
2018/11/11, 42, 16, 20, 28, , 2
2018/11/12, 43, 23, 11, 45, , 4
2018/11/13, 58, 34, 19, 38, , 4
2018/11/14, 59, 42, 5, 36, , 4
2018/11/15, 73, 33, 3, 27, , 1
2018/11/16, 73, 33, 3, 26, , 
2018/11/17, 69, 42, 10, 27, , 
2018/11/18, 90, 39, 14, 37, , 
2018/11/19, 75, 38, 9, 39, 1, 
2018/11/20, 70, 35, 9, 33, , 
2018/11/21, 84, 52, 6, 39, 1, 
2018/11/22, 117, 47, 6, 31, , 
2018/11/23, 102, 48, , 34, 1, 
2018/11/24, 107, 30, 15, 34, , 
2018/11/25, 72, 25, 6, 36, , 
2018/11/26, 70, 36, , 29, , 
2018/11/27, 89, 43, 6, 34, , 
2018/11/28, 86, 24, 11, 35, , 
2018/11/29, 54, 31, 16, 33, , 
2018/11/30, 53, 40, 18, 42, , 
2018/12/1, 61, 29, 19, 31, , 
2018/12/2, 54, 13, 20, 27, , 
2018/12/3, 33, 18, 24, 34, , 
2018/12/4, 39, 31, 21, 41, , 
2018/12/5, 55, 36, 7, 33, , 
2018/12/6, 65, 29, 16, 42, , 
2018/12/7, 55, 22, 25, 30, , 
2018/12/8, 38, 24, 28, 24, , 
2018/12/9, 44, 22, 31, 26, , 
2018/12/10, 48, 29, 18, 38, , 
2018/12/11, 52, 50, 4, 46, 1, 
2018/12/12, 88, 44, 9, 40, , 
2018/12/13, 83, 40, 7, 33, , 
2018/12/14, 73, 47, 10, 37, 1, 
2018/12/15, 83, 39, 11, 31, , 
2018/12/16, 85, 23, 13, 39, , 
2018/12/17, 63, 34, 19, 40, , 
2018/12/18, 59, 35, 10, 36, , 
2018/12/19, 59, 28, 18, 36, , 
2018/12/20, 50, 34, 22, 37, , 
2018/12/21, 47, 18, 23, 31, , 
2018/12/22, 35, 28, 23, 37, , 
2018/12/23, 48, 21, 18, 31, , 
2018/12/24, 42, 23, 19, 35, , 
2018/12/25, 53, 37, 13, 41, , 
2018/12/26, 83, 48, 1, 33, , 
2018/12/27, 108, 47, , 29, , 
2018/12/28, 110, 47, 1, 36, , 
2018/12/29, 107, 50, 2, 36, , 
2018/12/30, 111, 31, 13, 36, , 
2018/12/31, 81, , , , , 
2018/7/2, 68, 51, 56, 60, 1, 3
2018/7/3, 60, 55, 44, 51, 1, 3
2018/7/4, 56, 47, 41, 55, , 4
2018/7/5, 54, 50, 44, 48, 1, 4
2018/7/6, 60, 58, 50, 59, 1, 4
2018/7/7, 64, 68, 67, 60, 1, 3
2018/7/8, 71, 59, 65, 59, 1, 3
2018/7/9, 73, 67, 33, 41, 1, 3
2018/7/10, 52, 53, 29, 32, 2, 3
2018/7/11, 41, 57, 31, 38, 1, 3
2018/7/12, 50, 56, 37, 43, 1, 4
2018/7/13, 62, 64, 46, 46, 1, 4
2018/7/14, 65, 122, 61, 52, 1, 3
2018/7/15, 78, 80, 63, 58, 1, 4
2018/7/16, 75, 84, 54, 52, 1, 4
2018/7/17, 63, 63, 33, 35, 1, 2
2018/7/18, 47, 68, 41, 47, 1, 4
2018/7/19, 51, 72, 54, 56, , 3
2018/7/20, 58, 43, 39, 48, , 3
2018/7/21, 56, 44, 38, 33, 1, 2
2018/7/22, 61, 58, 58, 49, 1, 3
2018/7/23, 73, 65, 75, 63, 1, 3
2018/7/24, 67, 71, 45, 61, 1, 3
2018/7/25, 67, 71, 69, 58, 1, 3
2018/7/26, 67, 80, 81, 84, 1, 5
2018/7/27, 84, 73, 67, 79, 1, 4
2018/7/28, 93, 36, 28, 30, , 2
2018/7/29, 46, 46, 24, 25, , 1
2018/7/30, 40, 35, 20, 25, , 2
2018/7/31, 41, 32, 28, 30, , 2
2018/8/1, 39, 51, 39, 47, , 3
2018/8/2, 52, 65, 54, 52, 1, 3
2018/8/3, 57, 64, 85, 69, 1, 3
2018/8/4, 69, 52, 55, 50, 1, 2
2018/8/5, 54, 51, 41, 35, , 2
2018/8/6, 51, 57, 62, 59, 1, 4
2018/8/7, 56, 61, 64, 62, 1, 3
2018/8/8, 67, 36, 31, 27, , 2
2018/8/9, 47, 33, 23, 32, , 2
2018/8/10, 45, 36, 27, 28, , 2
2018/8/11, 41, 32, 33, 31, , 1
2018/8/12, 36, 30, 36, 38, , 2
2018/8/13, 42, 29, 21, 24, 3, 4
2018/8/14, 34, 26, 28, 27, , 2
2018/8/15, 29, 29, 31, 28, , 2
2018/8/16, 34, 41, 41, 44, 1, 3
2018/8/17, 57, 32, 28, 23, , 2
2018/8/18, 40, 36, 31, 28, , 2
2018/8/19, 53, 35, 29, 30, , 2
2018/8/20, 58, 34, 18, 26, 1, 2
2018/8/21, 46, 46, 22, 32, , 3
2018/8/22, 50, 50, 34, 36, , 3
2018/8/23, 59, 37, 26, 27, , 2
2018/8/24, 53, 34, 23, 26, , 2
2018/8/25, 45, 25, 26, 25, , 1
2018/8/26, 33, 36, 30, 33, , 2
2018/8/27, 48, 34, 27, 26, 1, 2
2018/8/28, 43, 59, 42, 50, 1, 4
2018/8/29, 70, 36, 25, 42, 1, 4
2018/8/30, 69, 44, 20, 41, 1, 5
2018/8/31, 59, 40, 32, 42, , 3
2018/9/1, 61, 34, 39, 39, , 3
2018/9/2, 59, 34, 42, 21, 1, 2
2018/9/3, 65, 44, 40, 25, 1, 2
2018/9/4, 64, 36, 29, 19, , 3
2018/9/5, 64, 43, 40, 18, , 3
2018/9/6, 80, 32, 31, 14, , 2
2018/9/7, 59, 31, 28, 23, , 3
2018/9/8, 49, 43, 32, 47, 1, 3
2018/9/9, 60, 65, 37, 56, 1, 5
2018/9/10, 84, 43, 27, 41, 1, 4
2018/9/11, 53, 51, 37, 57, 1, 6
2018/9/12, 64, 53, 33, 45, 1, 5
2018/9/13, 64, 41, 13, 26, , 3
2018/9/14, 68, 31, 32, 40, 1, 3
2018/9/15, 52, 48, 32, 45, 1, 3
2018/9/16, 55, 77, 35, 56, 1, 5
2018/9/17, 65, 66, 35, 68, 1, 7
2018/9/18, 77, 43, 19, 44, 1, 4
2018/9/19, 62, 43, 27, 38, 1, 4
2018/9/20, 59, 42, 25, 39, , 3
2018/9/21, 58, 31, 24, 30, , 2
2018/9/22, 43, 28, 24, 32, , 1
2018/9/23, 42, 14, 21, 16, , 1
2018/9/24, 37, 28, 24, 37, 1, 3
2018/9/25, 47, 35, 25, 36, 1, 2
2018/9/26, 55, 44, 17, 52, 2, 5
2018/9/27, 61, 63, 16, 71, 2, 9
2018/9/28, 85, 56, 19, 49, 2, 6
2018/9/29, 80, 50, 24, 37, 1, 2
2018/9/30, 55, 46, 29, 37, 1, 2
2018/10/1, 56, 39, 23, 32, 1, 2
2018/4/2, 55, 28, 25, 37, , 3
2018/4/3, 57, 31, 23, 45, , 5
2018/4/4, 53, 27, 32, 41, , 4
2018/4/5, 44, 31, 29, 44, , 4
2018/4/6, 49, 37, 30, 42, 1, 5
2018/4/7, 58, 37, 31, 46, , 4
2018/4/8, 59, 44, 38, 41, , 3
2018/4/9, 65, 43, 22, 51, , 5
2018/4/10, 75, 30, 38, 41, , 4
2018/4/11, 58, 36, 39, 53, , 5
2018/4/12, 53, 49, 19, 49, , 5
2018/4/13, 88, 36, 36, 46, , 5
2018/4/14, 68, 40, 26, 47, , 4
2018/4/15, 66, 30, 34, 40, , 3
2018/4/16, 57, 43, 35, 47, , 4
2018/4/17, 57, 50, 38, 51, , 5
2018/4/18, 68, 61, 46, 56, 1, 5
2018/4/19, 76, 67, 44, 65, 1, 5
2018/4/20, 103, 68, 48, 67, 1, 6
2018/4/21, 88, 69, 51, 62, , 3
2018/4/22, 76, 57, 42, 46, , 3
2018/4/23, 74, 49, 32, 40, , 3
2018/4/24, 60, 52, 39, 45, , 3
2018/4/25, 55, 41, 31, 35, , 3
2018/4/26, 48, 40, 34, 39, , 3
2018/4/27, 42, 66, 36, 44, , 3
2018/4/28, 55, 39, 35, 33, , 2
2018/4/29, 42, 29, 23, 38, , 2
2018/4/30, 58, 18, 25, 30, , 2
2018/5/1, 38, 28, 32, 32, , 3
2018/5/2, 48, 42, 35, 44, , 4
2018/5/3, 60, 49, 38, 42, , 4
2018/5/4, 54, 49, 41, 46, 1, 4
2018/5/5, 63, 60, 46, 48, 1, 3
2018/5/6, 92, 58, 48, 54, , 4
2018/5/7, 79, 65, 47, 60, 1, 4
2018/5/8, 73, 57, 60, 51, , 4
2018/5/9, 67, 43, 37, 31, , 3
2018/5/10, 59, 43, 37, 28, , 2
2018/5/11, 44, 54, 41, 43, , 3
2018/5/12, 56, 38, 27, 40, , 3
2018/5/13, 59, 26, 28, 27, , 2
2018/5/14, 43, 42, 34, 36, , 4
2018/5/15, 57, 50, 38, 41, , 5
2018/5/16, 88, 58, 39, 41, , 4
2018/5/17, 89, 53, 37, 33, , 3
2018/5/18, 64, 59, 30, 37, , 3
2018/5/19, 67, 64, 38, 37, , 2
2018/5/20, 71, 62, 45, 37, , 2
2018/5/21, 88, 49, 43, 45, , 3
2018/5/22, 64, 71, 39, 59, , 6
2018/5/23, 79, 61, 35, 41, , 4
2018/5/24, 105, 60, 45, 47, , 5
2018/5/25, 88, 56, 41, 52, , 4
2018/5/26, 74, 38, 40, 42, , 2
2018/5/27, 69, 49, 49, 48, , 6
2018/5/28, 61, 48, 37, 48, , 4
2018/5/29, 61, 40, 29, 40, , 4
2018/5/30, 64, 43, 35, 45, , 5
2018/5/31, 64, 45, 34, 42, , 4
2018/6/1, 56, 29, 24, 38, , 5
2018/6/2, 48, 34, 34, 36, , 3
2018/6/3, 57, 31, 38, 40, , 3
2018/6/4, 55, 44, 42, 44, , 4
2018/6/5, 66, 50, 30, 35, , 4
2018/6/6, 107, 46, 17, 38, , 5
2018/6/7, 94, 36, 35, 40, , 4
2018/6/8, 50, 48, 38, 48, 1, 5
2018/6/9, 66, 52, 36, 42, , 4
2018/6/10, 105, 54, 33, 40, , 3
2018/6/11, 119, 50, 19, 40, , 5
2018/6/12, 97, 34, 27, 39, , 3
2018/6/13, 64, 29, 24, 34, , 3
2018/6/14, 43, 38, 28, 41, 1, 5
2018/6/15, 59, 39, 34, 37, 1, 5
2018/6/16, 54, 31, 33, 34, , 3
2018/6/17, 50, 26, 28, 34, , 3
2018/6/18, 42, 26, 24, 31, , 4
2018/6/19, 42, 37, 19, 31, , 4
2018/6/20, 48, 40, 31, 41, 1, 4
2018/6/21, 55, 45, 29, 32, , 3
2018/6/22, 48, 41, 31, 37, 1, 3
2018/6/23, 45, 48, 34, 40, , 2
2018/6/24, 55, 47, 39, 45, 1, 2
2018/6/25, 57, 45, 31, 40, 1, 3
2018/6/26, 51, 52, 42, 52, 1, 3
2018/6/27, 60, 60, 44, 60, 1, 4
2018/6/28, 66, 61, 43, 54, 1, 3
2018/6/29, 62, 63, 50, 63, 1, 4
2018/6/30, 67, 65, 55, 57, 1, 3
2018/7/1, 68, 72, 57, 58, 1, 3
2018/1/2, 30, 25, 24, 27, , 3
2018/1/3, 47, 25, 28, 20, , 1
2018/1/4, 38, 20, 22, 31, , 2
2018/1/5, 37, 26, 25, 38, , 7
2018/1/6, 46, 34, 18, 41, , 4
2018/1/7, 77, 31, 8, 23, , 3
2018/1/8, 78, 36, 6, 28, 1, 4
2018/1/9, 73, 40, 9, 31, , 6
2018/1/10, 83, 34, 12, 39, , 5
2018/1/11, 60, 40, 15, 39, , 6
2018/1/12, 75, 48, 7, 38, 1, 6
2018/1/13, 96, 43, 9, 32, , 4
2018/1/14, 100, 50, 7, 40, , 5
2018/1/15, 105, 23, 21, 30, , 3
2018/1/16, 49, 21, 28, 37, , 2
2018/1/17, 40, 24, 29, 35, , 2
2018/1/18, 40, 21, 25, 36, , 3
2018/1/19, 44, 22, 23, 49, , 4
2018/1/20, 45, 17, 22, 38, , 2
2018/1/21, 46, 20, 20, 37, , 3
2018/1/22, 56, 23, 24, 37, , 4
2018/1/23, 43, 28, 23, 39, , 4
2018/1/24, 50, 20, 17, 26, , 2
2018/1/25, 31, 22, 23, 44, , 4
2018/1/26, 46, 37, 17, 46, 1, 6
2018/1/27, 60, 38, 13, 37, , 4
2018/1/28, 78, 21, 15, 25, , 3
2018/1/29, 51, 19, 20, 27, , 3
2018/1/30, 28, 29, 19, 32, , 4
2018/1/31, 41, 17, 28, 34, , 2
2018/2/1, 37, 26, 24, 44, , 4
2018/2/2, 47, 37, 14, 42, 1, 5
2018/2/3, 55, 31, 10, 45, , 4
2018/2/4, 68, 25, 15, 34, , 3
2018/2/5, 58, 35, 9, 36, 1, 4
2018/2/6, 77, 36, 6, 37, , 4
2018/2/7, 87, 44, 11, 36, 1, 3
2018/2/8, 104, 53, 5, 58, 1, 6
2018/2/9, 130, 52, 19, 45, 1, 6
2018/2/10, 116, 32, 21, 49, , 3
2018/2/11, 65, 23, 25, 40, , 3
2018/2/12, 47, 35, 22, 54, 1, 4
2018/2/13, 52, 36, 17, 43, , 4
2018/2/14, 53, 30, 18, 38, , 5
2018/2/15, 57, 30, 15, 48, , 7
2018/2/16, 56, 49, 18, 61, 1, 6
2018/2/17, 73, 49, 16, 51, 1, 5
2018/2/18, 76, 50, 16, 40, , 5
2018/2/19, 100, 38, 7, 35, , 5
2018/2/20, 81, 38, 17, 44, , 4
2018/2/21, 72, 70, 13, 43, 1, 5
2018/2/22, 144, 65, 19, 44, 1, 4
2018/2/23, 126, 54, 24, 48, 1, 3
2018/2/24, 83, 48, 24, 47, 1, 4
2018/2/25, 90, 35, 25, 42, 1, 2
2018/2/26, 67, 46, 24, 43, 2, 3
2018/2/27, 66, 48, 18, 48, 1, 3
2018/2/28, 84, 82, 23, 48, 1, 3
2018/3/1, 99, 60, 19, 43, 1, 3
2018/3/2, 107, 51, 15, 54, 1, 6
2018/3/3, 94, 44, 21, 65, , 5
2018/3/4, 71, 26, 19, 57, , 5
2018/3/5, 62, 40, 17, 63, , 7
2018/3/6, 61, 37, 25, 55, , 5
2018/3/7, 55, 25, 25, 55, , 5
2018/3/8, 50, 30, 22, 50, , 4
2018/3/9, 51, 39, 9, 66, , 7
2018/3/10, 79, 35, 18, 55, , 5
2018/3/11, 67, 23, 30, 43, , 3
2018/3/12, 45, 26, 27, 41, , 3
2018/3/13, 38, 38, 26, 42, , 4
