"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Total men and women";"30 to 39 years";"1977";"     191";"      65";"      98";"       2";"      26";"      59";"      53";"";"      24";"      16";"      39";"       0";"     103";"      11";"       5";"       3";"      69";"    10.0";"    34.5";"     5.9";"    22.7";"    40.4"
"Total men and women";"30 to 39 years";"1978";"     216";"      71";"     108";"       2";"      35";"      65";"      47";"";"      17";"      25";"      62";"       0";"     117";"       7";"      10";"      10";"      72";"    10.8";"    34.8";"     6.3";"    21.8";"    47.1"
"Total men and women";"30 to 39 years";"1979";"     210";"      58";"     107";"       4";"      41";"      69";"      37";"      26";"      19";"      22";"      37";"       0";"     100";"       6";"      11";"      13";"      80";"    10.1";"    26.4";"     6.1";"    42.3";"    48.5"
"Total men and women";"30 to 39 years";"1980";"     244";"      90";"     111";"       2";"      41";"      77";"      47";"      39";"      24";"      21";"      36";"       0";"     133";"       9";"       9";"      10";"      83";"    11.5";"    38.0";"     6.2";"    20.7";"    42.9"
"Total men and women";"30 to 39 years";"1981";"     251";"      94";"     121";"       2";"      34";"      69";"      55";"      39";"      19";"      31";"      38";"       0";"     123";"      10";"      14";"      14";"      90";"    11.5";"    36.8";"     6.7";"    20.3";"    31.3"
"Total men and women";"30 to 39 years";"1982";"     247";"      83";"     111";"       5";"      48";"      81";"      41";"      35";"      25";"      30";"      35";"       0";"     131";"      10";"      16";"       8";"      82";"    11.0";"    30.9";"     6.0";"    50.7";"    39.8"
"Total men and women";"30 to 39 years";"1983";"     297";"     110";"     136";"       0";"      51";"     100";"      45";"      52";"      25";"      36";"      39";"       0";"     157";"       5";"      39";"      29";"      67";"    13.0";"    38.8";"     7.3";"     0.0";"    38.2"
"Total men and women";"30 to 39 years";"1984";"     332";"     134";"     128";"       5";"      65";"     102";"      57";"      54";"      22";"      40";"      57";"       0";"     159";"       4";"      46";"      18";"     105";"    14.4";"    43.4";"     6.9";"    50.7";"    44.0"
"Total men and women";"30 to 39 years";"1985";"     319";"     119";"     124";"       3";"      73";"     124";"      49";"      45";"      16";"      31";"      54";"       0";"     105";"       5";"      41";"      26";"     142";"    13.6";"    35.3";"     6.7";"    29.9";"    45.3"
"Total men and women";"30 to 39 years";"1986";"     312";"     123";"     116";"       2";"      71";"     114";"      52";"      48";"      21";"      34";"      43";"       0";"     111";"       3";"      48";"      13";"     137";"    13.2";"    33.8";"     6.4";"    20.3";"    42.4"
"Total men and women";"30 to 39 years";"1987";"     298";"     134";"     104";"       1";"      59";"     115";"      50";"      47";"      14";"      20";"      52";"       0";"     109";"       9";"      32";"      10";"     138";"    12.7";"    34.2";"     5.9";"    10.8";"    35.4"
"Total men and women";"30 to 39 years";"1988";"     297";"     123";"     112";"       6";"      56";"      99";"      45";"      38";"      17";"      41";"      57";"       0";"     110";"       6";"      43";"      12";"     126";"    12.7";"    29.1";"     6.4";"    67.7";"    33.9"
"Total men and women";"30 to 39 years";"1989";"     268";"     127";"      94";"       3";"      44";"     101";"      43";"      33";"      20";"      37";"      34";"       0";"     135";"       1";"      36";"      19";"      77";"    11.4";"    28.0";"     5.5";"    35.4";"    27.0"
"Total men and women";"30 to 39 years";"1990";"     299";"     157";"      92";"       2";"      48";"     124";"      30";"      40";"      18";"      40";"      47";"       0";"     137";"      11";"      50";"      23";"      78";"    12.6";"    32.3";"     5.4";"    24.4";"    30.1"
"Total men and women";"30 to 39 years";"1991";"     349";"     180";"     108";"       2";"      59";"     119";"      46";"      50";"      15";"      40";"      78";"       1";"     178";"       8";"      60";"      23";"      80";"    14.5";"    34.5";"     6.3";"    24.7";"    37.6"
"Total men and women";"30 to 39 years";"1992";"     333";"     171";"     116";"       4";"      42";"     121";"      51";"      58";"      12";"      36";"      55";"       0";"     174";"       3";"      39";"      24";"      93";"    13.6";"    30.7";"     6.7";"    50.0";"    27.0"
"Total men and women";"30 to 39 years";"1993";"     310";"     155";"     104";"       3";"      48";"     116";"      39";"      57";"      12";"      36";"      50";"       0";"     167";"       1";"      45";"      23";"      74";"    12.5";"    26.1";"     6.0";"    37.5";"    30.9"
"Total men and women";"30 to 39 years";"1994";"     344";"     203";"     100";"       0";"      41";"     138";"      59";"      51";"      17";"      29";"      50";"       0";"     157";"       7";"      59";"      29";"      92";"    13.7";"    32.1";"     5.8";"     0.0";"    26.1"
"Total men and women";"30 to 39 years";"1995";"     322";"     175";"      97";"       2";"      48";"     142";"      49";"      41";"      13";"      33";"      43";"       1";"     130";"      10";"      51";"      52";"      79";"    12.6";"    26.0";"     5.7";"    26.4";"    29.8"
"Total men and women";"30 to 39 years";"1996";"     324";"     183";"      87";"       2";"      52";"     139";"      63";"      34";"       8";"      41";"      37";"       2";"     137";"      14";"      47";"      38";"      88";"    12.6";"    25.7";"     5.2";"    26.7";"    31.6"
"Total men and women";"30 to 39 years";"1997";"     330";"     182";"      95";"       2";"      51";"     150";"      63";"      24";"      14";"      30";"      48";"       1";"     152";"       9";"      41";"      33";"      95";"    12.8";"    24.4";"     5.7";"    27.0";"    30.6"
"Total men and women";"30 to 39 years";"1998";"     324";"     193";"      76";"       0";"      55";"     163";"      41";"      45";"       8";"      15";"      49";"       3";"     139";"       9";"      49";"      30";"      97";"    12.5";"    24.6";"     4.6";"     0.0";"    32.7"
"Total men and women";"30 to 39 years";"1999";"     302";"     182";"      77";"       2";"      41";"     132";"      62";"      29";"       6";"      30";"      42";"       1";"     146";"      18";"      45";"      34";"      59";"    11.5";"    22.2";"     4.7";"    29.5";"    24.3"
"Total men and women";"30 to 39 years";"2000";"     282";"     180";"      71";"       1";"      30";"     123";"      36";"      43";"      14";"      25";"      37";"       4";"     128";"       3";"      43";"      27";"      81";"    10.7";"    20.9";"     4.4";"    15.2";"    17.7"
"Total men and women";"30 to 39 years";"2001";"     322";"     201";"      86";"       1";"      34";"     137";"      50";"      42";"      12";"      33";"      47";"       1";"     154";"       5";"      39";"      30";"      94";"    12.2";"    22.3";"     5.5";"    15.6";"    19.9"
"Total men and women";"30 to 39 years";"2002";"     323";"     204";"      75";"       1";"      43";"     151";"      42";"      33";"      13";"      41";"      43";"       0";"     162";"      12";"      41";"      37";"      71";"    12.3";"    21.8";"     4.9";"    16.1";"    25.2"
"Total men and women";"30 to 39 years";"2003";"     263";"     153";"      67";"       0";"      43";"     136";"      34";"      31";"       7";"      24";"      29";"       2";"     126";"       5";"      31";"      24";"      77";"    10.1";"    16.0";"     4.6";"     0.0";"    26.1"
"Total men and women";"30 to 39 years";"2004";"     269";"     175";"      55";"       3";"      36";"     117";"      42";"      32";"      14";"      24";"      38";"       2";"     131";"       7";"      35";"      21";"      75";"    10.6";"    18.0";"     3.9";"    54.2";"    22.9"
"Total men and women";"30 to 39 years";"2005";"     279";"     174";"      60";"       2";"      43";"     124";"      51";"      39";"      15";"      22";"      28";"       0";"     130";"       7";"      45";"      25";"      72";"    11.3";"    17.8";"     4.5";"    39.0";"    28.7"
"Total men and women";"30 to 39 years";"2006";"     240";"     163";"      52";"       3";"      22";"     120";"      29";"      35";"      11";"      21";"      23";"       1";"     108";"       4";"      50";"      19";"      59";"    10.0";"    16.6";"     4.1";"    62.8";"    15.5"
"Total men and women";"30 to 39 years";"2007";"     221";"     149";"      45";"       0";"      27";"      87";"      46";"      34";"       5";"      21";"      27";"       1";"     103";"       4";"      39";"      22";"      53";"     9.5";"    15.1";"     3.7";"     0.0";"    20.0"
"Total men and women";"30 to 39 years";"2008";"     222";"     162";"      38";"       0";"      22";"      97";"      38";"      37";"      10";"      17";"      23";"       0";"     117";"       4";"      41";"      23";"      37";"     9.8";"    16.3";"     3.3";"     0.0";"    17.2"
"Total men and women";"30 to 39 years";"2009";"     204";"     140";"      43";"       1";"      20";"      89";"      34";"      30";"       6";"      20";"      24";"       1";"     107";"       4";"      24";"      20";"      49";"     9.2";"    14.1";"     3.9";"    25.7";"    15.7"
"Total men and women";"30 to 39 years";"2010";"     198";"     132";"      46";"       0";"      20";"      88";"      34";"      24";"       5";"      17";"      27";"       3";"      86";"       5";"      28";"      13";"      66";"     9.2";"    13.4";"     4.4";"     0.0";"    15.9"
"Total men and women";"30 to 39 years";"2011";"     218";"     164";"      31";"       0";"      23";"      96";"      38";"      32";"       9";"      25";"      18";"       0";"     110";"       3";"      22";"      19";"      64";"    10.4";"    16.7";"     3.1";"     0.0";"    19.6"
"Total men and women";"30 to 39 years";"2012";"     228";"     167";"      41";"       0";"      20";"     112";"      31";"      26";"       9";"      25";"      21";"       4";"     117";"       2";"      18";"      12";"      79";"    11.1";"    16.9";"     4.3";"     0.0";"    18.1"
"Total men and women";"30 to 39 years";"2013";"     213";"     151";"      44";"       0";"      18";"     110";"      38";"      22";"       6";"      18";"      16";"       3";"     112";"       2";"      19";"      16";"      64";"    10.5";"    15.2";"     4.7";"     0.0";"    16.9"
"Total men and women";"30 to 39 years";"2014";"     225";"     165";"      34";"       0";"      26";"     116";"      26";"      34";"      11";"      15";"      22";"       1";"     112";"       5";"      22";"      17";"      69";"    11.2";"    16.4";"     3.8";"     0.0";"    24.9"
"Total men and women";"30 to 39 years";"2015";"     223";"     165";"      38";"       0";"      20";"      99";"      43";"      27";"      10";"      18";"      26";"       0";"     115";"       6";"      25";"      24";"      53";"    11.0";"    16.1";"     4.3";"     0.0";"    19.3"
"Total men and women";"30 to 39 years";"2016";"     240";"     181";"      40";"       0";"      19";"     113";"      42";"      32";"       9";"      18";"      26";"       0";"     140";"       8";"      22";"      16";"      54";"    11.8";"    17.3";"     4.5";"     0.0";"    18.4"
"Total men and women";"30 to 39 years";"2017";"     205";"     147";"      39";"       1";"      18";"     102";"      25";"      29";"       8";"      13";"      27";"       1";"     132";"       8";"      25";"       7";"      33";"     9.9";"    13.7";"     4.4";"    38.5";"    17.4"
"Total men and women";"30 to 39 years";"2018";"     242";"     188";"      38";"       0";"      16";"     124";"      31";"      25";"       6";"      27";"      28";"       1";"     157";"       7";"      21";"      12";"      45";"    11.6";"    17.2";"     4.3";"     0.0";"    15.6"
"Total men and women";"30 to 39 years";"2019*";"     226";"     165";"      36";"       0";"      25";"     124";"      31";"      24";"       7";"      17";"      22";"       1";"     126";"       5";"      34";"      21";"      40";"    10.6";"    14.7";"     4.0";"     0.0";"    24.4"
"Total men and women";"40 to 49 years";"1950";"      91";"      19";"      58";"       6";"       8";"      32";"       5";"";"      15";"       2";"      35";"       2";"      34";"       5";"       4";"      13";"      35";"     7.3";"    13.1";"     5.5";"    19.2";"    39.5"
"Total men and women";"40 to 49 years";"1951";"     123";"      26";"      84";"      10";"       3";"      45";"       4";"";"      23";"       2";"      46";"       3";"       0";"       0";"       0";"       0";"     123";"     9.8";"    18.0";"     7.9";"    32.8";"    14.3"
"Total men and women";"40 to 49 years";"1952";"     111";"      25";"      72";"       7";"       7";"      42";"       7";"";"      11";"       6";"      40";"       5";"       0";"       0";"       0";"       0";"     111";"     8.7";"    17.5";"     6.7";"    23.6";"    32.1"
"Total men and women";"40 to 49 years";"1953";"      85";"      18";"      57";"       5";"       5";"      30";"       5";"";"      20";"       0";"      23";"       7";"       0";"       0";"       0";"       0";"      85";"     6.6";"    12.7";"     5.2";"    17.3";"    22.3"
"Total men and women";"40 to 49 years";"1954";"     107";"      17";"      78";"       6";"       6";"      42";"       9";"";"      15";"       0";"      35";"       6";"       0";"       0";"       0";"       0";"     107";"     8.2";"    12.2";"     7.1";"    21.3";"    26.1"
"Total men and women";"40 to 49 years";"1955";"     110";"      27";"      76";"       3";"       4";"      36";"       4";"";"      18";"       3";"      44";"       5";"      47";"      12";"       2";"      10";"      39";"     8.4";"    19.7";"     6.8";"    10.9";"    17.1"
"Total men and women";"40 to 49 years";"1956";"      97";"      22";"      60";"       6";"       9";"      41";"       4";"";"      12";"       3";"      34";"       3";"       0";"       0";"       0";"       0";"      97";"     7.4";"    16.4";"     5.3";"    22.4";"    38.0"
"Total men and women";"40 to 49 years";"1957";"     110";"      20";"      76";"       5";"       9";"      46";"       2";"";"      24";"       3";"      29";"       6";"      57";"       8";"       5";"       9";"      31";"     8.3";"    15.2";"     6.7";"    19.1";"    37.8"
"Total men and women";"40 to 49 years";"1958";"     123";"      22";"      83";"      10";"       8";"      36";"       5";"";"      26";"       2";"      48";"       6";"       0";"       0";"       0";"       0";"     123";"     9.3";"    17.1";"     7.3";"    39.2";"    33.6"
"Total men and women";"40 to 49 years";"1959";"     112";"      21";"      79";"       5";"       7";"      41";"       4";"";"      22";"       1";"      35";"       9";"       0";"       0";"       0";"       0";"     112";"     8.5";"    16.8";"     6.9";"    20.1";"    29.6"
"Total men and women";"40 to 49 years";"1960";"     119";"      25";"      85";"       6";"       3";"      41";"       6";"";"      28";"       4";"      35";"       5";"       0";"       0";"       0";"       0";"     119";"     8.9";"    20.5";"     7.3";"    24.0";"    13.6"
"Total men and women";"40 to 49 years";"1961";"     105";"      15";"      81";"       5";"       4";"      45";"      15";"";"      14";"       2";"      29";"       0";"       0";"       0";"       0";"       0";"     105";"     7.7";"    12.4";"     6.8";"    19.7";"    19.4"
"Total men and women";"40 to 49 years";"1962";"     110";"      22";"      76";"       4";"       8";"      35";"      20";"";"      19";"       1";"      29";"       6";"      47";"       7";"       7";"      12";"      37";"     8.0";"    18.2";"     6.3";"    15.8";"    38.4"
"Total men and women";"40 to 49 years";"1963";"      91";"      17";"      63";"       5";"       6";"      37";"      12";"";"      13";"       2";"      20";"       7";"       0";"       0";"       0";"       0";"      91";"     6.5";"    14.2";"     5.1";"    19.8";"    28.7"
"Total men and women";"40 to 49 years";"1964";"     120";"      24";"      88";"       3";"       5";"      37";"      15";"";"      18";"       3";"      36";"      11";"       0";"       0";"       0";"       0";"     120";"     8.5";"    20.1";"     7.1";"    11.9";"    23.8"
"Total men and women";"40 to 49 years";"1965";"     118";"      32";"      75";"       5";"       6";"      38";"      22";"";"      17";"       7";"      30";"       4";"      68";"       7";"       3";"      11";"      29";"     8.3";"    26.9";"     6.0";"    19.7";"    28.3"
"Total men and women";"40 to 49 years";"1966";"     123";"      29";"      84";"       3";"       7";"      36";"      22";"";"      22";"       2";"      29";"      12";"       0";"       0";"       0";"       0";"     123";"     8.5";"    24.5";"     6.6";"    11.7";"    32.4"
"Total men and women";"40 to 49 years";"1967";"     116";"      26";"      73";"       5";"      12";"      49";"      27";"";"      15";"       3";"      15";"       7";"      51";"       9";"       4";"       6";"      46";"     8.0";"    22.0";"     5.7";"    19.2";"    53.6"
"Total men and women";"40 to 49 years";"1968";"     137";"      29";"      91";"       4";"      13";"      40";"      39";"";"      21";"       5";"      20";"      12";"       0";"       0";"       0";"       0";"     137";"     9.3";"    24.6";"     7.0";"    15.0";"    55.1"
"Total men and women";"40 to 49 years";"1969";"     180";"      37";"     126";"       7";"      10";"      60";"      57";"";"      35";"       6";"      22";"       0";"      94";"      10";"       3";"      15";"      58";"    12.0";"    31.2";"     9.5";"    25.7";"    39.9"
"Total men and women";"40 to 49 years";"1970";"     173";"      36";"     124";"       6";"       7";"      60";"      55";"";"      28";"       8";"      22";"       0";"      94";"       7";"       3";"      17";"      52";"    11.5";"    30.3";"     9.3";"    21.7";"    26.6"
"Total men and women";"40 to 49 years";"1971";"     169";"      36";"     120";"       5";"       8";"      42";"      52";"";"      36";"       5";"      34";"       0";"      86";"      12";"       4";"      11";"      56";"    11.2";"    30.4";"     9.0";"    18.1";"    28.9"
"Total men and women";"40 to 49 years";"1972";"     175";"      36";"     118";"       5";"      16";"      57";"      69";"";"      20";"       6";"      23";"       0";"     106";"       7";"       6";"       8";"      48";"    11.6";"    30.5";"     8.8";"    18.0";"    53.2"
"Total men and women";"40 to 49 years";"1973";"     186";"      41";"     124";"       7";"      14";"      64";"      59";"";"      22";"       7";"      34";"       0";"     116";"       4";"       8";"       7";"      51";"    12.3";"    34.9";"     9.3";"    25.2";"    42.0"
"Total men and women";"40 to 49 years";"1974";"     212";"      30";"     149";"      10";"      23";"      67";"      73";"";"      28";"      13";"      31";"       0";"     100";"       9";"       8";"      12";"      83";"    14.0";"    25.7";"    11.2";"    36.2";"    61.5"
"Total men and women";"40 to 49 years";"1975";"     200";"      37";"     132";"       7";"      24";"      58";"      63";"";"      31";"      14";"      34";"       0";"      98";"      11";"      17";"      10";"      64";"    13.1";"    31.8";"     9.9";"    25.4";"    57.3"
"Total men and women";"40 to 49 years";"1976";"     192";"      36";"     117";"       4";"      35";"      64";"      60";"";"      30";"      11";"      27";"       0";"      93";"      11";"       6";"      11";"      71";"    12.6";"    31.1";"     8.7";"    14.6";"    74.4"
"Total men and women";"40 to 49 years";"1977";"     213";"      45";"     129";"       4";"      35";"      73";"      53";"";"      38";"       8";"      41";"       0";"     107";"       7";"       8";"      11";"      80";"    13.9";"    39.1";"     9.6";"    14.6";"    66.3"
"Total men and women";"40 to 49 years";"1978";"     219";"      40";"     129";"      10";"      40";"      68";"      60";"";"      26";"      14";"      51";"       0";"     104";"      11";"       8";"      11";"      85";"    14.1";"    34.8";"     9.6";"    36.6";"    68.0"
"Total men and women";"40 to 49 years";"1979";"     264";"      56";"     150";"      10";"      48";"     107";"      51";"      25";"      28";"      23";"      30";"       0";"     125";"      16";"      16";"      14";"      93";"    16.9";"    48.6";"    11.1";"    36.7";"    73.3"
"Total men and women";"40 to 49 years";"1980";"     209";"      41";"     127";"      16";"      25";"      87";"      24";"      31";"      28";"       6";"      33";"       0";"     105";"      14";"       9";"      15";"      66";"    13.2";"    35.5";"     9.3";"    59.1";"    34.2"
"Total men and women";"40 to 49 years";"1981";"     223";"      53";"     122";"      10";"      38";"      83";"      40";"      27";"      34";"       9";"      30";"       0";"     106";"      21";"      11";"      16";"      69";"    14.0";"    45.7";"     8.9";"    37.2";"    46.4"
"Total men and women";"40 to 49 years";"1982";"     251";"      52";"     147";"       9";"      43";"     100";"      42";"      32";"      25";"      14";"      38";"       0";"     132";"      10";"      16";"      15";"      78";"    15.6";"    45.6";"    10.6";"    33.9";"    47.1"
"Total men and women";"40 to 49 years";"1983";"     260";"      42";"     147";"       4";"      67";"      86";"      48";"      39";"      28";"      15";"      44";"       0";"     122";"       1";"      36";"      29";"      72";"    15.8";"    37.1";"    10.5";"    15.3";"    65.2"
"Total men and women";"40 to 49 years";"1984";"     284";"      53";"     168";"       8";"      55";"     100";"      56";"      36";"      36";"      16";"      40";"       0";"     128";"       9";"      46";"      26";"      75";"    16.9";"    45.7";"    11.8";"    30.5";"    47.3"
"Total men and women";"40 to 49 years";"1985";"     241";"      47";"     122";"       6";"      66";"     107";"      32";"      33";"      21";"      12";"      36";"       0";"      77";"       6";"      37";"      22";"      99";"    14.0";"    39.5";"     8.4";"    22.7";"    50.9"
"Total men and women";"40 to 49 years";"1986";"     264";"      43";"     151";"       8";"      62";"      96";"      41";"      29";"      29";"      21";"      48";"       0";"      90";"       4";"      34";"      13";"     123";"    14.7";"    34.3";"    10.1";"    30.0";"    42.9"
"Total men and women";"40 to 49 years";"1987";"     270";"      55";"     146";"       8";"      61";"     109";"      37";"      34";"      21";"      25";"      44";"       0";"      96";"       5";"      24";"      11";"     134";"    14.3";"    40.7";"     9.3";"    29.6";"    37.9"
"Total men and women";"40 to 49 years";"1988";"     248";"      48";"     137";"       8";"      55";"      99";"      28";"      34";"      25";"      24";"      37";"       1";"      90";"       3";"      30";"      14";"     111";"    12.5";"    33.0";"     8.4";"    29.0";"    31.3"
"Total men and women";"40 to 49 years";"1989";"     271";"      65";"     122";"       9";"      75";"     116";"      36";"      42";"      14";"      23";"      40";"       0";"     117";"      11";"      50";"      24";"      69";"    13.3";"    41.9";"     7.3";"    32.2";"    39.7"
"Total men and women";"40 to 49 years";"1990";"     264";"      50";"     132";"       5";"      77";"     107";"      29";"      41";"      18";"      26";"      43";"       0";"     120";"      13";"      43";"      37";"      51";"    12.6";"    30.2";"     7.7";"    17.7";"    38.5"
"Total men and women";"40 to 49 years";"1991";"     274";"      61";"     134";"       6";"      73";"      96";"      32";"      28";"      21";"      24";"      72";"       1";"     141";"       7";"      38";"      24";"      64";"    12.7";"    34.2";"     7.7";"    21.0";"    34.9"
"Total men and women";"40 to 49 years";"1992";"     299";"      72";"     143";"       8";"      76";"     108";"      44";"      45";"      33";"      25";"      44";"       0";"     157";"       6";"      39";"      25";"      72";"    13.5";"    37.4";"     8.1";"    27.6";"    34.8"
"Total men and women";"40 to 49 years";"1993";"     297";"      64";"     135";"      14";"      84";"     116";"      46";"      38";"      23";"      33";"      41";"       0";"     145";"       5";"      46";"      31";"      70";"    13.1";"    30.8";"     7.5";"    47.9";"    37.0"
"Total men and women";"40 to 49 years";"1994";"     342";"      75";"     168";"       5";"      94";"     132";"      67";"      50";"      21";"      19";"      52";"       1";"     149";"       8";"      57";"      30";"      98";"    14.9";"    33.5";"     9.3";"    17.1";"    39.9"
"Total men and women";"40 to 49 years";"1995";"     316";"      91";"     130";"       4";"      91";"     125";"      64";"      42";"      21";"      22";"      42";"       0";"     122";"      26";"      46";"      39";"      83";"    13.5";"    37.5";"     7.2";"    13.7";"    37.1"
"Total men and women";"40 to 49 years";"1996";"     333";"      85";"     161";"       4";"      83";"     148";"      47";"      32";"      30";"      26";"      45";"       5";"     143";"      12";"      37";"      42";"      99";"    14.2";"    32.7";"     8.9";"    13.9";"    33.0"
"Total men and women";"40 to 49 years";"1997";"     305";"      72";"     120";"       4";"     109";"     136";"      51";"      30";"      17";"      23";"      48";"       0";"     147";"       6";"      38";"      30";"      84";"    13.1";"    26.0";"     6.8";"    14.4";"    43.2"
"Total men and women";"40 to 49 years";"1998";"     291";"      90";"     103";"       7";"      91";"     119";"      58";"      33";"      21";"      18";"      41";"       1";"     136";"      11";"      41";"      35";"      68";"    12.5";"    30.4";"     5.9";"    26.7";"    35.8"
"Total men and women";"40 to 49 years";"1999";"     326";"     104";"     114";"       5";"     103";"     133";"      74";"      35";"      13";"      26";"      45";"       0";"     175";"      11";"      32";"      30";"      78";"    13.9";"    32.8";"     6.6";"    19.7";"    40.0"
"Total men and women";"40 to 49 years";"2000";"     367";"     119";"     141";"       2";"     105";"     160";"      82";"      39";"      19";"      36";"      28";"       3";"     180";"      13";"      31";"      36";"     107";"    15.5";"    35.0";"     8.1";"     7.9";"    40.3"
"Total men and women";"40 to 49 years";"2001";"     332";"     109";"     135";"       5";"      83";"     152";"      58";"      45";"      12";"      23";"      42";"       0";"     152";"      17";"      39";"      28";"      96";"    13.9";"    29.9";"     7.8";"    20.0";"    31.1"
"Total men and women";"40 to 49 years";"2002";"     353";"     128";"     123";"       4";"      98";"     162";"      65";"      36";"      18";"      25";"      47";"       0";"     164";"      15";"      41";"      54";"      79";"    14.5";"    32.7";"     7.1";"    16.3";"    35.7"
"Total men and women";"40 to 49 years";"2003";"     351";"     128";"     118";"       4";"     101";"     161";"      60";"      37";"      15";"      36";"      42";"       0";"     165";"      12";"      43";"      31";"     100";"    14.3";"    30.6";"     6.8";"    16.7";"    36.1"
"Total men and women";"40 to 49 years";"2004";"     386";"     143";"     132";"       8";"     103";"     174";"      73";"      45";"      21";"      33";"      38";"       2";"     184";"      21";"      59";"      42";"      80";"    15.5";"    32.0";"     7.6";"    34.3";"    36.0"
"Total men and women";"40 to 49 years";"2005";"     386";"     145";"     140";"       6";"      95";"     177";"      66";"      35";"      18";"      28";"      60";"       2";"     163";"      28";"      52";"      53";"      90";"    15.3";"    30.5";"     8.1";"    26.5";"    32.5"
"Total men and women";"40 to 49 years";"2006";"     353";"     126";"     129";"       5";"      93";"     167";"      68";"      31";"      16";"      33";"      35";"       3";"     182";"      19";"      58";"      43";"      51";"    13.9";"    25.1";"     7.5";"    23.0";"    31.2"
"Total men and women";"40 to 49 years";"2007";"     313";"     118";"     119";"       3";"      73";"     133";"      58";"      48";"      12";"      23";"      34";"       5";"     152";"       9";"      61";"      34";"      57";"    12.3";"    22.3";"     7.0";"    14.4";"    24.2"
"Total men and women";"40 to 49 years";"2008";"     337";"     131";"     125";"       3";"      78";"     152";"      77";"      34";"      10";"      20";"      41";"       3";"     154";"      19";"      61";"      57";"      46";"    13.2";"    23.6";"     7.4";"    15.0";"    25.6"
"Total men and women";"40 to 49 years";"2009";"     366";"     141";"     135";"       5";"      85";"     161";"      80";"      44";"      17";"      30";"      33";"       1";"     186";"       8";"      57";"      46";"      69";"    14.2";"    24.6";"     8.1";"    26.0";"    26.8"
"Total men and women";"40 to 49 years";"2010";"     397";"     165";"     146";"       8";"      78";"     201";"      63";"      35";"       9";"      39";"      50";"       0";"     190";"      12";"      47";"      33";"     115";"    15.3";"    27.8";"     8.9";"    43.0";"    23.6"
"Total men and women";"40 to 49 years";"2011";"     405";"     161";"     130";"       8";"     106";"     199";"      80";"      44";"      16";"      22";"      44";"       0";"     206";"      11";"      46";"      39";"     103";"    15.6";"    26.0";"     8.0";"    44.7";"    32.1"
"Total men and women";"40 to 49 years";"2012";"     423";"     190";"     137";"       1";"      95";"     213";"      84";"      47";"      12";"      24";"      42";"       1";"     215";"      10";"      44";"      31";"     123";"    16.4";"    29.5";"     8.6";"     5.8";"    29.0"
"Total men and women";"40 to 49 years";"2013";"     406";"     152";"     162";"       4";"      88";"     225";"      66";"      39";"       9";"      21";"      45";"       1";"     194";"      12";"      44";"      32";"     124";"    16.0";"    23.0";"    10.5";"    24.5";"    27.2"
"Total men and women";"40 to 49 years";"2014";"     398";"     181";"     136";"       7";"      74";"     214";"      75";"      34";"       8";"      28";"      38";"       1";"     183";"      16";"      48";"      42";"     109";"    16.0";"    26.8";"     9.2";"    45.4";"    23.2"
"Total men and women";"40 to 49 years";"2015";"     360";"     168";"     103";"       6";"      83";"     182";"      77";"      34";"      18";"      17";"      30";"       2";"     184";"      13";"      35";"      32";"      96";"    14.8";"    24.4";"     7.3";"    41.3";"    26.6"
"Total men and women";"40 to 49 years";"2016";"     336";"     168";"      90";"       3";"      75";"     167";"      73";"      38";"       8";"      17";"      32";"       1";"     201";"      14";"      27";"      27";"      67";"    14.1";"    24.1";"     6.6";"    21.8";"    24.7"
"Total men and women";"40 to 49 years";"2017";"     357";"     172";"     108";"       3";"      74";"     193";"      57";"      35";"      11";"      32";"      29";"       0";"     227";"       7";"      49";"      27";"      47";"    15.3";"    24.3";"     8.2";"    22.8";"    25.1"
"Total men and women";"40 to 49 years";"2018";"     298";"     138";"      86";"       2";"      72";"     143";"      56";"      33";"       8";"      24";"      32";"       2";"     179";"      11";"      39";"      20";"      49";"    13.0";"    19.3";"     6.8";"    15.9";"    25.4"
"Total men and women";"40 to 49 years";"2019*";"     305";"     155";"      82";"       1";"      67";"     163";"      58";"      33";"       5";"      14";"      32";"       0";"     169";"      10";"      47";"      28";"      51";"    13.6";"    21.5";"     6.7";"     8.3";"    24.7"
"Total men and women";"50 to 59 years";"1950";"     123";"      19";"      89";"      12";"       3";"      47";"       7";"";"      21";"       4";"      37";"       7";"      49";"      12";"       1";"      24";"      37";"    12.7";"    18.9";"    11.3";"    18.2";"    21.0"
