id,brewery_id,name,cat_id,style_id,abv,ibu,srm,upc
218,501,Summer Common,-1,-1,0,0,0,0
219,1185,Golden Ale,-1,-1,4.7,0,0,0
220,174,Ambree,-1,-1,9,0,0,0
221,296,Pater 6,5,60,6.7,0,0,0
222,187,Blanche de Namur,-1,-1,4.5,0,0,0
223,905,Skinny Dip,3,37,4.2,0,0,0
224,174,Blanche Double,-1,-1,6,0,0,0
225,236,Summer Bright Ale,-1,-1,0,0,0,0
226,905,Mothership Wit,-1,-1,4.8,0,0,0
227,696,Lia Fail Stone of Destiny Ale,-1,-1,4.7,0,0,0
228,395,Premium XB Bluebird Bitter,-1,-1,4.4,0,0,0
229,1056,IPA,3,31,5.5,0,0,0
230,167,Houblon,-1,-1,9,0,0,0
231,935,Double Pilsner,8,95,8.1,0,0,0
232,708,Creamy Dark,8,95,4.9,0,0,0
233,757,Premium Pils Edelherb,-1,-1,4.9,0,0,0
234,590,StÃ¼venbrÃ¤u Maibock,7,90,0,0,0,0
235,590,Jack of Spades Schwarzbier,7,86,3.9,0,0,0
236,1179,Shiner Hefeweizen,4,50,5.4,0,0,0
237,1154,Sapporo Premium Beer,8,95,0,0,0,0
238,501,Dark German Lager,-1,-1,0,0,0,0
239,44,Spring Heat Spiced Wheat,-1,-1,5.2,0,0,0
240,567,Gose,-1,-1,4.6,0,0,0
241,1176,Pils,-1,-1,5,0,0,0
242,1274,New,8,95,4.6,0,0,0
243,369,Eisenbahn Defumada,-1,-1,0,0,0,0
244,369,Eisenbahn Escura,7,86,0,0,0,0
245,369,Eisenbahn Dourada,-1,-1,0,0,0,0
246,501,Fallen Angel Sweet Stout,3,42,0,0,0,0
247,604,Hot Shot ESB,1,5,5,0,0,0
248,312,Porter,2,25,8,0,0,0
249,923,NÃ¸gne Ã˜ Imperial Stout,3,43,9,0,0,0
250,923,NÃ¸gne Ã˜ Porter,2,25,7,0,0,0
251,923,NÃ¸gne Ã˜ Pale Ale,3,26,6,0,0,0
252,501,Eccentric Belgian Wheat,-1,-1,0,0,0,0
253,1265,Oatmeal Stout,3,42,0,0,0,0
254,1265,Amber Light,8,95,0,0,0,0
255,1265,New World Wheat,8,95,0,0,0,0
256,1265,Maibock,7,90,0,0,0,0
257,1265,Ironwood Dark,3,38,0,0,0,0
258,1265,Cascade Amber,3,33,0,0,0,0
259,1265,Alpine Gold,-1,-1,0,0,0,0
260,624,Illuminator Doppelbock,7,90,6.8,0,0,0
261,624,Old Princeton Landing IPA,3,31,6.1,0,0,0
262,624,Paddle Out Stout,3,42,5.2,0,0,0
263,624,Pillar Point Pale Ale,3,26,4.6,0,0,0
264,624,Sandy Beach Blonde Hefeweizen,4,50,4.5,0,0,0
265,624,Mavericks Amber Ale,3,33,4.8,0,0,0
266,624,Harbor Light Ale,-1,-1,4.8,0,0,0
267,1126,Leroy Barleywine,-1,-1,0,0,0,0
268,1126,Oatmeal Stout,3,42,6,0,0,0
269,1126,Amber,3,33,5,0,0,0
270,1126,Blur IPA,3,31,0,0,0,0
271,1126,Pelican Pale,3,26,5,0,0,0
272,1126,Brew Ribbon,8,95,0,0,0,0
273,701,Casey Jones Imperial IPA,3,31,7.25,0,0,0
274,701,Fairfax Coffee Porter,-1,-1,5.5,0,0,0
275,701,Epiphany Ale,3,33,5.5,0,0,0
276,701,IPA,3,31,6,0,0,0
277,701,Chazz Cat Rye,8,95,4.5,0,0,0
278,701,Shining Star Pale Ale,3,26,5,0,0,0
279,701,Honey Bunny Blonde Ale,8,95,5.8,0,0,0
280,701,Kent Lake Kolsch,-1,-1,4,0,0,0
281,892,Old Blarney Barleywine,-1,-1,10,0,0,0
282,892,Irish Dry Stout,3,42,4.8,0,0,0
283,892,Kilt Lifter Scottish Ale,1,15,8,0,0,0
