President,Term_From,Term_To,Role,Occupant,Type,Held_From,Held_To,Gender,Race
President Donald Trump,2017,2021,Secretary of Housing and Urban Development,Ben Carson (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Transportation,Elaine Chao (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Energy,Rick Perry (2017–2019),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Energy,Dan Brouillette (2019–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Education,Betsy DeVos (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Veterans Affairs,David Shulkin (2017–2018),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Veterans Affairs,Robert Wilkie (2018–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Homeland Security,John F. Kelly (2017),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Homeland Security,Kirstjen Nielsen (2017–2019),Cabinet,,,,
President Donald Trump,2017,2021,Administrator of the Environmental Protection Agency,Scott Pruitt (2017–2018),Cabinet-level,,,,
President Donald Trump,2017,2021,Administrator of the Environmental Protection Agency,Andrew R. Wheeler (2018–2021),Cabinet-level,,,,
President Donald Trump,2017,2021,Director of the Office of Management and Budget,Mick Mulvaney (2017–2020),Cabinet-level,,,,
President Donald Trump,2017,2021,Director of the Office of Management and Budget,Russell Vought (2020–2021),Cabinet-level,,,,
President Donald Trump,2017,2021,Director of National Intelligence,Dan Coats (2017–2019),Cabinet-level,,,,
President Donald Trump,2017,2021,Director of National Intelligence,John Ratcliffe (2020–2021),Cabinet-level,,,,
President Donald Trump,2017,2021,Director of the Central Intelligence Agency,Mike Pompeo (2017–2018),Cabinet-level,,,,
President Donald Trump,2017,2021,Director of the Central Intelligence Agency,Gina Haspel (2018–2021),Cabinet-level,,,,
President Donald Trump,2017,2021,Trade Representative,Robert Lighthizer (2017–2021),Cabinet-level,,,,
President Donald Trump,2017,2021,Ambassador to the United Nations,Nikki Haley (2017–2018),Cabinet-level,,,,
President Donald Trump,2017,2021,Administrator of the Small Business Administration,Linda McMahon (2017–2019),Cabinet-level,,,,
President Donald Trump,2017,2021,Administrator of the Small Business Administration,Jovita Carranza (2020–2021),Cabinet-level,,,,
President Donald Trump,2017,2021,White House Chief of Staff,Reince Priebus (2017),Cabinet-level,,,,
President Donald Trump,2017,2021,White House Chief of Staff,John F. Kelly (2017–2019),Cabinet-level,,,,
President Donald Trump,2017,2021,White House Chief of Staff,Mark Meadows (2020–2021),Cabinet-level,,,,
President Joe Biden,2021,present,Vice President,Kamala Harris (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of State,Antony Blinken (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of the Treasury,Janet Yellen (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Defense,Lloyd Austin (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Attorney General,Merrick Garland (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of the Interior,Deb Haaland (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Agriculture,Tom Vilsack (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Commerce,Gina Raimondo (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Labor,Marty Walsh (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Health and Human Services,Xavier Becerra (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Housing and Urban Development,Marcia Fudge (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Transportation,Pete Buttigieg (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Energy,Jennifer Granholm (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Education,Miguel Cardona (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Veterans Affairs,Denis McDonough (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Secretary of Homeland Security,Alejandro Mayorkas (2021–present),Cabinet,,,,
President Joe Biden,2021,present,Administrator of the Environmental Protection Agency,Michael S. Regan (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,Director of the Office of Management and Budget,Shalanda Young (2021–present - acting),Cabinet-level,,,,
President Joe Biden,2021,present,Director of National Intelligence,Avril Haines (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,Trade Representative,Katherine Tai (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,Ambassador to the United Nations,Linda Thomas-Greenfield (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,Chair of the Council of Economic Advisors,Cecilia Rouse (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,Administrator of the Small Business Administration,Isabel Guzman (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,Director of the Office of Science and Technology Policy,Eric Lander (2021–present),Cabinet-level,,,,
President Joe Biden,2021,present,White House Chief of Staff,Ron Klain (2021–present),Cabinet-level,,,,
