year,month,investor,quantity,share,partner,sector,subsector,country,region
2013,August,China Communications Construction,300,,,Transport,Shipping,Sri Lanka,West Asia
2013,August,Sinomach,220,,,Energy,,Turkey,West Asia
2013,September,China Communications Construction,390,,Aramco,Transport,Shipping,Saudi Arabia,Arab World
2013,September,Ansteel,230,12%,Gindalbie Metals,Metals,Steel,Australia,Australia
2013,September,Zhongjin Lingnan,110,47%,Perilya,Metals,,Australia,Australia
2013,September,China Communications Construction,140,,,Transport,Autos,Vietnam,East Asia
2013,September,Sinoma,140,59%,Hazemag & EPR,Real estate,Construction,Germany,Europe
2013,September,China Power Investment,260,,Enemalta,Energy,,Malta,Europe
2013,September,Shaanxi Yanchang Petroleum,220,100%,Novus Energy,Energy,,Canada,North America
2013,September,Sinomach and China Railway,190,75%,Yapilo,Transport,Rail,Bolivia,South America
2013,September,Sinopec,1400,,,Energy,Oil,Venezuela,South America
2013,September,Tianjin Materials,990,17%,African Minerals,Metals,Steel,Sierra Leone,Sub-Saharan Africa
2013,September,CNOOC,2000,85%,Kingfisher,Energy,Oil,Uganda,Sub-Saharan Africa
2013,September,Guangzhou Dongsong Energy,560,,,Chemicals,,Uganda,Sub-Saharan Africa
2013,September,Power Construction Corp,1690,,,Energy,Hydro,Uganda,Sub-Saharan Africa
2013,September,Shandong Taishan Sunlight,1240,,Oil Stone Investments,Energy,Coal,Zimbabwe,Sub-Saharan Africa
2013,September,CIC,2040,13%,Uralkali,Agriculture,,Russia,West Asia
2013,September,China Communications Construction,100,,,Transport,Aviation,Sri Lanka,West Asia
2013,October,Sinopec,1670,,,Energy,Oil,Cambodia,East Asia
2013,October,CIC,1300,,Bumi Resources Minerals,Energy,Coal,Indonesia,East Asia
2013,October,Hongqiao,600,60%,Winning Investment,Metals,Aluminum,Indonesia,East Asia
2013,October,China Communications Construction,1100,70%,Daya Bumindo,Transport,Shipping,Indonesia,East Asia
2013,October,China Communications Construction,1500,,Jakarta Monorail,Transport,Rail,Indonesia,East Asia
2013,October,Sinomach,170,,,Transport,Autos,Papua New Guinea,East Asia
2013,October,Huawei,200,,,Technology,Telecom,Britain,Europe
2013,October,State Construction Engineering,220,20%,Manchester Airport and Carillion,Real estate,Construction,Britain,Europe
2013,October,Huawei,700,,,Technology,Telecom,Denmark,Europe
2013,October,CNOOC,120,10%,Total and Wintershall,Energy,Gas,Argentina,South America
2013,October,China Energy Engineering,2820,,Electroingenieria,Energy,Hydro,Argentina,South America
2013,October,China Aerospace Science and Technology,300,,Tupac Katari,Technology,Telecom,Bolivia,South America
2013,October,China Construction Bank,720,74%,Banco Industrial e Comerical,Finance,Banking,Brazil,South America
2013,October,CNOOC and CNPC,1280,"10%, 10%","Petrobras, Shell, and Total",Energy,Oil,Brazil,South America
2013,October,Three Gorges,240,,,Other,Utilities,Ghana,Sub-Saharan Africa
2013,October,Sinoma,260,,United Cement,Real estate,Construction,Nigeria,Sub-Saharan Africa
2013,October,Sinopec,150,,,Energy,Oil,Sao Tome,Sub-Saharan Africa
2013,October,Yuemei,150,,,Other,Textiles,Tanzania,Sub-Saharan Africa
2013,October,Tebian Electric Apparatus,690,,,Energy,,Tanzania,Sub-Saharan Africa
2013,October,Power Construction Corp,400,,Tanzania Electric Supply,Energy,Gas,Tanzania,Sub-Saharan Africa
