X,Y,osm_id,operatorty,amenity,addrfull,capacitype,addrcity,name,source,building
39.1503271,9.1906651,4414389489,,school,,,,,,
39.2840993,8.5551606,4421622890,,school,,,,아다마교회,,
38.7122445,8.9519603,4452902989,,school,,,,Hope University College,,
37.7551656,6.8655481,4466320104,,school,,,,ጊዮርጊስ ት/ቤት,,
37.7609595,6.8615096,4466320807,,school,,,,ሊጋባ በየነ ኣባ ሰብስብ ት/ቤት,,
37.7593952,6.8590019,4466349990,,school,,,,ሶዶ ኣጠቃላይ ሁለተኛ ደረጃ ት/ቤት,,
38.4754736,7.0355025,4485190437,,college,,,,College of Teacher Education,,
38.470801,7.0532135,4486588997,,college,,,,,,
38.4952265,7.0333968,4486589690,,school,,,,,,
38.4933152,7.0374499,4486589993,,school,,,,,,
38.7480096,8.9820944,4489873694,,school,,,,Addis Ababa science and technology university,,
38.4873515,7.0695485,4498532230,,university,,,,Hawassa University Condominiums,,
37.7458117,10.3301585,4507268163,,university,,,,Debre Markos University,,
37.7972342,8.1900016,4517845154,,kindergarten,,,,,,
37.7918072,8.196589,4517882562,,college,,,,,,
39.2763067,8.5401035,4522535192,,school,,,,,,
39.2738604,8.5554806,4522535193,,school,,,,,,
39.2871564,8.4986528,4522535194,,school,,,,,,
39.2835683,8.5661495,4522535393,,school,,,,,,
39.2860022,8.4994055,4522535394,,school,,,,,,
39.2794126,8.539671,4522535492,,school,,,,,,
39.2737215,8.5380847,4522535690,,school,,,,,,
39.2748207,8.5552402,4522535696,,school,,,,,,
39.1324292,7.9314399,4527773918,,school,,,Asela,Dosha Primary school,,
38.8520788,9.0413218,4533219092,,school,,,,,,
38.8324742,9.0364016,4533238789,,school,,,,,,
47.0210648,7.0244205,4536952392,,school,,,,Galdogob Secondary school,,
47.0242254,7.0256162,4536995890,,school,,,,Aiynushamsi Secondary school,,
38.8310608,9.0233202,4537564093,,school,,,,,,
38.8317519,9.033769,4538964190,,school,,,,,,
38.7631737,9.0366767,4550963287,,school,,,Addis Ababa,Menelik Primary School,,
38.7639581,9.0339554,4550968612,,college,,,Addis Ababa,Art School,,
38.7627994,9.0394757,4550981233,,school,,,Addis Ababa,Radical School,,
38.7620109,9.0399605,4550992556,,college,,,Addis Ababa,የድረቀ ፋርማሲ ትምህርት ቤት/አአኢቴ ቢሮ/,,
38.769108,9.0325674,4551006108,,school,,,Addis Ababa,Save Heaven,,
38.7374365,9.0108613,4551050143,,college,,,,Lidet Health College,,
38.7346255,8.9461257,4553503690,,school,,,,ኩዊንስ ኮሌጅ,,
39.4816986,14.2826012,4561173389,,school,,,,ጎልዓ ቤት ትምህርቲ,,
38.7283592,8.973406,4568013790,,school,,,,,,
37.3964472,11.5867945,4571495989,,school,,,,,,
37.4337141,11.6006265,4571496089,,school,,,,,,
38.7624296,9.0300681,4579174717,,school,,,,,,
38.743184,8.9469448,4583693891,,school,,,,,,
38.662727,8.9289205,4583693892,,school,,,,Intellectual Schools,,
38.7494272,8.943757,4583697989,,school,,,,ጊብሰን ዩዝ አካዳሚ,,
39.252747,7.518767,4592675389,,school,,,,,,
