id,source,target,SUID,source_url,interaction,confidence,shared_interaction,name,shared_name,contract_share,log_message,ownership_type,start_date,source_date,ownership_status
5274,1897,1582,5274,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n22962,n23277 (-) n22962,20,,,,,
5273,1897,1898,5273,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n23278,n23277 (-) n23278,30,,,,,
5272,1897,1419,5272,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n22799,n23277 (-) n22799,30,,,,,
5271,1897,1340,5271,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n22720,n23277 (-) n22720,30,,,,,
5597,1896,1893,5597,http://www.offshore-technology.com/projects/agbami/,-,Low,-,n23276 (-) n23273,n23276 (-) n23273,,,,,,
5270,1896,1581,5270,http://www.offshore-technology.com/projects/agbami/,-,Low,-,n23276 (-) n22961,n23276 (-) n22961,18.85,,,,,
5269,1896,1579,5269,http://www.offshore-technology.com/projects/agbami/,-,Low,-,n23276 (-) n22959,n23276 (-) n22959,13,,,,,
5268,1896,1447,5268,http://www.offshore-technology.com/projects/agbami/,-,Low,-,n23276 (-) n22827,n23276 (-) n22827,68.15,,,,,
5267,1896,1366,5267,http://www.offshore-technology.com/projects/agbami/,-,Low,-,n23276 (-) n22746,n23276 (-) n22746,68.15,,,,,
5596,1895,1893,5596,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n23273,n23275 (-) n23273,,,,,,
5266,1895,1580,5266,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n22960,n23275 (-) n22960,5,,,,,
5265,1895,1572,5265,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n22952,n23275 (-) n22952,10,,,,,
5264,1895,1363,5264,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n22743,n23275 (-) n22743,10,,,,,
5263,1895,1579,5263,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n22959,n23275 (-) n22959,16,,,,,
5262,1895,1578,5262,http://www.subseaiq.com/data/Project.aspx?project_id=662,-,Low,-,n23275 (-) n22958,n23275 (-) n22958,45,,,,,
