ID,Link (Data),Min or Max,mm-ssStar_Wars__Episode_I___The_Phantom_Menace,mm-ssStar_Wars__Episode_II___Attack_of_the_Clones,mm-ssStar_Wars__Episode_III___Revenge_of_the_Sith,mm-ssStar_Wars__Episode_IV___A_New_Hope,mm-ssStar_Wars__Episode_V___The_Empire_Strikes_Back,mm-ssStar_Wars__Episode_VI___Return_of_the_Jedi,mm-ssStar_Wars__Episode_VII___The_Force_Awakens,mm-ssStar_Wars__Episode_VIII___The_Last_Jedi,mm-ssStar_Wars__The_Rise_of_Skywalker,Step 1,Step 10,Step 11,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Total mm-ss,CalculationN,Path (Model),Rogue_One__A_Star_Wars_Story,Sigmoid,Solo__A_Star_Wars_Story,Star_Wars__Episode_I___The_Phantom_Menace,Star_Wars__Episode_II___Attack_of_the_Clones,Star_Wars__Episode_III___Revenge_of_the_Sith,Star_Wars__Episode_IV___A_New_Hope,Star_Wars__Episode_V___The_Empire_Strikes_Back,Star_Wars__Episode_VI___Return_of_the_Jedi,Star_Wars__Episode_VII___The_Force_Awakens,Star_Wars__Episode_VIII___The_Last_Jedi,Star_Wars__The_Rise_of_Skywalker,t (Model),Total
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,4,180,0.006692851,,1410,2880,3165,555,795,885,,,,-5,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,5,,0.008577485,,210,585,705,,750,240,,120,,-4.75,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,5,,0.008577485,,,,,,,,2580,1815,3345,-4.75,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,5,,0.008577485,,435,315,300,1080,675,435,75,60,120,-4.75,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,5,,0.008577485,,,,,,,,525,735,1545,-4.75,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,5,,0.008577485,,1290,1935,1095,,,,,,,-4.75,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,5,,0.008577485,,1275,2040,2235,1050,60,135,,,,-4.75,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,5,,0.008577485,,,,45,2250,2085,2055,60,1275,165,-4.75,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,5,15,0.008577485,,,,30,810,1365,1275,375,525,255,-4.75,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,5,,0.008577485,3330,,,,1170,1410,1065,1230,,105,-4.75,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,5,,0.008577485,,,,,,,,1905,1050,1485,-4.75,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,5,,0.008577485,,435,240,1485,,60,375,,,360,-4.75,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,5,,0.008577485,1290,,,60,660,990,630,510,120,555,-4.75,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,5,,0.008577485,,120,255,165,1155,870,810,105,150,645,-4.75,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,5,,0.008577485,,,,,,,,1140,915,1230,-4.75,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,5,180,0.008577485,,1410,2880,3165,555,795,885,,,,-4.75,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,6,,0.010986943,,210,585,705,,750,240,,120,,-4.5,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,6,,0.010986943,,,,,,,,2580,1815,3345,-4.5,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,6,,0.010986943,,435,315,300,1080,675,435,75,60,120,-4.5,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,6,,0.010986943,,,,,,,,525,735,1545,-4.5,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,6,,0.010986943,,1290,1935,1095,,,,,,,-4.5,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,6,,0.010986943,,1275,2040,2235,1050,60,135,,,,-4.5,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,6,,0.010986943,,,,45,2250,2085,2055,60,1275,165,-4.5,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,6,15,0.010986943,,,,30,810,1365,1275,375,525,255,-4.5,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,6,,0.010986943,3330,,,,1170,1410,1065,1230,,105,-4.5,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,6,,0.010986943,,,,,,,,1905,1050,1485,-4.5,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,6,,0.010986943,,435,240,1485,,60,375,,,360,-4.5,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,6,,0.010986943,1290,,,60,660,990,630,510,120,555,-4.5,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,6,,0.010986943,,120,255,165,1155,870,810,105,150,645,-4.5,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,6,,0.010986943,,,,,,,,1140,915,1230,-4.5,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,6,180,0.010986943,,1410,2880,3165,555,795,885,,,,-4.5,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,7,,0.014063627,,210,585,705,,750,240,,120,,-4.25,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,7,,0.014063627,,,,,,,,2580,1815,3345,-4.25,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,7,,0.014063627,,435,315,300,1080,675,435,75,60,120,-4.25,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,7,,0.014063627,,,,,,,,525,735,1545,-4.25,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,7,,0.014063627,,1290,1935,1095,,,,,,,-4.25,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,7,,0.014063627,,1275,2040,2235,1050,60,135,,,,-4.25,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,7,,0.014063627,,,,45,2250,2085,2055,60,1275,165,-4.25,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,7,15,0.014063627,,,,30,810,1365,1275,375,525,255,-4.25,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,7,,0.014063627,3330,,,,1170,1410,1065,1230,,105,-4.25,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,7,,0.014063627,,,,,,,,1905,1050,1485,-4.25,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,7,,0.014063627,,435,240,1485,,60,375,,,360,-4.25,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,7,,0.014063627,1290,,,60,660,990,630,510,120,555,-4.25,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,7,,0.014063627,,120,255,165,1155,870,810,105,150,645,-4.25,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,7,,0.014063627,,,,,,,,1140,915,1230,-4.25,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,7,180,0.014063627,,1410,2880,3165,555,795,885,,,,-4.25,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,8,,0.017986210,,210,585,705,,750,240,,120,,-4,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,8,,0.017986210,,,,,,,,2580,1815,3345,-4,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,8,,0.017986210,,435,315,300,1080,675,435,75,60,120,-4,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,8,,0.017986210,,,,,,,,525,735,1545,-4,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,8,,0.017986210,,1290,1935,1095,,,,,,,-4,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,8,,0.017986210,,1275,2040,2235,1050,60,135,,,,-4,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,8,,0.017986210,,,,45,2250,2085,2055,60,1275,165,-4,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,8,15,0.017986210,,,,30,810,1365,1275,375,525,255,-4,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,8,,0.017986210,3330,,,,1170,1410,1065,1230,,105,-4,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,8,,0.017986210,,,,,,,,1905,1050,1485,-4,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,8,,0.017986210,,435,240,1485,,60,375,,,360,-4,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,8,,0.017986210,1290,,,60,660,990,630,510,120,555,-4,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,8,,0.017986210,,120,255,165,1155,870,810,105,150,645,-4,4275
Thing 002,link,Min,,,,,,,19:00,15:15,20:30,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,Ben Solo / Kylo Ren,0:54:45,,8,,0.017986210,,,,,,,,1140,915,1230,-4,3285
Thing 001,link,Min,23:30,48:00,52:45,9:15,13:15,14:45,,,,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,Anakin Skywalker / Darth Vader,2:41:30,32.295918367,8,180,0.017986210,,1410,2880,3165,555,795,885,,,,-4,9690
Thing 015,link,Min,3:30,9:45,11:45,,12:30,4:00,,2:00,,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,Yoda,0:43:30,7.193877551,9,,0.022977370,,210,585,705,,750,240,,120,,-3.75,2610
Thing 014,link,Min,,,,,,,43:00,30:15,55:45,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,Rey,2:9:0,,9,,0.022977370,,,,,,,,2580,1815,3345,-3.75,7740
Thing 013,link,Min,7:15,5:15,5:00,18:00,11:15,7:15,1:15,1:00,2:00,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,R2-D2,0:58:15,3.061224490,9,,0.022977370,,435,315,300,1080,675,435,75,60,120,-3.75,3495
Thing 012,link,Min,,,,,,,8:45,12:15,25:45,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,Poe Dameron,0:46:45,,9,,0.022977370,,,,,,,,525,735,1545,-3.75,2805
Thing 011,link,Min,21:30,32:15,18:15,,,,,,,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,Padme Amidala,1:12:0,11.173469388,9,,0.022977370,,1290,1935,1095,,,,,,,-3.75,4320
Thing 010,link,Min,21:15,34:00,37:15,17:30,1:00,2:15,,,,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,Obi-Wan Kenobi,1:53:15,22.806122449,9,,0.022977370,,1275,2040,2235,1050,60,135,,,,-3.75,6795
Thing 009,link,Min,,,0:45,37:30,34:45,34:15,1:00,21:15,2:45,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,Luke Skywalker,2:12:15,0.459183673,9,,0.022977370,,,,45,2250,2085,2055,60,1275,165,-3.75,7935
Thing 008,link,Min,,,0:30,13:30,22:45,21:15,6:15,8:45,4:15,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,Leia Organa,1:17:15,0.306122449,9,15,0.022977370,,,,30,810,1365,1275,375,525,255,-3.75,4635
Thing 007,link,Min,,,,19:30,23:30,17:45,20:30,,1:45,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,Han Solo,1:23:0,,9,,0.022977370,3330,,,,1170,1410,1065,1230,,105,-3.75,4980
Thing 006,link,Min,,,,,,,31:45,17:30,24:45,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,Finn,1:14:0,,9,,0.022977370,,,,,,,,1905,1050,1485,-3.75,4440
Thing 005,link,Min,7:15,4:00,24:45,,1:00,6:15,,,6:00,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,Emperor Palpatine / Darth Sidious,0:49:15,15.153061224,9,,0.022977370,,435,240,1485,,60,375,,,360,-3.75,2955
Thing 004,link,Min,,,1:00,11:00,16:30,10:30,8:30,2:00,9:15,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,Chewbacca,0:58:45,0.612244898,9,,0.022977370,1290,,,60,660,990,630,510,120,555,-3.75,3525
Thing 003,link,Min,2:00,4:15,2:45,19:15,14:30,13:30,1:45,2:30,10:45,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,C-3PO,1:11:15,1.683673469,9,,0.022977370,,120,255,165,1155,870,810,105,150,645,-3.75,4275
