Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,59.61912155,,,,,,,,,,,,,,,,,,,,,76.11479187,,,,,,79.31117249,,,,,,,80.29875946,,
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.06308746,,,91.20716095,,,,,,,,92.8037796,92.84866333,92.29968262,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,,,94.18624878,94.24504852,94.65384674,,95.09250641,,
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,47.91923141,,,,,,,,,,,,,,,,,,,,68.48922729,,,,,,,,,,,,49.19614029,,,,,,58.81702042,,
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79685974,,,,,,,,,,76.11044312,,,,,,,,,,,,85.32778931,,,86.79029083,,,,,
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,92.62904358,,,,,,,,,,,,,,,,94.86818695,,,,,,,,,,,97.40657806,,,,,,,97.86379242,,
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.24558258,86.29176331,86.55709839,86.80339813,87.05030823,87.41764069,87.09928131,87.92160797,88.22428894,88.51087189,88.78546906,89.06015778,89.36508942,89.55641174,90.15712738,90.41947174,90.64427185,90.88845825,91.08869171,91.10729218,91.1765213,91.34947968,91.44355774,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,97.84664917,,,,,,,,,,,,,,,,,,,,,99.79907227,,,,,,,,,,99.75253296,,,,,,,,
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86782074,,,,,,,,,,,,,
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.36247253,,,,,,,,,96.80362701,,,,,,,,,,98.67842865,,,,,,,,,
Czech Republic,CZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8330307,,,,
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,73.06456757,,,,,,,,,,,,,,,,,,,,,86.99646759,,,,,88.24446106,,,89.53872681,90.10637665,90.15518188,90.85814667,91.76376343,91.99121094,93.77845764,,,,
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.63087845,,,,,,,,,,,,,,,69.87349701,,,,72.64868164,,75.13604736,,,,,,,,,,81.40783691,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.81467819,63.9865799,65.10826874,66.222229,66.79412842,68.48506927,69.34573364,70.65393066,71.70455933,72.70993042,73.60050201,74.84361267,79.20539093,79.90527344,79.78748322,81.1292572,81.69489288,82.21533966,82.81069946,83.39981079,83.91929626,89.55478668,89.92095947,90.2490921,90.55647278,91.00655365,91.38469696,91.75576782,92.09281921,92.46089935,92.88398743,93.96147156,94.19860077,94.51882935,94.60774231,94.45590973,94.67794037,94.77902222,95.19567108,95.40923309,95.53955078,95.72928619,95.87911987,96.0267868,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,48.84733963,49.08456039,49.72158051,50.35351181,50.95872116,51.04605865,51.82677841,52.79489899,53.41555023,54.21192169,54.86669922,55.49726868,56.38531876,57.12329102,57.80435181,58.65625,59.1379509,60.16296005,60.94897842,61.74475098,62.53831863,63.27360153,63.93400955,66.96092224,67.57360077,68.25022125,68.67855835,69.37242889,70.40444183,71.19389343,70.98648071,71.24601746,72.05181885,73.28067017,74.14257813,75.28292084,75.28800201,75.91931915,76.42189789,77.23737335,77.95578003,78.57810211,79.01699829,79.35413361,79.84098816,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,65.94049072,66.13179016,67.1467514,68.14903259,68.64389038,70.21549225,70.95320892,72.12058258,73.06336212,73.96933746,74.76786804,75.94204712,79.85410309,80.50235748,80.41243744,81.63424683,82.16195679,82.64431,83.21573639,83.77915192,84.27192688,89.32095337,89.67198944,90.02174377,90.3138504,90.73947906,91.12373352,91.51486969,91.86685181,92.24868774,92.67111206,93.66002655,93.9256897,94.2469101,94.26799011,94.07524109,94.31336212,94.42037201,94.91773224,95.13826752,95.275383,95.47142792,95.62532043,95.7740097,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,93.99758148,94.70398712,94.91088104,94.96160889,95.09812164,95.23738098,95.31289673,95.51210785,95.54319,95.66255188,95.78305817,95.90112305,96.02188873,96.2056427,96.31778717,96.65229034,96.74859619,96.86665344,96.94550323,97.03177643,97.10565948,97.28276825,97.49642181,97.45501709,97.5509491,97.55497742,98.06336975,98.37867737,98.63468933,98.76821899,98.81671906,98.84980774,98.87846375,98.99887848,98.97245789,99.00773621,99.04348755,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.67233276,95.81139374,95.97293854,96.09912872,96.24655151,96.36093903,96.42076111,96.51696014,96.69612122,96.79019928,96.91914368,96.92446899,97.07691193,97.08747101,97.24707031,97.41752625,97.58094788,97.89367676,97.99822235,98.06864166,98.11634827,98.16487122,98.25479126,98.27191925,98.33351898,98.37896729,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,83.5526886,,,,,,,,88.29875946,,,,,,,,,,,90.98403168,,,,,,92.0967865,92.3900528,92.24976349,91.85404205,91.5868988,92.06472778,93.29463196,94.22264099,94.45565796,94.35022736,92.82978821,,,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,38.19675827,,,,,,,,,,44.42398834,,,,,,,,,,55.5870018,,,,,,,,,67.33187103,66.36991119,,,,72.04785156,,73.86559296,72.44249725,,,,71.16825104,,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51395035,,,,,,64.6629715,,,,,,,,,,76.57051849,,
Spain,ESP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,92.80976868,,,,,,,,,,96.49497223,,,,,,,,,,,,,97.16512299,97.75068665,97.75213623,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,98.43650055,,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.72644043,,,,,,,,,,,99.76719666,,,,,,,,,,,99.88578796,,,,,,,,,
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01135063,,,,,,,,,,35.90000153,29.8203392,,38.99597931,,,,,,,,,,51.7711792,,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,52.84653091,53.29100037,53.75728989,54.13972855,54.8757782,55.59062958,56.08670044,56.67657852,57.37300873,57.82300186,58.28945923,59.22069168,60.09626007,60.72531128,61.58539963,62.45851135,63.12662125,60.74932861,61.5615387,62.0209198,61.98640823,63.12842178,63.33919907,64.62336731,60.51327896,60.53364944,60.02249146,60.28728867,60.10028076,62.01156998,62.43822861,63.40736008,62.14889145,64.27200317,65.00601959,63.49599075,63.74937057,
Finland,FIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.94288635,,,,,,,,,,,,,,,,,,,,,99.08210754,,,
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2336731,,,,,,,,,,,,,,,,,,,82.28379822,,,,,,84.66716003,,
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.65235138,,,,,,,,,,,,99.58618927,,,99.36425781,,,
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.89746857,,,,,,,,,,71.49707031,,,,,,,,79.03964233,,
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55374908,,,,,,,29.70401955,,,,,,,25.30773926,,,,32.0038414,,,,,,
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.81772995,,,,,,,,,,,,,41.95005035,,50.77796936,,,,,
