Current_Official_Name_of_Satellite,Country_Org_of_UN_Registry,Country_of_Operator_Owner,Operator_Owner,Users,Purpose,Detailed_Purpose,Class_of_Orbit,Type_of_Orbit,Longitude_of_GEO_in_Degrees,Perigee_in_Km,Apogee_Km,Eccentricity,Inclination_in_Degrees,Period_in_Minutes,Launch_Mass_in_Kg,Dry_Mass_in_Kg,Power_in_Watts,Date_of_Launch,Expected_Lifetime_Yrs,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Source Used for Orbital Data
Starlink-1110,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,550,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AJ,44946,JMSatcat/3_20
Starlink-1111,BR (3/20),USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001L,44924,JMSatcat/3_20
Starlink-1112,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001M,44925,JMSatcat/3_20
Starlink-1113,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001N,44926,JMSatcat/3_20
Starlink-1114,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001P,44927,JMSatcat/3_20
Starlink-1115,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.60,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001BM,44973,JMSatcat/3_20
Starlink-1116,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.60,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AK,44947,JMSatcat/3_20
Starlink-1117,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AQ,44952,JMSatcat/3_20
Starlink-1119,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001Q,44928,JMSatcat/3_20
Starlink-1120,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006B,45045,JMSatcat/3_20
Starlink-1121,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001R,44929,JMSatcat/3_20
Starlink-1122,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AM,44949,JMSatcat/3_20
Starlink-1123,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001S,44930,JMSatcat/3_20
Starlink-1124,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AR,44953,JMSatcat/3_20
Starlink-1125,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AN,44950,JMSatcat/3_20
Starlink-1126,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,551,0.00,53.00,90.60,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001AP,44951,JMSatcat/3_20
Starlink-1127,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AZ,45091,JMSatcat/3_20
Starlink-1128,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001T,44931,JMSatcat/3_20
Starlink-1129,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006C,45046,JMSatcat/3_20
Starlink-1130,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001U,44932,JMSatcat/3_20
Starlink-1131,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006D,45047,JMSatcat/3_20
Starlink-1132,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006A,45044,JMSatcat/3_20
Starlink-1133,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006W,45064,JMSatcat/3_20
Starlink-1134,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006E,45048,JMSatcat/3_20
Starlink-1135,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006F,45049,JMSatcat/3_20
Starlink-1136,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AX,45089,JMSatcat/3_20
Starlink-1137,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BA,45092,JMSatcat/3_20
Starlink-1138,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012A,45178,JMSatcat/3_20
Starlink-1139,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006X,45065,JMSatcat/3_20
Starlink-1140,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006G,45050,JMSatcat/3_20
Starlink-1141,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006H,45051,JMSatcat/3_20
Starlink-1142,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BB,45093,JMSatcat/3_20
Starlink-1143,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012B,45179,JMSatcat/3_20
Starlink-1144,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.40,227,,,1/7/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-001V,44933,JMSatcat/3_20
Starlink-1145,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006Y,45066,JMSatcat/3_20
Starlink-1146,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BC,45094,JMSatcat/3_20
Starlink-1147,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BD,45095,JMSatcat/3_20
Starlink-1148,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006J,45052,JMSatcat/3_20
Starlink-1149,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AM,45079,JMSatcat/3_20
Starlink-1150,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006Z,45067,JMSatcat/3_20
Starlink-1151,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AP,45081,JMSatcat/3_20
Starlink-1152,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BE,45096,JMSatcat/3_20
Starlink-1153,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AN,45080,JMSatcat/3_20
Starlink-1154,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012W,45198,JMSatcat/3_20
Starlink-1155,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006K,45053,JMSatcat/3_20
Starlink-1156,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006L,45054,JMSatcat/3_20
Starlink-1157,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,301,313,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006M,45055,JMSatcat/3_20
Starlink-1158,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006N,45056,JMSatcat/3_20
Starlink-1159,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006P,45057,JMSatcat/3_20
Starlink-1160,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AQ,45082,JMSatcat/3_20
Starlink-1161,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AA,45068,JMSatcat/3_20
Starlink-1162,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006Q,45058,JMSatcat/3_20
Starlink-1163,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AB,45069,JMSatcat/3_20
Starlink-1164,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AC,45070,JMSatcat/3_20
Starlink-1165,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006R,45059,JMSatcat/3_20
Starlink-1166,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006S,45060,JMSatcat/3_20
Starlink-1167,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AD,45071,JMSatcat/3_20
Starlink-1168,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AE,45072,JMSatcat/3_20
Starlink-1169,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006T,45061,JMSatcat/3_20
Starlink-1170,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AF,45073,JMSatcat/3_20
Starlink-1171,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006U,45062,JMSatcat/3_20
Starlink-1172,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AG,45074,JMSatcat/3_20
Starlink-1173,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AS,45084,JMSatcat/3_20
Starlink-1174,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AH,45075,JMSatcat/3_20
Starlink-1175,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,309,311,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BF,45097,JMSatcat/3_20
Starlink-1176,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AY,45090,JMSatcat/3_20
Starlink-1177,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AL,45078,JMSatcat/3_20
Starlink-1178,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006V,45063,JMSatcat/3_20
Starlink-1179,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AT,45085,JMSatcat/3_20
Starlink-1180,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AJ,45076,JMSatcat/3_20
Starlink-1181,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AU,45086,JMSatcat/3_20
Starlink-1182,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AK,45077,JMSatcat/3_20
Starlink-1183,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,550,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AW,45088,JMSatcat/3_20
Starlink-1184,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BG,45098,JMSatcat/3_20
Starlink-1185,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AV,45087,JMSatcat/3_20
Starlink-1186,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BH,45099,JMSatcat/3_20
Starlink-1187,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AT,45219,JMSatcat/3_20
Starlink-1188,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AU,45220,JMSatcat/3_20
Starlink-1189,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AV,45221,JMSatcat/3_20
Starlink-1190,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006AR,45083,JMSatcat/3_20
Starlink-1191,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AW,45222,JMSatcat/3_20
Starlink-1192,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012C,45180,JMSatcat/3_20
Starlink-1193,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BJ,45100,JMSatcat/3_20
Starlink-1194,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,550,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BK,45101,JMSatcat/3_20
Starlink-1195,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BL,45102,JMSatcat/3_20
Starlink-1196,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,550,0.00,53.00,90.50,227,,,1/29/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-006BM,45103,JMSatcat/3_20
Starlink-1197,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012X,45199,JMSatcat/3_20
Starlink-1198,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012Y,45200,JMSatcat/3_20
Starlink-1199,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012Z,45201,JMSatcat/3_20
Starlink-1200,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012D,45181,JMSatcat/3_20
Starlink-1201,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012E,45182,JMSatcat/3_20
Starlink-1202,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012F,45183,JMSatcat/3_20
Starlink-1203,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,550,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AA,45202,JMSatcat/3_20
Starlink-1204,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AB,45203,JMSatcat/3_20
Starlink-1205,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.10,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012G,45184,JMSatcat/3_20
Starlink-1206,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AC,45204,JMSatcat/3_20
Starlink-1207,NR (4/20),USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,550,0.00,53.00,92.10,227,,,3/18/2020,,SpaceX,SpaceX,Cape Canaveral,Falcon 9,2020-019W,45380,JMSatcat/3_20
Starlink-1208,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,91.20,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AD,45205,JMSatcat/3_20
Starlink-1209,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AE,45206,JMSatcat/3_20
Starlink-1210,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AF,45207,JMSatcat/3_20
Starlink-1211,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AG,45208,JMSatcat/3_20
Starlink-1212,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AX,45223,JMSatcat/3_20
Starlink-1213,NR (4/20),USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,92.10,227,,,3/18/2020,,SpaceX,SpaceX,Cape Canaveral,Falcon 9,2020-019AS,45400,JMSatcat/3_20
Starlink-1214,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,551,0.00,53.00,90.80,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AY,45224,JMSatcat/3_20
Starlink-1215,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AZ,45225,JMSatcat/3_20
Starlink-1216,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012H,45185,JMSatcat/3_20
Starlink-1217,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012BA,45226,JMSatcat/3_20
Starlink-1218,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AH,45209,JMSatcat/3_20
Starlink-1219,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012AJ,45210,JMSatcat/3_20
Starlink-1221,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,548,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012BB,45227,JMSatcat/3_20
Starlink-1222,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,549,551,0.00,53.00,90.30,227,,,2/17/2020,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-012BC,45228,JMSatcat/3_20
