id,unit,name,start,end,agency,acres,cause
RRU-47545,Riverside,Silent,07-11-2001,07-12-2001,CDF,548,Equip. Use
YNP-1655,Mariposa/Yosemite NP,Hoover Complex,07-13-2001,07-13-2001,NPS,8007,Lightning
MMU-11907,Merced,Crane,07-16-2001,07-16-2001,LOCAL,900,Under Invest.
RRU-50309,Riverside,Reche,07-22-2001,07-23-2001,CDF,1798,Vehicle
MMU-12399,Mariposa/SNF,Briceburg,07-24-2001,07-25-2001,CDF,800,Under Invest.
BTU-8762,Lassen,Stream,07-26-2001,07-26-2001,USFS,3560,Lightning
BDU-6307,San Bernardino,Shelby,07-27-2001,07-28-2001,CDF,729,Railroad
SHU-7073,Shasta,Powerhouse,07-28-2001,08-01-2001,CDF,490,Undetermined
AEU-11228,Sacramento,Clay,07-31-2001,07-31-2001,CDF,535,Misc.
SCU-3270,Stanislaus,Del Puerto,08-03-2001,08-04-2001,CDF,400,Campfire
MNF-667,"Mendocino NF/Colusa,Glenn",Trough,08-08-2001,08-20-2001,USFS,24970,Undetermined
LMU-2549,Modoc,Modoc Complex,08-08-2001,08-08-2001,USFS,5367,Lightning
NOD-2187,Modoc,Cowhead/BLM D438,08-08-2001,08-09-2001,BLM,1670,Lightning
LMU-2178,Lassen,BLM D431 Shaffer,08-08-2001,08-08-2001,BLM,1100,Lightning
LMU-2228,Lassen,Observation,08-09-2001,08-12-2002,USFS,67700,Lightning
LMU-2248,Modoc NF,Blue Complex,08-09-2001,08-10-2002,USFS,37950,Lightning
SHU-7419,Shasta,East Fire,08-09-2001,08-10-2001,CDF,624,Elec. Power
BDU-6857,Mono,Assist Crater,08-12-2001,08-15-2001,USFS,5800,Lightning
NEU-14033,Placer/Tahoe NF,GAP,08-12-2001,08-17-2001,USFS,2462,Under Invest.
NEU-14053,Nevada Desert,Buzz,08-12-2001,08-12-2001,BLM,2206,Lightning
MVU-5576,Cleveland NF/MVU,Orosco,08-14-2001,08-15-2001,DF/USF,813,Under Invest
NEU-14446,Placer,Ponderosa,08-17-2001,08-23-2001,CDF,2780,Vehicle
MMU-14026,Mariposa/Tuolumne,Creek,08-18-2001,08-24-2001,CDF,11095,Arson
TCU- 6112,Calaveras,Leonard,08-19-2001,08-25-2001,CDF,5167,Equip. Use
FKU-10044,Sequoia NF/Fresno,Highway,08-19-2001,08-29-2001,USFS,4152,Arson
MMU-14176,Madera,North Fork,08-20-2001,08-20-2001,CDF,2930,Under Invest.
AEU-12745,El Dorado,Star,08-25-2001,09-22-2001,USFS,16761,Under Invest.
SHU-7984,Trinity,Oregon,08-28-2001,08-31-2001,CDF,1680,Undetermined
SHU-8086,Trinity,Hyampon,08-31-2001,09-05-2001,USFS,1065,Undetermined
TCU-6632,Calaveras,Darby,09-05-2001,09-24-2001,CDF,14280,Undetermined
BTU- 10696,Butte,Poe,09-06-2001,09-12-2001,CDF,8333,Elec. Power
KNF-3902,Siskiyou,Happy Camp Cmplx,09-14-2001,10-10-2001,USFS,8500,Lightning
BDU-8983,Angeles NF,Stables,10-12-2001,10-15-2001,USFS,6544,Under Invest.
