New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
194211,45.4,0.2
194212,30.0,-4.8
194301,29.5,-1.3
194302,33.3,1.9
194303,39.0,-0.8
194304,45.2,-5.2
194305,61.8,0.6
194306,75.5,5.3
194307,76.2,0.6
194308,75.1,1.3
194309,66.4,-0.6
194310,54.6,-1.7
194311,43.8,-1.4
194312,32.0,-2.8
194401,32.6,1.8
194402,31.8,0.4
194403,36.5,-3.3
194404,47.9,-2.5
194405,66.2,5.0
194406,71.7,1.5
194407,78.7,3.1
194408,77.0,3.2
194409,69.1,2.1
194410,55.9,-0.4
194411,44.4,-0.8
194412,31.2,-3.6
194501,23.9,-6.9
194502,32.6,1.2
194503,49.9,10.1
194504,54.7,4.3
194505,58.4,-2.8
194506,70.2,0.0
194507,73.9,-1.7
194508,72.6,-1.2
194509,69.4,2.4
194510,55.0,-1.3
194511,46.0,0.8
194512,29.9,-4.9
194601,32.8,2.0
194602,30.3,-1.1
194603,48.7,8.9
194604,49.5,-0.9
194605,61.1,-0.1
194606,69.1,-1.1
194607,74.8,-0.8
194608,70.1,-3.7
194609,68.8,1.8
194610,60.5,4.2
194611,48.9,3.7
194612,37.0,2.2
194701,35.8,5.0
194702,27.9,-3.5
194703,36.6,-3.2
194704,49.6,-0.8
194705,59.1,-2.1
194706,67.8,-2.4
194707,74.8,-0.8
194708,75.1,1.3
194709,67.6,0.6
194710,62.3,6.0
194711,42.5,-2.7
194712,32.7,-2.1
194801,24.0,-6.8
194802,29.2,-2.2
194803,40.7,0.9
194804,49.9,-0.5
194805,59.2,-2.0
194806,68.6,-1.6
194807,76.3,0.7
194808,74.2,0.4
194809,69.1,2.1
194810,55.3,-1.0
194811,50.7,5.5
194812,37.0,2.2
194901,37.1,6.3
194902,37.1,5.7
194903,41.5,1.7
194904,52.7,2.3
194905,62.1,0.9
194906,73.4,3.2
194907,78.8,3.2
194908,75.7,1.9
194909,65.0,-2.0
194910,61.8,5.5
194911,44.5,-0.7
194912,38.1,3.3
195001,39.9,9.1
195002,30.1,-1.3
195003,35.0,-4.8
195004,47.4,-3.0
195005,57.8,-3.4
195006,69.4,-0.8
195007,74.2,-1.4
195008,72.1,-1.7
195009,63.4,-3.6
195010,58.7,2.4
195011,46.7,1.5
195012,33.6,-1.2
195101,34.4,3.6
195102,34.7,3.3
195103,40.2,0.4
195104,52.0,1.6
195105,62.3,1.1
195106,69.0,-1.2
195107,76.0,0.4
195108,73.6,-0.2
195109,67.0,0.0
195110,57.3,1.0
195111,41.8,-3.4
195112,36.4,1.6
195201,34.7,3.9
195202,34.7,3.3
195203,38.9,-0.9
195204,53.9,3.5
195205,59.7,-1.5
195206,72.7,2.5
195207,79.4,3.8
195208,73.9,0.1
195209,68.7,1.7
195210,54.4,-1.9
