"expISO3","exporter","slongitude","slatitude","impISO3","importer","tlongitude","tlatitude","tot_val_usd","tot-weight-kg"
"SWE","Sweden",16.739754033053543,62.78989678415778,"AND","Andorra",1.576765084335454,42.54865286617894,1.067,0.21
"SWE","Sweden",16.739754033053543,62.78989678415778,"ARE","United Arab Emirates",54.34073373155668,23.9031933433165,157341.758481,868564.715567
"SWE","Sweden",16.739754033053543,62.78989678415778,"ARG","Argentina",-65.16772724090062,-35.37643634090827,16500.4090256,56717.18703467
"SWE","Sweden",16.739754033053543,62.78989678415778,"ARM","Armenia",44.94682354396963,40.28661987742082,496.383,202.757
"SWE","Sweden",16.739754033053543,62.78989678415778,"ATF","French Southern Territories",68.8619247648032,-49.19179489508387,148.364,200
"SWE","Sweden",16.739754033053543,62.78989678415778,"ATG","Antigua and Barbuda",-61.79123711747739,17.279817511125948,2978.4199999999996,7153
"SWE","Sweden",16.739754033053543,62.78989678415778,"AUS","Australia",134.48956247309874,-25.734968241934748,87285.657978,59073.527782000005
"SWE","Sweden",16.739754033053543,62.78989678415778,"AUT","Austria",14.140193488795244,47.59290260691518,301418.45252920996,439380.29381500004
"SWE","Sweden",16.739754033053543,62.78989678415778,"AZE","Azerbaijan",48.81987923035787,40.296915659338495,436.95756719,351.3882558
"SWE","Sweden",16.739754033053543,62.78989678415778,"BEL","Belgium",4.663989187136796,50.64285116363035,976541.069533,1843125.2622599998
"SWE","Sweden",16.739754033053543,62.78989678415778,"BEN","Benin",2.343135764193501,9.647320880659056,14850.637687000002,82227.22462200001
"SWE","Sweden",16.739754033053543,62.78989678415778,"BFA","Burkina Faso",-1.740141131898327,12.277929850509192,7581.84453,12003.376857000001
"SWE","Sweden",16.739754033053543,62.78989678415778,"BGD","Bangladesh",90.26849814842923,23.843232452391405,16145.659,49020
"SWE","Sweden",16.739754033053543,62.78989678415778,"BGR","Bulgaria",25.231506244029564,42.76137671439207,23275.2959023,10543.9286653
"SWE","Sweden",16.739754033053543,62.78989678415778,"BHR","Bahrain",50.55964318352661,26.022409517037772,1113.3538046,895.2586044500001
"SWE","Sweden",16.739754033053543,62.78989678415778,"BHS","Bahamas",-76.54662153239099,24.20112648687146,5576.147,13033.015
"SWE","Sweden",16.739754033053543,62.78989678415778,"BIH","Bosnia Herzegovina",17.786530696807294,44.16811522452028,13366.24225864,15996.0630108
"SWE","Sweden",16.739754033053543,62.78989678415778,"BLR","Belarus",28.046787741199477,53.53999776468982,6356.7752226,4041.7343330000003
"SWE","Sweden",16.739754033053543,62.78989678415778,"BLZ","Belize",-88.68476698323005,17.21766625422946,122.207,286.701
"SWE","Sweden",16.739754033053543,62.78989678415778,"BMU","Bermuda",-64.73960534243399,32.31608616923679,0.12041937,0.01473593
"SWE","Sweden",16.739754033053543,62.78989678415778,"BOL","Bolivia",-64.67093179110383,-16.714610094476125,4310.5604412,5245.799440000001
"SWE","Sweden",16.739754033053543,62.78989678415778,"BRA","Brazil",-53.0898199540132,-10.773108522625629,103912.52122000001,83635.40613
"SWE","Sweden",16.739754033053543,62.78989678415778,"BRB","Barbados",-59.56195497759968,13.178715064348594,1062.90720642,1269.655336
"SWE","Sweden",16.739754033053543,62.78989678415778,"BRN","Brunei Darussalam",114.76109927149501,4.521445183161419,32.053,8.629
"SWE","Sweden",16.739754033053543,62.78989678415778,"BTN","Bhutan",90.42943482568833,27.415414485262573,3.321,0.518
"SWE","Sweden",16.739754033053543,62.78989678415778,"BWA","Botswana",23.815027616664164,-22.182004075269575,324.26449,594.933789
"SWE","Sweden",16.739754033053543,62.78989678415778,"CAF","Central African Rep.",20.482966920330497,6.571232077104269,105.237,48.426
"SWE","Sweden",16.739754033053543,62.78989678415778,"CAN","Canada",-98.26532943367135,61.39201724015727,135711.8684813,406445.5692297
"SWE","Sweden",16.739754033053543,62.78989678415778,"CHE","Switzerland",8.234429172288667,46.802569376053356,597394.82391013,70422.332669
"SWE","Sweden",16.739754033053543,62.78989678415778,"CHL","Chile",-71.37398043999183,-37.85248982134252,31031.585464,25939.587111
"SWE","Sweden",16.739754033053543,62.78989678415778,"CHN","China",103.90405603171992,36.567908702290914,938495.019872,1007494.07587
"SWE","Sweden",16.739754033053543,62.78989678415778,"CIV","Cote d'Ivoire",-5.555619464120099,7.631533614372455,1262.7342218,1216.3457097
"SWE","Sweden",16.739754033053543,62.78989678415778,"CMR","Cameroon",12.743594160029042,5.685952200319209,210.620992,147.618
"SWE","Sweden",16.739754033053543,62.78989678415778,"COD","Congo, Dem. Rep.",23.655005743753378,-2.876234958783136,223.554,238.054
"SWE","Sweden",16.739754033053543,62.78989678415778,"COG","Congo, Rep.",15.224293438732722,-0.8402315749041138,76.85,98.071
"SWE","Sweden",16.739754033053543,62.78989678415778,"COL","Colombia",-73.07336881924755,3.901155840147147,7538.80530634,4748.09178304
"SWE","Sweden",16.739754033053543,62.78989678415778,"CPV","Cabo Verde",-23.967784574340474,15.978973266800969,887.324807,1754.80109
"SWE","Sweden",16.739754033053543,62.78989678415778,"CRI","Costa Rica",-84.18794179526616,9.97020281399917,3877.5232632,6627.841701200001
"SWE","Sweden",16.739754033053543,62.78989678415778,"CUB","Cuba",-79.03635234345816,21.62116985457323,1199.125,1695.181
"SWE","Sweden",16.739754033053543,62.78989678415778,"CYM","Cayman Isds",-81.23845343137175,19.308663491466188,0.237,0.03
"SWE","Sweden",16.739754033053543,62.78989678415778,"CYP","Cyprus",33.22176299478318,35.04588258022155,3814.8958224,4668.184426100001
"SWE","Sweden",16.739754033053543,62.78989678415778,"CZE","Czech Rep.",15.338412090068118,49.742858889473396,296163.643389,131523.740452
"SWE","Sweden",16.739754033053543,62.78989678415778,"DEU","Germany",10.393661554752809,51.10659218573434,4359745.146277801,9900688.714221
"SWE","Sweden",16.739754033053543,62.78989678415778,"DJI","Djibouti",42.5777650580805,11.74967611831593,3.202,3.775
"SWE","Sweden",16.739754033053543,62.78989678415778,"DNK","Denmark",10.046298414692632,55.96339824225688,1822997.59539,4269353.668772001
"SWE","Sweden",16.739754033053543,62.78989678415778,"DOM","Dominican Rep.",-70.48463350234039,18.894446925055853,872.03155571,1055.1308635
"SWE","Sweden",16.739754033053543,62.78989678415778,"DZA","Algeria",2.6323881691928257,28.163239267304558,262328.42706899997,732587.079678
"SWE","Sweden",16.739754033053543,62.78989678415778,"ECU","Ecuador",-78.76707226737844,-1.4274197656233802,3057.14288506,4246.10792112
"SWE","Sweden",16.739754033053543,62.78989678415778,"EGY","Egypt",29.79019650814422,26.55378045919798,380599.3897,1425522.18195
"SWE","Sweden",16.739754033053543,62.78989678415778,"ERI","Eritrea",38.8412857346155,15.373203130370351,135.556,43.397999999999996
"SWE","Sweden",16.739754033053543,62.78989678415778,"ESP","Spain",-3.6495649604289517,40.22682992875578,918901.8329515,1779892.1522049997
"SWE","Sweden",16.739754033053543,62.78989678415778,"EST","Estonia",25.527616312014416,58.674135907863516,189933.86221,532806.11259
"SWE","Sweden",16.739754033053543,62.78989678415778,"ETH","Ethiopia",39.61617576325986,8.633290652257871,2043.889498,2916.4046599999997
"SWE","Sweden",16.739754033053543,62.78989678415778,"FIN","Finland",26.266370864887275,64.50042200031852,1990102.7553318902,6044482.45210466
"SWE","Sweden",16.739754033053543,62.78989678415778,"FJI","Fiji",171.98322667934136,-17.45353047659144,195.478772,250.98700000000002
"SWE","Sweden",16.739754033053543,62.78989678415778,"FRA","France",2.551955216777798,46.5645020539879,1233463.8984644199,1599127.0772000002
"SWE","Sweden",16.739754033053543,62.78989678415778,"FRO","Faeroe Isds",-6.884109940389508,62.031067273707876,9178.979,22319.118
"SWE","Sweden",16.739754033053543,62.78989678415778,"GAB","Gabon",11.79723642212725,-0.5909444841771878,382.827,479
"SWE","Sweden",16.739754033053543,62.78989678415778,"GBR","United Kingdom",-2.89558470050636,54.1553497202996,4512685.4377379995,9282878.964030001
"SWE","Sweden",16.739754033053543,62.78989678415778,"GEO","Georgia",43.51744628488152,42.176311720017154,1536.53038322,1337.24350245
"SWE","Sweden",16.739754033053543,62.78989678415778,"GHA","Ghana",-1.207301382837505,7.95984841376055,24388.438000000002,447662.917
"SWE","Sweden",16.739754033053543,62.78989678415778,"GIB","Gibraltar",-5.344894624709658,36.138214997396915,167883.54799999998,605391.042
