continent,Country Or Region,Zoo Name,zoo point?,# point,CurveX,CurveY,Lat,Lon,Point,sigmoid,sigmoid EXP,startX,startX offset ,startY,Zoo Order
EU,Demark,Zoo København,False,80,12.521490849,57.845149283,55.672524235,12.521422471,6,0.999998618,0.9,62,40,90,7
EU,Finland,Ähtäri Zoo,False,80,24.185315472,64.274713852,62.536518842,24.184888389,6,0.999979482,0.9,45,40,90,6
EU,Netherlands,Ouwehands Dierenpark,False,80,5.590271793,54.365323130,51.957574693,5.590267169,6,0.999999679,0.9,20,40,90,5
EU,Belgium,Pairi Daiza,False,80,3.887312666,53.079706015,50.585091557,3.887316200,6,0.999999813,0.9,-15,40,90,4
EU,France,ZooParc de Beauval,False,80,1.347926414,49.952054278,47.246112,1.347929,6,0.999999950,0.9,-50,40,90,3
EU,UK,Edinburgh Zoo,False,80,-3.268671841,58.098004275,55.942464024,-3.268561615,6,0.999998463,0.9,-75,40,90,2
EU,Spain,Zoo Madrid,False,80,-3.763637077,43.555529277,40.417389363,-3.763636756,6,0.999999997,0.9,-97,40,90,1
AM,USA,Smithsonian's National Zoo,False,80,-77.046162301,42.049008679,38.929749118,-77.049805860,7,0.999834758,0.5,-55,-50,80,24
AM,USA,Zoo Atlanta,False,80,-84.372634242,37.248145433,33.734294372,-84.372325147,7,0.999945076,0.5,-90,-50,80,23
AM,USA,Memphis Zoo,False,80,-89.996543263,38.556476937,35.150159973,-89.994318242,7,0.999925847,0.5,-120,-50,80,22
AM,Canada,Calgary Zoo,False,80,-114.101111947,53.245033181,51.045994812,-114.023673802,7,0.997847525,0.5,-150,-50,80,21
AM,Mexico,Chapultepec Zoo,False,80,-99.189782063,24.024173807,19.423420970,-99.189568518,7,0.999997357,0.5,-180,-50,80,20
AP,Australia,Adelaide Zoo,False,80,138.606311816,-26.946222093,-34.914404731,138.606100240,7,0.999998402,0.3,271,120,70,19
AP,Japan,Ueno Zoo,False,80,141.084625174,38.320442767,35.716643542,139.771324791,7,0.987399817,0.3,244,120,70,18
AP,Japan,Adventure World,False,80,135.955823399,36.426784773,33.667342425,135.375273784,7,0.990263274,0.3,195,120,70,17
AP,Japan,Kobe Oji Zoo,False,80,135.412716286,37.389943914,34.709665332,135.215270355,7,0.988898008,0.3,153,120,70,16
AP,South Korea,Everland Resort,False,80,127.199466074,39.778122247,37.294132295,127.202577126,7,0.984642628,0.3,127,120,70,15
AP,Indonesia,Taman Safari,False,80,106.951241829,-0.891750265,-6.718469464,106.951469929,7,0.999942275,0.3,103,120,70,14
AP,Singapore,Wildlife Reserves Singapore,False,80,103.786603414,6.614930547,1.405198811,103.790463066,7,0.999837765,0.3,80,120,70,13
AP,Malaysia,Zoo Negara Malaysia,False,80,101.748619104,8.283076728,3.210452898,101.759183697,7,0.999795890,0.3,50,120,70,12
AP,Thailand,Chiang Mai Zoo,False,80,98.843468889,22.693964097,18.805796762,98.945666710,7,0.998517705,0.3,30,120,70,11
EU,Russia,Moscow Zoo,False,80,37.576673129,58.363631732,55.763382285,37.576469152,7,0.999997885,0.9,134,40,90,10
EU,Austria,Tiergarten Schönbrunn,False,80,16.302785334,51.358289006,48.182257966,16.302773769,7,0.999999883,0.9,115,40,90,9
EU,Germany,Zoo Berlin,False,80,13.337778838,55.355564178,52.508076303,13.337733240,7,0.999999389,0.9,88,40,90,8
EU,Demark,Zoo København,False,80,12.521523572,58.279674293,55.672524235,12.521422471,7,0.999997957,0.9,62,40,90,7
EU,Finland,Ähtäri Zoo,False,80,24.185472356,64.622352854,62.536518842,24.184888389,7,0.999971945,0.9,45,40,90,6
EU,Netherlands,Ouwehands Dierenpark,False,80,5.590274302,54.846872818,51.957574693,5.590267169,7,0.999999505,0.9,20,40,90,5
EU,Belgium,Pairi Daiza,False,80,3.887310663,53.578628907,50.585091557,3.887316200,7,0.999999707,0.9,-15,40,90,4
EU,France,ZooParc de Beauval,False,80,1.347924791,50.493242734,47.246112,1.347929,7,0.999999918,0.9,-50,40,90,3
EU,UK,Edinburgh Zoo,False,80,-3.268724091,58.529112326,55.942464024,-3.268561615,7,0.999997735,0.9,-75,40,90,2
EU,Spain,Zoo Madrid,False,80,-3.763637320,44.183157260,40.417389363,-3.763636756,7,0.999999994,0.9,-97,40,90,1
AM,USA,Smithsonian's National Zoo,False,80,-77.045080942,42.568885272,38.929749118,-77.049805860,8,0.999785716,0.5,-55,-50,80,24
AM,USA,Zoo Atlanta,False,80,-84.372739390,37.833787276,33.734294372,-84.372325147,8,0.999926392,0.5,-90,-50,80,23
AM,USA,Memphis Zoo,False,80,-89.997273547,39.124196431,35.150159973,-89.994318242,8,0.999901508,0.5,-120,-50,80,22
AM,Canada,Calgary Zoo,False,80,-114.116645942,53.611539576,51.045994812,-114.023673802,8,0.997415741,0.5,-150,-50,80,21
AM,Mexico,Chapultepec Zoo,False,80,-99.189881843,24.790965947,19.423420970,-99.189568518,8,0.999996123,0.5,-180,-50,80,20
AP,Australia,Adelaide Zoo,False,80,138.606415372,-25.618191653,-34.914404731,138.606100240,8,0.999997620,0.3,271,120,70,19
AP,Japan,Ueno Zoo,False,80,141.264616450,38.754409304,35.716643542,139.771324791,8,0.985672929,0.3,244,120,70,18
AP,Japan,Adventure World,False,80,136.040753351,36.886691831,33.667342425,135.375273784,8,0.988838866,0.3,195,120,70,17
AP,Japan,Kobe Oji Zoo,False,80,135.440672891,37.836657011,34.709665332,135.215270355,8,0.987326063,0.3,153,120,70,16
AP,South Korea,Everland Resort,False,80,127.199061802,40.192120572,37.294132295,127.202577126,8,0.982646985,0.3,127,120,70,15
AP,Indonesia,Taman Safari,False,80,106.951164688,0.079369602,-6.718469464,106.951469929,8,0.999922752,0.3,103,120,70,14
AP,Singapore,Wildlife Reserves Singapore,False,80,103.785455172,7.483219170,1.405198811,103.790463066,8,0.999789500,0.3,80,120,70,13
AP,Malaysia,Zoo Negara Malaysia,False,80,101.745569946,9.128514033,3.210452898,101.759183697,8,0.999736979,0.3,50,120,70,12
AP,Thailand,Chiang Mai Zoo,False,80,98.821577507,23.341991986,18.805796762,98.945666710,8,0.998200189,0.3,30,120,70,11
EU,Russia,Moscow Zoo,False,80,37.576770433,58.797006640,55.763382285,37.576469152,8,0.999996875,0.9,134,40,90,10
EU,Austria,Tiergarten Schönbrunn,False,80,16.302792392,51.887627513,48.182257966,16.302773769,8,0.999999811,0.9,115,40,90,9
EU,Germany,Zoo Berlin,False,80,13.337803135,55.830145491,52.508076303,13.337733240,8,0.999999064,0.9,88,40,90,8
EU,Demark,Zoo København,False,80,12.521571955,58.714199303,55.672524235,12.521422471,8,0.999996979,0.9,62,40,90,7
EU,Finland,Ähtäri Zoo,False,80,24.185686869,64.969991856,62.536518842,24.184888389,8,0.999961639,0.9,45,40,90,6
EU,Netherlands,Ouwehands Dierenpark,False,80,5.590278171,55.328422505,51.957574693,5.590267169,8,0.999999236,0.9,20,40,90,5
EU,Belgium,Pairi Daiza,False,80,3.887307524,54.077551799,50.585091557,3.887316200,8,0.999999541,0.9,-15,40,90,4
EU,France,ZooParc de Beauval,False,80,1.347922149,51.034431190,47.246112,1.347929,8,0.999999867,0.9,-50,40,90,3
EU,UK,Edinburgh Zoo,False,80,-3.268801109,58.960220376,55.942464024,-3.268561615,8,0.999996661,0.9,-75,40,90,2
EU,Spain,Zoo Madrid,False,80,-3.763637749,44.810785242,40.417389363,-3.763636756,8,0.999999989,0.9,-97,40,90,1
AM,USA,Smithsonian's National Zoo,False,80,-77.043678740,43.088761866,38.929749118,-77.049805860,9,0.999722124,0.5,-55,-50,80,24
AM,USA,Zoo Atlanta,False,80,-84.372880303,38.419429119,33.734294372,-84.372325147,9,0.999901353,0.5,-90,-50,80,23
AM,USA,Memphis Zoo,False,80,-89.998243489,39.691915925,35.150159973,-89.994318242,9,0.999869183,0.5,-120,-50,80,22
AM,Canada,Calgary Zoo,False,80,-114.135286348,53.978045970,51.045994812,-114.023673802,9,0.996897611,0.5,-150,-50,80,21
AM,Mexico,Chapultepec Zoo,False,80,-99.190028246,25.557758087,19.423420970,-99.189568518,9,0.999994311,0.5,-180,-50,80,20
AP,Australia,Adelaide Zoo,False,80,138.606569614,-24.290161214,-34.914404731,138.606100240,9,0.999996455,0.3,271,120,70,19
AP,Japan,Ueno Zoo,False,80,141.468869112,39.188375842,35.716643542,139.771324791,9,0.983713270,0.3,244,120,70,18
AP,Japan,Adventure World,False,80,136.137947416,37.346598889,33.667342425,135.375273784,9,0.987208769,0.3,195,120,70,17
AP,Japan,Kobe Oji Zoo,False,80,135.472530003,38.283370108,34.709665332,135.215270355,9,0.985534801,0.3,153,120,70,16
AP,South Korea,Everland Resort,False,80,127.198606043,40.606118898,37.294132295,127.202577126,9,0.980397177,0.3,127,120,70,15
AP,Indonesia,Taman Safari,False,80,106.951061462,1.050489469,-6.718469464,106.951469929,9,0.999896629,0.3,103,120,70,14
AP,Singapore,Wildlife Reserves Singapore,False,80,103.783965424,8.351507792,1.405198811,103.790463066,9,0.999726880,0.3,80,120,70,13
AP,Malaysia,Zoo Negara Malaysia,False,80,101.741641037,9.973951338,3.210452898,101.759183697,9,0.999661072,0.3,50,120,70,12
