country,level_1_government,level_2_government,bridge_name,project_code,b2p_fiscal_year,stage,individuals_directly_served,gps_latitude,gps_longitude,bridge_type,span_m,project_type
Panama,Colón,,Boqueron,1002591,2014,Complete,300,9.380841,-79.562076,Suspended Bridge,90,B2P Built
Panama,Panamá Ouest,,Ciricito,PA104,2014,Complete,375,8.785356,-80.084469,Suspension Bridge,32,B2P Built
Panama,Panamá Ouest,,La Conga,PA103,2014,Complete,200,8.847319,-79.996544,Suspension Bridge,40,B2P Built
Panama,Coclé,Penonomé District,Tocúecito,PA107,2015,Complete,500,8.6903,-80.3415,Suspended Bridge,29.9,B2P Built
Panama,Coclé,Penonomé District,Vaquilla,PA105,2015,Complete,2000,8.695247,-80.195014,Suspended Bridge,35,B2P Built
Panama,Coclé,La Pintada District,Calabase,PA108,2015,Complete,200,8.591218,-80.627362,Suspended Bridge,43,B2P Built
Panama,Veraguas,Mariato District,La Gigi,PA110,2015,Complete,350,7.639633,-80.891291,Suspended Bridge,74,B2P Supported
Panama,Panamá Ouest,,Los Cañones,PA106,2015,Complete,1200,8.932058,-80.065136,Suspension Bridge,50,B2P Built
Panama,Coclé,Penonomé District,Candelaria,PA113,2016,Complete,300,8.628306,-80.318556,Suspended Bridge,54,B2P Built
Panama,Veraguas,Mariato District,Bajo Grande,PA111,2016,Complete,400,7.638333,-80.880833,Suspended Bridge,80,B2P Built
Panama,Panamá Ouest,Capira District,Dos Aguas,PA115,2016,Complete,380,8.957097,-80.098831,Suspension Bridge,37.3,B2P Built
Panama,Coclé,Penonomé District,Lura,PA112,2016,Complete,500,8.757278,-80.360053,Suspension Bridge,51,B2P Built
Panama,Coclé,Penonomé District,Chiguiri Arriba,PA116,2016,Complete,600,8.678111,-80.195306,Suspension Bridge,68,B2P Built
Panama,Veraguas,Cañazas District,Guabal Saliente,PA117,2017,Complete,300,8.309083,-81.163333,Suspension Bridge,55,B2P Built
Peru,,,Collpatomaico,PE902,2006,Complete,900,-14.370122,-72.090965,Suspended Bridge,67,B2P Built
Peru,,,Huambramayo,PE905,2006,Complete,600,-11.838679,-74.698531,Suspended Bridge,70,B2P Built
Peru,,,Chaypara (Manatro River),PE901,2006,Complete,3000,-12.837285,-74.345033,Suspended Bridge,138,B2P Built
Peru,,,Yabina y Colpa,PE909,2007,Complete,500,-14.572559,-72.208116,Suspended Bridge,15,B2P Built
Peru,,,Mezapata,PE907,2007,Complete,600,-10.746016,-75.362751,Suspended Bridge,55,B2P Built
Peru,,,Tres Unidos,PE906,2007,Complete,2000,-6.807594,-76.234556,Suspended Bridge,65,B2P Supported
Peru,,,Aguas Blancas,PE904,2008,Complete,800,-6.595903,-78.64711,Suspended Bridge,38,B2P Built
Peru,,,Cuatro Esquinas,PE911,2008,Complete,100,-14.657134,-72.252152,Suspended Bridge,42,B2P Supported
Peru,,,Chancay Banos,PE910,2008,Complete,2500,-6.580171,-78.866357,Suspended Bridge,46,B2P Built
Philippines,,,Taupac,1002614,2013,Complete,120,15.550943,119.965322,Suspended Bridge,60,B2P Supported
Rwanda,Western Province,Ngororero,Kamasiga Kibrira,RW902,2012,Complete,10000,-1.92738,29.629086,Suspended Bridge,30,B2P Built
Rwanda,Eastern Province,Gatsibo,Mayange Nyamabare,RW903,2012,Complete,12000,-1.555918,30.211844,Suspended Bridge,85,B2P Built
Rwanda,Western Province,Karongi,Cyamtunda,1002619,2013,Complete,2400,-2.222701,29.529556,Suspended Bridge,68,B2P Built
Rwanda,Southern Province,Kamonyi,Bakokwe,1002620,2013,Complete,3000,-1.90272,29.79132,Suspended Bridge,68,B2P Built
Rwanda,Western Province,Karongi,Muregeya,1002621,2013,Complete,10000,-2.024871,29.380443,Suspension Bridge,50,B2P Built
Rwanda,Northern Province,Gakenke,Taba,1002622,2014,Complete,6500,-1.700583,29.831933,Suspended Bridge,32,B2P Built
Rwanda,Western Province,Ngororero,Rugogwe,RW103,2014,Complete,1000,-1.920847,29.631467,Suspended Bridge,54,B2P Built
Rwanda,Kigali,Gasabo,Sha,RW101,2014,Complete,3000,-1.813833,30.098779,Suspended Bridge,55,B2P Built
Rwanda,Northern Province,Gakenke,Rutenderi,RW102,2014,Complete,6500,-1.660639,29.873889,Suspended Bridge,63,B2P Built
Rwanda,Northern Province,Rulindo,Rwamahwa,RW107,2015,Complete,5000,-1.634806,29.896667,Suspended Bridge,47,B2P Built
Rwanda,Northern Province,Rulindo,Shagasha,RW106,2015,Complete,1000,-1.710694,30.048972,Suspended Bridge,57,B2P Built
Rwanda,Kigali,Gasabo,Gasura,RW104,2015,Complete,7000,-1.820833,30.113889,Suspension Bridge,44,B2P Built
Rwanda,Northern Province,Gicumbi,Gaseke,RW105,2015,Complete,4300,-1.765778,30.127389,Suspension Bridge,51,B2P Built
Rwanda,Southern Province,Nyaruguru,Coko,RW112,2016,Complete,1510,-2.747417,29.575389,Suspended Bridge,38,B2P Built
Rwanda,Southern Province,Muhanga,Kanyarira,RW111,2016,Complete,8000,-2.11375,29.705778,Suspended Bridge,45,B2P Built
Rwanda,Southern Province,Nyaruguru,Cyumba,RW109,2016,Complete,4000,-2.793167,29.699444,Suspended Bridge,48,B2P Built
Rwanda,Southern Province,Muhanga,Mubuga,RW108,2016,Complete,12000,-2.143889,29.783333,Suspended Bridge,70,B2P Built
Rwanda,Southern Province,Muhanga,Butare,RW110,2016,Complete,8000,-1.942167,29.773667,Suspended Bridge,97,B2P Built
Rwanda,Southern Province,Nyanza,Kigohe,RW116,2016,Complete,6500,-2.311972,29.630944,Suspension Bridge,29.4,B2P Built
Rwanda,Western Province,Nyabihu,Kukibuye,RW114,2016,Complete,12000,-1.602056,29.636083,Suspension Bridge,42,B2P Built
Rwanda,Western Province,Nyabihu,Tubungo,RW113,2016,Complete,10000,-1.65225,29.634444,Suspension Bridge,48,B2P Built
Rwanda,Western Province,Nyabihu,Mariba,RW115,2017,Complete,5780,-1.688611,29.542583,Suspended Bridge,40,B2P Built
Rwanda,Northern Province,Gakenke,Gasiza,RW117,2017,Complete,6700,-1.813111,29.875111,Suspended Bridge,58,B2P Built
Rwanda,Southern Province,Nyaruguru,Rugusa,RW122,2017,Complete,4000,-2.593389,29.474611,Suspended Bridge,60,B2P Built
Rwanda,Southern Province,Nyaruguru,Rwimvubu,RW121,2017,Complete,2500,-2.755667,29.536444,Suspended Bridge,60,B2P Built
Sudan,,,Yabus,SD901,2010,Complete,15000,9.939442,34.170558,Suspended Bridge,75,B2P Supported
Timor-Leste,,,Tatarima,TL901,2010,Complete,750,-8.754667,125.531316,Suspended Bridge,68,B2P Built
Timor-Leste,,,Soibada,TL903,2012,Complete,3700,-8.862475,125.957756,Suspended Bridge,85.5,B2P Built
Timor-Leste,,,Tutuluru (Same),TL902,2012,Complete,4000,-8.994597,125.689706,Suspension Bridge,79,B2P Built
Zambia,,,Lusaka Mazyopa,ZM909,2008,Complete,20000,-15.35866,28.309049,Suspended Bridge,27,B2P Built
Zambia,,,Fupashi,ZM904,2010,Complete,3600,-13.245803,28.432809,Suspended Bridge,30,B2P Built
Zambia,,,Linda Libuyu,ZM903,2010,Complete,5000,-17.857008,25.875819,Suspended Bridge,45,B2P Built
Zambia,,,Shamiyoyo,ZM901,2010,Complete,1000,-14.666479,24.50259,Suspended Bridge,65,B2P Built
Zambia,,,Malobe Louyando,ZM905,2010,Complete,500,-16.696547,27.844031,Suspended Bridge,105,B2P Built
Zambia,,,Munyumbwe,ZM902,2011,Complete,1000,-16.643535,27.780231,Suspended Bridge,80,B2P Built
Zambia,,,Msanzala,ZM907,2012,Complete,900,-14.062829,31.311532,Suspended Bridge,59,B2P Built
Zambia,,,Mtilizisa,ZM906,2013,Complete,860,-14.3846,30.86045,Suspension Bridge,50,B2P Built
Indonesia,,,Way Sekampung,ID901,2001,Complete,10000,-5.333297,104.967408,Suspension Bridge,65,B2P Supported
Peru,,,Sencico Demonstration Bridge,PE908,2011,Complete,0,-12.084876,-77.006709,Suspended Bridge,5,B2P Built
Philippines,,,San Pasqual,GO102,2015,Complete,100,15.021561,120.083424,Suspended Bridge,58,B2P Supported
Nicaragua,Nueva Segovia,Mozonte,Los Encuentros,NI134,2017,Complete,750,13.626972,-86.397,Suspension Bridge,77,B2P Built
Bolivia,Cochabamba,Tiraque,Palmar Pampa B,BO128,2017,Complete,86,-17.072033,-65.413117,Suspended Bridge,51,B2P Built
Rwanda,Kigali,Kicukiro,IPRC Demonstration Bridge,1007322,2018,Complete,,-1.98025,30.108917,Suspended Bridge,14,B2P Built
Bolivia,Cochabamba,Chapare,Gonchu Mayu,1007323,2018,Complete,700,-17.0406333,-65.98275,Suspended Bridge,64,B2P Built
Bolivia,Potosí,Nor Chichas,Chosco,1002667,2018,Complete,440,-20.48772,-65.48441,Suspended Bridge,73,B2P Supported
Panama,Veraguas,Santa Fe District,Caloveborita,1009107,2018,Complete,,8.670431,-81.184365,Suspension Bridge,65,B2P Built
Uganda,Eastern Region,Kween,Banyal,1011118,2020,Under Construction,1498,1.423756,34.549231,Suspended Bridge,51,B2P Built
Nicaragua,Madriz,Palacagüina,El Riito,1009821,2018,Complete,9000,13.463,-86.406611,Suspension Bridge,74,B2P Built
Bolivia,Chuquisaca,Azurduy,Santa Rosa,1009908,2018,Complete,830,-19.88227778,-64.397175,Suspended Bridge,84,B2P Built
Swaziland,Hhohho,Piggs Peak,Ndlembeni,1010339,2018,Complete,5000,-26.02403,31.25254,Suspended Bridge,75.6,B2P Supported
Bolivia,Cochabamba,Tapacarí,Yauri Totora,1010340,2019,Complete,150,-17.63,-66.82555,Suspended Bridge,51,B2P Built
Haiti,Artibonite,,Pina,1012176,2018,Complete,5000,19.41823,-72.40353,Suspended Bridge,40,B2P Built
Uganda,Eastern Region,Kween,Kapchemelei,1011290,2020,Confirmed,3550,1.359521,34.522313,,,B2P Built
Rwanda,Western Province,Rutsiro,Nkuna,1011309,2019,Complete,2699,-1.763,29.37679,Suspended Bridge,78,B2P Built
Rwanda,Western Province,Rutsiro,Kazo,1011307,2019,Complete,12145,-1.77286,29.37514,Suspended Bridge,58,B2P Built
Swaziland,,,Kontshingila,1010081,2018,Complete,2215,-27.04298,31.37351,Suspended Bridge,67.6,B2P Supported
Uganda,Eastern Region,Bukwo,Lulwo,1011066,2019,Complete,1626,1.304767,34.811307,Suspended Bridge,64,B2P Built
Rwanda,Western Province,Ngororero,Rwamamara,1010941,2019,Complete,4200,-1.83113,29.62303,Suspended Bridge,58,B2P Built
Uganda,Eastern Region,Kapchorwa,Kapkwomboloi,1011592,2019,Complete,693,1.3947033,34.3742902,Suspended Bridge,40,B2P Built
Bolivia,Chuquisaca,Azurduy,La Marca,1012406,2019,Complete,550,-20.11359444,-64.40594722,Suspension Bridge,110,B2P Built
Bolivia,Cochabamba,Chapare,Kayarani,1011797,2018,Complete,300,-17.2685,-65.88512,Suspended Bridge,39,B2P Built
Nicaragua,Matagalpa,El Tuma-La Dalia,"Yayule #2",1010448,2018,Complete,2000,13.021555,-85.740133,Suspension Bridge,46,B2P Built
Bolivia,Chuquisaca,Tomina,Chavarría,1010470,2018,Complete,450,-19.36176389,-64.59399167,Suspended Bridge,39,B2P Built
Uganda,Eastern Region,Kapchorwa,Sanzara,1010460,2020,Under Construction,1730,1.373657,34.3343225,Suspended Bridge,60,B2P Built
Bolivia,Chuquisaca,Jaime Zudáñez,Mojocoya,1015713,2019,Complete,656,-18.763449,-64.617235,Suspended Bridge,75,B2P Built
Uganda,Eastern Region,Bukwa,Kawuswo,1011085,2020,Complete,1374,1.419135,34.72236,Suspension Bridge,42,B2P Built
Uganda,Eastern Region,Bukwa,Tuyobei,1011084,2020,Complete,1709,1.439188,34.726114,Suspension Bridge,48,B2P Built
Uganda,Eastern Region,Kween,Posha,1011154,2021,Confirmed,3380,1.372294,34.566279,Suspension Bridge,48,B2P Built
Uganda,Eastern Region,Bulambuli,Mbigi,1011582,2020,Confirmed,2700,1.314375,34.312385,Suspension Bridge,38,B2P Built
Rwanda,Western Province,Rutsiro,Mugeri,1012457,2019,Complete,2890,-2.02408333,29.41472222,Suspended Bridge,63,B2P Built
Bolivia,La Paz,Pacajes,Mallkuchusi,1012377,2019,Complete,63,-17.683972,-68.764886,Suspended Bridge,93,B2P Supported
Rwanda,Southern Province,Huye,Gahororo,1012501,2019,Complete,7000,-2.62148611,29.64888889,Suspended Bridge,72.3,B2P Built
Bolivia,Chuquisaca,Tarvita,Puka Mayu,1012507,2019,Complete,600,-19.92729167,-64.48491944,Suspended Bridge,30,B2P Built
Rwanda,Southern Province,Ruhango,Serugeme,1012480,2019,Complete,4111,-2.2280555556,29.5733333333,Suspended Bridge,87,B2P Built
Rwanda,Western Province,Rutsiro,Kagogo,1013662,2020,Under Construction,1468,-1.903292,29.369892,Suspension Bridge,49,B2P Built
Rwanda,Southern Province,Nyamagabe,Rweru,1013218,2020,Under Construction,2670,-2.52613,29.56947,Suspension Bridge,46,B2P Built
Rwanda,Western Province,Rutsiro,Kiruri,1012813,2020,Under Construction,3290,-1.986389,29.409167,Suspended Bridge,50,B2P Built
Bolivia,Cochabamba,Quillacollo,Chaupi Mayu,1012694,2019,Complete,7025,-17.373129,-66.333433,Suspended Bridge,65,B2P Built
Bolivia,Cochabamba,Chapare,Miguelito,1012692,2019,Complete,725,-17.15314,-65.768406,Suspended Bridge,45,B2P Built
Bolivia,Cochabamba,Quillacollo,Uchu Uchu,1012693,2019,Complete,2000,-17.37605278,-66.46990556,Suspended Bridge,67,B2P Built
Rwanda,Southern Province,Nyamagabe,Gitikirema-kigarama,1012817,2020,Under Construction,2805,-2.304674,29.472585,Suspended Bridge,68,B2P Built
Uganda,Eastern Region,Bukwo,Aryowet,1021288,2019,Confirmed,1666,1.390363,34.700049,Suspension Bridge,,B2P Built
Uganda,Eastern Region,Bukwo,Chemuron,1021307,2019,Confirmed,1211,1.416775,34.748919,,,B2P Built
Rwanda,Southern Province,Nyaruguru,Tugogo,1007901,2018,Complete,3500,-2.554167,29.507278,Suspended Bridge,56,B2P Built
Rwanda,Western Province,Ngororero,Kivugiza,1013457,2020,Under Construction,2656,-1.9496,29.568055,Suspended Bridge,53,B2P Built
Rwanda,Western Province,Ngororero,Buhito,1013541,2020,Under Construction,2335,-1.817908,29.544044,Suspended Bridge,33,B2P Built
Rwanda,Western Province,Rutsiro,Nkora,1013658,2020,Under Construction,1348,-1.8675,29.324166,Suspended Bridge,40,B2P Built
Bolivia,Potosí,Charcas,Challwiri,1014453,2019,Complete,5000,-18.268516,-65.979936,Suspended Bridge,90,B2P Built
Rwanda,Western Province,Rutsiro,Kirumbi,1012986,2020,Under Construction,3294,-1.940958,29.514561,Suspension Bridge,56,B2P Built
Rwanda,Western Province,Ngororero,Kivomo,1013353,2019,Complete,1768,-2.026616,29.57632,Suspension Bridge,86,B2P Built
Rwanda,Southern Province,Muhanga,Gashyushya,1012953,2020,Under Construction,2200,-2.01211492,29.76212259,Suspension Bridge,42,B2P Built
Rwanda,Western Province,Rutsiro,Rwinyoni,1013641,2020,Under Construction,1641,-1.80169,29.29776,Suspended Bridge,45,B2P Built
Uganda,Eastern Region,Kween,Tabagon,1017617,2020,Under Construction,1245,1.421969,34.546568,Suspended Bridge,55.5,B2P Built
Bolivia,Chuquisaca,Azurduy,Kuñuri Pampa,1018541,2020,Confirmed,296,-19.755422,-64.471566,Suspended Bridge,50,B2P Built
Bolivia,Potosí,Charcas,Río San Pedro,1017675,2020,Under Construction,970,-18.292978,-65.972312,Suspended Bridge,130,B2P Built
Uganda,Eastern Region,Bukwo,Rwanda,1015528,2019,Complete,1742,1.283832,34.726981,Suspension Bridge,49,B2P Built
Bolivia,Potosí,Charcas,Quioma,1016673,2020,Under Construction,285,-18.210034,-65.585277,Suspended Bridge,138,B2P Built
Rwanda,Southern Province,Muhanga,Rufuha,1017673,2020,Under Construction,1000,-2.012167,29.763889,Suspension Bridge,33.7,B2P Built
Bolivia,Chuquisaca,Hernando Siles,Ñacamiri,1018652,2020,Confirmed,560,-20.71548,-64.027244,Suspended Bridge,82,B2P Built
