TerminalID,ProjectID,ComboID,Facility,Country,Region,Wiki,Name,Other Names,Owner,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,Capacity Unit,mtpa,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,Floating,Pre-FID,FID Year
T0218,2,T02182,Export,USA,North America,https://www.gem.wiki/Delfin_LNG_Terminal,Delfin LNG Terminal T2,,"Fairwood Group, 100.00%",Proposed,2024,,,,3.00,mtpa,3.00,"Port Delfin, Cameron Parish",,Louisiana,29.074272,-92.834569,approximate,yes,Pre-FID,
T0218,3,T02183,Export,USA,North America,https://www.gem.wiki/Delfin_LNG_Terminal,Delfin LNG Terminal T3,,"Fairwood Group, 100.00%",Proposed,2024,,,,3.00,mtpa,3.00,"Port Delfin, Cameron Parish",,Louisiana,29.074272,-92.834569,approximate,yes,Pre-FID,
T0218,4,T02184,Export,USA,North America,https://www.gem.wiki/Delfin_LNG_Terminal,Delfin LNG Terminal T4,,"Fairwood Group, 100.00%",Proposed,2024,,,,3.00,mtpa,3.00,"Port Delfin, Cameron Parish",,Louisiana,29.074272,-92.834569,approximate,yes,Pre-FID,
T0219,1,T02191,Export,USA,North America,https://www.gem.wiki/Driftwood_LNG_Terminal,Driftwood LNG Terminal Phase 1 (T1-T4),,"Tellurian Inc., Total S.A.",Proposed,2024,,,,5.52,mtpa,5.52,Calcasieu Parish,,Louisiana,30.23,-93.36,approximate,no,Pre-FID,2023
T0219,2,T02192,Export,USA,North America,https://www.gem.wiki/Driftwood_LNG_Terminal,Driftwood LNG Terminal Phase 2 (T5-T8),,"Tellurian Inc., Total S.A.",Proposed,2025,,,,5.52,mtpa,5.52,Calcasieu Parish,,Louisiana,30.23,-93.36,approximate,no,Pre-FID,2023
T0219,3,T02193,Export,USA,North America,https://www.gem.wiki/Driftwood_LNG_Terminal,Driftwood LNG Terminal Phase 3 (T9-T12),,"Tellurian Inc., Total S.A.",Proposed,2026,,,,5.52,mtpa,5.52,Calcasieu Parish,,Louisiana,30.23,-93.36,approximate,no,Pre-FID,2023
T0219,4,T02194,Export,USA,North America,https://www.gem.wiki/Driftwood_LNG_Terminal,Driftwood LNG Terminal Phase 4 (T13-T16),,"Tellurian Inc., Total S.A.",Proposed,2027,,,,5.52,mtpa,5.52,Calcasieu Parish,,Louisiana,30.23,-93.36,approximate,no,Pre-FID,2023
T0219,5,T02195,Export,USA,North America,https://www.gem.wiki/Driftwood_LNG_Terminal,Driftwood LNG Terminal Phase 5 (T17-T20),,"Tellurian Inc., Total S.A.",Proposed,,,,,5.52,mtpa,5.52,Calcasieu Parish,,Louisiana,30.23,-93.36,approximate,no,Pre-FID,2023
T0220,1,T02201,Export,USA,North America,https://www.gem.wiki/Eagle_LNG_Terminal,Eagle LNG Terminal T1,"Eagle LNG Partners / Eagle LNG Partners Jacksonville LLC,Jacksonville LNG Terminal","Ferus Inc, 100.00%",Proposed,2022,,,,0.33,mtpa,0.33,Jacksonville,,Florida,30.336944,-81.661389,approximate,no,Pre-FID,2021
T0220,2,T02202,Export,USA,North America,https://www.gem.wiki/Eagle_LNG_Terminal,Eagle LNG Terminal T2,"Eagle LNG Partners / Eagle LNG Partners Jacksonville LLC,Jacksonville LNG Terminal","Ferus Inc, 100.00%",Proposed,2022,,,,0.33,mtpa,0.33,Jacksonville,,Florida,30.336944,-81.661389,approximate,no,Pre-FID,2021
T0220,3,T02203,Export,USA,North America,https://www.gem.wiki/Eagle_LNG_Terminal,Eagle LNG Terminal T3,"Eagle LNG Partners / Eagle LNG Partners Jacksonville LLC,Jacksonville LNG Terminal","Ferus Inc, 100.00%",Proposed,2022,,,,0.33,mtpa,0.33,Jacksonville,,Florida,30.336944,-81.661389,approximate,no,Pre-FID,2021
T0221,1,T02211,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T1,Southern LNG,Kinder Morgan,Operating,2019,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,10,T022110,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T10,Southern LNG,Kinder Morgan,Operating,2020,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,2,T02212,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T2,Southern LNG,Kinder Morgan,Operating,2019,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,3,T02213,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T3,Southern LNG,Kinder Morgan,Operating,2019,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,4,T02214,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T4,Southern LNG,Kinder Morgan,Operating,2019,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,5,T02215,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T5,Southern LNG,Kinder Morgan,Operating,2019,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,6,T02216,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T6,Southern LNG,Kinder Morgan,Operating,2020,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,7,T02217,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T7,Southern LNG,Kinder Morgan,Operating,2020,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,8,T02218,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T8,Southern LNG,Kinder Morgan,Operating,2020,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0221,9,T02219,Export,USA,North America,https://www.gem.wiki/Elba_Island_LNG_Terminal,Elba Island LNG Terminal T9,Southern LNG,Kinder Morgan,Operating,2020,,,,0.25,mtpa,0.25,Elba Island,,Georgia,32.091111,-81.000278,exact,no,,
T0222,1,T02221,Export,USA,North America,https://www.gem.wiki/Eos_LNG_Terminal,Eos LNG Terminal,,Eos,Cancelled,,,,,1.60,bcf/d,12.16,Brownsville,,Texas,25.950835,-97.410844,approximate,yes,,
T0223,1,T02231,Export,USA,North America,https://www.gem.wiki/Floridian_LNG_Terminal,Floridian LNG Terminal,Floridian Natural Gas Storage Company,Tesla Resources LLC,Cancelled,,,,,0.10,bcf/d,0.76,Martin County,,Florida,27.08,-80.4,approximate,no,,
T0224,0,T02240,Import,USA,North America,https://www.gem.wiki/Freeport_LNG_Terminal,Freeport LNG Import Terminal,,"Zachary Hastings, Osaka Gas, Dow Chemical Company, Global Infrastructure Partners, Freeport LNG",Operating,2008,,,,13.20,mtpa,13.20,Freeport,,Texas,28.932003,-95.317355,exact,no,,
