project,owner,status,countries,type,geom,pci,capacity,capacity_unit,lat,lng,route,url
Kemenchug-Ananijiv Gas Pipeline,,operating,"Russia, Ukraine",Gas Pipeline,line,,,,,,"49.076571,33.426097:47.717178,29.992502",https://www.gem.wiki/Kemenchug-Ananijiv_Gas_Pipeline
Kursk-Kyiv Gas Pipeline,"Gazprom, Naftogaz",operating,"Russia, Ukraine",Gas Pipeline,line,,14.0,bcm/year,,,"51.710593,36.156182:50.455665,30.522010",https://www.gem.wiki/Kursk_Kyiv_Pipeline
Moscow-Kiev Gas Pipeline,,operating,"Russia, Ukraine",Gas Pipeline,line,,,,,,"55.76435872066528,37.49460269322804:50.41124603801808,30.53734404621391",http://bit.ly/2uH9JnO
Mozdok-Kazimagomed Pipeline,Gazprom,operating,"Russia, Azerbaijan",Gas Pipeline,line,,10.0,bcm/year,,,"40.042592,48.936291:40.448467,49.697380:42.576670,47.872780:43.168610,46.919170:43.738082,44.594852",https://www.gem.wiki/Mozdok-Kazimagomed_Pipeline
Mozdok–Makhachkala–Kazi Magomed Gas Pipeline,"SOCAR, Gazprom",operating,"Russia, Azerbaijan",Gas Pipeline,line,,13.0,bcm/year,,,"43.7545891,44.6295325:42.9801505,47.4745404:40.041004,48.9177784",https://www.gem.wiki/Mozdok-Makhachkala-Kazi_Magomed_Gas_Pipeline
Nord Stream 2 Gas Pipeline,"Gazprom, BASF, Engie, E.ON, OMV, Royal Dutch Shell",construction,"Russia, Germany",Gas Pipeline,line,,55.0,bcm/year,,,"59.57259,28.23864:59.63024,28.003005:59.688533,27.793934:59.908014,27.384705:59.975734,27.401435:60.116581,27.093307:60.18,26.9532:60.1199,26.673:60.0541,26.2917:60.0417,26.125:59.9867,25.97:59.9416,25.3666:59.95,25.0333:59.7133,24.0333:59.4481,22.1672:59.2667,21.2:58.915,20.4017:58.715886,20.460928:56.4841,18.8536:56.2984,18.61:56.21,18.1534:55.6267,16.5117:55.5533,16.5033:55.0466,15.9649:54.7461,15.2933:54.5197,14.2074:54.5286,14.016:54.3909,13.7941:54.3674,13.7909:54.3612,13.7795:54.2994,13.7706:54.2454,13.6981:54.2217,13.697:54.1948,13.6325:54.1607,13.633:54.1468,13.6398",https://www.gem.wiki/Nord_Stream_2_Gas_Pipeline
Nord Stream Gas Pipeline,"Gazprom, BASF, E.ON, Gasunie, Engie",operating,"Russia, Germany",Gas Pipeline,line,,55.0,bcm/year,,,"60.5267,28.0733:60.5018,28.0898:60.4141,28.0547:60.2367,27.8032:60.1452,27.4783:60.13,26.9532:60.0699,26.673:60.0041,26.2917:59.9917,26.125:59.9367,25.97:59.8916,25.3666:59.9,25.0333:59.6633,24.0333:59.3981,22.1672:59.2167,21.2:58.825,20.4217:56.5241,18.7936:56.3384,18.57:56.25,18.1134:55.6667,16.4717:55.5933,16.4633:55.0866,15.9249:54.7861,15.2533:54.5597,14.1674:54.5086,14.016:54.3809,13.8041:54.3574,13.8009:54.3512,13.7895:54.2894,13.7806:54.2354,13.7081:54.2117,13.707:54.1948,13.6325:54.1607,13.633:54.1468,13.6398",https://www.gem.wiki/Nord_Stream_Gas_Pipeline
North Caucasus Transcaucasia Pipeline,"Gazprom, Georgian Oil & Gas Corporation",operating,"Russia, Georgia",Gas Pipeline,line,,,,,,"43.758116,44.647433:41.701561,44.822310",https://www.gem.wiki/North_Caucasus_Transcaucasia_Pipeline
Northern Lights Gas Pipeline,Gazprom,operating,"Russia, Belarus",Gas Pipeline,line,,51.0,bcm/year,,,"65.9563411,78.3392135:63.8602574,57.2999595:63.5677886,53.7296915:58.8763635,40.2334605:57.0371386,34.9477785:54.790766,32.0222245:53.9062425,27.5455855",https://www.gem.wiki/Northern_Lights_Gas_Pipeline
Orenburg-Novopskov Gas Pipeline,"Gazprom, Naftogaz",operating,"Ukraine, Kazakhstan, Russia",Gas Pipeline,line,,18.0,bcm/year,,,"51.867406,54.712198:51.685701,53.085567:51.337863,51.514496:50.923284,49.940858:50.193327,48.799075;49.987945,46.876956:49.795159,45.302671:49.645610,43.593049:49.525584,42.046459:49.517109,40.566093",https://www.gem.wiki/Orenburg_Novopskov_Pipeline
Ostrogozhsk-Shebelinka Gas Pipeline,"Gazprom, Naftogaz",operating,"Ukraine, Russia",Gas Pipeline,line,,23.0,bcm/year,,,"50.855832,39.064697:50.193804,38.104345:49.451354,36.519052",https://www.gem.wiki/Ostrogozhsk_Shebelinka_Pipeline
Ostrogozjk-Shebelinka Gas Pipeline,,operating,"Russia, Ukraine",Gas Pipeline,line,,,,,,"50.863707,39.075692:49.452693,36.518538",https://www.gem.wiki/Ostrogozjk-Shebelinka_Gas_Pipeline
Petrovsk-Frolovo-Izobilnoye Gas Pipeline,Gazprom,operating,"Ukraine, Russia",Gas Pipeline,line,,,,,,"52.314648,45.388033:49.772338,43.650505:44.492927,41.215734",https://www.gem.wiki/Petrovsk_Frolovo_Izobilnoye_Pipeline
Petrovsk-Novopskov Gas Pipeline,Gazprom,operating,"Ukraine, Russia",Gas Pipeline,line,,14.0,bcm/year,,,"52.2602,45.41893:52.170415,45.427056:52.138027,45.011635:52.111511,44.978676:52.113616,44.954644:52.092982,44.889412:52.092982,44.799462:52.083714,44.782982:52.0854,44.750023:52.031444,44.675865:51.985868,44.549523:51.933483,44.405327:51.89374,44.39635:51.882729,44.358635:51.833613,44.313317:51.789532,44.236412:51.79038,44.199333:51.774263,44.175988:51.775111,44.148522:51.759837,44.033165:51.69019,43.990593:51.675738,43.899956:51.640012,43.853264:51.651924,43.802452:51.631502,43.78048:51.637459,43.750267:51.617031,43.728295:51.51475,43.500328:51.480605,43.493462:51.455834,43.390465:51.37451,43.21158:51.353189,43.224297:51.27777,43.027916:51.178163,42.728539:51.083509,42.661248:51.074894,42.501946:51.059384,42.34951:51.087816,42.128411:51.06714,42.03228:50.973121,41.933403:50.9266,41.85361:50.907453,41.824913:50.862469,41.804314:50.799245,41.800194:50.748951,41.732903:50.686441,41.712303:50.670801,41.688958:50.649069,41.683464:50.629067,41.658745:50.552459,41.653252:50.505388,41.554375:50.456087,41.489144:50.404987,41.491204:50.388378,41.454125:50.370889,41.342888:50.360393,41.327782:50.288604,41.197319:50.26008,41.13578:50.139428,41.009178:50.156124,40.948754:50.140307,40.884209:50.080506,40.837517:50.024155,40.814171:49.955388,40.707054:49.945682,40.705681:49.905955,40.579338:49.910371,40.561486:49.899773,40.418663:49.860892,40.341759:49.84781,40.26104:49.820211,40.157738:49.830827,40.112419:49.755138,39.938011:49.688203,39.948785:49.674006,39.8872:49.630503,39.859047:49.631835,39.675713:49.624285,39.527397:49.584294,39.443627:49.53804,39.325524:49.52606,39.15113",https://www.gem.wiki/Petrovsk_Novopskov_Pipeline
Rostov-Taganrog-Zhdanov Gas Pipeline,Gazprom,operating,"Russia, Ukraine",Gas Pipeline,line,,,,,,"57.183367,39.421054:47.207382,38.946179:48.228737,34.753509",https://www.gem.wiki/Serpukhov-Kalinin-Leningrad_Pipeline
Rostovondon-Berdyansk Pipeline,,operating,"Russia, Ukraine",Gas Pipeline,line,,,,,,"47.37051342,39.56608665:47.00319684,36.73008563",http://bit.ly/36BeaxI
Russian Federation – Turkey Natural Gas Main Transmission Line,BOTAŞ,operating,"Russia, Turkey",Gas Pipeline,line,,4.0,bcm/year,,,"39.9821014,32.8106995:39.9747009,32.7094002:39.9376984,32.612999:39.8674011,32.612999:39.8414993,32.4730988:39.8637009,32.3572998:39.9487991,32.2801018:39.9229012,32.0679016:39.7710991,31.9713993:39.7970009,31.9039001:39.8156013,31.8556004:39.7970009,31.7206001:39.8488998,31.6772003:39.8156013,31.4648991:39.8674011,31.4118996:39.8193016,30.9969997:39.8969994,30.7751007:39.8637009,30.5869999:39.9118004,30.5387993:39.9784012,30.1142998:40.0780983,29.8199997:40.0411987,29.7380009:40.1260986,29.5160999:40.1997986,29.4920006:40.2661018,29.2266998:40.3470001,29.2507992:40.4351997,29.3327999:40.486599,29.4533997:40.7392998,29.5450993:40.7685013,29.6077995:40.8779984,29.4678993:40.7904015,29.2364006:40.8852997,28.9661999:40.9071999,28.8167:41.0965004,28.7154007:41.1618996,28.5804005:41.1114006,28.2907009:41.1764984,28.0098:41.2206993,27.9265003:41.2787018,27.7196007:41.4227982,27.5722008:41.5167999,27.4081993:41.6575012,27.4227009:41.8147011,27.3645992:41.8492012,27.2998009:42.0283012,27.2595997",https://www.gem.wiki/Russian_Federation-Turkey_Natural_Gas_Main_Transmission_Line
South Stream Gas Pipeline,"Gazprom, Agence des participations de l'État, Eni S.p.A., BASF",cancelled,"Russia, Bulgaria, Serbia, Hungary, Croatia, Slovakia, Slovenia, Austria, Greece, Italy",Gas Pipeline,line,,63.0,bcm/year,,,"45.855134,41.5968275:44.075309,39.0589425:43.2247774,27.8638314:43.2168004,24.5569034:40.6761007,22.9638424:40.5927587,22.4968804:40.077759,22.5023304:39.5757733,20.1786794:40.6303817,17.9099594;43.2168004,24.5569034:43.877749,22.3970115:44.6917726,20.8863485:46.0920019,19.4965345;46.0920019,19.4965345:48.0594858,17.0729705;46.0920019,19.4965345:46.8261275,17.8815015:46.1377538,14.5086555:46.6718636,13.6351995",https://www.gem.wiki/South_Stream_Gas_Pipeline
Soyuz Gas Pipeline,Naftogaz,operating,"Russia, Ukraine, Slovakia",Gas Pipeline,line,,32.0,bcm/year,,,"51.7947027,55.0718155:48.6202945,22.2651725",https://www.gem.wiki/Soyuz_Gas_Pipeline
Stavropol-Moscow Gas Pipeline,Gazprom,retired,"Ukraine, Russia",Gas Pipeline,line,,,,,,"46.5425,40.63611:46.568774,40.616455:46.581282,40.618858:46.635058,40.524101:46.643308,40.520668:46.92729,40.182495:46.943231,40.175629:47.424371,39.710083:47.73424,39.66751:47.82883,39.545288:47.997274,39.462891:48.162421,39.523315:48.60749,39.402466:48.680081,39.325562:48.987427,39.281616:49.52606,39.15113:49.709385,39.100342:49.808745,39.022064:49.839754,38.998718:49.872513,39.006958:49.973306,38.956146:50.165463,38.991852:50.189209,38.965759:50.238422,38.958893:50.346337,38.978119:50.393637,38.94104:50.537872,38.94928:50.581493,38.9328:50.767734,38.997345:50.83566,38.99924:50.864478,39.012451:51.000361,39.002838:51.047222,39.019318:51.138217,39.005241:51.164275,38.987389:51.19333,39.003868:51.255899,38.991508:51.287688,38.976402:51.328252,38.932457:51.392137,38.900528:51.465558,38.963013:51.596055,38.980179:51.623985,38.998375:51.65062,39.002838:51.667019,38.987389:51.681071,38.983955:51.733407,38.946533:51.799274,38.867569:51.849353,38.792725:51.863772,38.792038:51.903613,38.788605:51.956115,38.743286:52.075286,38.648529:52.114517,38.622437:52.125901,38.601151:52.161297,38.580551:52.213076,38.535233:52.24504,38.516006:52.292103,38.524246:52.336598,38.494034:52.412053,38.481674:52.435083,38.467941:52.456428,38.473434:52.538361,38.461075:52.654728,38.328552:52.742112,38.303146:52.798195,38.289413:52.804007,38.29422:52.856693,38.283234:52.928361,38.235168:52.957325,38.204956:53.040387,38.154144:53.062263,38.114319:53.15146,37.98209:53.205621,37.985916:53.253712,37.933731:53.330463,37.890472:53.41076,37.806015:53.444717,37.75383:53.577015,37.650833:53.749523,37.494965:53.820922,37.469559:53.822949,37.460632:53.861436,37.441406:53.884512,37.376175:53.91179,37.34291:54.1986,37.610321:54.437304,37.466125:54.567882,37.428017:54.617412,37.432137:54.630332,37.423553:54.642055,37.443123:54.679786,37.424583:54.717878,37.43454:54.769603,37.41394:54.805038,37.41394:54.836686,37.423553:54.89517,37.481575:54.896157,37.492218:54.922012,37.506981:54.9684,37.50156:54.987169,37.476254:54.986972,37.450161:55.001251,37.433681:55.061461,37.431965:55.104203,37.439518:55.111568,37.43454:55.164946,37.447758:55.205619,37.48312:55.205814,37.486897:55.22119,37.486038:55.384572,37.541656:55.53718,37.591095:55.634973,37.624054:55.749531,37.617188",https://www.gem.wiki/Stavropol_Moscow_Pipeline
Torzhok-Minsk-Ivatsevichi Gas Pipeline,Gazprom,operating,"Russia, Belarus",Gas Pipeline,line,,,,,,"57.036170,34.963947:53.904319,27.549519:52.707535,25.335553",https://www.gem.wiki/Torzhok-Minsk-Ivatsevichi_Gas_Pipeline
Torzhok-Smolensk-Mazyr-Dolyna Gas Pipeline,"Naftogaz, Gazprom",operating,"Russia, Belarus, Ukraine",Gas Pipeline,line,,30.0,bcm/year,,,"57.0393, 34.974: 55.6467, 32.702: 54.7952, 32.049: 54.6334, 31.002: 54.6381, 30.843: 54.5729, 30.452: 54.4938, 30.252: 54.438, 29.889: 54.3402, 29.433: 54.3263, 29.117: 54.2239, 28.954: 54.196, 28.642: 54.047, 28.474: 54.1273, 27.997: 54.1273, 27.997: 53.7952, 27.38: 53.5421, 27.038: 53.2231, 26.676: 52.708, 25.335: 52.2139, 24.358: 52.0674, 24.32: 51.8573, 24.086: 51.6331, 24.514: 51.2339, 24.666: 51.0605, 24.412: 50.8563, 24.276: 50.6984, 24.273: 50.587, 24.245: 50.4694, 24.27: 49.9339, 24.016: 49.4356, 23.877: 49.1553, 23.905",https://www.gem.wiki/Torzhok_Smolensk_Mazyr_Dolyna_Pipeline
Tula-Shostka-Kiev Gas Pipeline,"Naftogaz, Gazprom",operating,"Russia, Ukraine",Gas Pipeline,line,,,,,,"53.91179,37.34291:53.922134,37.151642:53.906765,36.985474:53.932645,36.763:53.897056,36.644897:53.827407,36.469116:53.778746,36.33728:53.771442,36.177979:53.725154,35.991211:53.634054,35.822296:53.546836,35.680847:53.425901,35.370483:53.37145,35.115738:53.333333,34.991455:53.300928,34.940643:53.250836,34.770355:53.274247,34.61174:53.26973,34.466171:53.298056,34.162674:53.107217,33.95874:52.241256,33.634644:51.8731,33.475342:51.464275,31.322021:50.428643,30.521393",https://www.gem.wiki/Tula-Shostka-Kiev_Gas_Pipeline
TurkStream 2 Gas Pipeline,Gazprom,operating,"Russia, Turkey, Bulgaria, Serbia, Hungary",Gas Pipeline,line,,15.75,bcm/year,,,"44.8879545,37.3032745:44.088606,36.5430605:42.5217427,30.0786424:41.6386562,28.0724844:41.4063233,27.3380684:40.8664606,26.6266604:40.9173596,26.3313594:42.9931063,23.2111224:46.2328864,20.0704295",https://www.gem.wiki/TurkStream_2_Gas_Pipeline
TurkStream Gas Pipeline,Gazprom,operating,"Russia, Turkey",Gas Pipeline,line,,15.75,bcm/year,,,"44.8879545,37.3032745:44.088606,36.5430605:42.5217427,30.0786424:41.6386562,28.0724844:41.4063233,27.3380684:40.8664606,26.6266604:40.9173596,26.3313594",https://www.gem.wiki/TurkStream_Gas_Pipeline
Urengoy-Novopskov Gas Pipeline,"Gazprom, Naftogaz",operating,"Ukraine, Russia",Gas Pipeline,line,,,,,,"66.071385,76.797931:65.318595,73.041293:64.787876,70.936146:64.226985,69.050016:63.703598,66.674724:62.237523,63.542894:61.337918,63.299371:61.331391,63.211494:61.268295,63.039741:61.240503,63.007308:61.219980,62.803320:61.206228,62.790385:61.186842,62.742757:61.113333,62.422874:61.117632,62.340421:61.092762,62.254549:61.056362,61.998225:61.052275,61.889593:60.926621,61.609205:60.918402,61.495838:60.894613,61.459552:60.680350,60.573895:60.686714,60.523517:60.619672,60.346441:59.956597,60.155515:59.730932,60.340113:59.608377,60.498508:59.079313,60.496720:58.985638,60.518701:58.903355,60.395213:59.002712,59.636543:56.467563,57.199159:56.224885,56.936727:56.080662,56.943803:56.064444,56.897747:55.373335,56.509523:55.436772,56.361287:55.356011,55.127404:53.489920,50.276162:53.683681,49.723078:53.546608,48.973579:51.963744,44.326347:51.444509,43.141575:50.996598,41.783605:50.330080,41.065779:49.526058,39.151132",https://www.gem.wiki/Urengoy_Novopskov_Pipeline
Urengoy-Pomary-Uzhgorod Pipeline,"Gazprom, Naftogaz",operating,"Russia, Ukraine",Gas Pipeline,line,,32.0,bcm/year,,,"66.48333,76.51694:66.438166,76.306915:66.426086,76.191559:66.394211,76.113281:66.392011,76.021271:66.355136,75.741119:66.347975,75.614777:66.304965,75.379944:66.252758,75.29068:66.223154,75.263901:66.202105,75.204163:66.171332,75.184937:66.109116,75.08194:66.062076,75.043488:66.021925,74.906158:65.997637,74.761276:65.9575,74.68083:65.917069,74.583435:65.872199,74.395294:65.826688,74.251099:65.71877,73.929749:65.697019,73.89267:65.579475,73.606339:65.425,73.46944:65.358822,73.418198:65.300068,73.313141:65.277678,73.230743:65.134857,73.094788:65.08891,72.960205:64.931107,72.825623:64.90491,72.721252:64.860024,72.68692:64.70639,72.34889:64.669744,72.291412:64.421258,72.033234:64.37319,71.647339:64.387441,71.475677:64.355959,71.250458:64.319681,71.173553:64.30139,71.08806:64.265473,71.006012:64.254737,70.878296:64.301822,70.75058:64.327863,70.630074:64.310456,70.141525:64.237731,70.076294:64.201298,69.945145:64.03361,69.53944:64.0157,69.45488:64.006974,69.270172:63.99102,69.179535:63.91202,68.903503:63.924095,68.577347:63.903866,68.489456:63.920775,68.426971:63.911718,68.212738:63.851262,67.886581:63.815,67.83194:63.810986,67.759552:63.760333,67.505493:63.696508,67.373657:63.663019,67.322159:63.62888,67.193069:63.386908,66.998062:63.24972,66.93556:63.011678,66.522217:62.906009,66.414757:62.866265,66.352272:62.792423,66.285324:62.756769,66.225243:62.733972,66.226616:62.641975,66.078987:62.587809,66.017876:62.56278,65.94944:62.543044,65.849648:62.52024,65.796089:62.50265,65.78373:62.452676,65.670776:62.366175,65.639191:62.346423,65.606918:62.342279,65.581512:62.287407,65.476456:62.197866,65.425644:62.015085,65.064468:61.982848,64.874268:61.9484,64.82363:61.909543,64.750671:61.842219,64.708786:61.783189,64.559784:61.750869,64.526825:61.737704,64.497986:61.697198,64.452667:61.683684,64.417648:61.629897,64.37542:61.502226,64.093552:61.495673,63.951759:61.468135,63.858891:61.436552,63.692036:61.43532,63.538742:61.40031,63.34534:61.394418,63.296356:61.266833,63.281899:61.201223,63.117791:61.169192,63.069039:61.146553,62.945443:61.150024,62.876091:61.129025,62.832833:61.115128,62.8088:61.044059,62.49363:61.047376,62.405052:61.022492,62.324028:60.98759,62.06351:60.983301,61.95942:60.882444,61.758919:60.855094,61.667595:60.848753,61.564598:60.821709,61.526146:60.61024,60.64312:60.618309,60.589562:60.54671,60.41164:60.448414,60.32795:60.428088,60.339623:60.406054,60.322457:60.316068,60.345116:60.294299,60.328636:59.959135,60.222893:59.81799,60.3246:59.607349,60.564843:59.331088,60.514031:59.247628,60.525017:59.206876,60.508538:59.092088,60.531884:59.077977,60.566216:58.985406,60.586815:58.831099,60.460472:58.93444,59.69917:58.668994,59.300042:58.664005,59.213524:58.56765,59.127007:58.430152,58.864708:58.417952,58.870201:58.28623,58.50927:58.168356,58.115578:58.075344,58.092232:58.046341,58.071633:57.969006,58.073693:57.916628,58.025627:57.899516,57.967949:57.780598,57.885552:57.657619,57.567635:57.630478,57.543602:57.558126,57.480431:57.490786,57.52369:57.51843,57.4476:57.483725,57.397385:57.406502,57.360306:57.362831,57.307434:57.284424,57.320824:57.261037,57.298851:57.217378,57.195511:57.212172,57.152596:57.153934,57.015266:57.151327,56.994667:57.131954,56.948318:57.131023,56.784554:57.109402,56.687737:57.106233,56.598473:56.989703,56.338577:56.963134,56.272659:56.921184,56.155243:56.923995,56.136017:56.905441,56.090012:56.8774,56.03199:56.905909,55.789604:56.890628,55.754585:56.868492,55.669613:56.868117,55.587902:56.848127,55.528507:56.80069,55.195313:56.785648,55.148964:56.775586,55.107079:56.719957,54.995155:56.627343,54.676208:56.640749,54.616127:56.606374,54.264908:56.61374,54.24375:56.612042,54.208946:56.539612,54.098396:56.543208,53.938065:56.527874,53.871117:56.536962,53.663578:56.54018,53.44368:56.554752,53.195114:56.567239,53.181381:56.573859,53.088684:56.581234,53.066711:56.56232,52.949982:56.532607,52.68837:56.537908,52.493019:56.526927,52.444611:56.531471,52.325821:56.517458,52.298698:56.49415,52.22866:56.490363,52.189178:56.501165,52.077942:56.493585,52.045326:56.500408,51.975975:56.449211,51.698227:56.453764,51.654968:56.434407,51.525192:56.390724,51.403656:56.388063,51.377563:56.367532,51.327438:56.363729,51.247101:56.27653,50.908241:56.284344,50.843353:56.252601,50.754433:56.210475,50.614529:56.21711,50.55685:56.182827,50.44158:56.1574,50.36948:56.157788,50.331459:56.161038,50.281076:56.16534,50.269661:56.162902,50.189924:56.178193,50.129328:56.17676,50.094566:56.11996,49.959898:56.104933,49.842567:56.089326,49.798794:56.094162,49.643955:56.088224,49.54422:56.079748,49.515123:56.055983,49.471264:56.059626,49.448433:56.06044,49.355221:56.038966,49.317884:56.021125,49.306469:56.000541,49.242611:55.998525,49.197893:56.012346,49.153519:56.01652,49.130602:56.015033,49.027863:55.995597,48.985376:55.995357,48.965979:55.985035,48.929501:55.988108,48.898859:55.975143,48.873024:55.962606,48.803973:55.978121,48.700075:56.002797,48.627119:55.98833,48.60083:55.996173,48.46344:55.994349,48.437176:56.002509,48.417263:56.002125,48.396835:55.980137,48.391342:55.97351,48.282166:55.961405,48.198395:55.964191,48.057976:55.932279,48.029137:55.930741,47.935066:55.917468,47.882538:55.88648,47.861938:55.871651,47.708817:55.861248,47.673111:55.861056,47.612343:55.800316,47.4757:55.796456,47.412186:55.761316,47.264557:55.7475,47.14917:55.727303,47.125854:55.68223,46.955566:55.658609,46.94046:55.652411,46.913681:55.626445,46.880035:55.626833,46.83815:55.608608,46.812057:55.574851,46.700821:55.547281,46.665802:55.498305,46.552505:55.494805,46.532593:55.482745,46.523666:55.428624,46.448822:55.423948,46.273727:55.329926,46.099319:55.308437,46.083527:55.23861,45.95833:55.208263,45.917358:55.074829,45.681152:55.053596,45.65094:55.045729,45.580902:54.975249,45.435333:54.913725,45.348816:54.866729,45.12085:54.845385,45.078278:54.766236,44.921722:54.755935,44.910736:54.753161,44.868851:54.744442,44.856491:54.731757,44.763107:54.680183,44.671097:54.66754,44.62655:54.656357,44.535828:54.624171,44.468536:54.611846,44.463043:54.506333,44.199371:54.44569,44.101868:54.427319,44.055176:54.379358,44.013977:54.367358,43.959732:54.358557,43.954239:54.356956,43.845062:54.315322,43.692627:54.311717,43.641815:54.276451,43.629456:54.156001,43.302612:54.13972,43.26528:54.140719,43.233948:54.147556,43.175583:54.121005,43.021088:54.101281,42.992935:54.066239,42.966156:54.034393,42.892685:54.026327,42.841187:53.878845,42.427826:53.878036,42.392807:53.854552,42.355042:53.839564,42.290497:53.841589,42.224579:53.827813,42.18544:53.828218,42.140808:53.799029,42.09549:53.790106,42.069397:53.766572,42.044678:53.753177,42.004166:53.751959,41.978073:53.703617,41.901169:53.65278,41.75889:53.621023,41.687622:53.557442,41.364212:53.515409,41.254349:53.510918,41.228256:53.48968,41.184311:53.476605,41.044235:53.419763,40.977631:53.352191,40.744171:53.359977,40.711899:53.359568,40.669327:53.347272,40.642548:53.326362,40.628128:53.307083,40.626755:53.298056,40.595856:53.281227,40.569763:53.26973,40.503845:53.24222,40.44694:53.237277,40.412521:53.240153,40.389175:53.232345,40.33905:53.179704,40.273132:53.194516,40.182495:53.079178,39.865265:52.998256,39.755402:52.982137,39.711456:52.977175,39.666824:52.984617,39.591293:52.946155,39.453278:52.89192,39.293289:52.89192,39.250031:52.866643,39.194412:52.814383,39.023438:52.7916,38.80727:52.745437,38.757706:52.745022,38.72406:52.712587,38.593597:52.712171,38.539352:52.706763,38.512573:52.710923,38.497467:52.646396,38.338852:52.56216,38.266754:52.540032,38.242722:52.527501,38.207016:52.495741,38.146591:52.484035,38.106766:52.429222,38.099213:52.295882,37.898026:52.208027,37.723618:52.171826,37.692719:52.137281,37.621307:52.05694,37.56:51.89302,37.339096:51.876491,37.336349:51.863348,37.191467:51.773364,36.940842:51.730856,36.729355:51.714267,36.687469:51.69299,36.590652:51.663186,36.546707:51.635493,36.473236:51.617164,36.467056:51.612047,36.399765:51.598401,36.356506:51.53096,36.235657:51.536513,36.192398:51.49722,36.0875:51.480955,36.008377:51.483093,35.855255:51.495065,35.784531:51.488652,35.726852:51.454863,35.659561:51.445021,35.620422:51.388923,35.560684:51.332328,35.4776:51.310443,35.478973:51.297135,35.455627:51.297564,35.440521:51.272226,35.359497:51.241716,35.327911:51.223228,35.255127:51.193976,35.156937:51.165567,35.098572:51.16815,35.062866:51.133693,34.994202:51.10266,34.859619:51.099641,34.73877:51.03972,34.63028:51.01721,34.621353:51.000793,34.570541:50.980912,34.547195:50.941989,34.457932:50.903466,34.423599:50.873145,34.343262:50.838034,34.29863:50.816782,34.295883:50.804199,34.280777:50.756007,34.118729:50.736021,34.104996:50.712113,34.037704:50.711678,34.012299:50.668178,33.971786:50.655991,33.936768:50.658603,33.907928:50.597186,33.834457:50.597186,33.801498:50.563177,33.743134:50.513863,33.701935:50.496831,33.594818:50.499015,33.493195:50.489842,33.454742:50.44833,33.3975:50.436516,33.362045:50.414206,33.359299:50.393199,33.327026:50.340202,33.322906:50.302937,33.272781:50.277054,33.138199:50.216019,32.983704:50.190968,32.963104:50.155786,32.968597:50.136425,32.926025:50.121459,32.927399:50.115295,32.904053:50.071684,32.880707:50.042148,32.790756:50.009063,32.774963:49.935754,32.56073:49.913651,32.529831:49.843296,32.267532:49.843739,32.235947:49.826467,32.205048:49.803871,32.119904:49.79139,32.11556:49.736463,32.099991:49.719596,31.941376:49.674294,31.764221:49.671627,31.631012:49.664072,31.602859:49.578219,31.482697:49.552835,31.423645:49.523871,31.293869:49.5261,31.258163:49.517631,31.228638:49.527437,31.147614:49.507823,31.093369:49.521197,31.041183:49.502026,30.971146:49.496229,30.894241:49.509606,30.83107:49.50306,30.76583:49.504701,30.738373:49.510498,30.674515:49.503364,30.604477:49.487308,30.559845:49.480171,30.419769:49.431073,30.297546:49.433306,30.213776:49.395781,30.125885:49.379244,30.113525:49.372985,30.093613:49.3627,30.092239:49.341231,30.05722:49.295128,29.8423:49.275869,29.805222:49.277661,29.768829:49.239569,29.598541:49.250327,29.548416:49.191128,29.304657:49.18889,29.26917:49.185743,29.238224:49.190679,29.200459:49.181591,29.137201:49.182278,29.089522:49.005,27.73:49.01722,26.13944:48.79083,24.57056:48.73528,23.19194",https://www.gem.wiki/Urengoy-Pomary-Uzhgorod_pipeline
