"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,134,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,134,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,134,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,135,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,135,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,135,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,135,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,136,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,136,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,136,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,136,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,137,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,137,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,137,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,137,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,138,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,138,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,138,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,138,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,139,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,139,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,139,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,139,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,140,"Gambit (costumed)   ","speech",0
