"category","meta_cat","group_num","year","gross_inv"
"S&L","Conservation and development",7,1989,1487
"S&L","Conservation and development",7,1990,1646
"S&L","Conservation and development",7,1991,1469
"S&L","Conservation and development",7,1992,1359
"S&L","Conservation and development",7,1993,1331
"S&L","Conservation and development",7,1994,1564
"S&L","Conservation and development",7,1995,1734
"S&L","Conservation and development",7,1996,1801
"S&L","Conservation and development",7,1997,1870
"S&L","Conservation and development",7,1998,1921
"S&L","Conservation and development",7,1999,2221
"S&L","Conservation and development",7,2000,2700.168
"S&L","Conservation and development",7,2001,2514.567
"S&L","Conservation and development",7,2002,2160.483
"S&L","Conservation and development",7,2003,2269.05
"S&L","Conservation and development",7,2004,2493.25
"S&L","Conservation and development",7,2005,2546.35
"S&L","Conservation and development",7,2006,2965.1
"S&L","Conservation and development",7,2007,3790.7
"S&L","Conservation and development",7,2008,3853
"S&L","Conservation and development",7,2009,3548.749
"S&L","Conservation and development",7,2010,3479.85
"S&L","Conservation and development",7,2011,3684.8
"S&L","Conservation and development",7,2012,3564.3
"S&L","Conservation and development",7,2013,3208.5
"S&L","Conservation and development",7,2014,2969.499
"S&L","Conservation and development",7,2015,3723.6
"S&L","Conservation and development",7,2016,3798.406
"S&L","Conservation and development",7,2017,3864.822
"Federal","Conservation and development",7,1947,243
"Federal","Conservation and development",7,1948,356
"Federal","Conservation and development",7,1949,356
"Federal","Conservation and development",7,1950,366
"Federal","Conservation and development",7,1951,502
"Federal","Conservation and development",7,1952,546
"Federal","Conservation and development",7,1953,535
"Federal","Conservation and development",7,1954,461
"Federal","Conservation and development",7,1955,393
"Federal","Conservation and development",7,1956,457
"Federal","Conservation and development",7,1957,554
"Federal","Conservation and development",7,1958,625
"Federal","Conservation and development",7,1959,637
"Federal","Conservation and development",7,1960,691
"Federal","Conservation and development",7,1961,791
"Federal","Conservation and development",7,1962,864
"Federal","Conservation and development",7,1963,882
"Federal","Conservation and development",7,1964,932
"Federal","Conservation and development",7,1965,991
"Federal","Conservation and development",7,1966,1075
"Federal","Conservation and development",7,1967,973
"Federal","Conservation and development",7,1968,946
"Federal","Conservation and development",7,1969,871
"Federal","Conservation and development",7,1970,1008
"Federal","Conservation and development",7,1971,1177
"Federal","Conservation and development",7,1972,1265
"Federal","Conservation and development",7,1973,1351
"Federal","Conservation and development",7,1974,1501
"Federal","Conservation and development",7,1975,1818
"Federal","Conservation and development",7,1976,1949
"Federal","Conservation and development",7,1977,2146
"Federal","Conservation and development",7,1978,2697
"Federal","Conservation and development",7,1979,2805
"Federal","Conservation and development",7,1980,3084
"Federal","Conservation and development",7,1981,3333
"Federal","Conservation and development",7,1982,3083
"Federal","Conservation and development",7,1983,2999
"Federal","Conservation and development",7,1984,2627
"Federal","Conservation and development",7,1985,2923
"Federal","Conservation and development",7,1986,2440
"Federal","Conservation and development",7,1987,2702
"Federal","Conservation and development",7,1988,2749
"Federal","Conservation and development",7,1989,2798
"Federal","Conservation and development",7,1990,2473
"Federal","Conservation and development",7,1991,2590
"Federal","Conservation and development",7,1992,3202
"Federal","Conservation and development",7,1993,3235
"Federal","Conservation and development",7,1994,3179
"Federal","Conservation and development",7,1995,3125
"Federal","Conservation and development",7,1996,2287
"Federal","Conservation and development",7,1997,1748
"Federal","Conservation and development",7,1998,1785
"Federal","Conservation and development",7,1999,2031
"Federal","Conservation and development",7,2000,2046
"Federal","Conservation and development",7,2001,2280
"Federal","Conservation and development",7,2002,2492
"Federal","Conservation and development",7,2003,2622
"Federal","Conservation and development",7,2004,2377
"Federal","Conservation and development",7,2005,2640
"Federal","Conservation and development",7,2006,3142
"Federal","Conservation and development",7,2007,3059
"Federal","Conservation and development",7,2008,3094
"Federal","Conservation and development",7,2009,3907
"Federal","Conservation and development",7,2010,5323
"Federal","Conservation and development",7,2011,5362
"Federal","Conservation and development",7,2012,4120
"Federal","Conservation and development",7,2013,3509
"Federal","Conservation and development",7,2014,4189
"Federal","Conservation and development",7,2015,4645
"Federal","Conservation and development",7,2016,4514
"Federal","Conservation and development",7,2017,4237
"S&L","Power",8,1947,134.348
"S&L","Power",8,1948,153.216
"S&L","Power",8,1949,156.924
"S&L","Power",8,1950,145.167
"S&L","Power",8,1951,156.569
"S&L","Power",8,1952,140.405
"S&L","Power",8,1953,162.842
"S&L","Power",8,1954,193.814
"S&L","Power",8,1955,215.658
"S&L","Power",8,1956,321.77
"S&L","Power",8,1957,337.274
"S&L","Power",8,1958,393.174
"S&L","Power",8,1959,503.001
"S&L","Power",8,1960,542
"S&L","Power",8,1961,674
"S&L","Power",8,1962,501
"S&L","Power",8,1963,593
"S&L","Power",8,1964,801
"S&L","Power",8,1965,874
"S&L","Power",8,1966,685
"S&L","Power",8,1967,864.001
"S&L","Power",8,1968,884.999
"S&L","Power",8,1969,929
"S&L","Power",8,1970,960
"S&L","Power",8,1971,1027
"S&L","Power",8,1972,1133.001
"S&L","Power",8,1973,1246
"S&L","Power",8,1974,1589.999
"S&L","Power",8,1975,1438.001
"S&L","Power",8,1976,2016
"S&L","Power",8,1977,2509
"S&L","Power",8,1978,3735.001
"S&L","Power",8,1979,4037
"S&L","Power",8,1980,4292
"S&L","Power",8,1981,5378
"S&L","Power",8,1982,5036.001
"S&L","Power",8,1983,4785
"S&L","Power",8,1984,4272
"S&L","Power",8,1985,5646
"S&L","Power",8,1986,5299
"S&L","Power",8,1987,4169.999
"S&L","Power",8,1988,4041
"S&L","Power",8,1989,3243.001
"S&L","Power",8,1990,3311.999
"S&L","Power",8,1991,3281.001
"S&L","Power",8,1992,3159.999
"S&L","Power",8,1993,3437.999
"S&L","Power",8,1994,3012
"S&L","Power",8,1995,3051.999
"S&L","Power",8,1996,2720
"S&L","Power",8,1997,3283.001
"S&L","Power",8,1998,3236.001
"S&L","Power",8,1999,3471
"S&L","Power",8,2000,4133.001
"S&L","Power",8,2001,5171.001
"S&L","Power",8,2002,5823.001
"S&L","Power",8,2003,6294
"S&L","Power",8,2004,6085.999
"S&L","Power",8,2005,6284
"S&L","Power",8,2006,7186
"S&L","Power",8,2007,8076.001
"S&L","Power",8,2008,9942.801
"S&L","Power",8,2009,10700.601
"S&L","Power",8,2010,10196.4
"S&L","Power",8,2011,9630.201
"S&L","Power",8,2012,9387.001
"S&L","Power",8,2013,9385
"S&L","Power",8,2014,9293.001
"S&L","Power",8,2015,9099
"S&L","Power",8,2016,8910.001
"S&L","Power",8,2017,7570
"Federal","Power",8,1947,0
"Federal","Power",8,1948,5
"Federal","Power",8,1949,34
"Federal","Power",8,1950,34
"Federal","Power",8,1951,18
"Federal","Power",8,1952,8
"Federal","Power",8,1953,8
"Federal","Power",8,1954,8
"Federal","Power",8,1955,4
"Federal","Power",8,1956,8
"Federal","Power",8,1957,8
"Federal","Power",8,1958,12
"Federal","Power",8,1959,16
"Federal","Power",8,1960,16
"Federal","Power",8,1961,15
"Federal","Power",8,1962,16
"Federal","Power",8,1963,20
"Federal","Power",8,1964,28
"Federal","Power",8,1965,32
"Federal","Power",8,1966,26
"Federal","Power",8,1967,16
"Federal","Power",8,1968,12
"Federal","Power",8,1969,12
"Federal","Power",8,1970,8
"Federal","Power",8,1971,8
"Federal","Power",8,1972,8
"Federal","Power",8,1973,12
"Federal","Power",8,1974,12
"Federal","Power",8,1975,5
"Federal","Power",8,1976,16
"Federal","Power",8,1977,12
"Federal","Power",8,1978,12
"Federal","Power",8,1979,12
"Federal","Power",8,1980,12
"Federal","Power",8,1981,16
"Federal","Power",8,1982,12
"Federal","Power",8,1983,20
"Federal","Power",8,1984,26
"Federal","Power",8,1985,38
"Federal","Power",8,1986,46
"Federal","Power",8,1987,67
"Federal","Power",8,1988,41
"Federal","Power",8,1989,36
"Federal","Power",8,1990,57
"Federal","Power",8,1991,63
"Federal","Power",8,1992,56
"Federal","Power",8,1993,21
"Federal","Power",8,1994,42
"Federal","Power",8,1995,54
"Federal","Power",8,1996,68
"Federal","Power",8,1997,66
"Federal","Power",8,1998,61
"Federal","Power",8,1999,57
"Federal","Power",8,2000,71
"Federal","Power",8,2001,202
"Federal","Power",8,2002,311
"Federal","Power",8,2003,903
"Federal","Power",8,2004,902
"Federal","Power",8,2005,768
"Federal","Power",8,2006,771
"Federal","Power",8,2007,441
"Federal","Power",8,2008,776
"Federal","Power",8,2009,928
"Federal","Power",8,2010,949
"Federal","Power",8,2011,1320
"Federal","Power",8,2012,1159
"Federal","Power",8,2013,1065
"Federal","Power",8,2014,1129
"Federal","Power",8,2015,1636
"Federal","Power",8,2016,1262
"Federal","Power",8,2017,747
"Private","Power",8,1947,2108
"Private","Power",8,1948,2530
"Private","Power",8,1949,2908
"Private","Power",8,1950,3319
"Private","Power",8,1951,3746
"Private","Power",8,1952,4041
"Private","Power",8,1953,4571
"Private","Power",8,1954,4480
"Private","Power",8,1955,4231
"Private","Power",8,1956,5085
"Private","Power",8,1957,5940
"Private","Power",8,1958,5721
"Private","Power",8,1959,5571
"Private","Power",8,1960,5628
"Private","Power",8,1961,5317
"Private","Power",8,1962,5239
"Private","Power",8,1963,5173
"Private","Power",8,1964,5632
"Private","Power",8,1965,6276
"Private","Power",8,1966,7149
"Private","Power",8,1967,8409
"Private","Power",8,1968,9505
"Private","Power",8,1969,9701
"Private","Power",8,1970,10461
"Private","Power",8,1971,11085
"Private","Power",8,1972,12428
"Private","Power",8,1973,13972
"Private","Power",8,1974,14839
"Private","Power",8,1975,16593
"Private","Power",8,1976,17964
"Private","Power",8,1977,19363
"Private","Power",8,1978,19840
"Private","Power",8,1979,21545
"Private","Power",8,1980,23474
"Private","Power",8,1981,25614
"Private","Power",8,1982,24403
"Private","Power",8,1983,22577
"Private","Power",8,1984,27492
"Private","Power",8,1985,32161
"Private","Power",8,1986,30792
"Private","Power",8,1987,32787
"Private","Power",8,1988,29142
"Private","Power",8,1989,31531
"Private","Power",8,1990,34556
"Private","Power",8,1991,35191
"Private","Power",8,1992,34387
"Private","Power",8,1993,37409
"Private","Power",8,1994,34116
"Private","Power",8,1995,39606
"Private","Power",8,1996,40275
"Private","Power",8,1997,38505
"Private","Power",8,1998,44749
"Private","Power",8,1999,46846
"Private","Power",8,2000,58121
"Private","Power",8,2001,61686
"Private","Power",8,2002,59641
"Private","Power",8,2003,60055
"Private","Power",8,2004,51839
"Private","Power",8,2005,57713
"Private","Power",8,2006,67854
"Private","Power",8,2007,94246
"Private","Power",8,2008,108959
"Private","Power",8,2009,107238
"Private","Power",8,2010,98284
"Private","Power",8,2011,103820
"Private","Power",8,2012,129319
"Private","Power",8,2013,126249
"Private","Power",8,2014,143701
"Private","Power",8,2015,135895
"Private","Power",8,2016,137265
"Private","Power",8,2017,139417
"S&L electric power structures","Electric power",9,1947,131.348
"S&L electric power structures","Electric power",9,1948,146.216
"S&L electric power structures","Electric power",9,1949,146.924
"S&L electric power structures","Electric power",9,1950,134.167
"S&L electric power structures","Electric power",9,1951,145.569
"S&L electric power structures","Electric power",9,1952,132.405
"S&L electric power structures","Electric power",9,1953,151.842
"S&L electric power structures","Electric power",9,1954,178.814
"S&L electric power structures","Electric power",9,1955,196.658
"S&L electric power structures","Electric power",9,1956,302.77
"S&L electric power structures","Electric power",9,1957,315.274
"S&L electric power structures","Electric power",9,1958,370.174
"S&L electric power structures","Electric power",9,1959,480.001
"S&L electric power structures","Electric power",9,1960,516
"S&L electric power structures","Electric power",9,1961,639
"S&L electric power structures","Electric power",9,1962,472
"S&L electric power structures","Electric power",9,1963,569
"S&L electric power structures","Electric power",9,1964,762
"S&L electric power structures","Electric power",9,1965,842
"S&L electric power structures","Electric power",9,1966,654
"S&L electric power structures","Electric power",9,1967,831.001
"S&L electric power structures","Electric power",9,1968,847.999
"S&L electric power structures","Electric power",9,1969,888
"S&L electric power structures","Electric power",9,1970,914
"S&L electric power structures","Electric power",9,1971,988
"S&L electric power structures","Electric power",9,1972,1096.001
"S&L electric power structures","Electric power",9,1973,1206
"S&L electric power structures","Electric power",9,1974,1551.999
"S&L electric power structures","Electric power",9,1975,1399.001
"S&L electric power structures","Electric power",9,1976,1971.001
"S&L electric power structures","Electric power",9,1977,2466
"S&L electric power structures","Electric power",9,1978,3671.001
"S&L electric power structures","Electric power",9,1979,3952
"S&L electric power structures","Electric power",9,1980,4159
"S&L electric power structures","Electric power",9,1981,5241
"S&L electric power structures","Electric power",9,1982,4923.001
"S&L electric power structures","Electric power",9,1983,4664
"S&L electric power structures","Electric power",9,1984,4135
"S&L electric power structures","Electric power",9,1985,5458
"S&L electric power structures","Electric power",9,1986,5072
"S&L electric power structures","Electric power",9,1987,3968.999
"S&L electric power structures","Electric power",9,1988,3840
"S&L electric power structures","Electric power",9,1989,2998.001
"S&L electric power structures","Electric power",9,1990,3042
"S&L electric power structures","Electric power",9,1991,3010.001
"S&L electric power structures","Electric power",9,1992,2912
"S&L electric power structures","Electric power",9,1993,3209
"S&L electric power structures","Electric power",9,1994,2756
"S&L electric power structures","Electric power",9,1995,2775
"S&L electric power structures","Electric power",9,1996,2419
"S&L electric power structures","Electric power",9,1997,2662.001
"S&L electric power structures","Electric power",9,1998,2628.001
"S&L electric power structures","Electric power",9,1999,3147
"S&L electric power structures","Electric power",9,2000,3803.001
"S&L electric power structures","Electric power",9,2001,4872.001
"S&L electric power structures","Electric power",9,2002,5535.001
"S&L electric power structures","Electric power",9,2003,5958
"S&L electric power structures","Electric power",9,2004,5703.999
"S&L electric power structures","Electric power",9,2005,5889
"S&L electric power structures","Electric power",9,2006,6786
"S&L electric power structures","Electric power",9,2007,7688.001
"S&L electric power structures","Electric power",9,2008,9526.601
"S&L electric power structures","Electric power",9,2009,10265.201
"S&L electric power structures","Electric power",9,2010,9836.8
"S&L electric power structures","Electric power",9,2011,9208.4
"S&L electric power structures","Electric power",9,2012,8845.001
"S&L electric power structures","Electric power",9,2013,8785
"S&L electric power structures","Electric power",9,2014,8595.001
"S&L electric power structures","Electric power",9,2015,8302
"S&L electric power structures","Electric power",9,2016,8233.001
"S&L electric power structures","Electric power",9,2017,7140
"Federal electric power structures","Electric power",9,1947,0
"Federal electric power structures","Electric power",9,1948,5
"Federal electric power structures","Electric power",9,1949,34
"Federal electric power structures","Electric power",9,1950,34
"Federal electric power structures","Electric power",9,1951,18
"Federal electric power structures","Electric power",9,1952,8
"Federal electric power structures","Electric power",9,1953,8
"Federal electric power structures","Electric power",9,1954,8
"Federal electric power structures","Electric power",9,1955,4
"Federal electric power structures","Electric power",9,1956,8
"Federal electric power structures","Electric power",9,1957,8
"Federal electric power structures","Electric power",9,1958,12
"Federal electric power structures","Electric power",9,1959,16
"Federal electric power structures","Electric power",9,1960,16
"Federal electric power structures","Electric power",9,1961,15
"Federal electric power structures","Electric power",9,1962,16
"Federal electric power structures","Electric power",9,1963,20
"Federal electric power structures","Electric power",9,1964,28
"Federal electric power structures","Electric power",9,1965,32
"Federal electric power structures","Electric power",9,1966,26
"Federal electric power structures","Electric power",9,1967,16
"Federal electric power structures","Electric power",9,1968,12
"Federal electric power structures","Electric power",9,1969,12
"Federal electric power structures","Electric power",9,1970,8
"Federal electric power structures","Electric power",9,1971,8
"Federal electric power structures","Electric power",9,1972,8
"Federal electric power structures","Electric power",9,1973,12
"Federal electric power structures","Electric power",9,1974,12
"Federal electric power structures","Electric power",9,1975,5
"Federal electric power structures","Electric power",9,1976,16
"Federal electric power structures","Electric power",9,1977,12
"Federal electric power structures","Electric power",9,1978,12
"Federal electric power structures","Electric power",9,1979,12
"Federal electric power structures","Electric power",9,1980,12
"Federal electric power structures","Electric power",9,1981,16
"Federal electric power structures","Electric power",9,1982,12
"Federal electric power structures","Electric power",9,1983,20
"Federal electric power structures","Electric power",9,1984,26
"Federal electric power structures","Electric power",9,1985,38
"Federal electric power structures","Electric power",9,1986,46
"Federal electric power structures","Electric power",9,1987,67
"Federal electric power structures","Electric power",9,1988,41
"Federal electric power structures","Electric power",9,1989,36
"Federal electric power structures","Electric power",9,1990,57
"Federal electric power structures","Electric power",9,1991,63
"Federal electric power structures","Electric power",9,1992,56
"Federal electric power structures","Electric power",9,1993,21
"Federal electric power structures","Electric power",9,1994,42
"Federal electric power structures","Electric power",9,1995,54
"Federal electric power structures","Electric power",9,1996,68
"Federal electric power structures","Electric power",9,1997,66
"Federal electric power structures","Electric power",9,1998,61
"Federal electric power structures","Electric power",9,1999,57
"Federal electric power structures","Electric power",9,2000,71
"Federal electric power structures","Electric power",9,2001,202
"Federal electric power structures","Electric power",9,2002,311
"Federal electric power structures","Electric power",9,2003,903
"Federal electric power structures","Electric power",9,2004,902
"Federal electric power structures","Electric power",9,2005,768
"Federal electric power structures","Electric power",9,2006,771
"Federal electric power structures","Electric power",9,2007,441
"Federal electric power structures","Electric power",9,2008,776
"Federal electric power structures","Electric power",9,2009,928
"Federal electric power structures","Electric power",9,2010,949
"Federal electric power structures","Electric power",9,2011,1320
"Federal electric power structures","Electric power",9,2012,1159
"Federal electric power structures","Electric power",9,2013,1065
"Federal electric power structures","Electric power",9,2014,1129
"Federal electric power structures","Electric power",9,2015,1636
"Federal electric power structures","Electric power",9,2016,1262
"Federal electric power structures","Electric power",9,2017,747
"Private turbines/steam engines","Electric power",9,1947,62
"Private turbines/steam engines","Electric power",9,1948,115
"Private turbines/steam engines","Electric power",9,1949,129
"Private turbines/steam engines","Electric power",9,1950,193
"Private turbines/steam engines","Electric power",9,1951,151
"Private turbines/steam engines","Electric power",9,1952,266
"Private turbines/steam engines","Electric power",9,1953,245
"Private turbines/steam engines","Electric power",9,1954,358
"Private turbines/steam engines","Electric power",9,1955,309
"Private turbines/steam engines","Electric power",9,1956,300
"Private turbines/steam engines","Electric power",9,1957,484
"Private turbines/steam engines","Electric power",9,1958,523
"Private turbines/steam engines","Electric power",9,1959,446
"Private turbines/steam engines","Electric power",9,1960,438
"Private turbines/steam engines","Electric power",9,1961,378
"Private turbines/steam engines","Electric power",9,1962,319
"Private turbines/steam engines","Electric power",9,1963,293
"Private turbines/steam engines","Electric power",9,1964,284
"Private turbines/steam engines","Electric power",9,1965,287
"Private turbines/steam engines","Electric power",9,1966,344
"Private turbines/steam engines","Electric power",9,1967,561
"Private turbines/steam engines","Electric power",9,1968,730
"Private turbines/steam engines","Electric power",9,1969,866
"Private turbines/steam engines","Electric power",9,1970,1044
"Private turbines/steam engines","Electric power",9,1971,1232
"Private turbines/steam engines","Electric power",9,1972,1427
"Private turbines/steam engines","Electric power",9,1973,1390
"Private turbines/steam engines","Electric power",9,1974,1481
"Private turbines/steam engines","Electric power",9,1975,1408
"Private turbines/steam engines","Electric power",9,1976,1371
"Private turbines/steam engines","Electric power",9,1977,1248
"Private turbines/steam engines","Electric power",9,1978,1160
"Private turbines/steam engines","Electric power",9,1979,1202
"Private turbines/steam engines","Electric power",9,1980,1163
"Private turbines/steam engines","Electric power",9,1981,1485
"Private turbines/steam engines","Electric power",9,1982,1315
"Private turbines/steam engines","Electric power",9,1983,1175
"Private turbines/steam engines","Electric power",9,1984,1176
"Private turbines/steam engines","Electric power",9,1985,1401
"Private turbines/steam engines","Electric power",9,1986,1030
"Private turbines/steam engines","Electric power",9,1987,1752
"Private turbines/steam engines","Electric power",9,1988,1713
"Private turbines/steam engines","Electric power",9,1989,2255
"Private turbines/steam engines","Electric power",9,1990,2167
"Private turbines/steam engines","Electric power",9,1991,2773
"Private turbines/steam engines","Electric power",9,1992,2584
"Private turbines/steam engines","Electric power",9,1993,2395
"Private turbines/steam engines","Electric power",9,1994,2632
"Private turbines/steam engines","Electric power",9,1995,1890
"Private turbines/steam engines","Electric power",9,1996,2497
"Private turbines/steam engines","Electric power",9,1997,2042
"Private turbines/steam engines","Electric power",9,1998,2815
"Private turbines/steam engines","Electric power",9,1999,3278
"Private turbines/steam engines","Electric power",9,2000,5073
"Private turbines/steam engines","Electric power",9,2001,8505
"Private turbines/steam engines","Electric power",9,2002,9543
"Private turbines/steam engines","Electric power",9,2003,8061
"Private turbines/steam engines","Electric power",9,2004,2666
"Private turbines/steam engines","Electric power",9,2005,3115
"Private turbines/steam engines","Electric power",9,2006,4219
"Private turbines/steam engines","Electric power",9,2007,7698
"Private turbines/steam engines","Electric power",9,2008,8848
"Private turbines/steam engines","Electric power",9,2009,8329
"Private turbines/steam engines","Electric power",9,2010,4998
"Private turbines/steam engines","Electric power",9,2011,8128
"Private turbines/steam engines","Electric power",9,2012,12247
"Private turbines/steam engines","Electric power",9,2013,10493
"Private turbines/steam engines","Electric power",9,2014,9404
"Private turbines/steam engines","Electric power",9,2015,10771
"Private turbines/steam engines","Electric power",9,2016,10252
"Private turbines/steam engines","Electric power",9,2017,11523
"Private wind and solar power structures","Electric power",9,1947,0
"Private wind and solar power structures","Electric power",9,1948,0
"Private wind and solar power structures","Electric power",9,1949,0
"Private wind and solar power structures","Electric power",9,1950,0
"Private wind and solar power structures","Electric power",9,1951,0
"Private wind and solar power structures","Electric power",9,1952,0
"Private wind and solar power structures","Electric power",9,1953,0
"Private wind and solar power structures","Electric power",9,1954,0
"Private wind and solar power structures","Electric power",9,1955,0
"Private wind and solar power structures","Electric power",9,1956,0
"Private wind and solar power structures","Electric power",9,1957,0
"Private wind and solar power structures","Electric power",9,1958,0
"Private wind and solar power structures","Electric power",9,1959,0
"Private wind and solar power structures","Electric power",9,1960,0
"Private wind and solar power structures","Electric power",9,1961,0
"Private wind and solar power structures","Electric power",9,1962,0
"Private wind and solar power structures","Electric power",9,1963,0
"Private wind and solar power structures","Electric power",9,1964,0
"Private wind and solar power structures","Electric power",9,1965,0
"Private wind and solar power structures","Electric power",9,1966,0
"Private wind and solar power structures","Electric power",9,1967,0
"Private wind and solar power structures","Electric power",9,1968,0
"Private wind and solar power structures","Electric power",9,1969,0
"Private wind and solar power structures","Electric power",9,1970,0
"Private wind and solar power structures","Electric power",9,1971,0
"Private wind and solar power structures","Electric power",9,1972,0
"Private wind and solar power structures","Electric power",9,1973,0
"Private wind and solar power structures","Electric power",9,1974,0
"Private wind and solar power structures","Electric power",9,1975,0
"Private wind and solar power structures","Electric power",9,1976,0
"Private wind and solar power structures","Electric power",9,1977,0
"Private wind and solar power structures","Electric power",9,1978,0
"Private wind and solar power structures","Electric power",9,1979,0
"Private wind and solar power structures","Electric power",9,1980,0
"Private wind and solar power structures","Electric power",9,1981,0
"Private wind and solar power structures","Electric power",9,1982,0
"Private wind and solar power structures","Electric power",9,1983,0
"Private wind and solar power structures","Electric power",9,1984,0
"Private wind and solar power structures","Electric power",9,1985,0
"Private wind and solar power structures","Electric power",9,1986,0
"Private wind and solar power structures","Electric power",9,1987,0
"Private wind and solar power structures","Electric power",9,1988,0
"Private wind and solar power structures","Electric power",9,1989,0
"Private wind and solar power structures","Electric power",9,1990,0
"Private wind and solar power structures","Electric power",9,1991,0
"Private wind and solar power structures","Electric power",9,1992,0
"Private wind and solar power structures","Electric power",9,1993,663
"Private wind and solar power structures","Electric power",9,1994,467
"Private wind and solar power structures","Electric power",9,1995,524
"Private wind and solar power structures","Electric power",9,1996,420
"Private wind and solar power structures","Electric power",9,1997,62
"Private wind and solar power structures","Electric power",9,1998,60
"Private wind and solar power structures","Electric power",9,1999,144
"Private wind and solar power structures","Electric power",9,2000,76
"Private wind and solar power structures","Electric power",9,2001,208
"Private wind and solar power structures","Electric power",9,2002,337
"Private wind and solar power structures","Electric power",9,2003,600
"Private wind and solar power structures","Electric power",9,2004,497
"Private wind and solar power structures","Electric power",9,2005,3487
"Private wind and solar power structures","Electric power",9,2006,3492
"Private wind and solar power structures","Electric power",9,2007,7831
"Private wind and solar power structures","Electric power",9,2008,14122
"Private wind and solar power structures","Electric power",9,2009,18583
"Private wind and solar power structures","Electric power",9,2010,12301
"Private wind and solar power structures","Electric power",9,2011,19560
"Private wind and solar power structures","Electric power",9,2012,29966
"Private wind and solar power structures","Electric power",9,2013,16817
"Private wind and solar power structures","Electric power",9,2014,27352
"Private wind and solar power structures","Electric power",9,2015,19503
"Private wind and solar power structures","Electric power",9,2016,24556
"Private wind and solar power structures","Electric power",9,2017,21618
"Private electrical transmission equipment","Electric power",9,1947,714
"Private electrical transmission equipment","Electric power",9,1948,690
"Private electrical transmission equipment","Electric power",9,1949,632
"Private electrical transmission equipment","Electric power",9,1950,790
"Private electrical transmission equipment","Electric power",9,1951,1060
"Private electrical transmission equipment","Electric power",9,1952,1233
"Private electrical transmission equipment","Electric power",9,1953,1351
"Private electrical transmission equipment","Electric power",9,1954,1436
"Private electrical transmission equipment","Electric power",9,1955,1408
"Private electrical transmission equipment","Electric power",9,1956,1767
"Private electrical transmission equipment","Electric power",9,1957,2010
"Private electrical transmission equipment","Electric power",9,1958,1711
"Private electrical transmission equipment","Electric power",9,1959,1788
"Private electrical transmission equipment","Electric power",9,1960,1944
"Private electrical transmission equipment","Electric power",9,1961,1880
"Private electrical transmission equipment","Electric power",9,1962,1907
"Private electrical transmission equipment","Electric power",9,1963,1880
"Private electrical transmission equipment","Electric power",9,1964,2117
"Private electrical transmission equipment","Electric power",9,1965,2363
"Private electrical transmission equipment","Electric power",9,1966,2866
"Private electrical transmission equipment","Electric power",9,1967,2937
"Private electrical transmission equipment","Electric power",9,1968,2914
"Private electrical transmission equipment","Electric power",9,1969,3086
"Private electrical transmission equipment","Electric power",9,1970,3282
"Private electrical transmission equipment","Electric power",9,1971,3103
"Private electrical transmission equipment","Electric power",9,1972,3337
"Private electrical transmission equipment","Electric power",9,1973,4040
"Private electrical transmission equipment","Electric power",9,1974,4668
"Private electrical transmission equipment","Electric power",9,1975,4586
"Private electrical transmission equipment","Electric power",9,1976,4920
"Private electrical transmission equipment","Electric power",9,1977,6112
"Private electrical transmission equipment","Electric power",9,1978,6475
"Private electrical transmission equipment","Electric power",9,1979,7383
"Private electrical transmission equipment","Electric power",9,1980,7910
"Private electrical transmission equipment","Electric power",9,1981,8859
"Private electrical transmission equipment","Electric power",9,1982,9022
"Private electrical transmission equipment","Electric power",9,1983,9451
"Private electrical transmission equipment","Electric power",9,1984,11495
"Private electrical transmission equipment","Electric power",9,1985,11548
"Private electrical transmission equipment","Electric power",9,1986,11173
"Private electrical transmission equipment","Electric power",9,1987,12282
"Private electrical transmission equipment","Electric power",9,1988,12751
"Private electrical transmission equipment","Electric power",9,1989,13718
"Private electrical transmission equipment","Electric power",9,1990,13965
"Private electrical transmission equipment","Electric power",9,1991,13339
"Private electrical transmission equipment","Electric power",9,1992,13655
"Private electrical transmission equipment","Electric power",9,1993,14208
"Private electrical transmission equipment","Electric power",9,1994,15710
"Private electrical transmission equipment","Electric power",9,1995,17414
"Private electrical transmission equipment","Electric power",9,1996,18187
"Private electrical transmission equipment","Electric power",9,1997,19291
"Private electrical transmission equipment","Electric power",9,1998,20200
"Private electrical transmission equipment","Electric power",9,1999,21900
"Private electrical transmission equipment","Electric power",9,2000,24976
"Private electrical transmission equipment","Electric power",9,2001,22974
"Private electrical transmission equipment","Electric power",9,2002,20277
"Private electrical transmission equipment","Electric power",9,2003,20482
"Private electrical transmission equipment","Electric power",9,2004,22895
"Private electrical transmission equipment","Electric power",9,2005,25402
"Private electrical transmission equipment","Electric power",9,2006,30045
"Private electrical transmission equipment","Electric power",9,2007,32690
"Private electrical transmission equipment","Electric power",9,2008,31833
"Private electrical transmission equipment","Electric power",9,2009,25860
"Private electrical transmission equipment","Electric power",9,2010,28362
"Private electrical transmission equipment","Electric power",9,2011,31605
"Private electrical transmission equipment","Electric power",9,2012,33331
"Private electrical transmission equipment","Electric power",9,2013,35416
"Private electrical transmission equipment","Electric power",9,2014,35600
"Private electrical transmission equipment","Electric power",9,2015,34146
"Private electrical transmission equipment","Electric power",9,2016,35361
"Private electrical transmission equipment","Electric power",9,2017,37458
"Private electric power structures","Electric power",9,1947,761
"Private electric power structures","Electric power",9,1948,1016
"Private electric power structures","Electric power",9,1949,1313
