Date,Dy,Location,Mo,Month New,Name,Name - Split 2,YEAR,Year & Name (Combined) (group),Year & Name (Combined) (group) 1,# Missing,# of Deaths,# of Injuries,Calculation2,Damage in Millions,Damages Dollars,Day New,Houses Damaged,Houses Destroyed,Hr,Latitude,Longitude,Magnitude,Magnitude Category,Mn,Number of Records,Sec,TOTAL DEATHS AND INJURIES
4/1/1953,,IRAN,4,4,"IRAN: KHAN-E-ZENYAN,KHATIRI","KHAN-E-ZENYAN,KHATIRI",1953,Other,Other,,,,0.745521300,,,1,,,,29,52,,9,,1,,
5/3/1953,3,CHINA,5,5,CHINA: YUNNAN PROVINCE,YUNNAN PROVINCE,1953,Other,Other,,,,0.122741538,,,3,,,23,24.2,103.2,5,5,57,1,6,
5/6/1953,6,CHILE,5,5,"CHILE: CHILLAN, CONCEPCION","CHILLAN, CONCEPCION",1953,Other,Other,,9,26,0.697086153,500,500000000,6,,,17,-36.5,-72.5,7.6,7,16,1,43,35
5/31/1953,31,DOMINICAN REPUBLIC,5,5,DOMINICAN REPUBLIC: PUERTO PLATA,PUERTO PLATA,1953,Other,Other,,,,0.240622726,,,31,,,19,19.8,-70.7,7.2,7,58,1,,
6/18/1953,18,TURKEY,6,6,TURKEY: EDIRNE,EDIRNE,1953,Other,Other,,,,0.507757477,,,18,,,5,41.4,26.3,,9,44,1,,
7/2/1953,2,VANUATU ISLANDS,7,7,VANUATU ISLANDS,,1953,Other,Other,,,,0.338126176,,,2,,,6,-19,169,7.5,7,56,1,,
8/11/1953,11,GREECE,8,8,GREECE: ASPROGERAKAS (KEPHALLENIA),ASPROGERAKAS (KEPHALLENIA),1953,Other,Other,,,,0.871724334,,,11,,,3,38.1,20.6,6.8,6,32,1,,
8/12/1953,12,GREECE,8,8,GREECE: LIXOURI-ARGOSTOLI (KEPHALLENIA),LIXOURI-ARGOSTOLI (KEPHALLENIA),1953,Other,Other,,476,2412,0.124794318,100,100000000,12,,27773,9,38.3,20.8,7.2,7,23,1,52,2888
9/10/1953,10,CYPRUS,9,9,CYPRUS: PAPHOS,PAPHOS,1953,Other,Other,,40,100,0.595921664,,,10,,500,4,35,32.5,6.5,6,5,1,58,140
9/14/1953,14,FIJI ISLANDS,9,9,FIJI ISLANDS,,1953,Other,Other,,7,12,0.459956372,,,14,,,0,-18.3,178.2,6.4,6,26,1,36,19
11/4/1953,4,SOLOMON ISLANDS,11,11,SOLOMON ISLANDS,,1953,Other,Other,,,,0.360533016,,,4,,,3,-13.189,166.516,7.5,7,49,1,13.2,
11/25/1953,25,JAPAN,11,11,JAPAN: KASHIMA,KASHIMA,1953,Other,Other,,1,,0.021041167,,,25,,,17,34,141.7,7.4,7,48,1,,
12/7/1953,7,CHILE,12,12,CHILE: NORTHERN,NORTHERN,1953,Other,Other,,,,0.303651868,,,7,,,2,-22.1,-68.7,7.4,7,5,1,,
12/12/1953,12,OFF COAST OF PERU,12,12,OFF COAST OF PERU,,1953,Other,Other,,6,20,0.343305122,,,12,,200,17,-3.4,-80.6,7.4,7,31,1,25,26
2/5/1954,5,MEXICO,2,2,MEXICO: CHIAPAS,CHIAPAS,1954,Other,Other,,,,0.118135658,,,5,,,15,17.3,-92.6,6.2,6,17,1,,
2/11/1954,11,CHINA,2,2,CHINA: GANSU PROVINCE,GANSU PROVINCE,1954,Other,Other,,,,0.809188078,,,11,,,0,39,101.3,7.3,7,30,1,15,
2/28/1954,28,AUSTRALIA,2,2,AUSTRALIA: ADELAIDE: S,ADELAIDE,1954,Other,Other,,,,0.545711706,,,28,,,18,-34.9,138.7,5.4,5,9,1,,
3/21/1954,21,MYANMAR; INDIA,3,3,"MYANMAR; INDIA: CALCUTTA, CUTTACK, BHAGALPUR","CALCUTTA, CUTTACK, BHAGALPUR",1954,Other,Other,,,,0.163883698,,,21,,,23,24.5,95.3,7.4,7,42,1,11,
3/29/1954,29,SPAIN,3,3,SPAIN,,1954,Other,Other,,,,0.059955569,,,29,,,6,37,-3.5,7,7,17,1,,
4/20/1954,20,GREECE,4,4,GREECE,,1954,Other,Other,,,,0.113882209,,,20,,,,39.8,22.1,7,7,,1,,
4/29/1954,29,ATLANTIC OCEAN,4,4,ATLANTIC OCEAN: NORTHERN,NORTHERN,1954,Other,Other,,,,0.204547482,,,29,,,11,29.5,-29.5,7.5,7,34,1,,
4/30/1954,30,GREECE,4,4,GREECE: SOPHADES (KARDITSA),SOPHADES (KARDITSA),1954,Other,Other,,,,0.680197955,,,30,,,13,39.3,22.2,7,7,2,1,,
6/10/1954,10,AFGHANISTAN,6,6,AFGHANISTAN: NORTHERN,NORTHERN,1954,Other,Other,,,,0.892488850,,,10,,,,36,66,,9,,1,,
6/17/1954,17,CHINA,6,6,CHINA: ANHUI PROVINCE,ANHUI PROVINCE,1954,Other,Other,,,,0.517789969,,,17,,,2,31.6,116.6,5.3,5,8,1,39,
7/2/1954,2,PHILIPPINES,7,7,"PHILIPPINES: LUZON: SORSOGON, BACON, LEGASPI",LUZON,1954,Other,Other,,13,101,0.506580698,,,2,,,2,13,123.9,6.8,6,45,1,,114
7/6/1954,6,NEVADA,7,7,NEVADA: FALLON,FALLON,1954,Other,Other,,,,0.769984604,,,6,,,11,39.4,-118.5,6.8,6,13,1,,
7/31/1954,31,CHINA,7,7,CHINA: NEI MONGOL,NEI MONGOL,1954,Other,Other,,,,0.209472410,,,31,,542,1,38.8,104.2,7,7,0,1,,
8/20/1954,20,IRAN,8,8,"IRAN: TONBAK,KANGAN,SABAKHI,AKHTAR","TONBAK,KANGAN,SABAKHI,AKHTAR",1954,Other,Other,,,,0.755562149,,,20,,,15,27.5,52,5,5,30,1,,
8/23/1954,23,NEVADA,8,8,NEVADA: STILLWATER RANGE,STILLWATER RANGE,1954,Other,Other,,,,0.392134185,,,23,,,,39.6,-118.5,6.8,6,,1,,
9/9/1954,9,ALGERIA,9,9,ALGERIA: ORLEANSVILLE,ORLEANSVILLE,1954,Other,Other,,1243,5000,0.131621784,6,6000000,9,,20000,1,36.283,1.467,6.7,6,4,1,37,6243
9/9/1954,9,ALGERIA,9,9,ALGERIA: EL ASNAM,EL ASNAM,1954,Other,Other,,,,0.635607156,,,9,,,2,36,1.5,6.7,6,49,1,48,
9/9/1954,9,ALGERIA,9,9,ALGERIA: EL ASNAM,EL ASNAM,1954,Other,Other,,,,0.856175885,,,9,,,2,36,1.5,,9,52,1,24,
9/9/1954,9,ALGERIA,9,9,ALGERIA: EL ASNAM,EL ASNAM,1954,Other,Other,,,,0.201552790,,,9,,,9,36,1.5,6,6,28,1,42,
10/24/1954,24,CHINA,10,10,CHINA: SICHUAN PROVINCE,SICHUAN PROVINCE,1954,Other,Other,,,,0.182098764,,,24,,,11,29.4,104.8,5,5,41,1,6,
11/2/1954,2,INDONESIA,11,11,"INDONESIA: SUMABAWA: BIMA,RABA",SUMABAWA,1954,Other,Other,,,,0.561728455,,,2,,,8,-8,119,6.8,6,24,1,54,
11/18/1954,18,JAPAN,11,11,JAPAN: HONSHU: MIYAGI PREFECTURE,HONSHU,1954,Other,Other,,,,0.055613672,,,18,,,20,38.9,142.2,6.5,6,44,1,55,
12/16/1954,16,NEVADA,12,12,NEVADA: DIXIE VALLEY,DIXIE VALLEY,1954,Other,Other,,,,0.782846713,,,16,,,11,39.3,-118.2,7,7,7,1,,
1/18/1955,18,VENEZUELA,1,1,VENEZUELA: OFF THE COAST NEAR LA VELA,OFF THE COAST NEAR LA VELA,1955,Other,Other,,,,0.115909072,,,18,,,,11.46,-69.57,,9,,1,,
1/25/1955,25,CALIFORNIA,1,1,CALIFORNIA: TERMINAL ISLAND,TERMINAL ISLAND,1955,Other,Other,,,,0.689993328,,,25,,,12,33.8,-118.2,,9,23,1,,
2/18/1955,18,PAKISTAN,2,2,PAKISTAN: QUETTA,QUETTA,1955,Other,Other,,12,,0.991173405,,,18,,,22,30.5,67,,9,48,1,33,
2/27/1955,27,KERMADEC ISLANDS,2,2,KERMADEC ISLANDS,,1955,Other,Other,,,,0.293607784,,,27,,,20,-28,-175.5,7.8,7,43,1,,
3/31/1955,31,PHILIPPINES,3,3,"PHILIPPINES: MINDANAO: LANAO,OZAMIZ,COTABATO",MINDANAO,1955,Other,Other,,,,0.245317078,,,31,,,18,8.1,123.2,7.6,7,18,1,,
4/4/1955,4,NICARAGUA,4,4,NICARAGUA: MANAGUA,MANAGUA,1955,Other,Other,,,,0.656890449,,,4,,,19,13,-87,6.2,6,24,1,,
4/13/1955,13,GREECE,4,4,GREECE: S,S,1955,Other,Other,,,,0.912277995,,,13,,,20,37.5,22,,9,45,1,,
4/14/1955,14,CHINA,4,4,CHINA: SICHUAN PROVINCE,SICHUAN PROVINCE,1955,Other,Other,,39,113,0.070384787,,,14,,500,1,30,101.8,7.5,7,29,1,2,152
4/15/1955,15,CHINA,4,4,CHINA: XINJIANG PROVINCE,XINJIANG PROVINCE,1955,Other,Other,,,,0.513598910,,,15,,,3,39.9,74.6,7,7,40,1,58,
4/19/1955,19,GREECE,4,4,GREECE: DRAKIA-AGRIA (MAGNESIA),DRAKIA-AGRIA (MAGNESIA),1955,Other,Other,,8,149,0.225497201,,,19,8352,459,16,39.4,23.1,6.2,6,47,1,19,157
4/19/1955,19,CHILE,4,4,CHILE,,1955,Other,Other,,1,,0.600736462,,,19,,,20,-30,-72,7.1,7,24,1,5,
4/21/1955,21,GREECE,4,4,GREECE: AEGEAN SEA,AEGEAN SEA,1955,Other,Other,,,,0.955414379,,,21,,,7,39.5,23,6,6,18,1,,
4/24/1955,24,CHINA,4,4,CHINA: XINJIANG PROVINCE,XINJIANG PROVINCE,1955,Other,Other,,,,0.875150003,,,24,,,12,44.2,83.6,6.5,6,59,1,12,
5/17/1955,17,INDIA,5,5,INDIA: LITTLE NICOBAR ISLAND,LITTLE NICOBAR ISLAND,1955,Other,Other,,,,0.621455460,,,17,,,14,6.5,94,7.3,7,49,1,49,
6/7/1955,7,CHINA,6,6,CHINA: YUNNAN PROVINCE,YUNNAN PROVINCE,1955,Other,Other,,,,0.214466725,,,7,,4524,0,26.5,101.1,6,6,48,1,54,
7/16/1955,16,TURKEY,7,7,"TURKEY: SOKE, AYDIN","SOKE, AYDIN",1955,Other,Other,,,,0.820583757,,,16,,,7,37.5,27,6.8,6,7,1,,
7/20/1955,20,COLOMBIA-ECUADOR,7,7,COLOMBIA-ECUADOR,,1955,Other,Other,,,,0.265607770,,,20,,,21,0.2,-78.4,6,6,,1,,
9/1/1955,1,COSTA RICA,9,9,COSTA RICA,,1955,Other,Other,,,,0.063732637,,,1,,,17,10,-84.5,5.8,5,33,1,,
9/8/1955,8,SOLOMON ISLANDS,9,9,SOLOMON ISLANDS: FAURO ISLAND,FAURO ISLAND,1955,Other,Other,,,,0.003216426,,,8,,,3,-6.9,155.7,6.5,6,27,1,14,
9/12/1955,12,EGYPT,9,9,EGYPT: NILE DELTA,NILE DELTA,1955,Other,Other,,22,12,0.959403090,,,12,,,6,32.2,29.6,6.3,6,9,1,20,34
9/23/1955,23,CHINA,9,9,CHINA: YUNNAN PROVINCE,YUNNAN PROVINCE,1955,Other,Other,,,,0.981381439,,,23,,15000,15,26.6,101.8,6.8,6,6,1,23,
10/1/1955,1,CHINA,10,10,CHINA: SICHUAN PROVINCE,SICHUAN PROVINCE,1955,Other,Other,,,,0.254968011,,,1,,,6,29.9,101.4,5.8,5,29,1,55,
10/9/1955,9,PERU,10,10,"PERU: MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI","MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI",1955,Other,Other,,,,0.197936297,,,9,,,21,-16.2,-71.3,,9,3,1,,
10/10/1955,10,PAPUA NEW GUINEA,10,10,PAPUA NEW GUINEA: BISMARCK SEA,BISMARCK SEA,1955,Other,Other,,,,0.182869697,,,10,,,8,-5,152.5,7.3,7,57,1,47,
1/8/1956,8,MEXICO,1,1,MEXICO: GUERRERO,GUERRERO,1956,Other,Other,,,,0.948258936,,,8,,,7,17,-99.5,6.5,6,11,1,26,
1/8/1956,8,CHILE,1,1,CHILE,,1956,Other,Other,,,,0.615696635,,,8,,,20,-19,-70,7.1,7,54,1,13,
1/10/1956,10,TONGA ISLANDS,1,1,TONGA ISLANDS,,1956,Other,Other,,,,0.085082974,,,10,,,,-20,-175,7.7,7,,1,,
1/12/1956,12,HUNGARY,1,1,HUNGARY,,1956,Other,Other,,,,0.152921070,,,12,,,5,47.5,19.3,5.8,5,46,1,,
1/16/1956,16,ECUADOR,1,1,ECUADOR,,1956,Other,Other,,,,0.111223387,,,16,,,23,-0.5,-80.5,7.3,7,37,1,,
1/24/1956,24,NICARAGUA,1,1,NICARAGUA: PUERTO SAMOZA,PUERTO SAMOZA,1956,Other,Other,,,,0.452168802,,,24,,,,12.2,-86.7,7.3,7,,1,,
1/31/1956,31,BALKANS NW,1,1,"BALKANS NW: SLOVENIA: ILIRSKA BISTRICA,KOSEZE",SLOVENIA,1956,Other,Other,,,,0.785758263,,,31,,,2,45.5,14.3,4.5,4,25,1,,
2/20/1956,20,TURKEY,2,2,TURKEY: ESKISEHIR,ESKISEHIR,1956,Other,Other,,,,0.448954487,,,20,,,20,40,30.5,5.8,5,31,1,,
3/2/1956,2,NEW ZEALAND,3,3,NEW ZEALAND: NORTH ISLAND,NORTH ISLAND,1956,Other,Other,,,,0.335127003,,,2,,,22,-38.9,175.7,5.3,5,43,1,,
3/5/1956,5,"NE. HOKKAIDO ISLAND, JAPAN",3,3,"NE. HOKKAIDO ISLAND, JAPAN",,1956,Other,Other,,,,0.650820349,,,5,,,23,44.3,144.1,,9,29,1,,
3/16/1956,16,LEBANON,3,3,LEBANON: LITANI,LITANI,1956,Other,Other,,,,0.593802745,,,16,,,19,35.5,35.5,5.8,5,32,1,,
4/19/1956,19,SPAIN,4,4,SPAIN,,1956,Other,Other,,,,0.133319941,,,19,,,18,37,-4,,9,38,1,,
5/23/1956,23,FIJI ISLANDS,5,5,FIJI ISLANDS,,1956,Other,Other,,,,0.228271826,,,23,,,20,-15,-179,7.5,7,48,1,,
6/9/1956,9,AFGHANISTAN,6,6,AFGHANISTAN: KABUL,KABUL,1956,Other,Other,,,,0.623702651,,,9,,,,35.1,67.5,7.6,7,,1,,
7/9/1956,9,GREECE,7,7,GREECE: DODECANESE,DODECANESE,1956,Other,Other,,56,,0.005248921,,,9,,,3,36.9,26,7.8,7,11,1,39,
7/9/1956,9,GREECE,7,7,GREECE: AEGEAN SEA,AEGEAN SEA,1956,Other,Other,,,,0.010905176,,,9,,,3,36.8,25.2,6.8,6,24,1,,
7/16/1956,16,MYANMAR (BURMA),7,7,MYANMAR (BURMA),,1956,Other,Other,,,,0.614897654,,,16,,,15,22.2,95.7,7,7,7,1,,
7/18/1956,18,INDONESIA,7,7,INDONESIA: BANDA SEA,BANDA SEA,1956,Other,Other,,,,0.332802514,,,18,,,6,-5.5,130,7.5,7,19,1,35,
7/21/1956,21,INDIA,7,7,"INDIA: ANJAR, BHUJ, GANDHIDHAM, KANDLA","ANJAR, BHUJ, GANDHIDHAM, KANDLA",1956,Other,Other,,,,0.181292822,,,21,,,15,23,70,6.1,6,32,1,,
8/12/1956,12,JAPAN,8,8,JAPAN: IZU PENINSULA,IZU PENINSULA,1956,Other,Other,,,,0.862797295,,,12,,,16,33.8,138.8,6.5,6,59,1,37.6,
8/19/1956,19,CHINA,8,8,CHINA: SHANXI PROVINCE,SHANXI PROVINCE,1956,Other,Other,,,,0.526179996,,,19,,,0,37.8,114,5,5,44,1,33,
10/11/1956,11,RUSSIA,10,10,RUSSIA: KURIL ISLANDS,KURIL ISLANDS,1956,Other,Other,,,,0.427330017,,,11,,,2,46,150.5,7.6,7,24,1,,
10/31/1956,31,IRAN,10,10,IRAN: BASTAK,BASTAK,1956,Other,Other,,,,0.408120463,,,31,,,14,27.2,54.4,6.8,6,3,1,,
11/2/1956,2,GREECE,11,11,GREECE: VOLOS-AGRIA (MAGNESIA),VOLOS-AGRIA (MAGNESIA),1956,Other,Other,,,,0.724681967,,,2,,,16,39.5,23,5.7,5,4,1,,
12/18/1956,18,CHILE,12,12,CHILE: ANTOFAGASTA,ANTOFAGASTA,1956,Other,Other,,,,0.080463146,,,18,,,2,-25.5,-71,,9,31,1,3,
12/31/1956,31,CHINA,12,12,CHINA: HEBEI PROVINCE,HEBEI PROVINCE,1956,Other,Other,,,,0.378635372,,,31,,,21,40.5,115.5,5,5,33,1,22,
2/20/1957,20,TUNISIA,2,2,"TUNISIA: SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX","SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX",1957,Other,Other,,13,96,0.487361071,,,20,,,4,36.2,8.9,5.6,5,41,1,1,109
2/23/1957,23,TAIWAN,2,2,"TAIWAN: HUALIEN, TAIPEI","HUALIEN, TAIPEI",1957,Other,Other,,11,,0.497802547,,,23,,,20,23.9,121.6,7.2,7,26,1,14,
3/8/1957,8,GREECE,3,3,GREECE: STEPHANOVIKION-VELESTNON (MAGNESIA),STEPHANOVIKION-VELESTNON (MAGNESIA),1957,Other,Other,,2,,0.793326409,,,8,,,12,39.4,22.8,7,7,21,1,14,
3/9/1957,9,ALASKA,3,3,ALASKA,,1957,"(1922, CHILE: ATACAMA), (1946, ALASKA: UNIMAK ISLAND), (1950, INDIA-CHINA) and 3 more",Other,,2,1,0.623706768,,,9,,,14,51.292,-175.629,8.6,8,22,1,31.9,3
3/22/1957,22,ALASKA,3,3,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,ALEUTIAN ISLANDS,1957,Other,Other,,,,0.795201208,,,22,,,14,55,-165.2,7.5,7,21,1,,
4/14/1957,14,SAMOA ISLANDS,4,4,SAMOA ISLANDS,,1957,Other,Other,,,,0.495013573,,,14,,,19,-15.5,-173,7.5,7,18,1,,
4/16/1957,16,INDONESIA,4,4,INDONESIA: JAVA SEA,JAVA SEA,1957,Other,Other,,,,0.117011925,,,16,,,4,-4.6,107.1,7.5,7,4,1,4,
4/23/1957,23,IRAN,4,4,IRAN: KACHU MESQAL,KACHU MESQAL,1957,Other,Other,,,,0.281293911,,,23,,,,33.4,52.5,,9,,1,,
4/24/1957,24,TURKEY,4,4,TURKEY,,1957,Other,Other,,,,0.852516516,,,24,,,19,36,28.5,6.9,6,10,1,,
4/25/1957,25,TURKEY,4,4,"TURKEY: FETHIYE (LYCIA, ASIA MINOR)","FETHIYE (LYCIA, ASIA MINOR)",1957,Other,Other,,,,0.480139734,,,25,,,2,36.4,28.7,7.1,7,25,1,,
5/26/1957,26,TURKEY,5,5,TURKEY: ABANT,ABANT,1957,Other,Other,,,,0.146562868,,,26,,,6,40.7,30.9,7.1,7,33,1,,
6/10/1957,10,CHINA,6,6,CHINA: SHANXI PROVINCE,SHANXI PROVINCE,1957,Other,Other,,,,0.663770873,,,10,,,20,38,112.5,5,5,2,1,2,
6/22/1957,22,INDONESIA,6,6,INDONESIA: NEW GUINEA: IRIAN JAYA,NEW GUINEA,1957,Other,Other,,,,0.786836610,,,22,,,23,-1.5,137,7.3,7,50,1,23,
6/27/1957,27,RUSSIA,6,6,RUSSIA: CHITA,CHITA,1957,Other,Other,,,,0.348466756,,,27,,,0,56.2,116.4,7.6,7,9,1,28,
7/2/1957,2,IRAN,7,7,"IRAN: HAZANDERAN, ABEGARM","HAZANDERAN, ABEGARM",1957,Other,Other,,,,0.009742649,,,2,,,0,36.1,52.7,6.6,6,42,1,,
7/28/1957,28,MEXICO,7,7,"MEXICO: ACAPULCO,MEXICO CITY","ACAPULCO,MEXICO CITY",1957,Other,Other,,65,,0.330582337,25,25000000,28,,,8,16.5,-99.1,7.9,7,40,1,1,
7/29/1957,29,CHILE,7,7,CHILE: ANTOFAGASTA,ANTOFAGASTA,1957,Other,Other,,,,0.619946407,,,29,,,17,-23.5,-71.5,7,7,15,1,14,
9/5/1957,5,IRAN,9,9,IRAN: JAHROM,JAHROM,1957,Other,Other,,,,0.046916368,,,5,,,,28.3,53.3,,9,,1,,
9/24/1957,24,PHILIPPINES,9,9,PHILIPPINES,,1957,Other,Other,,,,0.414928378,,,24,,,8,5.5,127.5,7.6,7,21,1,,
9/26/1957,26,S. JAVA SEA,9,9,S. JAVA SEA,,1957,Other,Other,,,,0.342342149,,,26,,,,-8.2,107.3,,9,,1,,
9/28/1957,28,FIJI ISLANDS,9,9,FIJI ISLANDS,,1957,Other,Other,,,,0.322668685,,,28,,,14,-20.4,-178.5,7.5,7,20,1,,
10/26/1957,26,INDONESIA,10,10,INDONESIA: KALIMANTAN ISLAND,KALIMANTAN ISLAND,1957,Other,Other,,,,0.036143130,,,26,,,14,-2,116,6,6,16,1,57,
11/29/1957,29,BOLIVIA,11,11,BOLIVIA: S,S,1957,Other,Other,,,,0.830103290,,,29,,,22,-21,-66,7.8,7,19,1,,
11/1/1957,,SOLOMON ISLANDS,11,11,SOLOMON ISLANDS,,1957,Other,Other,,,,0.387704295,,,1,,,,,,,9,,1,,
12/4/1957,4,MONGOLIA,12,12,MONGOLIA,,1957,Other,Other,,30,,0.559536454,,,4,,,3,45.5,99.5,8.1,8,37,1,45,
12/13/1957,13,IRAN,12,12,IRAN: FARSINAJ,FARSINAJ,1957,Other,Other,,,,0.108192544,,,13,,,1,34.3,47.8,7.1,7,45,1,,
12/17/1957,17,SOLOMON ISLANDS,12,12,SOLOMON ISLANDS: SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS,1957,Other,Other,,,,0.578108950,,,17,,,13,-12.3,166.7,7.8,7,50,1,,
1/15/1958,15,PERU,1,1,PERU: AREQUIPA,AREQUIPA,1958,Other,Other,,,,0.042967994,,,15,,,19,-16.5,-72,7.3,7,14,1,,
1/16/1958,16,IRAN,1,1,IRAN,,1958,Other,Other,,,,0.675487574,,,16,,,2,36.5,53,,9,4,1,,
1/19/1958,19,COLOMBIA-ECUADOR,1,1,COLOMBIA-ECUADOR,,1958,Other,Other,,115,46,0.551200132,,,19,,,14,1.5,-79.5,7.6,7,7,1,27,161
2/1/1958,1,COLOMBIA,2,2,COLOMBIA,,1958,Other,Other,,,,0.230616900,,,1,,,14,2,-79,,9,9,1,,
2/7/1958,7,CHINA,2,2,CHINA: SICHUAN PROVINCE,SICHUAN PROVINCE,1958,Other,Other,,,,0.584184363,,,7,,,23,31.5,104,6.2,6,23,1,36,
3/11/1958,11,JAPAN,3,3,JAPAN: RYUKYU ISLANDS,RYUKYU ISLANDS,1958,Other,Other,,,,0.169975851,,,11,,,0,25,125,7.5,7,22,1,56,
4/21/1958,21,INDONESIA,4,4,INDONESIA: SUMATRA: BENGKULU,SUMATRA,1958,Other,Other,,,,0.567749197,,,21,,,22,-4.5,104,6.7,6,37,1,36,
5/14/1958,14,AZORES,5,5,AZORES,,1958,Other,Other,,,,0.774411771,,,14,,,2,38.5,-28.8,,9,34,1,,
7/10/1958,10,ALASKA,7,7,ALASKA: LITUYA BAY,LITUYA BAY,1958,Other,Other,,5,,0.344658001,0.1,100000,10,,,6,58.37,-136.665,7.8,7,15,1,59.9,
7/26/1958,26,PERU,7,7,PERU: S,S,1958,Other,Other,,,,0.182016115,,,26,,,17,-13.5,-69,7.5,7,38,1,,
8/16/1958,16,IRAN,8,8,IRAN: FIRUZABAD,FIRUZABAD,1958,Other,Other,,,,0.650570347,,,16,,,19,34.4,47.9,6.7,6,13,1,,
9/1/1958,1,PERU,9,9,PERU: S,S,1958,Other,Other,,,,0.451372711,,,1,,,14,-18,-65,,9,30,1,,
9/4/1958,4,CHILE-ARGENTINA,9,9,CHILE-ARGENTINA,,1958,Other,Other,,,,0.461073445,,,4,,,21,-33.785,-70.112,6.8,6,51,1,16.9,
9/17/1958,17,RUSSIA,9,9,RUSSIA: N. KURIL ISLANDS,N. KURIL ISLANDS,1958,Other,Other,,,,0.944088006,,,17,,,12,49.3,156.4,,9,24,1,,
9/21/1958,21,IRAN,9,9,IRAN,,1958,Other,Other,,,,0.023018971,,,21,,,16,36,49,,9,18,1,,
9/25/1958,25,CHINA,9,9,CHINA: GUANGXI PROVINCE,GUANGXI PROVINCE,1958,Other,Other,,,,0.602840916,,,25,,,1,22.5,109.5,5.8,5,5,1,36,
10/20/1958,20,INDONESIA,10,10,INDONESIA: JAVA: MALANG,JAVA,1958,Other,Other,,8,1856,0.417066912,,,20,206,95,1,-9.5,112.5,6.7,6,12,1,37,1864
11/4/1958,4,EAST PACIFIC RIDGE,11,11,EAST PACIFIC RIDGE,,1958,Other,Other,,,,0.731755867,,,4,,,22,-50,-115,6.1,6,54,1,46,
11/6/1958,6,RUSSIA,11,11,RUSSIA: KURIL ISLANDS: S,KURIL ISLANDS,1958,Other,Other,,,,0.470557964,,,6,,,22,44.53,148.54,8.3,8,58,1,8.6,
11/12/1958,12,RUSSIA,11,11,RUSSIA: S. KURIL ISLANDS,S. KURIL ISLANDS,1958,Other,Other,,,,0.171133321,,,12,,,20,44.2,148.8,,9,23,1,,
11/18/1958,18,ITALY,11,11,ITALY: N,N,1958,Other,Other,,,,0.176173372,,,18,,,10,44.3,9.9,,9,45,1,,
11/29/1958,29,ITALY,11,11,ITALY: N,N,1958,Other,Other,,,,0.091597327,,,29,,,9,44.4,8.8,,9,30,1,,
1/22/1959,22,"SANRIKU, JAPAN",1,1,"SANRIKU, JAPAN",,1959,Other,Other,,,,0.447502333,,,22,,,5,37.5,142.2,,9,10,1,,
1/26/1959,26,ITALY,1,1,ITALY: N,N,1959,Other,Other,,,,0.426718660,,,26,,,6,44.5,9.6,,9,46,1,,
2/7/1959,7,PERU-ECUADOR,2,2,PERU-ECUADOR,,1959,Other,Other,,,,0.015536389,,,7,,,9,-4,-81.5,7.4,7,36,1,51,
4/5/1959,5,FRANCE,4,4,"FRANCE: ST PAUL D'UBAYE,JAUSIERS,CEILLAC,VARS","ST PAUL D'UBAYE,JAUSIERS,CEILLAC,VARS",1959,Other,Other,,,,0.543380715,,,5,,,,44,6.8,5.5,5,,1,,
4/9/1959,9,RUSSIA,4,4,RUSSIA: S. KURIL ISLANDS,S. KURIL ISLANDS,1959,Other,Other,,,,0.161340400,,,9,,,12,44.3,149,5,5,24,1,20,
4/11/1959,11,ITALY,4,4,ITALY: CENTRAL,CENTRAL,1959,Other,Other,,,,0.938704886,,,11,,,22,42.9,12.6,,9,,1,,
4/17/1959,17,ITALY,4,4,ITALY: N,N,1959,Other,Other,,,,0.374744789,,,17,,,,44.5,10.8,,9,,1,,
4/25/1959,25,TURKEY,4,4,"TURKEY: KOYCEGIZ, MUGLA","KOYCEGIZ, MUGLA",1959,Other,Other,,,,0.197212864,,,25,,,0,37,28.7,6.3,6,26,1,,
4/26/1959,26,TAIWAN,4,4,TAIWAN: TAIPEI,TAIPEI,1959,Other,Other,,2,,0.478260947,,,26,,,20,24.78,122.7,7.5,7,40,1,38,
5/4/1959,4,RUSSIA,5,5,RUSSIA: NEAR EAST COAST OF KAMCHATKA,NEAR EAST COAST OF KAMCHATKA,1959,Other,Other,,1,13,0.763377700,,,4,,,7,52.5,159.5,8.2,8,15,1,42,14
5/24/1959,24,MEXICO,5,5,MEXICO: OAXACA;,OAXACA;,1959,Other,Other,,,,0.852210445,,,24,,,19,17,-96.3,6.8,6,17,1,,
6/14/1959,14,BOLIVIA-NORTHERN CHILE,6,6,BOLIVIA-NORTHERN CHILE,,1959,Other,Other,,1,,0.763844818,,,14,,,0,-20.369,-68,7.5,7,12,1,6.5,
6/18/1959,18,RUSSIA,6,6,RUSSIA: NEAR KAMCHATKA,NEAR KAMCHATKA,1959,Other,Other,,,,0.723885652,,,18,,,15,53.9,160.5,7,7,31,1,,
