"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Grenada","Export","Fish","3389","","3943","","3856","","3190","","2968","","3334","","3654","","4108","","2934","","4828","F","6419","F","5338","F","5465","F","6546","F","7964","F","5204","F"
"Grenada","Import","Crustaceans","104","","120","","70","","90","F","120","","107","","228","","358","","341","","250","","146","F","136","F","112","F","144","F","258","F","243","F"
"Grenada","Import","Fish","2045","","2411","","2473","","2387","F","2488","","2708","","3446","","4217","","4203","","3429","","2774","F","2650","F","3114","F","2329","F","2680","F","1979","F"
"Guatemala","Export","Crustaceans","21275","","10089","","28663","","40491","","38104","","24975","","39394","","47972","","55882","","50337","","45748","","48497","","56600","","62595","","74593","","58054",""
"Guatemala","Export","Fish","13786","","12315","","4749","","2394","","14889","","24202","","28049","","41080","","21972","","36380","","52609","","57570","","66475","","60610","","55173","","33679",""
"Guatemala","Import","Crustaceans","1407","","1705","","6182","","7244","","8810","","3047","","4196","","4929","","7172","","7819","","12090","","19487","","14687","","23714","","59168","","40286",""
"Guatemala","Import","Fish","5203","","6452","","8617","","8789","","17347","","27312","","26589","","31459","","21717","","29463","","54031","","51065","","73028","","65910","","62157","","41538",""
"Guyana","Export","Crustaceans","33061","","43134","","34807","","34956","","35553","","40845","","38037","","37694","","41041","","30650","","29414","","24964","","48609","","53425","","33254","","42873",""
"Guyana","Export","Fish","18233","","18822","","19665","","19154","","26438","","23246","","26744","","26047","","26889","","22515","","19762","","28601","","27883","","36088","","40133","","44427","F"
"Guyana","Import","Crustaceans","12","","94","","58","","109","","68","","5","","2","","384","","7","","2","","4","","4","","17","","10","","17","","41",""
"Guyana","Import","Fish","889","","930","","1542","","952","","1382","","1417","","1455","","2276","","1238","","1625","","1677","","2543","","2915","","2811","","2800","F","2452","F"
"Haiti","Export","Crustaceans","3115","F","2861","F","3506","F","3087","F","2798","F","3658","F","3404","F","4353","F","4049","F","3524","F","3749","F","5676","F","4060","F","3988","F","4067","F","4151","F"
"Haiti","Export","Fish","423","F","409","F","336","F","260","F","373","F","234","F","215","F","307","F","497","F","667","F","421","F","456","F","357","F","650","F","1089","F","1904",""
"Haiti","Import","Crustaceans","7","","0","-","4","","1","","140","F","75","F","80","F","92","F","135","F","122","F","190","F","328","F","261","F","325","F","509","F","392","F"
"Haiti","Import","Fish","5931","F","7051","F","4678","F","7887","F","8487","F","9729","F","16394","F","16920","F","21720","F","26442","F","20095","F","34205","F","21543","F","42270","F","41687","F","44598","F"
"Honduras","Export","Crustaceans","177336","","203256","","115754","","133441","","136172","","144619","","162580","","132948","","129669","","119223","","146459","","111877","","197731","","281321","","345340","","316075",""
"Honduras","Export","Fish","8850","","8134","","18332","","15790","","23535","","43392","","49245","","51117","","55035","","48956","","20234","","30462","","60348","","69104","","71121","","73594",""
"Honduras","Import","Crustaceans","11664","","7512","","5817","","4865","","4142","","3871","","4329","","4803","","5827","","4965","","6003","","6100","","4630","","5539","","6241","","7920",""
"Honduras","Import","Fish","3465","","2625","","2664","","3558","","3590","","5429","","4741","","6716","","8054","","8349","","9118","","10806","","11913","","12197","","11191","","13862",""
"Jamaica","Export","Crustaceans","6964","","9607","","3819","","7082","","6399","","7233","","6804","","4663","","5234","","4078","","6874","","8606","","8303","","9938","","8144","","5957",""
"Jamaica","Export","Fish","3037","","2210","","1712","","1095","","1012","","2266","","4014","","3605","","3000","","554","","536","","1318","","613","","512","","402","","174",""
"Jamaica","Import","Crustaceans","3494","","4072","","2833","","2966","","3623","","3886","","4631","","6337","","5345","","5555","","7951","","5942","","7713","","8238","","9374","","7857",""
"Jamaica","Import","Fish","47386","","54810","","54308","","55451","","54835","","71466","","74650","","86401","","95759","","81627","","80838","","97470","","100440","","95646","","97682","","92534",""
"Mexico","Export","Crustaceans","526839","","503389","","371669","","379151","","392223","","381544","","413716","","462751","","427376","","433530","","306916","","443111","","388663","","416545","","491946","","463362",""
"Mexico","Export","Fish","106531","","103370","","119960","","189496","","138187","","160875","","159714","","197503","","197806","","184008","","220525","","334775","","348887","","322584","","378165","","353497",""
"Mexico","Import","Crustaceans","22266","","36939","","46885","","55706","","49555","","74677","","78106","","98281","","124466","","75257","","102428","","105087","","107700","","203471","","290736","","130187",""
"Mexico","Import","Fish","74995","","101151","","112015","","137453","","208399","","231547","","315850","","391578","","415742","","270846","","382328","","465870","","501231","","533076","","593903","","587259",""
"Montserrat","Import","Crustaceans","12","","8","","5","","9","","7","","11","","16","","16","","19","","18","","20","","21","","33","","30","","31","","30",""
"Montserrat","Import","Fish","232","F","205","F","207","F","219","","199","","256","","317","","301","","343","","368","","305","","321","","334","","353","","303","","274",""
"Netherlands Antilles","Export","Crustaceans","67","F","31","F","1","","47","F","91","F","131","","32","","5","","2","","8","","34","F","0","-","0","-","0","-","0","-","0","-"
"Netherlands Antilles","Export","Fish","5611","F","5870","F","5229","F","8752","F","9033","F","2353","F","3226","F","2529","F","18954","F","17207","F","14725","F","0","-","0","-","0","-","0","-","0","-"
"Netherlands Antilles","Import","Crustaceans","1918","F","1332","F","812","F","935","F","1286","F","1492","","1851","","2032","","2485","","2654","F","3675","F","0","-","0","-","0","-","0","-","0","-"
"Netherlands Antilles","Import","Fish","5460","F","4455","F","3425","F","4751","F","5715","F","6600","","8365","","8675","","10767","","14937","F","13744","F","0","-","0","-","0","-","0","-","0","-"
"Nicaragua","Export","Crustaceans","118187","","33118","","35703","","55734","","85377","","89192","","70883","","74938","","104623","","82639","","107622","","115203","","175385","","225490","","262020","","226552",""
"Nicaragua","Export","Fish","9555","","9342","","11482","","11830","","12822","","16259","","17085","","20357","","21470","","21357","","23615","","23798","","24278","","26927","","34670","","29944",""
"Nicaragua","Import","Crustaceans","3393","","2900","","2561","","314","","128","","59","","55","","216","","508","","111","","79","","320","","310","","201","","104","","121",""
"Nicaragua","Import","Fish","3790","","3150","","3859","","3300","","3228","","4168","","4453","","4853","","5106","","5064","","5119","","7059","","9086","","10458","","11562","","16438",""
"Panama","Export","Crustaceans","79958","","106024","","97281","","89899","","92835","","87349","","69087","","64385","","45605","","46095","","37311","","38370","","42660","","75278","","80903","","68662",""
"Panama","Export","Fish","163383","","205046","","225177","","308093","","342435","","334569","","296028","","284187","","340503","","314980","","150286","","72891","","61700","","68052","","85979","","87121",""
"Panama","Import","Crustaceans","512","","471","","789","","877","","670","","447","","296","","870","","1166","","660","","701","","1094","","1569","","2917","","5523","","4479",""
"Panama","Import","Fish","13305","","10333","","13441","","15443","","13579","","19545","","17520","","20521","","26770","","28054","","32087","","38485","","48040","","50029","","55818","","62101",""
"Paraguay","Export","Fish","45","","70","","39","","98","","206","","201","","230","","170","","95","","45","","19","","14","","15","","14","","14","","12",""
"Paraguay","Import","Crustaceans","126","","59","","52","","46","","49","","35","","117","","82","","245","","346","","348","","829","","229","","944","","671","","997",""
"Paraguay","Import","Fish","1389","","1462","","909","","708","","1261","","1376","","1243","","2154","","3396","","3550","","5179","","5384","","6372","","6216","","7823","","6552",""
"Peru","Export","Crustaceans","9004","","13010","","17810","","19150","","26596","","40332","","48703","","57014","","65812","","63695","","69698","","92721","","94390","","130983","","165510","","145229",""
"Peru","Export","Fish","107232","","128182","","80653","","81492","","97583","","102817","","163276","","200472","","237330","","213616","","190293","","348384","","388148","","301211","","303447","","294076",""
"Peru","Import","Crustaceans","42","","387","","740","","807","","1405","","1473","","1953","","2993","","3701","","2288","","2943","","4340","","4116","","7113","","10367","","21647",""
"Peru","Import","Fish","15332","","20879","","23297","","23616","","24829","","44582","","24671","","30108","","56672","","73173","","148854","","123642","","131380","","193413","","162190","","204870",""
"Saint Kitts and Nevis","Export","Crustaceans","245","","131","","23","","41","","36","","0","-","239","","411","","458","","465","","466","","659","F","300","F","295","F","290","F","290","F"
"Saint Kitts and Nevis","Export","Fish","0","-","0","-","0","0","0","0","0","0","0","-","3","","9","","24","","27","","27","","30","","26","F","61","F","49","F","4","F"
"Saint Kitts and Nevis","Import","Crustaceans","343","","143","","142","","177","","448","","154","","676","","687","","683","","431","","473","F","374","","430","F","605","F","574","F","621","F"
"Saint Kitts and Nevis","Import","Fish","2117","","1624","","1629","","1667","","2075","","784","","3343","","3152","","2923","","3270","","3291","","2809","","2076","F","3197","F","2561","F","3058","F"
"Saint Lucia","Export","Crustaceans","0","-","0","-","0","-","30","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","22","","0","-"
"Saint Lucia","Export","Fish","0","-","37","","83","","0","0","0","-","0","-","1","","0","-","107","","0","-","0","-","0","-","31","F","0","-","1","","0","-"
"Saint Lucia","Import","Crustaceans","786","","930","","593","","993","","884","","837","","778","","862","","860","","983","F","1319","F","1107","F","1392","F","412","F","1676","","2493","F"
"Saint Lucia","Import","Fish","3777","","3012","","3491","","3844","","4513","","4935","","5182","","5653","","7198","","5201","F","5099","F","6051","F","7937","F","6345","F","8123","","7784","F"
"Saint Vincent/Grenadines","Export","Crustaceans","334","","388","","573","","294","","346","","410","","158","","135","","375","","355","","401","","182","","193","","177","F","392","F","359","F"
"Saint Vincent/Grenadines","Export","Fish","623","","240","","138","","215","","62","","21","","80","","134","","135","","50","","64","","83","","82","","91","F","112","F","104","F"
"Saint Vincent/Grenadines","Import","Crustaceans","54","","126","","105","","86","","52","","106","","152","","288","","370","","181","","198","","240","","291","","276","F","220","F","306",""
"Saint Vincent/Grenadines","Import","Fish","1076","","1151","","1239","","1297","","1527","","1754","","1847","","1866","","2087","","1727","","1723","","1695","","1942","","1869","F","1862","F","1980",""
