internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName
33670,Melicope macropus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Melicope,macropus
34040,Delissea undulata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,CAMPANULACEAE,Delissea,undulata
113168368,Leucadendron grandiflorum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Leucadendron,grandiflorum
113166006,Leucadendron spirale,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Leucadendron,spirale
4135,Barbodes pachycheilus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,pachycheilus
12751,Barbodes resimus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,resimus
15633,Barbodes palaemophagus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,palaemophagus
15634,Barbodes truncatulus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,truncatulus
18882,Barbodes amarus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,amarus
18884,Barbodes baoulan,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,baoulan
18886,Barbodes clemensi,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,clemensi
18888,Barbodes disa,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,disa
18889,Barbodes flavifuscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,flavifuscus
18890,Barbodes herrei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,herrei
18891,Barbodes katolo,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,katolo
18892,Barbodes lanaoensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,lanaoensis
18901,Barbodes tras,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,tras
18904,Barbodes manalak,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,manalak
20687,Barbodes palata,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,palata
13132,Melomys rubicola,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Melomys,rubicola
184553,Bythinella punica,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,BYTHINELLIDAE,Bythinella,punica
