"state","year","incidence"
"INDIANA","1947",6.520000000000001
"INDIANA","1948",10.600000000000003
"INDIANA","1949",28.88
"INDIANA","1950",15.079999999999998
"INDIANA","1951",8.86
"INDIANA","1952",27.480000000000008
"INDIANA","1953",15.28
"INDIANA","1954",20.31
"INDIANA","1955",9.899999999999999
"INDIANA","1956",9.62
"INDIANA","1957",4.68
"INDIANA","1958",3.389999999999999
"INDIANA","1959",2.0500000000000003
"INDIANA","1960",3.3499999999999996
"INDIANA","1961",0.4600000000000001
"INDIANA","1962",0.56
"INDIANA","1963",0.08
"INDIANA","1964",0.17999999999999997
"INDIANA","1966",0.04
"INDIANA","1967",0.06
"INDIANA","1968",0.04
"IOWA","1928",1.3600000000000003
"IOWA","1929",3.040000000000001
"IOWA","1930",9.040000000000001
"IOWA","1931",6.520000000000002
"IOWA","1932",1.9200000000000006
"IOWA","1933",1.7999999999999998
"IOWA","1934",1.4000000000000004
"IOWA","1935",2.5600000000000005
"IOWA","1936",2.8400000000000007
"IOWA","1937",9.679999999999996
"IOWA","1938",3.66
"IOWA","1939",7.13
"IOWA","1940",23.16999999999999
"IOWA","1941",2.5200000000000005
"IOWA","1942",2.4100000000000006
"IOWA","1943",6.609999999999999
"IOWA","1944",8.25
"IOWA","1945",12.35
"IOWA","1946",21.74
"IOWA","1947",8.3
"IOWA","1948",46.39
"IOWA","1949",46.96999999999999
"IOWA","1950",48.83
"IOWA","1951",16.91
"IOWA","1952",102.87
"IOWA","1953",23.020000000000007
"IOWA","1954",55.250000000000014
"IOWA","1955",19.26
"IOWA","1956",24.009999999999994
"IOWA","1957",6.790000000000001
"IOWA","1958",2.9099999999999997
"IOWA","1959",10.449999999999998
"IOWA","1960",1.02
"IOWA","1961",0.8200000000000001
"IOWA","1962",0.33999999999999997
"IOWA","1964",0.04
"IOWA","1965",0.12
"IOWA","1967",0.04
"IOWA","1968",0.07
"KANSAS","1928",2.4399999999999995
"KANSAS","1929",1.1400000000000001
"KANSAS","1930",41.25
"KANSAS","1931",1.7000000000000008
"KANSAS","1932",2.2300000000000004
"KANSAS","1933",2.8699999999999988
"KANSAS","1934",4.299999999999999
"KANSAS","1935",1.8100000000000005
"KANSAS","1936",4.539999999999999
"KANSAS","1937",13.490000000000004
"KANSAS","1938",3.189999999999999
"KANSAS","1939",3.4299999999999993
"KANSAS","1940",18.95
"KANSAS","1941",3.2900000000000005
"KANSAS","1942",5.35
"KANSAS","1943",35.600000000000016
"KANSAS","1944",7.3199999999999985
"KANSAS","1945",7.030000000000001
"KANSAS","1946",46.69999999999999
"KANSAS","1947",10.78
"KANSAS","1948",16.640000000000004
"KANSAS","1949",39.22
"KANSAS","1950",27.259999999999998
"KANSAS","1951",40.38
"KANSAS","1952",69.03999999999996
"KANSAS","1953",25.639999999999997
"KANSAS","1954",34.29999999999999
"KANSAS","1955",12.450000000000005
"KANSAS","1956",12.610000000000001
"KANSAS","1957",3.059999999999999
"KANSAS","1958",1.3700000000000003
"KANSAS","1959",5.33
"KANSAS","1960",0.89
"KANSAS","1961",0.4099999999999999
"KANSAS","1964",0.05
"KANSAS","1965",0.05
"KANSAS","1967",0.15000000000000002
"KENTUCKY","1928",1.9000000000000008
"KENTUCKY","1929",0.5199999999999999
"KENTUCKY","1930",0.98
"KENTUCKY","1931",1.1
"KENTUCKY","1932",1.940000000000001
"KENTUCKY","1933",1.6600000000000004
"KENTUCKY","1934",4.37
"KENTUCKY","1935",11.590000000000002
"KENTUCKY","1936",3.1
"KENTUCKY","1937",4.86
"KENTUCKY","1938",2.5900000000000003
"KENTUCKY","1939",5.830000000000001
"KENTUCKY","1940",5.369999999999999
"KENTUCKY","1941",7.390000000000001
