"source","target","value"
"CZE","FRA",24
"DJI","FRA",345
"DMA","FRA",5
"DOM","FRA",85
"ECU","FRA",24
"GNQ","FRA",35
"ERI","FRA",6808
"EST","FRA",5
"ETH","FRA",1804
"GAB","FRA",279
"GMB","FRA",348
"PSE","FRA",1179
"GEO","FRA",3623
"DEU","FRA",5
"GHA","FRA",516
"GNB","FRA",904
"GTM","FRA",14
"GIN","FRA",11847
"GUY","FRA",19
"HTI","FRA",3978
"HND","FRA",26
"HRV","FRA",54
"HUN","FRA",54
"CIV","FRA",6178
"IND","FRA",238
"IDN","FRA",8
"IRN","FRA",3036
"IRQ","FRA",8933
"ISR","FRA",7
"JAM","FRA",20
"JOR","FRA",32
"KAZ","FRA",615
"KEN","FRA",135
"KGZ","FRA",312
"KWT","FRA",191
"LAO","FRA",6436
"LBR","FRA",247
"LBY","FRA",1125
"LCA","FRA",5
"LBN","FRA",155
"LKA","FRA",23761
"LTU","FRA",6
"LVA","FRA",32
"MDG","FRA",229
"MRT","FRA",5766
"MKD","FRA",391
"MDA","FRA",321
"MDV","FRA",5
"MEX","FRA",27
"MLI","FRA",5362
"MYS","FRA",9
"MNG","FRA",480
"MAR","FRA",840
"MOZ","FRA",16
"MNE","FRA",97
"MUS","FRA",28
"MMR","FRA",327
"NPL","FRA",150
"NER","FRA",121
"NIC","FRA",32
"NGA","FRA",3396
"PAK","FRA",1903
"PRY","FRA",6
"PER","FRA",326
"PHL","FRA",5
"POL","FRA",132
"ROU","FRA",141
"ZAF","FRA",48
"RUS","FRA",16592
"RWA","FRA",3045
"SLV","FRA",70
"SAU","FRA",28
"SRB","FRA",14224
"SEN","FRA",1817
"SLE","FRA",691
"SOM","FRA",4955
"VNM","FRA",7710
"STP","FRA",5
"SDN","FRA",19361
"SUR","FRA",5
"SSD","FRA",123
"SVK","FRA",106
"SYR","FRA",19265
"TZA","FRA",10
"THA","FRA",8
"TJK","FRA",56
"TKM","FRA",24
"TGO","FRA",770
"TUN","FRA",384
"TUR","FRA",12060
"UGA","FRA",163
"UKR","FRA",1881
"UZB","FRA",209
"VEN","FRA",671
"ESH","FRA",728
"YEM","FRA",510
"ZWE","FRA",58
"XXA","FRA",10
,"FRA",101093
"BDI","GAB",6
"CAF","GAB",19
"TCD","GAB",255
"CMR","GAB",5
"COG","GAB",67
"COD","GAB",71
"MRT","GAB",7
"STP","GAB",23
"SSD","GAB",5
"TGO","GAB",11
"CAF","GMB",7
"COG","GMB",6
"COD","GMB",52
"GIN","GMB",5
"CIV","GMB",149
"LBR","GMB",15
"SEN","GMB",4035
"SLE","GMB",107
"TGO","GMB",18
"AFG","GBR",9539
"ALB","GBR",3465
"DZA","GBR",343
"AGO","GBR",168
"ATG","GBR",5
"EGY","GBR",913
"ARM","GBR",63
"AUS","GBR",5
"AZE","GBR",149
"BHR","GBR",179
"BRB","GBR",14
"BDI","GBR",53
"BEN","GBR",8
"BGD","GBR",1654
"BTN","GBR",55
"BFA","GBR",10
"BLR","GBR",120
"BOL","GBR",21
"BWA","GBR",31
"BRA","GBR",30
"BIH","GBR",15
"CAN","GBR",11
"CAF","GBR",10
"TCD","GBR",59
"CHN","GBR",1354
"CMR","GBR",713
"COG","GBR",98
"COD","GBR",1056
"COM","GBR",5
"COL","GBR",22
"CUB","GBR",11
"CPV","GBR",5
"DJI","GBR",5
"DMA","GBR",21
"ECU","GBR",9
"ERI","GBR",14013
"ETH","GBR",1803
"FJI","GBR",9
"GAB","GBR",5
"GMB","GBR",1177
"PSE","GBR",645
"GEO","GBR",76
"GHA","GBR",350
"GNB","GBR",7
"GRC","GBR",5
"GRD","GBR",26
"GTM","GBR",8
"GIN","GBR",240
"GUY","GBR",20
"HND","GBR",69
"CIV","GBR",234
"IND","GBR",481
"IDN","GBR",28
"IRN","GBR",20381
"IRQ","GBR",6231
"ISR","GBR",7
"JAM","GBR",348
"JOR","GBR",83
"KAZ","GBR",26
"KEN","GBR",310
"KGZ","GBR",37
"KOR","GBR",7
"PRK","GBR",75
"KWT","GBR",661
"LAO","GBR",5
"LBR","GBR",30
"LBY","GBR",4140
"LCA","GBR",25
"LBN","GBR",182
"LKA","GBR",5436
"MRT","GBR",9
"MKD","GBR",20
"MDA","GBR",11
"MDV","GBR",41
"MEX","GBR",13
"MLI","GBR",24
"MYS","GBR",279
"MWI","GBR",339
"MNG","GBR",73
"MAR","GBR",222
"MOZ","GBR",7
"MUS","GBR",61
"MMR","GBR",564
"NAM","GBR",121
"NPL","GBR",49
"NLD","GBR",5
"NER","GBR",190
"NIC","GBR",28
"NGA","GBR",2967
"NOR","GBR",5
"OMN","GBR",19
"PAK","GBR",8325
"PHL","GBR",44
"QAT","GBR",6
"ROU","GBR",5
"ZAF","GBR",146
"RUS","GBR",772
"RWA","GBR",122
"SLV","GBR",475
"SAU","GBR",247
"SRB","GBR",86
"SEN","GBR",111
"SYC","GBR",5
"SGP","GBR",5
"SLE","GBR",330
"SOM","GBR",3101
"VNM","GBR",2079
"KNA","GBR",6
"SDN","GBR",10948
"SSD","GBR",71
"SWZ","GBR",57
"SYR","GBR",11422
"TZA","GBR",101
"THA","GBR",38
"TJK","GBR",14
"TKM","GBR",13
"TGO","GBR",18
"TTO","GBR",97
"TUN","GBR",63
"TUR","GBR",2142
"ARE","GBR",25
"UGA","GBR",1238
"UKR","GBR",207
"USA","GBR",59
"UZB","GBR",80
"VCT","GBR",36
"VEN","GBR",58
"ESH","GBR",11
"YEM","GBR",912
"ZMB","GBR",89
"ZWE","GBR",1965
"XXA","GBR",2919
,"GBR",4023
"AFG","GEO",11
"EGY","GEO",60
"AZE","GEO",5
"COD","GEO",5
"IRN","GEO",33
"IRQ","GEO",525
"LBN","GEO",6
"PAK","GEO",11
"RUS","GEO",240
"SDN","GEO",6
"SYR","GEO",91
"TJK","GEO",5
"TUR","GEO",5
"UKR","GEO",300
"YEM","GEO",34
,"GEO",13
"AFG","DEU",133370
"ALB","DEU",1251
"DZA","DEU",583
"AND","DEU",5
"AGO","DEU",827
"EGY","DEU",2130
"ARG","DEU",16
"ARM","DEU",2559
"AUS","DEU",5
"AUT","DEU",5
"AZE","DEU",3604
"BHR","DEU",88
"BDI","DEU",116
"BEL","DEU",6
"BEN","DEU",89
"BGD","DEU",722
"BTN","DEU",20
"BFA","DEU",95
"BLR","DEU",195
"BOL","DEU",7
"BWA","DEU",5
"BRA","DEU",31
"BIH","DEU",1396
"BGR","DEU",74
"KHM","DEU",32
"CAN","DEU",23
"CAF","DEU",36
"TCD","DEU",87
"CHN","DEU",1820
"CHL","DEU",163
"CMR","DEU",750
"COG","DEU",265
"COD","DEU",1551
"COL","DEU",67
"CUB","DEU",82
"CZE","DEU",723
"DJI","DEU",34
"DMA","DEU",5
"DOM","DEU",10
"ECU","DEU",11
"GNQ","DEU",23
"ERI","DEU",55708
"ETH","DEU",4713
"FRA","DEU",15
"GAB","DEU",9
"GMB","DEU",1001
"PSE","DEU",1964
"GBR","DEU",17
"GEO","DEU",646
"GHA","DEU",600
"GNB","DEU",106
"GRC","DEU",46
"GTM","DEU",5
"GIN","DEU",2986
"HTI","DEU",14
"HND","DEU",68
"HRV","DEU",281
"HUN","DEU",237
"ISL","DEU",5
"CIV","DEU",615
"IND","DEU",367
"IDN","DEU",14
"IRN","DEU",40005
"IRQ","DEU",131935
"ISR","DEU",36
"ITA","DEU",30
"JAM","DEU",63
"JOR","DEU",443
"JPN","DEU",24
"KAZ","DEU",110
"KEN","DEU",176
"KGZ","DEU",219
"KOR","DEU",28
"PRK","DEU",84
"KWT","DEU",30
"LAO","DEU",41
"LBR","DEU",111
"LBY","DEU",2112
"LBN","DEU",1646
"LKA","DEU",3594
"LTU","DEU",5
"LUX","DEU",5
"LVA","DEU",8
"MDG","DEU",5
"MRT","DEU",38
"MKD","DEU",677
"MDA","DEU",130
"MEX","DEU",23
"MLI","DEU",315
"MYS","DEU",13
"MWI","DEU",5
"MNG","DEU",206
"MAR","DEU",773
"MOZ","DEU",12
"MNE","DEU",238
"MUS","DEU",5
"MMR","DEU",817
"NPL","DEU",64
"NLD","DEU",30
"NER","DEU",56
"NIC","DEU",5
"NGA","DEU",7679
"NZL","DEU",8
"OMN","DEU",9
"PAK","DEU",7658
"PRY","DEU",5
"PER","DEU",38
"PHL","DEU",37
"POL","DEU",609
"PRT","DEU",5
"QAT","DEU",5
"ROU","DEU",142
"ZAF","DEU",20
"RUS","DEU",8548
"RWA","DEU",277
"SLV","DEU",107
"SAU","DEU",160
"SRB","DEU",8227
"SEN","DEU",158
"SGP","DEU",8
"SLE","DEU",729
"SLB","DEU",5
"SOM","DEU",25160
"ESP","DEU",22
"VNM","DEU",1158
"SDN","DEU",2512
"SSD","DEU",92
"SVK","DEU",77
"SVN","DEU",6
"SWZ","DEU",5
"SWE","DEU",8
"SYR","DEU",562168
"TZA","DEU",61
"THA","DEU",23
"TJK","DEU",891
"TKM","DEU",85
"TGO","DEU",1009
"TUN","DEU",213
"TUR","DEU",30578
"ARE","DEU",37
"UGA","DEU",212
"UKR","DEU",823
"USA","DEU",129
"UZB","DEU",117
"VCT","DEU",5
"VEN","DEU",447
"YEM","DEU",2820
"ZMB","DEU",5
"ZWE","DEU",243
"XXA","DEU",9647
,"DEU",31948
"BDI","GHA",13
"BEN","GHA",5
"CAF","GHA",156
"TCD","GHA",32
"CMR","GHA",51
"COG","GHA",7
"COD","GHA",54
"ERI","GHA",94
"ETH","GHA",8
"PSE","GHA",18
"CIV","GHA",6363
"IRQ","GHA",12
"LBR","GHA",693
"LBN","GHA",8
"NGA","GHA",9
"PAK","GHA",54
"RWA","GHA",36
"SLE","GHA",89
"SOM","GHA",63
"SDN","GHA",568
"SSD","GHA",7
"SYR","GHA",194
"TGO","GHA",3469
"TUR","GHA",22
"UGA","GHA",10
"UZB","GHA",9
"BDI","GNB",5
"COM","GNB",6
"LBR","GNB",7
"SEN","GNB",1571
"SLE","GNB",10
"AFG","GRC",15581
"ALB","GRC",168
"DZA","GRC",109
"AGO","GRC",8
"EGY","GRC",370
"ARM","GRC",12
"AZE","GRC",5
"BDI","GRC",48
"BGD","GRC",300
"BFA","GRC",21
"BLR","GRC",5
"CAF","GRC",14
"TCD","GRC",7
"CHN","GRC",112
"CMR","GRC",564
"COG","GRC",147
"COD","GRC",1029
"COM","GRC",6
"DJI","GRC",11
"DOM","GRC",9
"GNQ","GRC",5
"ERI","GRC",1174
"ETH","GRC",461
"GAB","GRC",5
"GMB","GRC",45
"PSE","GRC",3789
"GEO","GRC",268
"GHA","GRC",70
"GIN","GRC",122
"HTI","GRC",16
"CIV","GRC",82
"IND","GRC",32
"IDN","GRC",15
"IRN","GRC",2147
"IRQ","GRC",10455
"JOR","GRC",37
"KAZ","GRC",5
"KEN","GRC",30
"KWT","GRC",118
"LBY","GRC",41
"LBN","GRC",62
"LKA","GRC",48
"MDG","GRC",9
"MRT","GRC",57
"MDA","GRC",13
"MLI","GRC",72
"MAR","GRC",189
"MMR","GRC",85
"NPL","GRC",14
"NER","GRC",11
"NGA","GRC",313
"PAK","GRC",1075
"PHL","GRC",7
"RUS","GRC",17
"RWA","GRC",10
"SLV","GRC",12
"SAU","GRC",7
"SRB","GRC",22
"SEN","GRC",56
"SLE","GRC",69
"SOM","GRC",2312
"VNM","GRC",5
"SDN","GRC",484
"SSD","GRC",29
"SYR","GRC",36013
"TZA","GRC",13
"TJK","GRC",5
"TKM","GRC",6
"TGO","GRC",46
"TUN","GRC",22
"TUR","GRC",750
"UGA","GRC",37
"UKR","GRC",152
"UZB","GRC",17
"VEN","GRC",10
"ESH","GRC",9
"YEM","GRC",752
"ZWE","GRC",9
"XXA","GRC",620
,"GRC",11063
"COL","GTM",8
"HND","GTM",46
"NIC","GTM",127
"RUS","GTM",5
"SLV","GTM",242
"VEN","GTM",31
"BDI","GIN",5
"CAF","GIN",38
"CMR","GIN",5
"COG","GIN",15
"COD","GIN",36
"ERI","GIN",11
"GMB","GIN",7
"CIV","GIN",4164
"LBR","GIN",319
"LKA","GIN",8
"MLI","GIN",13
"NGA","GIN",12
"RWA","GIN",10
"SLE","GIN",576
"SOM","GIN",6
"SYR","GIN",14
"TGO","GIN",9
"CUB","GUY",17
"PAK","GUY",5
"AFG","HKG",8
"EGY","HKG",12
"BDI","HKG",12
"BGD","HKG",8
"CAF","HKG",5
"COD","HKG",12
"ETH","HKG",6
"IDN","HKG",12
"LKA","HKG",20
"PAK","HKG",22
"PHL","HKG",6
"RWA","HKG",28
"SOM","HKG",31
"SDN","HKG",5
"YEM","HKG",21
"NIC","HND",46
"SLV","HND",22
"VEN","HND",7
"AFG","HRV",54
"EGY","HRV",7
"AZE","HRV",5
"BGD","HRV",7
"BLR","HRV",5
"BIH","HRV",8
"COG","HRV",5
"COD","HRV",5
"ERI","HRV",23
"PSE","HRV",6
"GEO","HRV",5
"IRN","HRV",33
"IRQ","HRV",113
"KAZ","HRV",5
"LBY","HRV",5
"MRT","HRV",5
"NGA","HRV",12
"PAK","HRV",7
"RUS","HRV",15
"SOM","HRV",28
"SDN","HRV",5
"SYR","HRV",532
"TUR","HRV",19
"UKR","HRV",8
"UZB","HRV",5
"YEM","HRV",7
"XXA","HRV",5
"AFG","HUN",1512
"DZA","HUN",14
"AGO","HUN",5
"EGY","HUN",11
"ARM","HUN",43
"AZE","HUN",13
"BGD","HUN",10
"CHN","HUN",5
"CMR","HUN",40
"COG","HUN",13
"COD","HUN",24
"CUB","HUN",78
"ERI","HUN",47
"ETH","HUN",39
"PSE","HUN",92
"GEO","HUN",60
"GHA","HUN",5
"GIN","HUN",5
"CIV","HUN",15
"IRN","HUN",182
"IRQ","HUN",637
"LBY","HUN",7
"LBN","HUN",5
"LKA","HUN",11
"MDA","HUN",5
"MMR","HUN",5
"NPL","HUN",11
"NGA","HUN",56
"PAK","HUN",99
"RUS","HUN",36
"SRB","HUN",50
"SOM","HUN",614
"SDN","HUN",67
"SYR","HUN",933
"TUN","HUN",8
"TUR","HUN",33
"UGA","HUN",7
"UKR","HUN",14
"UZB","HUN",6
"YEM","HUN",16
"ZWE","HUN",5
"XXA","HUN",71
,"HUN",925
"AFG","ISL",90
"ALB","ISL",5
"EGY","ISL",6
"CMR","ISL",5
"ERI","ISL",8
"PSE","ISL",37
"GEO","ISL",5
"HND","ISL",7
"IRN","ISL",69
"IRQ","ISL",196
"KAZ","ISL",5
"LBY","ISL",8
"MKD","ISL",5
"MAR","ISL",5
"NGA","ISL",10
"PAK","ISL",18
"PER","ISL",5
"RUS","ISL",11
"SLV","ISL",16
"SOM","ISL",38
"SDN","ISL",6
"SSD","ISL",5
"SYR","ISL",109
"TUR","ISL",8
"UGA","ISL",12
"UKR","ISL",17
"VEN","ISL",164
"YEM","ISL",5
"XXA","ISL",10
,"ISL",12
"BDI","CIV",36
"KHM","CIV",10
"CAF","CIV",537
"TCD","CIV",5
"COG","CIV",82
"COD","CIV",135
"ERI","CIV",7
"ETH","CIV",5
"IRN","CIV",6
"IRQ","CIV",5
"LBR","CIV",954
"LKA","CIV",5
"MLI","CIV",12
"NGA","CIV",5
"RWA","CIV",54
"SOM","CIV",5
"VNM","CIV",5
"SDN","CIV",10
"SYR","CIV",141
"TGO","CIV",17
"TUR","CIV",34
"AFG","IND",7936
"CHN","IND",108008
"COG","IND",8
"COD","IND",42
"ERI","IND",7
"ETH","IND",18
"PSE","IND",71
"CIV","IND",5
"IRN","IND",48
"IRQ","IND",153
"LBY","IND",8
"LKA","IND",93312
"MDV","IND",5
"MMR","IND",2584
"RWA","IND",5
"SAU","IND",5
"SOM","IND",510
"SDN","IND",67
"SYR","IND",65
"TUR","IND",29
"VEN","IND",5
"YEM","IND",5
"XXA","IND",16471
"AFG","IDN",5855
"AGO","IDN",7
"EGY","IDN",18
"CHN","IDN",12
"COD","IDN",10
"ERI","IDN",86
"ETH","IDN",138
"PSE","IDN",286
"IRN","IDN",315
"IRQ","IDN",546
"JOR","IDN",5
"KWT","IDN",9
"LBY","IDN",14
"LKA","IDN",398
"MMR","IDN",39
"PAK","IDN",297
"RUS","IDN",5
"SOM","IDN",1149
"VNM","IDN",20
"SDN","IDN",401
"SYR","IDN",24
"UGA","IDN",5
"YEM","IDN",96
"XXA","IDN",512
"AFG","IRL",382
"ALB","IRL",164
"DZA","IRL",55
"AGO","IRL",53
"EGY","IRL",34
"ARM","IRL",14
"AZE","IRL",5
"BHR","IRL",5
"BDI","IRL",21
"BEN","IRL",5
"BGD","IRL",73
"BTN","IRL",10
"BLR","IRL",22
"BOL","IRL",16
"BWA","IRL",12
"BRA","IRL",10
"BIH","IRL",5
"TCD","IRL",5
"CHN","IRL",68
"CMR","IRL",83
"COG","IRL",14
"COD","IRL",399
"CUB","IRL",5
"ERI","IRL",76
"ETH","IRL",35
"PSE","IRL",122
"GEO","IRL",108
"GHA","IRL",25
"GIN","IRL",16
"CIV","IRL",15
"IND","IRL",12
"IDN","IRL",5
"IRN","IRL",144
"IRQ","IRL",404
"ISR","IRL",5
"JOR","IRL",6
"KAZ","IRL",20
"KEN","IRL",51
"KGZ","IRL",5
"PRK","IRL",7
"KWT","IRL",50
"LBR","IRL",13
"LBY","IRL",225
"LBN","IRL",6
"LSO","IRL",5
"LKA","IRL",21
"MDA","IRL",54
"MEX","IRL",8
"MLI","IRL",8
"MYS","IRL",5
"MWI","IRL",109
"MNG","IRL",5
"MAR","IRL",11
"MOZ","IRL",5
"MNE","IRL",5
"MUS","IRL",13
"MMR","IRL",13
"NPL","IRL",6
"NER","IRL",5
"NIC","IRL",5
"NGA","IRL",313
"PAK","IRL",329
"ZAF","IRL",91
"RUS","IRL",78
"RWA","IRL",36
"SLV","IRL",6
"SAU","IRL",14
"SRB","IRL",60
"SLE","IRL",41
"SOM","IRL",253
"VNM","IRL",5
"SDN","IRL",204
"SWZ","IRL",19
"SYR","IRL",2899
"TGO","IRL",19
"TUN","IRL",5
"TUR","IRL",10
"UGA","IRL",38
"UKR","IRL",83
"UZB","IRL",17
"VEN","IRL",59
"YEM","IRL",17
"ZWE","IRL",504
"XXA","IRL",7
"AFG","IRN",951142
"IRQ","IRN",28268
"KWT","IRN",8
"PAK","IRN",10
"UZB","IRN",7
"AFG","IRQ",11
"ERI","IRQ",5
"PSE","IRQ",7854
"IRN","IRQ",5032
"SOM","IRQ",6
"SDN","IRQ",94
"SYR","IRQ",245421
"TUR","IRQ",15152
"BLR","ISR",5
"TCD","ISR",5
"ERI","ISR",1023
"ETH","ISR",100
"PSE","ISR",11
"GEO","ISR",5
"CIV","ISR",5
"IRN","ISR",6
"IRQ","ISR",10
"PRK","ISR",5
"NGA","ISR",7
"RUS","ISR",5
"SLE","ISR",5
"SDN","ISR",1291
"SSD","ISR",109
"TUR","ISR",5
"UKR","ISR",23
,"ISR",205
"AFG","ITA",17821
"ALB","ITA",869
"DZA","ITA",233
"AGO","ITA",34
"EGY","ITA",2420
"ARG","ITA",10
"ARM","ITA",384
"AZE","ITA",99
"BHR","ITA",5
"BDI","ITA",28
"BEN","ITA",301
"BGD","ITA",9158
"BHS","ITA",5
"BFA","ITA",1242
"BLR","ITA",44
"BOL","ITA",16
"BRA","ITA",239
"BIH","ITA",664
"KHM","ITA",5
"CAF","ITA",110
"TCD","ITA",476
"CHN","ITA",265
"CHL","ITA",11
"CMR","ITA",2259
"COG","ITA",418
"COD","ITA",642
"COL","ITA",760
"CRI","ITA",8
"CUB","ITA",243
"CPV","ITA",5
"DOM","ITA",29
"ECU","ITA",34
"GNQ","ITA",15
"ERI","ITA",6921
"ETH","ITA",1323
"GAB","ITA",39
"GMB","ITA",13043
"PSE","ITA",1036
"GEO","ITA",792
"GHA","ITA",6018
"GNB","ITA",918
"GTM","ITA",23
"GIN","ITA",4899
"HTI","ITA",10
"HND","ITA",346
"HRV","ITA",17
"CIV","ITA",7765
"IND","ITA",405
"IDN","ITA",5
"IRN","ITA",2060
"IRQ","ITA",7003
"ISR","ITA",8
"JAM","ITA",5
"JOR","ITA",40
"KAZ","ITA",29
"KEN","ITA",122
"KGZ","ITA",104
"KOR","ITA",5
"KWT","ITA",13
"LBR","ITA",399
"LBY","ITA",1479
"LBN","ITA",367
"LKA","ITA",592
"MDG","ITA",23
"MRT","ITA",350
"MKD","ITA",82
"MDA","ITA",118
"MEX","ITA",14
"MLI","ITA",16009
"MYS","ITA",5
"MWI","ITA",5
"MNG","ITA",5
"MAR","ITA",1384
"MOZ","ITA",5
"MNE","ITA",85
"MUS","ITA",20
"MMR","ITA",47
"NAM","ITA",5
"NPL","ITA",136
"NER","ITA",687
"NIC","ITA",59
"NGA","ITA",26108
"PAK","ITA",20396
"PAN","ITA",5
"PRY","ITA",8
"PER","ITA",342
"PHL","ITA",98
"ZAF","ITA",13
"RUS","ITA",366
"RWA","ITA",18
"SLV","ITA",3898
"SAU","ITA",25
"SRB","ITA",1222
"SEN","ITA",8068
"SLE","ITA",802
"SOM","ITA",14110
"VNM","ITA",9
"SDN","ITA",1738
"SSD","ITA",143
"SWZ","ITA",10
"SYR","ITA",4815
"TZA","ITA",33
"THA","ITA",5
"TJK","ITA",11
"TKM","ITA",5
"TLS","ITA",5
"TGO","ITA",996
"TUN","ITA",730
"TUR","ITA",2876
"ARE","ITA",5
"UGA","ITA",78
"UKR","ITA",6572
"USA","ITA",7
"UZB","ITA",21
"VEN","ITA",2413
"ESH","ITA",6
"YEM","ITA",154
"ZWE","ITA",32
"XXA","ITA",18
,"ITA",1608
"HTI","JAM",27
"AFG","JOR",8
"EGY","JOR",106
"BIH","JOR",9
"CAF","JOR",5
"TCD","JOR",8
"ERI","JOR",29
"ETH","JOR",11
"IRN","JOR",5
"IRQ","JOR",34225
"LBY","JOR",36
"LBN","JOR",6
"LKA","JOR",7
"PAK","JOR",5
"RUS","JOR",24
"SOM","JOR",672
"SDN","JOR",3330
"SSD","JOR",10
"SYR","JOR",657960
"TUN","JOR",8
"UGA","JOR",5
"YEM","JOR",762
"AFG","JPN",68
"BDI","JPN",9
"BGD","JPN",24
"CHN","JPN",56
"CMR","JPN",17
"COD","JPN",20
"ETH","JPN",31
"IRN","JPN",17
"IRQ","JPN",13
"LKA","JPN",58
"MMR","JPN",668
"NGA","JPN",5
"PAK","JPN",35
"SOM","JPN",5
"SDN","JPN",15
"SYR","JPN",69
"TUR","JPN",51
"XXA","JPN",10
,"JPN",292
"AFG","KAZ",477
"SYR","KAZ",14
"UZB","KAZ",13
"AFG","KEN",11
"BDI","KEN",6519
"COG","KEN",86
"COD","KEN",28999
"ERI","KEN",877
"ETH","KEN",20006
"CIV","KEN",5
"IRQ","KEN",5
"LKA","KEN",9
"MOZ","KEN",8
"NGA","KEN",5
"PAK","KEN",9
"RWA","KEN",738
"SOM","KEN",258994
"SDN","KEN",3891
"SSD","KEN",122200
"SYR","KEN",5
"TZA","KEN",11
"TUR","KEN",41
"UGA","KEN",848
"YEM","KEN",64
"ZWE","KEN",5
"AFG","KGZ",226
"IRQ","KGZ",6
"SYR","KGZ",81
"TJK","KGZ",5
"TKM","KGZ",5
"UKR","KGZ",22
"AFG","KOR",43
"DZA","KOR",6
"AGO","KOR",5
"EGY","KOR",40
"BDI","KOR",46
"BGD","KOR",114
"CHN","KOR",45
"CMR","KOR",20
"COD","KOR",61
"ERI","KOR",9
"ETH","KOR",155
"PSE","KOR",7
"GHA","KOR",7
"CIV","KOR",35
"IRN","KOR",61
"IRQ","KOR",27
"JOR","KOR",7
"KAZ","KOR",5
"KEN","KOR",5
"LBR","KOR",12
"LBY","KOR",10
"LKA","KOR",8
"MLI","KOR",7
"MAR","KOR",5
"MMR","KOR",364
"NPL","KOR",5
"NGA","KOR",10
"PAK","KOR",112
"RUS","KOR",13
"SOM","KOR",6
"SDN","KOR",29
"SYR","KOR",1209
"TZA","KOR",5
"THA","KOR",10
"UGA","KOR",36
"UKR","KOR",14
"UZB","KOR",9
"YEM","KOR",774
"EGY","KWT",5
"ERI","KWT",5
"IRN","KWT",9
"IRQ","KWT",339
"SOM","KWT",218
"SYR","KWT",128
"YEM","KWT",5
"CMR","LBR",5
"COD","LBR",26
"CIV","LBR",8101
"MLI","LBR",19
"PAK","LBR",5
"SOM","LBR",5
"SDN","LBR",8
"SSD","LBR",5
"SYR","LBR",12
"TGO","LBR",5
"TCD","LBY",6
"ERI","LBY",502
"ETH","LBY",22
"PSE","LBY",2014
"IRQ","LBY",807
"RWA","LBY",5
"SOM","LBY",98
"SDN","LBY",1051
"SSD","LBY",5
"SYR","LBY",649
"YEM","LBY",5
"AFG","LBN",18
"DZA","LBN",6
"EGY","LBN",107
"BHR","LBN",19
"ERI","LBN",16
"ETH","LBN",38
"IRN","LBN",36
"IRQ","LBN",4392
"JOR","LBN",32
"KWT","LBN",9
"LBY","LBN",10
"PAK","LBN",6
"SAU","LBN",13
"SOM","LBN",14
"SDN","LBN",633
"SSD","LBN",37
"SYR","LBN",884266
"TUN","LBN",11
"TUR","LBN",7
"YEM","LBN",24
"COD","LSO",149
"ERI","LSO",32
"ETH","LSO",22
"UGA","LSO",9
"ZMB","LSO",5
"ZWE","LSO",5
"AFG","LIE",5
"CHN","LIE",31
"COD","LIE",6
"ERI","LIE",11
"IRN","LIE",7
"IRQ","LIE",7
"SOM","LIE",25
"SYR","LIE",32
"UKR","LIE",5
"AFG","LKA",133
"PSE","LKA",5
"IRN","LKA",22
"MMR","LKA",34
"PAK","LKA",759
"SDN","LKA",5
"SYR","LKA",5
"YEM","LKA",14
"AFG","LTU",236
"ARM","LTU",5
"AZE","LTU",17
"BLR","LTU",35
"CMR","LTU",5
"CUB","LTU",5
"ERI","LTU",40
"ETH","LTU",5
"GEO","LTU",5
"IRN","LTU",13
"IRQ","LTU",65
"LKA","LTU",10
"NGA","LTU",5
"PAK","LTU",5
"RUS","LTU",685
"SOM","LTU",22
"SYR","LTU",462
"TJK","LTU",78
"TUR","LTU",51
"UKR","LTU",64
"UZB","LTU",17
"XXA","LTU",36
"AFG","LUX",106
"ALB","LUX",70
"AGO","LUX",13
"EGY","LUX",5
"ARM","LUX",6
"AZE","LUX",15
"BTN","LUX",5
"BLR","LUX",6
"BIH","LUX",7
"CHN","LUX",5
"CMR","LUX",10
"COG","LUX",5
"COD","LUX",34
"ERI","LUX",355
"ETH","LUX",45
"GAB","LUX",5
"GMB","LUX",6
"GIN","LUX",9
"CIV","LUX",5
"IRN","LUX",160
"IRQ","LUX",313
"PRK","LUX",11
"LBY","LUX",5
"LKA","LUX",5
"MEX","LUX",5
"MNE","LUX",18
"NGA","LUX",9
"PER","LUX",5
"RUS","LUX",19
"RWA","LUX",18
"SRB","LUX",225
"SOM","LUX",37
"SDN","LUX",7
"SYR","LUX",951
"TKM","LUX",5
"TGO","LUX",5
"TUR","LUX",33
"UKR","LUX",6
"VEN","LUX",15
"YEM","LUX",10
"XXA","LUX",50
,"LUX",8
"AFG","LVA",62
"EGY","LVA",5
"AZE","LVA",11
"ERI","LVA",35
"PSE","LVA",7
"IRN","LVA",20
"IRQ","LVA",37
"KAZ","LVA",5
"KGZ","LVA",5
"LBN","LVA",5
"LKA","LVA",5
"RUS","LVA",57
"SOM","LVA",5
"SYR","LVA",315
"TJK","LVA",5
"TUR","LVA",25
"UZB","LVA",14
"AFG","MDG",10
"BDI","MDG",5
"COD","MDG",10
"PAK","MDG",53
"SYR","MDG",5
"TUR","MDG",5
"YEM","MDG",22
"BFA","MRT",10
"CAF","MRT",634
"TCD","MRT",5
"CHN","MRT",5
"CMR","MRT",11
"COG","MRT",8
"COD","MRT",32
"ETH","MRT",7
"PSE","MRT",68
"GIN","MRT",6
"CIV","MRT",273
"IRQ","MRT",24
"LBR","MRT",7
"MLI","MRT",62829
"NGA","MRT",10
"SEN","MRT",59
"SDN","MRT",10
"SYR","MRT",348
