supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
Czechia,Denmark,4,T3-928,Diesel engine,2019,,,For 18 CAESAR self-propelled guns from France
Czechia,Senegal,4,L-39NG,Trainer/combat aircraft,2018,,,Mainly for combat role; delivery planned from 2022
Czechia,Uganda,31,T-55AM-2,Tank,-2019,2019-2020,-31,Second-hand (but possibly modernized before delivery); designation uncertain (reported as 'T-55')
Czechia,Viet Nam,12,L-39NG,Trainer/combat aircraft,-2020,,,Delivery planned 2023-2024; selected but not yet ordered by end-2020
Denmark,,,,,,,,
Denmark,Argentina,3,Scanter-6000,Air/sea search radar,2018,,,For 3 Gowind OPV from France
Denmark,India,31,Scanter-6000,Air/sea search radar,2017,,,Scanter-6002 version; incl production in India; delivery planned by 2026
Denmark,Australia,12,Scanter-6000,Air/sea search radar,2018,,,Scanter-6002 version; for 12 OPV-80 (Sea-1180 Phase-1) OPV from Germany
Denmark,France,16,Scanter-2001,Sea search radar,2007,2012-2019,12,For 8 FREMM frigates produced in France
Denmark,Mexico,4,Scanter-2001,Sea search radar,-2014,2016-2018,3,For 4 Oaxaca OPV produced in Mexico
Denmark,Norway,,MFSR-2100/33,Air search radar,-2017,,,For MGBADS SAM system produced in Norway
Denmark,Peru,4,B&W-8L,Diesel engine,2012,2018,2,For 2 LPD-122m (Pisco) AALS from South Korea
Denmark,Ukraine,3,StanFlex-300,FAC/MCM ship,2017,,,Second-hand
Egypt,Pakistan,,Mirage-5,FGA aircraft,2019,,,Second-hand
Europe multi-state,Spain,7,NH-90 NFH,ASW helicopter,-2019,,,Part of EUR1.5 b deal (incl 7 NH-90 NFH version; incl production under licence in Spain); Spanish designation HD-19
Finland,Poland,-412,AMV,APC,2013,2014-2020,-307,"Part of $544 m deal; produced under licence in Poland as Rosomak; incl command post, Rosomak-Rak 120mm mortar carrier and Rosomak-WSRiD reconnaissance versions"
Finland,South Africa,-200,AMV-IFV,IFV,2013,,,ZAR9.6 b ($1.1 b) 'Hoefyster' programme; most produced under licence in South Africa (with up to 70% of vehicle incl turrets produced in South Africa); most IFV version; South African designation Badger; delivery planned from 2022
