supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
Russia,India,-63,MiG-29SMT/Fulcrum-F,FGA aircraft,2008,2012-2020,-30,$850-965 m deal; Indian MiG-29 rebuilt to MiG-29UPG (MiG-29SMT); most produced under licence in India
Russia,India,-216,PJ-10 BrahMos-A,ASM,-2012,,,Officially joint venture for development but mainly using Russian technology from Yakhont (SS-N-26) anti-ship missile; for Su-30 combat aircraft; delivery planned from 2020
Russia,India,25000,9M119,Anti-tank missile,2013,2014-2020,-9000,INR30 b ($474 m) deal; for T-90 and possibly T-72 tanks; incl 15000 produced in India; planned from 2006 but delayed several years due to problems with production in India; Indian designation Invar
Russia,India,236,T-90S,Tank,-2013,,,INR60 b deal; produced under licence in India
Russia,India,-200,Ka-226,Light helicopter,-2015,,,'RSH' (ex-'LUH') programme; incl 140 produced under licence in India; Ka-226T version; selected 2015 but contract not yet signed by end-2020
Russia,India,149,BMP-2,IFV,-2018,,,INR9.2 b ($141 m) deal; produced under licence in India as Sarath
Russia,India,4,Talwar,Frigate,2018,,,Incl 2 produced in India; delivery planned 2023-2026
Russia,India,4331,9M113 Konkurs/AT-5,Anti-tank missile,2019,2019-2020,-1500,INR8.3 b deal; Konkurs-M version; produced under licence in India
Russia,India,5175,Igla-S,Portable SAM,-2019,,,'VSHORAD' programme; incl assembly and production under licence in India; selected 2018 but possibly not yet ordered by end-2020
Russia,India,464,T-90S,Tank,2019,,,INR200b ($2.8 b) deal (incl up to 80% produced in India); delivery planned by 2024
Russia,India,156,BMP-2,IFV,-2020,,,INR11 b ($148 m) deal; produced under licence in India as Sarath; selected 2020 but not yet ordered by end-2020
Russia,India,12,Su-30MK,FGA aircraft,-2020,,,INR107 b ($1.4 b) deal; Su-30MKI version; produced under licence in India; delivery planned 2024-2025; selected 2020 but not yet ordered by end-2020
Russia,Iran,Fagot,Anti-tank missile,-1991,1993-2020,-5450,For BMP-2 and Boraq IFV,
Russia,Iran,-5000,Malyutka,Anti-tank missile,-1995,1996-2020,-5000,Iranian designation RAAD; incl I-RAAD version
Russia,Iran,,9M113 Konkurs/AT-5,Anti-tank missile,-1998,1999-2020,-3300,Iranian designation probably Towsan-1
Russia,Viet Nam,. .,Kh-35,Anti-ship missile,-2011,2019-2020,-30,Incl for Pohang frigate; probably assembled or produced under licence in Viet Nam as KCT-15 and/or VCM-1
Russia,Algeria,-3500,9M120 Ataka,Anti-tank missile,-2016,2020,-1250,For BMPT AFSV
Russia,Algeria,-300,BMPT Terminator,AFSV,-2016,2020,-120,BMPT-72 version
Russia,Algeria,14,MiG-29M,FGA aircraft,-2019,2020,-2,Incl MiG-29M2 trainer/combat version
Russia,Algeria,16,Su-30MK,FGA aircraft,2019,,,Su-30MKA version
Russia,Belarus,-7,Protivnik-GE,Air search radar,-2014,2016-2020,-7,
Russia,Belarus,12,Su-30MK,FGA aircraft,2017,2019,4,Su-30SM version; delivery probably planned 2019-2022
Russia,Belarus,,BTR-82A,IFV,-2020,,,Delivery planned 2021
Russia,Belarus,4,Mi-35M,Combat helicopter,2020,,,Delivery planned 2021
Russia,Central African Republic,20,BRDM-2,Reconnaissance AV,-2020,2020,20,Second-hand; aid
Russia,China,-125,AL-31,Turbofan,2011,2013-2017,-50,AL-31F version for J-15 combat aircraft produced in China
Russia,China,-80,AL-31,Turbofan,-2014,2017-2020,-80,AL-31F-M2 version for J-20 combat aircraft produced in China
Russia,China,,D-30,Turbofan,-2015,2018-2020,-425,For H-6K combat aircraft and Y-20 transport aircraft produced in China
Russia,China,-125,AL-31,Turbofan,-2016,2016-2020,-125,AL-31FN version for J-10 combat aircraft produced in China; probably incl spare engines
Russia,China,-68,Mi-8MT/Mi-17,Transport helicopter,2019,2020,-5,Mi-171 and Mi-171E versions
Russia,China,18,Mi-8MT/Mi-17,Transport helicopter,2019,,,Armed Mi-171Sh version
Russia,China,-14,Mi-8MT/Mi-17,Transport helicopter,2019,2020,-2,Mi-17V-7 version
Russia,Egypt,-50,MiG-29M,FGA aircraft,2015,2017-2020,-50,Incl MiG-29M2 trainer/combat version
Russia,Egypt,-300,R-73,BVRAAM,-2015,2017-2020,-300,For MiG-29M2 combat aircraft
Russia,Egypt,-300,R-77,BVRAAM,-2015,2017-2020,-300,For MiG-29M2 combat aircraft
Russia,Egypt,-24,Su-35S,FGA aircraft,-2019,,,Delivery planned 2021-2023
Russia,India,8,AK-630 30mm,Naval gun,-2003,2014-2017,6,For 4 Kamorta (Project-28) frigates produced in India
Russia,India,10,AK-630 30mm,Naval gun,-2011,,,For 5 Shachi (Project-21) OPV produced in India
Russia,India,-740,AL-31,Turbofan,2012,2013-2020,-560,For modernization of Su-30MKI combat aircraft and spare engines; delivery planned 2013-2022
Russia,India,16,AK-630 30mm,Naval gun,-2013,,,For 4 Project-15B (Visakhapatnam) destroyers produced in India
Russia,India,-2,A-50EhI,AEW&C aircraft,-2017,,,Fitted with Israeli Phalcon AEW system in Israel; selected but not yet ordered by end-2020
Russia,India,-650,48N6,SAM,-2018,,,Part of INR390 b ($5 b) for S-400 SAM systems
Russia,India,-20,S-400 Triumf,SAM system,2018,,,INR390 b ($5.4 b) deal; delivery planned 2021-2025
Russia,India,6,Ka-31,AEW helicopter,-2019,,,Selected 2019 but not yet ordered by end-2020
Russia,India,1,Project-971I,Nuclear submarine,2019,,,$3 b deal for 10-year lease; delivery planned 2025
Russia,India,-300,R-27R/T,BVRAAM,2019,,,"R-27R1, R-27ER1, R-27T1 and R-27ET1 versions; for Su-30MKI and MiG-29M combat aircraft"
Russia,India,-300,R-73,BVRAAM,2019,,,For modernized MiG-21 combat aircraft
Russia,India,-400,R-77,BVRAAM,2019,,,For modernized MiG-21 combat aircraft
Russia,India,21,MiG-29SMT/Fulcrum-F,FGA aircraft,-2020,,,INR74 b (USD 1 b) deal; second-hand MiG-29 rebuilt to MiG-29SMT before delivery; selected 2020 but not yet ordered by end-2020
Russia,Indonesia,22,BMP-3,IFV,2019,,,Part of $170 m deal; BMP-3F version
Russia,Indonesia,21,BT-3F,APC,2019,,,Part of $170 m deal
Russia,Iraq,-3000,Bastion,Anti-tank missile,-2015,2018-2019,-1000,For BMP-3 IFV
Russia,Iraq,-300,BMP-3,IFV,2015,2018-2019,-100,Delivery planned 2018-2022
Russia,Kazakhstan,4,Mi-35M,Combat helicopter,2018,2020,4,
Russia,Kazakhstan,8,Su-30MK,FGA aircraft,2018,2019-2020,8,Su-30SM version
Russia,Laos,-30,T-72B,Tank,2018,2018-2020,-30,Second-hand T-72B version but modernized to T-72B1 before delivery
Russia,Mali,4,Mi-35M,Combat helicopter,2016,2017-2019,3,
Russia,Myanmar,-16,RD-33,Turbofan,-2015,2018-2019,-6,For 16 JF-17 combat aircraft from China
Russia,Myanmar,6,Su-30MK,FGA aircraft,-2018,,,$200 m deal; Su-30SME version
Russia,Myanmar,,BRDM-2,Reconnaissance AV,-2019,,,Second-hand but modernized to BRDM-2MS before delivery
Russia,Myanmar,,5.70E+07,SAM,-2020,,,For Pantsyr AD systems
Russia,Myanmar,,96K9 Pantsyr-S1,Mobile AD system,-2020,,,
Russia,Nigeria,-300,9M114,Anti-tank missile,-2015,2017-2020,-200,For Mi-35M combat helicopters
Russia,Nigeria,-12,Mi-35M,Combat helicopter,2015,2017-2020,7,
Russia,Nigeria,-3,RD-33,Turbofan,-2016,,,RD-93 version for 3 JF-17 combat aircraft from Pakistan
Russia,Nigeria,2,Mi-8MT/Mi-17,Transport helicopter,-2019,2020,2,Mi-171E version
Russia,Pakistan,-220,RD-33,Turbofan,-2004,2007-2020,-190,RD-93 version; for JF-17 combat aircraft from China
Russia,Philippines,16,Mi-8MT/Mi-17,Transport helicopter,-2020,,,PHP12.8 b ($262 m) deal; selected 2019 but not yet ordered by end-2020
Russia,Serbia,30,T-72,Tank,2016,2020,-11,Second-hand; modernized to T-72MS before delivery; aid; delivery planned 2020-2021
Russia,Serbia,-150,5.70E+07,SAM,-2018,2020,-150,For Pantsyr AD systems
Russia,Serbia,6,96K9 Pantsyr-S1,Mobile AD system,-2018,2020,6,
Russia,Syria,-100,9M133 Kornet,Anti-tank missile,-2019,2020,-100,9M133FM-3 version
Russia,Syria,-6,MiG-29S,FGA aircraft,-2020,2020,-6,Probably second-hand (but possibly modernized before delivery)
Russia,Turkey,1600,9M133 Kornet,Anti-tank missile,-2018,2019-2020,-820,For Kaplan-10 tank destroyer
Russia,Turkey,,48N6,SAM,-2020,,,For S-400 SAM systems
Russia,Turkey,-2,S-400 Triumf,SAM system,-2020,,,Version for Turkey incl Turkish components; selected 2020 but not yet ordered by end-2020
Russia,UAE,5000,9M133 Kornet,Anti-tank missile,2017,2018-2020,-5000,AED2.6 b ($709 m) deal
Russia,Unknown recipient(s),,K029E,Guided bomb,-2019,,,Delivery planned from 2020
Russia,Unknown recipient(s),,K08BE,Guided bomb,-2019,,,Delivery planned from 2020
Russia,Uzbekistan,(),Taifun-K-53949,APC,-2017,2019,-10,
Russia,Uzbekistan,-12,Mi-35M,Combat helicopter,-2018,2019-2020,-8,
Russia,Uzbekistan,,V-84MS,Diesel engine,-2019,,,For modernization of T-64 tanks to T-64MV version
Russia,Viet Nam,12,Yak-130,Trainer/combat ac,2019,,,$350 m deal
Serbia,Cyprus,8,BOV M11,APC,-2018,2019-2020,-8,Part of EUR50 m deal for B-52 NORA self-propelled guns
Serbia,Cyprus,24,Nora-B-52 155mm,Self-propelled gun,-2018,2019-2020,-24,EUR50 m deal
Serbia,Unknown recipient(s),36,M-56/33 105mm,Towed gun,2017,2019-2020,-36,
South Africa,India,250,Casspir-6,APC,2016,2017-2020,-242,MPV-I version; incl production under licence in India
South Africa,India,,Mbombe-4,APC,-2020,,,INR1.8 b ($123 m) deal; produced under licence in India as Kalyani M4; selected 2020 but not yet ordered by end-2020
South Africa,Kazakhstan,-41,Marauder,APC,2018,2019-2020,-41,Produced under licence in Kazakhstan as Arlan
South Africa,Singapore,,Marauder,APC,-2013,2016-2020,-182,"PCSV ALV Belrex version; incl production under licence in Singapore; incl AEV, ALV, medical post and 120mm mortar-carrier versions"
South Africa,UAE,4000,Sejeel,Guided bomb,2015,,,
South Africa,Uganda,-45,Mamba,APC,-2013,2014-2020,-36,Nyoka version; produced in Uganda
South Africa,Malaysia,-78,LCT-30,IFV turret,2012,2017-2020,-64,Part of EUR340 m deal; incl 54 with ZT-3 anti-tank missiles; for 78 Pars (AV-8)IFV from Turkey
South Africa,Malaysia,54,MCT,APC turret,2012,,,Part of EUR340 m deal; for 54 Pars (AV-8) APC from Turkey
South Africa,Malaysia,54,Rogue,APC turret,2012,2016-2020,-49,For 54 Pars (AV-8) APC from Turkey
South Africa,UAE,-1000,Al-Tariq,ASM,2015,2018-2020,-600,AED1.5 b ($125 m) deal
South Africa,UAE,,Seeker-200,UAV,2017,,,AED48 m/ZAR182 m ($13 m) deal
South Africa,UAE,6,Seeker-400,Armed UAV,2018,,,
South Korea,Australia,15,K-10,ALV,-2020,,,Part of AUD0.9-1.2 n 'Land-8116 Phase-3' programme; produced under licence in Australia; delivery planned from 2025; selected 2020 but not yet ordered by end-2020
South Korea,Australia,30,K-9 Thunder 155mm,Self-propelled gun,-2020,,,AUD0.9-1.2 b 'Land-8116 Phase-3' programme; produced under licence in Australia; delivery planned from 2025; selected 2020 but not yet ordered by end-2020
South Korea,India,100,K-9 Thunder 155mm,Self-propelled gun,2017,2018-2020,-100,INR44 b ($646-700 m) deal; incl production under licence in India; K-9 Vajra-T version; probably option on 50 more
South Korea,Indonesia,-80,KF-21 Boramae,FGA aircraft,-2010,,,Possibly $1.6 b deal (Indonesia financing up to 19% of development cost; including limited Indonesian involvement in development); Indonesian designation IFX; selected but not yet ordered by end-2020; delivery planned after 2025
South Korea,Indonesia,3,Type-209/1400,Submarine,2011,2017-2018,2,KRW1.3tr ($1.1-1.4 b) deal; incl 1 produced under licence in Indonesia; Indonesian designation Nagapasa; delivery planned 2017-2021
South Korea,Indonesia,3,Type-209/1400,Submarine,2019,,,$1 b deal (incl production of components in Indonesia and production of 1 under licence in Indonesia); Indonesian designation Nagapasa
South Korea,Malaysia,6,MSC,Frigate,2014,,,$1.2 b deal; incl 3 assembled/produced under licence in Malaysia
South Korea,Peru,2,LPD-122m,AALS,2012,2018,1,Part of $383 m deal; produced under licence in Peru; Peruvian designation Pisco
South Korea,Peru,2,PGCP-50,Patrol craft,2018,,,Assembled/produced in Peru; for coast guard; delivery planned 2021
South Korea,Poland,96,K-9,SPG chassis,2016,2018-2020,-56,KRW308 b ($260 m) deal; incl production under licence in Poland; for 96 Krab self-propelled guns produced in Poland for planned delivery by 2024
South Korea,Turkey,-70,K-10,ALV,-2008,2013-2020,-70,Part of $998 m deal; produced under licence in Turkey; Turkish designation Firtina FAARV or POYRAZ MTS
South Korea,Colombia,1,Po Hang,Corvette,2019,2020,1,Second-hand; aid; Colombian designation Boyaca
South Korea,Ecuador,2,Haeuri,Patrol craft,-2020,2020,2,Second-hand; aid; for coast guard
South Korea,Estonia,18,K-9 Thunder 155mm,Self-propelled gun,2018,2020,-2,EUR83 m deal; delivery planned 2020-2023
South Korea,Finland,48,K-9 Thunder 155mm,Self-propelled gun,2017,2018-2020,-17,Second-hand; EUR146 m deal; option on more; delivery planned 2018-2024
South Korea,Indonesia,-60,Chiron,Portable SAM,-2018,2020,-60,For use with Skyshield air-defence system
South Korea,Indonesia,3,KT-1 Woong Bee,Trainer aircraft,2018,,,KT-1B version; delivery planned by 2021
South Korea,Iraq,-10,Promoter,APC,-2020,2020,-10,
South Korea,New Zealand,1,Aotearoa,Replenishment ship,2016,2020,1,NZD493 m ($348 m) deal
South Korea,Nigeria,,KLTV-181,APC/APV,-2020,2020,-5,
South Korea,Norway,6,K-10,ALV,2017,2019-2020,-6,
South Korea,Norway,24,K-9 Thunder 155mm,Self-propelled gun,2017,2019-2020,24,$383 m deal; option on 24 more
South Korea,Philippines,2,HHI-2600,Frigate,2016,2020,1,PHP15.7 b ($311 m) 'Deep Water Patrol Vessel' programme; Philippine designation Rizal; delivery planned 2020-2021
South Korea,Philippines,-15,C-STAR,Anti-ship missile,-2017,,,For HHI-2600 (Rizal) frigates; delivery planned 2022
South Korea,Philippines,-12,K-136 Kooryong,Self-propelled MRL,2018,,,Second-hand; aid
South Korea,Senegal,4,KT-1 Woong Bee,Trainer aircraft,2016,2020,-4,KA-1S armed version
South Korea,Thailand,8,T-50 Golden Eagle,Trainer/combat ac,2017,2019-2020,-8,THB8.8 b ($259 m) deal; T-50TH version
Spain,Philippines,8,ASCOD-APC,APC,-2020,,,Chassis for 8 Sabrah light tanks from Israel
Spain,Australia,3,Hobart,Destroyer,2007,2017-2020,3,AUD8.5-9.7 b ($7.2-8.2 b) 'Project Sea-4000' or 'Air Warfare Destroyer'; produced under licene in Australia
Spain,Belgium,7,A400M Atlas,Transport aircraft,2003,2020,1,Incl production of components in Belgium (incl for other buyers); delivery planned 2020-2023
Spain,India,56,C-295,Transport aircraft,-2020,,,INR130 b 'Medium Tactical Aircraft' (MTA) or 'Light Tactical Transport Procurement' (LTTP) programme (incl 40 assembled or produced under licence in India); C295W version; selected but not yet ordered by end-2020; delivery planned 2024-2028
Spain,Turkey,10,A400M Atlas,Transport aircraft,2003,2014-2019,-9,Incl production of components in Turkey (also for A400M for other customers)
Spain,Turkey,1,BPE,AALS,2015,,,EUR1.5 b 'LPD' programme; produced under licence in Turkey; Turkish designation Anadolu; delivery planned 2021
Spain,Ukraine,,Alakran 120mm,Self-propelled mortar,-2017,,,Incl production of components in Ukraine; for MMC mortar carrier produced in Ukraine
Spain,United Kingdom,245,Scout-SV,Reconnaissance AV,2014,2020,-10,"Part of GBP3.5 b ($5.6 b) 'SV Scout' programme; incl 198 Reconnaissance and Strike, 23 Joint Fire Control and 24 Ground-Based Surveillance versions; UK designation Ajax"
Spain,Turkey,344,Scout-SV,APC,2014,2018-2019,10,"Part of GBP3.5 b ($5.6 b) 'SV Scout' programme; incl 38 Atlas ARV, 50 Apollo repair, 51 Argus AEV, 93 Ares ALV and 112 Athena command post versions"
Spain,Venezuela,4,BVL,OPV,2005,2009-2020,4,Part of EUR1.2 b deal; Venezuelan designation Guaicamacuto; incl 1 produced under licence in Venezuela
Spain,Australia,2,Cantabria,Replenishment ship,2016,,,AUD642 m ($490 m) 'Project Sea-1654 Phase-3'; Australian designation Supply; delivery planned 2021-2022
Spain,Brazil,1,C-295,Transport aircraft,2018,2020,1,For SAR; Brazilian designation SC-105
Spain,Burkina Faso,1,C-295,Transport aircraft,2019,,,
Spain,Canada,16,C-295,Transport aircraft,2016,2019-2020,-3,CAD2.4 b 'FWSAR' programme ($1.8 b; incl support until 2027); C-295SAR version; incl for SAR; Canadian designation CC-295; delivery planned 2019-2022
Spain,Czechia,2,C-295,Transport aircraft,2019,,,CZK2.3 b ($103 m) deal; C-295W version; delivery planned 2021
Spain,India,6,C-295MPA,MP aircraft,-2020,,,For coast guard; delivery planned 2021-2024; selected but not yet ordered by end-2020
Spain,Ireland,2,C-295MPA,MP aircraft,2019,,,EUR222 m deal; delivery planned 2022
Spain,Luxembourg,1,A400M Atlas,Transport aircraft,2003,2020,1,Bought in cooperation with Belgium (in addition to 7 bought by Belgium)
Spain,Mali,1,C-295,Transport aircraft,2020,,,Delivery planned 2021
Spain,Morocco,-1,BVL,OPV,-2020,,,
Spain,NATO**,9,A-330 MRTT,Tanker/transport ac,2016,2020,3,"For 'Multinational Multi Role Tanker Transport MRTT Aircraft Fleet' (MMF) for use by Netherlands, Luxembourg, Germany, Norway, Belgium and Czechia; option on 2 more; delivery planned 2020-2024"
Spain,Peru,2,C-130H Hercules,Transport aircraft,2020,,,Second-hand
Spain,Portugal,139,VAMTAC BN3,APV,2018,2019-2020,-125,EUR61 m deal; VAMTAC ST-5 version; delivery planned 2019-2021
Spain,Saudi Arabia,5,Avante-2200,Frigate,2018,,,EUR1.8-2 b deal; delivery planned 2021-2022
Spain,South Korea,-11,PSR-2,Air search radar,2020,,,KRW70 b ($58 m) deal; delivery planned by 2023/2024
Spain,Thailand,,Lanza-LRR,Air search radar,2018,,,
Spain,UAE,3,A-330 MRTT,Tanker/transport ac,-2019,,,Selected 2019 but not yet ordered by end-2020
Spain,United Kingdom,1,Lanza-LTR,Air search radar,2019,2020,1,GBP13.2 m ($17 m) deal; Lanza-LTR-25 version
Spain,United States,-19,Mirage F-1M,FGA aircraft,2017,2019-2020,-19,Second-hand (1 more delivered for spare parts); incl 1 Mirage F-1BM version; for US company for training of US armed forces
Spain,Unknown recipient(s),-3,C-295,Transport aircraft,-2018,,,C-295W version; possibly for USA for conversion to ISR aircraft
Spain,Uruguay,2,C-130H Hercules,Transport aircraft,2020,2020,2,Second-hand; EUR22 m deal (incl EUR1 m for spare parts)
Sweden,Belgium,5,Skeldar,UAV,2020,,,For use on MCM ships; ordered via French company; delivery planned from 2023
Sweden,Mali,-13,MD5,Diesel engine,2019,2020,13,For 13 Bastion APC from France
Sweden,Netherlands,5,Skeldar,UAV,2020,,,For use on MCM ships; ordered via French company; delivery planned from 2023
Sweden,Philippines,2,Giraffe AMB,Air search radar,-2018,,,For modernization of 2 Hamilton OPV; from US production line
Sweden,Brazil,36,Gripen-E,FGA aircraft,2015,2020,1,SEK39 b ($5.8 b) 'F-X2' programme (offsets incl production of components and assembly in Brazil and technology transfers); Gripen-NG version; incl 8 Gripen-F version; Brazilian designation F-35E; delivery planned 2021-2024/2025
Sweden,Germany,75,RBS-15 Mk-3,Anti-ship missile/SSM,2020,,,SEK1.7 b ($190 m) deal; produced under licence in Germany; delivery planned 2022-2026
Sweden,Malaysia,6,SAK-70 Mk-2 57mm,Naval gun,2013,,,$57 m deal; SAK-70 Mk-3 version; for 6 Gowind frigates from France; probably including assembly and/or production of components in Malaysia
Sweden,Netherlands,122,CV-90 Turret,IFV turret,-2020,,,For modernization of CV-90 IFV; option on 19 more; incl production of components in Netherlands
Sweden,United States,-43,SAK-70 Mk-2 57mm,Naval gun,-2004,2008-2020,-28,For 32 Freedom and Independence (LCS) frigates and 11 Legend (NSC) OPV produced in USA; US designation Mk-110
Sweden,United States,-2,SAK-70 Mk-2 57mm,Naval gun,-2017,,,For 1 Heritage (OPC) OPV produced in USA
Sweden,Brazil,-50,RBS-70,Portable SAM,2018,2019-2020,-50,RBS-70NG version
Sweden,Burkina Faso,-6,MD5,Diesel engine,2019,2019-2020,-6,For Bastion APC from France
Sweden,Canada,2,Giraffe AMB,Air search radar,2019,,,For Berlin (Protecteur) support ships from Germany
Sweden,Canada,7,Skeldar,UAV,2019,2020,-3,
Sweden,Chad,-7,MD5,Diesel engine,2019,2019-2020,-7,For 7 Bastion APC/APV from France
Sweden,Denmark,-309,DC13,Diesel engine,2016,2018-2020,-182,For 309 Piranha-5 APC from Switzerland
Sweden,Finland,,Torped-47,AS/ASW torpedo,2017,,,For Hamina FAC(M); delivery planned 2023-2025
Sweden,Finland,4,CEROS-200,Fire control radar,2019,,,Part of EUR412m deal; for 4 Pohjanmaa frigates produced in Finland
Sweden,Finland,4,Giraffe-1X,Air search radar,2019,,,Part of EUR412m deal; for 4 Pohjanmaa frigates produced in Finland
Sweden,Finland,4,Giraffe-4A,Air search radar,2019,,,Part of EUR412m deal; for 4 Pohjanmaa frigates produced in Finland
Sweden,Finland,4,SAK-70 Mk-2 57mm,Naval gun,-2019,,,For 4 Pohmanjaa frigates produced in Finland
Sweden,Finland,,Torped-47,AS/ASW torpedo,2019,,,For 4 Pohmanjaa frigates
Sweden,Indonesia,4,SAK-70 Mk-2 57mm,Naval gun,2019,,,SAK-70 Mk-3 version; for 4 KCR-60 FAC produced in Indonesia
Sweden,Ireland,-25,RBS-70 Mk-3 Bolide,Portable SAM,2018,2019-2020,-25,
Sweden,Malaysia,-500,NLAW,Anti-tank missile,2017,2020,-500,
Sweden,Mexico,1,SAK-70 Mk-2 57mm,Naval gun,-2017,2020,1,SAK-70 Mk-3 version; for 1 SIGMA-105 (Reformador) frigate from Netherlands
Sweden,Pakistan,-3,Saab-2000 AEW,AEW&C aircraft,-2017,2020,-1,Second-hand SAAB-2000 aircraft rebuilt to AEW aircraft
Sweden,Poland,-412,DI-12,Diesel engine,2013,2014-2020,-307,For 412 AMV (Rosomak) APC from Finland
Sweden,South Africa,-264,DI-12,Diesel engine,2008,,,For 264 AMV APC/IFV from Finland
Sweden,Switzerland,-4000,NLAW,Anti-tank missile,2017,2018-2020,-3000,SEK1 b ($119 m) deal; delivery planned 2018-2021
Sweden,UAE,2,Erieye SRSS,AEW radar,2015,2020,2,Part of $1.3 b deal; for modification of 2 Global-6000 transport aircraft from Canada to GlobalEye AEW&C/AGS aircraft
Sweden,UAE,1,Erieye SRSS,AEW radar,2017,,,Part of AED866 m ($238 m) deal; for modification of 1 Global-6000 transport aircraft from Canada to GlobalEye AEW&C aircraft; delivery planned 2021
Sweden,UAE,2,Erieye SRSS,AEW radar,2020,,,For modification of 2 Global-6000 transport aircraft from Canada to GlobalEye AEW&C/AGS aircraft
Sweden,United States,-12,Giraffe AMB,Air search radar,-2004,2010-2020,12,Sea Giraffe AMB version for 12 Independence (LCS-2) frigates produced in USA; US designation SPS-77
Sweden,United States,2,Giraffe AMB,Air search radar,2017,,,$17 m deal; for 2 Heritage (OPC) OPV produced in USA
Sweden,United States,-3141,BONUS-2,Guided shell,2018,2018-2020,-3141,
Sweden,United States,1,Giraffe AMB,Air search radar,2018,2020,1,Sea Giraffe AMB version; for 1 Expeditionary Sea Base (ESB) support ship produced in USA; US designation SPS-77
Sweden,United States,,BONUS-2,Guided shell,2020,,,Delivery planned from 2021
Sweden,United States,-2,Giraffe AMB,Air search radar,2020,,,$18 m deal; Sea Giraffe AMB version; for Heritage (OPC) OPV and Expeditionary Sea Base (ESB) support ship produced in USA; US designation SPS-77
Switzerland,Romania,-127,Piranha-5,APC,2018,2020,-6,Part of EUR895 m deal for 227 Piranha-5 (in 6 versions incl IFV); most assembled/produced under licence in Romania
Switzerland,Romania,-100,Piranha-5,IFV,2018,2020,-30,Part of EUR895 m deal for 227 Piranha-5 (in 6 versions incl APC); most assembled/produced under licence in Romania
Switzerland,Spain,,Piranha-5,APC,2020,,,Part of EUR2.1 b deal for 348 IFV and other versions; part of 'FSCT' or 'VCR' programme; incl probably command post and reconnaissance versions; produced under licence in Spain as Dragon
Switzerland,Spain,,Piranha-5,IFV,2020,,,Part of EUR2.1 b deal for 348 IFV and other versions; part of 'FSCT' or 'VCR' programme; produced under licence in Spain as Dragon
Switzerland,Bangladesh,4,GDF 35mm,AA gun,2017,2020,-2,GDF-009 version; part of Skyguard air-defence system; delivery probably planned 2020-2021
Switzerland,Botswana,-45,Piranha-3,IFV,2016,2019-2020,-23,
Switzerland,Denmark,309,Piranha-5,APC,2015,2018-2020,-182,"DKK4.5 b ($650 m) deal; incl command post, ambulance, ARV, AEV and mortar carrier versions; delivery planned 2018-2023"
Switzerland,Denmark,57,Eagle,APV,2020,,,CHF46 m ($52 m) deal; Eagle-5 version; incl 1 ROW version; delivery planned 2021-2022
Switzerland,Germany,80,Eagle-5 6x6,APC,2020,,,Delivery planned 2021-2024
Switzerland,Indonesia,2,GDM-008 35mm,CIWS,2016,2019-2020,2,For 2 SIGMA-10514 (Martadinata) frigates from Netherlands
Switzerland,Indonesia,3,Skyshield-35,AA gun system,2018,2020,-3,EUR100+ m deal
Switzerland,Indonesia,-4,Fieldguard-3,Fire control radar,-2019,2020,-4,For use with ASTROS-2 Mk-6 (ASTROS-2020) MRL
Switzerland,Ireland,3,PC-12,Light transport ac,2017,2020,3,EUR32 m deal; incl for ISR; PC-12NG version
Switzerland,Ireland,1,PC-12,Light transport ac,2020,2020,1,PC-12NG version
Switzerland,Kuwait,-10,Skyguard,Fire control radar,2016,2017-2020,-10,EUR390 m deal; for use with Skyguard AD system; recipient possibly other country
Switzerland,Qatar,2,PC-24,Light transport ac,2020,,,For training and VIP transport
Switzerland,Saudi Arabia,5,GDM-008 35mm,CIWS,2018,,,For 5 Avante-2200 frigates from Spain
Switzerland,Spain,24,PC-21,Trainer aircraft,2020,,,EUR204 m deal; Spanish designation E.27; delivery planned 2021-2022
Switzerland,Thailand,1,PC-12,Light transport ac,-2020,,,For VIP transport
Switzerland,United States,22,F-5E Tiger-2,FGA aircraft,-2020,,,Second-hand; $40 m deal; for training
Switzerland,Unknown recipient(s),-2,Fieldguard-3,Fire control radar,2019,,,For use with Astros-2020  MRL
Switzerland,Unknown recipient(s),,GDM-008 35mm,CIWS,2019,,,Part of EUR210 m deal for Skyshield-35 (Skymaster) AD system; delivery planned by end-2022
Switzerland,Unknown recipient(s),,Skyshield-35,AA gun system,2019,,,Part of EUR210 m deal
Switzerland,Venezuela,8,GDM-008 35mm,CIWS,-2006,2009-2020,8,For 4 POVZEE (Caribé) and 4 BVL (Guaicamacuto) OPV from Spain
Taiwan,eSwatini,2,Bell-205/UH-1H,Helicopter,2019,2020,2,Second-hand; aid
Taiwan,Paraguay,-4,Bell-205/UH-1H,Helicopter,-2018,2019,2,Second-hand; aid; delivery planned 2019-2020
Turkey,Hungary,-320,Ejder Yalcin,APC,2020,,,Hungarian designation Gidran; incl 280 selected for production under licence in Hungary but not yet ordered by end-2020
Turkey,Indonesia,18,MMWT,Tank,2019,,,$135 m deal; produced under licence in Indonesia as Harimau; delivery planned 2021
Turkey,Malaysia,-123,Pars,APC,2011,2016-2020,-112,"Part of MYR7.6 b ($2.5 b) deal; AV8 Gempita version; incl 54 APC, 24 reconnaissance, 13 command post, 9 ambulance, 9 ARV, 9 maintenance, 8 120mm mortar carrier, 4 AEV/NBC and 3 SIGINT versions; incl assembly and production under licence in Malaysia"
