"group","yfield","xfield"
"Great Britain",0,1596
"France",0,1596
"Spain",4289,1596
"Netherlands",83,1596
"U.S.A.",0,1596
"Denmark/Baltic",0,1596
"Portugal",6386,1597
"Great Britain",0,1597
"France",0,1597
"Spain",4289,1597
"Netherlands",1002,1597
"U.S.A.",0,1597
"Denmark/Baltic",0,1597
"Portugal",6546,1598
"Great Britain",0,1598
"France",0,1598
"Spain",4289,1598
"Netherlands",280,1598
"U.S.A.",0,1598
"Denmark/Baltic",0,1598
"Portugal",6717,1599
"Great Britain",0,1599
"France",0,1599
"Spain",4289,1599
"Netherlands",0,1599
"U.S.A.",0,1599
"Denmark/Baltic",0,1599
"Portugal",6904,1600
"Great Britain",0,1600
"France",0,1600
"Spain",4289,1600
"Netherlands",0,1600
"U.S.A.",0,1600
"Denmark/Baltic",0,1600
"Portugal",4720,1601
"Great Britain",0,1601
"France",0,1601
"Spain",1904,1601
"Netherlands",0,1601
"U.S.A.",0,1601
"Denmark/Baltic",0,1601
"Portugal",4937,1602
"Great Britain",0,1602
"France",0,1602
"Spain",1904,1602
"Netherlands",0,1602
"U.S.A.",0,1602
"Denmark/Baltic",0,1602
"Portugal",5169,1603
"Great Britain",0,1603
"France",0,1603
"Spain",1904,1603
"Netherlands",0,1603
"U.S.A.",0,1603
"Denmark/Baltic",0,1603
"Portugal",5422,1604
"Great Britain",0,1604
"France",0,1604
"Spain",1904,1604
"Netherlands",334,1604
"U.S.A.",0,1604
"Denmark/Baltic",0,1604
"Portugal",5693,1605
"Great Britain",0,1605
"France",0,1605
"Spain",1904,1605
"Netherlands",0,1605
"U.S.A.",0,1605
"Denmark/Baltic",0,1605
"Portugal",7243,1606
"Great Britain",0,1606
"France",0,1606
"Spain",3162,1606
"Netherlands",544,1606
"U.S.A.",0,1606
"Denmark/Baltic",0,1606
"Portugal",7696,1607
"Great Britain",0,1607
"France",0,1607
"Spain",3162,1607
"Netherlands",0,1607
"U.S.A.",0,1607
"Denmark/Baltic",0,1607
"Portugal",7901,1608
"Great Britain",0,1608
"France",0,1608
"Spain",3162,1608
"Netherlands",0,1608
"U.S.A.",0,1608
"Denmark/Baltic",0,1608
"Portugal",8268,1609
"Great Britain",0,1609
"France",0,1609
"Spain",3162,1609
"Netherlands",0,1609
"U.S.A.",0,1609
"Denmark/Baltic",0,1609
"Portugal",8665,1610
"Great Britain",0,1610
"France",0,1610
"Spain",3162,1610
"Netherlands",0,1610
"U.S.A.",0,1610
"Denmark/Baltic",0,1610
"Portugal",6976,1611
"Great Britain",0,1611
"France",0,1611
"Spain",1045,1611
"Netherlands",0,1611
"U.S.A.",0,1611
"Denmark/Baltic",0,1611
"Portugal",7559,1612
"Great Britain",0,1612
"France",0,1612
"Spain",1045,1612
"Netherlands",334,1612
"U.S.A.",0,1612
"Denmark/Baltic",0,1612
"Portugal",7938,1613
"Great Britain",0,1613
"France",0,1613
"Spain",1045,1613
"Netherlands",0,1613
