"year","count","cc"
"1997",2,"RO"
"2002",7,"RO"
"2004",3,"RO"
"2005",5,"RO"
"2009",2,"RO"
"2010",1,"RO"
"2013",1,"RO"
"1980",1,"RO"
"1982",0,"RO"
"1983",0,"RO"
"1985",1,"RO"
"1986",0,"RO"
"1987",0,"RO"
"1988",0,"RO"
"1989",0,"RO"
"1991",1,"RO"
"1994",1,"RO"
"1998",2,"RO"
"1999",4,"RO"
"2000",2,"RO"
"2001",2,"RO"
"2003",3,"RO"
"2006",6,"RO"
"2007",4,"RO"
"2008",1,"RO"
"2014",1,"RO"
"1984",1,"RO"
"1993",0,"RO"
"2011",0,"RO"
"2012",0,"RO"
"1990",0,"RO"
"1981",0,"RO"
"2015",0,"RO"
"1992",0,"RS"
"1995",0,"RS"
"1996",0,"RS"
"1997",0,"RS"
"2002",1,"RS"
"2004",0,"RS"
"2005",1,"RS"
"2009",1,"RS"
"2010",4,"RS"
"2013",2,"RS"
"1980",0,"RS"
"1982",0,"RS"
"1983",0,"RS"
"1985",0,"RS"
"1986",0,"RS"
"1987",1,"RS"
"1988",0,"RS"
"1989",0,"RS"
"1991",0,"RS"
"1994",0,"RS"
"1998",0,"RS"
"1999",3,"RS"
"2000",1,"RS"
"2001",1,"RS"
"2003",0,"RS"
"2006",2,"RS"
"2007",1,"RS"
"2008",0,"RS"
"2014",1,"RS"
"1984",0,"RS"
"1993",0,"RS"
"2011",1,"RS"
"2012",0,"RS"
"1990",0,"RS"
"1981",0,"RS"
"2015",0,"RS"
"1992",0,"SE"
"1995",3,"SE"
"1996",0,"SE"
"1997",1,"SE"
"2002",0,"SE"
"2004",0,"SE"
"2005",0,"SE"
"2009",0,"SE"
"2010",0,"SE"
"2013",0,"SE"
"1980",0,"SE"
"1982",0,"SE"
"1983",0,"SE"
"1985",1,"SE"
"1986",0,"SE"
"1987",1,"SE"
"1988",0,"SE"
"1989",0,"SE"
"1991",0,"SE"
"1994",0,"SE"
"1998",0,"SE"
"1999",0,"SE"
"2000",2,"SE"
"2001",0,"SE"
"2003",0,"SE"
"2006",0,"SE"
"2007",0,"SE"
"2008",0,"SE"
"2014",0,"SE"
"1984",0,"SE"
"1993",0,"SE"
"2011",0,"SE"
"2012",0,"SE"
"1990",0,"SE"
"1981",0,"SE"
"2015",0,"SE"
"1992",5,"SI"
"1995",10,"SI"
"1996",9,"SI"
"1997",1,"SI"
"2002",5,"SI"
"2004",5,"SI"
"2005",6,"SI"
"2009",3,"SI"
"2010",1,"SI"
"2013",0,"SI"
"1980",1,"SI"
"1982",4,"SI"
"1983",1,"SI"
"1985",0,"SI"
"1986",2,"SI"
"1987",4,"SI"
"1988",0,"SI"
"1989",2,"SI"
"1991",1,"SI"
"1994",7,"SI"
"1998",3,"SI"
"1999",4,"SI"
"2000",4,"SI"
"2001",4,"SI"
"2003",4,"SI"
"2006",4,"SI"
"2007",2,"SI"
"2008",5,"SI"
"2014",0,"SI"
"1984",3,"SI"
"1993",6,"SI"
"2011",0,"SI"
"2012",1,"SI"
"1990",2,"SI"
"1981",0,"SI"
"2015",0,"SI"
"1992",0,"SK"
"1995",0,"SK"
"1996",0,"SK"
"1997",1,"SK"
"2002",2,"SK"
"2004",2,"SK"
"2005",1,"SK"
"2009",0,"SK"
"2010",14,"SK"
"2013",1,"SK"
"1980",0,"SK"
"1982",0,"SK"
"1983",0,"SK"
"1985",0,"SK"
"1986",0,"SK"
"1987",0,"SK"
"1988",0,"SK"
"1989",0,"SK"
"1991",0,"SK"
"1994",0,"SK"
"1998",1,"SK"
"1999",1,"SK"
"2000",0,"SK"
"2001",1,"SK"
"2003",0,"SK"
"2006",2,"SK"
"2007",0,"SK"
"2008",0,"SK"
"2014",0,"SK"
"1984",0,"SK"
"1993",0,"SK"
"2011",0,"SK"
"2012",0,"SK"
"1990",0,"SK"
"1981",0,"SK"
"2015",0,"SK"
"1992",4,"TR"
"1995",10,"TR"
"1996",5,"TR"
"1997",8,"TR"
"2002",9,"TR"
"2004",8,"TR"
"2005",4,"TR"
"2009",5,"TR"
"2010",6,"TR"
"2013",0,"TR"
"1980",1,"TR"
"1982",0,"TR"
"1983",0,"TR"
"1985",0,"TR"
"1986",0,"TR"
"1987",0,"TR"
"1988",7,"TR"
"1989",0,"TR"
"1991",6,"TR"
"1994",0,"TR"
"1998",14,"TR"
"1999",7,"TR"
"2000",8,"TR"
"2001",6,"TR"
"2003",5,"TR"
"2006",10,"TR"
"2007",9,"TR"
"2008",0,"TR"
"2014",0,"TR"
"1984",1,"TR"
"1993",3,"TR"
"2011",9,"TR"
"2012",5,"TR"
"1990",3,"TR"
"1981",2,"TR"
"2015",0,"TR"
"1992",9,"UK"
"1995",0,"UK"
"1996",0,"UK"
"1997",3,"UK"
"2002",12,"UK"
"2004",5,"UK"
