id,from,to,value,color,route_index,distance,angle,xcoord,ycoord
61,SYR,DEU,8000,middle east-europe,4,45.01262,253.4484384,14.28233791,53.54049211
61,SYR,DEU,8000,middle east-europe,5,47.92554305,236.9357858,11.84113467,51.95126353
62,TUR,DEU,12000,middle east-europe,0,0,50.56419325,34.47312302,39.0938381
62,TUR,DEU,12000,middle east-europe,1,3.226651635,24.87799243,36.96518466,41.14345016
62,TUR,DEU,12000,middle east-europe,2,12.24062756,330.5862306,36.83803866,50.15652931
62,TUR,DEU,12000,middle east-europe,3,15.71822003,285.8880307,33.88825141,51.99837746
62,TUR,DEU,12000,middle east-europe,4,37.71461863,269.7953918,11.89199308,51.91982658
63,ITA,DEU,700,european countries transfer,0,0,359.8587277,11.91742228,41.62225027
63,ITA,DEU,700,european countries transfer,1,10.3133289,359.8587277,11.89199308,51.93554782
64,SYR,FRA,4000,middle east-europe,0,0,127.2422767,37.60091467,33.81842457
64,SYR,FRA,4000,middle east-europe,1,6.452461229,107.9283315,42.73761315,29.91348095
64,SYR,FRA,4000,middle east-europe,2,10.11533714,44.05521838,46.39941801,30.00205356
64,SYR,FRA,4000,middle east-europe,3,39.02706013,327.6024595,46.145126,58.91265822
64,SYR,FRA,4000,middle east-europe,4,42.58315789,282.7966139,42.94104675,60.45528827
64,SYR,FRA,4000,middle east-europe,5,79.96415861,257.2219065,5.560122178,60.37984199
64,SYR,FRA,4000,middle east-europe,6,83.62493453,212.417609,2.254326127,58.80726678
64,SYR,FRA,4000,middle east-europe,7,94.19185687,180.2757646,2.203467726,48.24046682
65,ERI,ITA,4400,africa-europe,0,0,358.5163965,40.34726831,14.39086699
65,ERI,ITA,4400,africa-europe,1,3.928674264,314.5498764,40.24555151,18.31822426
65,ERI,ITA,4400,africa-europe,2,23.00156312,315.2012313,21.17365122,18.51241125
65,ERI,ITA,4400,africa-europe,3,39.11035439,333.1208079,21.12279282,34.62112224
65,ERI,ITA,4400,africa-europe,4,50.67683014,306.4225094,11.81570547,41.48854434
2,TUR,CAN,18000,direction to the us and canada,0,0,270.1187852,-28.7030036,51.70929413
2,TUR,CAN,18000,direction to the us and canada,1,66.67668582,285.1664277,-95.37954613,51.84752761
2,TUR,CAN,18000,direction to the us and canada,2,70.95753383,300.2140702,-99.07884628,54.00178806
68,SDN,LBY,0,african countries transfer,0,0,0,30.7309332,14.21972424
68,SDN,LBY,0,african countries transfer,1,0.086938845,72.82414215,30.7309332,14.30666308
68,SDN,LBY,0,african countries transfer,2,0.244912034,162.8241421,30.82007297,14.17624211
68,SDN,LBY,0,african countries transfer,3,2.868424173,225.3908417,30.82007297,11.55272997
68,SDN,LBY,0,african countries transfer,4,15.75031872,315.1623416,17.93937725,11.72847155
68,SDN,LBY,0,african countries transfer,5,32.5141644,329.5263553,17.80566761,28.49178398
68,SDN,LBY,0,african countries transfer,6,37.02097209,299.5097107,13.88351805,30.71170704
66,CAR,LBY,3520,african countries transfer,0,0,270,22.66378468,6.458882317
66,CAR,LBY,3520,african countries transfer,1,8.379137697,314.8242621,14.28464698,6.458882317
66,CAR,LBY,3520,african countries transfer,2,30.17592835,352.2758958,14.15093733,28.25526285
66,CAR,LBY,3520,african countries transfer,3,32.40057679,344.9032675,13.57152888,30.40313308
67,PRK,KOR,5500,asia transfer,0,0,212.9506146,127.3138661,39.8301697
67,PRK,KOR,5500,asia transfer,1,0.081942589,137.8678751,127.2692962,39.76140842
67,PRK,KOR,5500,asia transfer,2,0.23229678,345.9273746,127.4030059,39.8301697
67,PRK,KOR,5500,asia transfer,3,4.466993805,252.3197681,123.1688672,39.76140842
67,PRK,KOR,5500,asia transfer,4,7.547051365,183.6130462,120.6283839,38.01994366
67,PRK,KOR,5500,asia transfer,5,10.23145625,110.8280849,122.6340286,36.2357298
67,PRK,KOR,5500,asia transfer,6,16.20382036,90,128.6063927,36.2357298
