"Year","Product","Value"
"2015","Mach and Elec",4003366030000
"2015","Metals",1018922860000
"2015","Minerals",182195520000
"2015","Miscellaneous",1459076460000
"2015","Plastic or Rubber",667473410000
"2015","Raw materials",1546088080000
"2015","Stone and Glass",726019080000
"2015","Textiles and Clothing",701708540000
"2015","Transportation",1661140850000
"2015","Vegetable",502155980000
"2015","Wood",360261620000
