T_NAME,T_Status,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADMT_PCOD,POINT_X,POINT_Y
Lasdhankayre,Wereda Capital,Lasdhankayre,ET050596,Korahe,ET0505,Somali,ET05,Ethiopia,ET05059601,43.82161856230,6.56028817260
Werka,Wereda Capital,Nenesebo,ET041709,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170901,39.10489077840,6.58514528361
Ch'iko,Wereda Capital,Chuko town,ET160035,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16003501,38.33555516610,6.58589828652
Wendo,Wereda Capital,Aleta Wondo town,ET160021,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16002101,38.41983903210,6.59928706450
Elwayne,Zonal Capital,Elwayne,ET051002,Nogob,ET0510,Somali,ET05,Ethiopia,ET05100200,43.13397265440,6.61383172377
Jemu,Wereda Capital,Menit Shasha,ET071804,Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET07180401,35.77222349930,6.64449787538
Yaye,Wereda Capital,Arbegona,ET160003,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16000301,38.71778891130,6.69201489941
Hantate,Wereda Capital,Loka Abaya,ET160037,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16003701,38.25859972230,6.68765512829
Humbo,Wereda Capital,Tebela town,ET070616,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061601,37.77425985360,6.70140492385
Gesuba,Wereda Capital,Gesuba town,ET070617,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061701,37.55692624280,6.72419575024
Kokosa,Wereda Capital,Kokosa,ET041708,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170801,38.78996430830,6.73777780752
Haro Dumal,Wereda Capital,Berbere,ET041114,Bale,ET0411,Oromia,ET04,Ethiopia,ET04111401,40.17258476770,6.74649165595
Yirgalem,Wereda Capital,Yirgalem town,ET160020,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16002001,38.40987556290,6.74711820682
Kebridehar,Zonal Capital,Kebridehar town,ET050592,Korahe,ET0505,Somali,ET05,Ethiopia,ET05059200,44.27731370770,6.73839502374
Disa,Wereda Capital,Disa,ET071709,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170901,37.14486537930,6.80637679586
Kudunbur,Wereda Capital,Goglo,ET050595,Korahe,ET0505,Somali,ET05,Ethiopia,ET05059501,44.57079782790,6.78033053388
Raytu,Wereda Capital,Gura Damole,ET041115,Bale,ET0411,Oromia,ET04,Ethiopia,ET04111501,40.39837800580,6.83666371893
Bachuma,Wereda Capital,Menit Goldiye,ET071802,Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET07180201,35.89249848100,6.83234465795
Sodo,Zonal Capital,Sodo town,ET070613,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061300,37.76230643670,6.86266997632
Leku,Wereda Capital,Leku town,ET160022,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16002201,38.44283350060,6.87130035186
Bedesa,Wereda Capital,Damot Woide,ET070603,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07060301,37.93808997540,6.87015838828
Dhedecha Bela,Wereda Capital,Rayitu,ET042104,East Bale,ET0421,Oromia,ET04,Ethiopia,ET04210401,41.12898131480,6.88256851813
Wushaye Bale,Wereda Capital,Isara,ET071705,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170501,37.01383669680,6.89608984830
Bele,Wereda Capital,Kindo Koyesha,ET070606,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07060601,37.52926818540,6.91736516623
YIrba,Wereda Capital,Boricha,ET160010,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16001001,38.36561743710,6.92159903296
Gununo,Wereda Capital,Gununo Hamus town,ET070618,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061801,37.65334476220,6.92541733741
Boditi,Wereda Capital,Boditi town,ET070615,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061501,37.85546179170,6.95395114985
Bitena,Wereda Capital,Duguna Fango,ET070612,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061201,38.03057314930,6.96352945967
Dishi,Wereda Capital,Goba (SP),ET070912,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07091201,36.19048764950,6.95796833766
Dodola,Wereda Capital,Dodola town,ET041700,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170001,39.18430227480,6.97364180535
Show Gimira,Wereda Capital,Size town,ET071108,Bench Sheko,ET0711,SNNP,ET07,Ethiopia,ET07110801,35.76337319140,6.96477414149
Goro,Wereda Capital,Goro (Bale),ET041116,Bale,ET0411,Oromia,ET04,Ethiopia,ET04111601,40.48774060330,6.99201630869
Shama,Wereda Capital,Cheta,ET070907,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090701,36.30125601450,6.97839622610
Adaba,Wereda Capital,Adaba,ET041710,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04171001,39.39131080720,7.00671963198
Goba,Wereda Capital,Goba town,ET041120,Bale,ET0411,Oromia,ET04,Ethiopia,ET04112001,39.97674006230,6.99358240101
Mizan Teferi,Zonal Capital,Mizan Aman town,ET071107,Bench Sheko,ET0711,SNNP,ET07,Ethiopia,ET07110700,35.58796681000,6.99363154790
Warder,Zonal Capital,Warder,ET050704,Doolo,ET0507,Somali,ET05,Ethiopia,ET05070400,45.34145825370,6.97139397738
Gesa,Wereda Capital,Loma,ET071703,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170301,37.27288192130,7.00866353519
Shanito,Wereda Capital,Damot Pullasa,ET070611,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061101,37.85901002290,7.02223196980
Geladi,Wereda Capital,Galadi,ET050703,Doolo,ET0507,Somali,ET05,Ethiopia,ET05070301,46.41254548930,6.96878340805
Salahad,Wereda Capital,Salahad,ET051004,Nogob,ET0510,Somali,ET05,Ethiopia,ET04210501,41.62598219190,7.04129298728
Mareca,Wereda Capital,Mari Mansa,ET071708,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170801,37.10194689630,7.03472113900
Chuko,Wereda Capital,Wondo-Genet,ET160019,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16001901,38.60779677390,7.01860247148
Alem Gena,Wereda Capital,Kache,ET071706,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170601,36.97517791360,7.04812787731
Hawasa,Regional Capital,Hawasa town,ET160018,Sidama,ET1600,Sidama,ET16,Ethiopia,ET16001800,38.46777903170,7.05150796848
Waka,Wereda Capital,Mareka,ET071702,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170201,37.17123551550,7.05930086988
Areka,Wereda Capital,Areka town,ET070614,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07061401,37.70637639640,7.06449393495
Kuza,Wereda Capital,Sheko,ET071101,Bench Sheko,ET0711,SNNP,ET07,Ethiopia,ET07110101,35.49098721970,7.05835095207
Kofele,Wereda Capital,Kofele,ET041704,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170401,38.78002573640,7.07420699059
Toccia,Wereda Capital,Tocha,ET071701,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170101,37.03757194780,7.08921526967
Ayun,Wereda Capital,Ayun,ET051001,Nogob,ET0510,Somali,ET05,Ethiopia,ET05100101,42.27837273500,7.08316663415
Dinsho,Wereda Capital,Dinsho,ET041122,Bale,ET0411,Oromia,ET04,Ethiopia,ET04112201,39.77870530440,7.10374501453
Asasa,Wereda Capital,Gedeb Asasa,ET041706,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170601,39.19239203480,7.10143025451
Amaia,Wereda Capital,Konta,ET071901,Konta Special,ET0719,SNNP,ET07,Ethiopia,ET07190101,36.67150203550,7.10051861405
Robe Bale,Zonal Capital,Robe town,ET041119,Bale,ET0411,Oromia,ET04,Ethiopia,ET04111900,40.00292247760,7.11683657982
Oda,Wereda Capital,Tullo,ET070906,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090601,36.47067962830,7.11216130492
Ch'iri  /Awrada,Wereda Capital,Decha,ET070908,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090801,36.18255546310,7.11545113499
Ginir,Zonal Capital,Ginir town,ET042107,East Bale,ET0421,Oromia,ET04,Ethiopia,ET04210700,40.71661019430,7.12472159511
Kerewa,Wereda Capital,Zabagazo,ET071710,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07171001,37.29005590150,7.13067470898
Bombe,Wereda Capital,Boloso Bombe,ET070608,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET07060801,37.58074002450,7.13449492109
Shone,Wereda Capital,Shone Town,ET070212,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07021201,37.95294118350,7.13589121961
Robi,Wereda Capital,Siraro,ET041701,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170101,38.11164731330,7.13876992470
Dawa Town,Wereda Capital,Mirab Badowach,ET070209,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07020901,37.79808411360,7.14345850168
Tarcha,Zonal Capital,Tercha town,ET071711,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07171100,37.16302534770,7.14274582904
Fital,Wereda Capital,Yaya Gulele,ET040614,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET04061401,38.64438366440,9.61864119783
Wacha,Wereda Capital,Wacha,ET070914,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07091401,35.81203541760,7.14747010372
Shashemene,Zonal Capital,Shashemene town,ET041711,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04171100,38.59629002060,7.19542095287
Shishicho,Wereda Capital,Shinshincho town,ET070310,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET07031001,37.77741731790,7.20540985165
Tepi,Wereda Capital,Tepi,ET070804,Sheka,ET0708,SNNP,ET07,Ethiopia,ET07080401,35.41993381780,7.19406345443
Kore,Wereda Capital,Kore,ET041705,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170501,38.92936940290,7.21857182506
Dihun,Wereda Capital,Dihun,ET051006,Nogob,ET0510,Somali,ET05,Ethiopia,ET05100601,42.69690444890,7.22655885468
Weldane,Wereda Capital,Gena,ET071704,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET07170401,37.26703581490,7.24099938510
Durame,Zonal Capital,Durame town,ET070308,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET07030800,37.89193790820,7.23739678085
Tilk'u Met'i,Wereda Capital,Godere,ET120301,Majang,ET1203,Gambela,ET12,Ethiopia,ET12030101,35.31751737680,7.23415565631
Shishinda,Wereda Capital,Shisho Ande,ET070913,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07091301,35.88273078870,7.24884475522
Bonga,Zonal Capital,Bonga town,ET070911,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07091100,36.24594662030,7.26157467401
Agafra,Wereda Capital,Agarfa,ET041104,Bale,ET0411,Oromia,ET04,Ethiopia,ET04110401,39.82259843860,7.27652896118
Adiyakaka,Wereda Capital,Adiyio,ET070905,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07090501,36.56588054260,7.28213251035
Bitagenet,Wereda Capital,Bita,ET070910,Kefa,ET0709,SNNP,ET07,Ethiopia,ET07091001,35.77206197880,7.27248317789
Aje,Wereda Capital,Shala,ET041702,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET04170201,38.35181174680,7.29711671745
Alaba,Wereda Capital,Kulito town,ET071401,Halaba,ET0714,SNNP,ET07,Ethiopia,ET07140101,38.08251265930,7.31547215917
Garbo,Wereda Capital,Garbo,ET051003,Nogob,ET0510,Somali,ET05,Ethiopia,ET05100301,43.29073504050,7.30681451172
Ansho,Wereda Capital,Duna,ET070207,Hadiya,ET0702,SNNP,ET07,Ethiopia,ET07020701,37.65069843480,7.33208999219
Angacha,Wereda Capital,Angacha,ET070302,Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET07030201,37.85797258540,7.33838054250
