"scalerank","featurecla","name","website","natlscale","latitude","longitude"
8,"Port","Qalhat",,5.0,22.65666667,59.42055359
8,"Port","Sohar","portofsohar.com",5.0,24.37833333,56.73792697
8,"Port","Balboa","www.ppc.com.pa",5.0,8.955555556,-79.56878681
8,"Port","Cristobal","www.ppc.com.pa",5.0,9.350277778,-79.90477032
8,"Port","Pedregal","www.cocatram.org.ni/puertosca/pto_pedregal_panama.html",5.0,8.365,-82.43457008
8,"Port","Callao","www.enapu.com.pe",5.0,-12.04527778,-77.1418139
8,"Port","Matarani","www.ultramarnetwork.com/TextosPeru/Marc-024.html",5.0,-16.99777778,-72.10424028
8,"Port","Swinoujscie","www.phs.com.pl",5.0,53.905,14.26861013
8,"Port","Leixoes","www.apdl.pt",5.0,41.185,-8.692873969
8,"Port","Setubal","www.portodesetubal.pt",5.0,38.48972222,-8.821436985
8,"Port","Aveiro","www.portodeaveiro.pt",5.0,40.64361111,-8.7196702
8,"Port","Viana do Castelo","www.ipnorte.pt",5.0,41.68638889,-8.823027091
8,"Port","Galati","apdm.galati.ro",5.0,45.44166667,28.08386337
8,"Port","Nakhodka","www.port-livadia.ru",5.0,42.80472222,132.9075972
8,"Port","Kandalaksha",,5.0,67.135,32.404947
8,"Port","Kholmsk",,5.0,47.05055556,142.0400471
8,"Port","Korsakov",,5.0,46.62666667,142.7584806
8,"Port","Kronshtadt",,5.0,59.98694444,29.76737338
8,"Port","Nakhodka","www.ncsp.ru",5.0,42.8,132.8861602
8,"Port","Novorossiysk","www.nle.ru",5.0,44.715,37.80441696
8,"Port","Tuapse","www.tuapseport.ru",5.0,44.09194444,39.06666667
8,"Port","Jubail","www.ports.gov.sa",5.0,27.02861111,49.67090695
8,"Port","Jubail","www.ports.gov.sa",5.0,27.08777778,49.67302709
8,"Port","Ras al Khafji",,5.0,28.415,48.52249706
8,"Port","Falkenberg","www.falkenbergs-terminal.se",5.0,56.88944444,12.47638398
8,"Port","Ahus","www.ahushamn.se",5.0,55.92555556,14.30547703
8,"Port","Harnosand","www.harnosand.se",5.0,62.64083333,17.93881037
8,"Port","Hoganas",,5.0,56.19861111,12.54146054
8,"Port","Karlshamn","www.karlshamnshamn.se",5.0,56.1625,14.85830389
8,"Port","Karlskrona","www.karlskrona.se/hamn",5.0,56.16,15.58598351
8,"Port","Nynashamn","www.stoports.com",5.0,58.91333333,17.95812721
8,"Port","Oskarshamn","www.port.oskarshamn.se",5.0,57.265,16.47073027
