country	gender	percent
TTO	m	56.75675675675676
TTO	f	43.24324324324324
TUN	m	64.34108527131784
TUN	f	35.65891472868217
TUR	m	75.13227513227513
TUR	f	24.827024827024825
TKM	m	57.14285714285714
TKM	f	42.857142857142854
TCA	m	100.0
TUV	m	25.0
TUV	f	75.0
UGA	m	58.06451612903226
UGA	f	41.935483870967744
UKR	m	58.493589743589745
UKR	f	41.34615384615385
ARE	m	67.21311475409836
ARE	f	32.78688524590164
GBR	m	61.08349048517058
GBR	f	38.916509514829414
USA	m	51.821897182189716
USA	f	48.178102817810284
VIR	m	51.724137931034484
VIR	f	48.275862068965516
URY	m	69.64285714285714
URY	f	30.357142857142854
UZB	m	60.86956521739131
UZB	f	39.130434782608695
VUT	m	43.75
VUT	f	56.25
VEN	m	60.03861003861004
VEN	f	39.96138996138996
VNM	m	49.707602339181285
VNM	f	50.29239766081871
VGB	m	66.66666666666666
VGB	f	33.33333333333333
WLF	m	71.42857142857143
WLF	f	28.57142857142857
YEM	m	75.0
YEM	f	25.0
ZMB	m	62.5
ZMB	f	37.5
ZWE	m	50.0
ZWE	f	50.0
TJK	m	71.42857142857143
TJK	f	28.57142857142857
GUM	m	100.0
