@Trim Country,B2P Fiscal Year,Back,Bridge Name,Bridge Type,Country,Level 1 Government,Level 2 Government,Project Code,Project Type,Stage,Year,Individuals Directly Served,Latitude,Longitude,Number of Records,Span (m)
Indonesia,1/1/2001,Back,Way Sekampung,Suspension Bridge,Indonesia,,,ID901,B2P Supported,Complete,1/1/2001,"10,000",-5.333297,104.967408,1,65
Peru,1/1/2011,Back,Sencico Demonstration Bridge,Suspended Bridge,Peru,,,PE908,B2P Built,Complete,1/1/2011,0,-12.084876,-77.006709,1,5
Philippines,1/1/2015,Back,San Pasqual,Suspended Bridge,Philippines,,,GO102,B2P Supported,Complete,1/1/2015,100,15.021561,120.083424,1,58
Nicaragua,1/1/2017,Back,Los Encuentros,Suspension Bridge,Nicaragua,Nueva Segovia,Mozonte,NI134,B2P Built,Complete,1/1/2017,750,13.626972,-86.397,1,77
Bolivia,1/1/2017,Back,Palmar Pampa B,Suspended Bridge,BOL,Cochabamba,Tiraque,BO128,B2P Built,Complete,1/1/2017,86,-17.072033,-65.413117,1,51
Rwanda,1/1/2018,Back,IPRC Demonstration Bridge,Suspended Bridge,RWA,Kigali,Kicukiro,1007322,B2P Built,Complete,1/1/2018,,-1.98025,30.108917,1,14
Bolivia,1/1/2018,Back,Gonchu Mayu,Suspended Bridge,BOL,Cochabamba,Chapare,1007323,B2P Built,Complete,1/1/2018,700,-17.0406333,-65.98275,1,64
Bolivia,1/1/2018,Back,Chosco,Suspended Bridge,BOL,Potosí,Nor Chichas,1002667,B2P Supported,Complete,1/1/2018,440,-20.48772,-65.48441,1,73
Panama,1/1/2018,Back,Caloveborita,Suspension Bridge,Panama,Veraguas,Santa Fe District,1009107,B2P Built,Complete,1/1/2018,,8.670431,-81.184365,1,65
Uganda,1/1/2020,Back,Banyal,Suspended Bridge,UGA,Eastern Region,Kween,1011118,B2P Built,Under Construction,1/1/2020,"1,498",1.423756,34.549231,1,51
