country,rural_access_year_varies_index,rural_of_total_population_2018,total_rural_population_2018,rural_population_without_access_2018_population_varying_rai_year,human_development_index_2019
Solomon Islands,77%,0.76251,497811,114496.52999999997,0.5573410160427225
Somalia,0.312,0.5502900000000001,8258837,5682079.856000001,not available
South Africa,21%,0.33645,19439954,15357563.66,0.7049374827492855
Spain,95%,0.19679000000000002,9194767,459738.3499999996,0.8927884608254639
Sri Lanka,92%,0.81524,17666251,1413300.08,0.7801147820341577
St. Kitts and Nevis,89%,0.6922400000000001,36302,3993.220000000001,not available
St. Lucia,89%,0.81322,147916,16270.76000000001,not available
St. Vincent and the Grenadines,97%,0.47802,52683,1580.489999999998,not available
Sudan,5%,0.65358,27320646,25954613.7,0.5074988092711598
Suriname,79%,0.3394,195491,41053.109999999986,0.7236928745393989
Eswatini,not available,not available,not available,not available,0.6080817836626349
Sweden,86%,0.12569000000000002,1279923,179189.21999999997,0.9366276343879673
Switzerland,not available,0.26203000000000004,2231590,not available,0.9459361166291521
Syrian Arab Republic,49%,0.45838,7749502,3952246.02,0.5489032209286283
"Taiwan, China",not available,not available,not available,not available,not available
Tajikistan,74%,0.72866,6631416,1724168.1600000001,0.6560391102023843
Tanzania,0.246,0.6622399999999999,37296263,28121382.302,0.5283026256096892
Thailand,33%,0.50051,34749671,23282279.57,0.7646049375849032
Timor-Leste,90%,0.69422,880252,88025.19999999995,0.6258870574337381
Togo,22%,0.58298,4599184,3587363.52,0.5127327360358469
Tonga,86%,0.76869,79327,11105.779999999999,0.7174303612892325
Trinidad and Tobago,91%,0.46816,650676,58560.83999999997,0.7990284786242853
Tunisia,39%,0.31055,3591574,2190860.1399999997,0.7392005585758075
Turkey,69%,0.24856999999999999,20462214,6343286.340000002,0.8064901759108482
Turkmenistan,66%,0.48406999999999994,2832249,962964.6599999999,0.7101308289342635
Uganda,0.531,0.7622599999999999,32566140,15273519.66,0.5281909034581529
Ukraine,56%,0.30648,13675909,6017399.959999999,0.7497459516437671
United Arab Emirates,76%,0.13477999999999996,1298061,311534.64,0.866437670203764
United Kingdom,96%,0.16602000000000003,11038502,441540.0800000001,0.9203515484535394
United States,86%,0.17744,58052589,8127362.460000001,0.9199257493746031
Uruguay,84%,0.046659999999999965,160944,25751.040000000008,0.8077638141535773
Uzbekistan,57%,0.49522,16320173,7017674.390000001,0.7104776182835847
Vanuatu,77%,0.74726,218708,50302.84,0.5968483119671003
"Venezuela, RB",78%,0.11792000000000001,3404373,748962.06,0.7257734492545291
Vietnam,84%,0.64081,61223241,9795718.560000002,0.6926692965453266
Virgin Islands (U.S.),not available,0.04278999999999997,4578,not available,not available
West Bank and Gaza,not available,0.23836,1089088,not available,not available
"Yemen, Rep.",21%,0.6335799999999999,18056198,14264396.42,0.4627171470288197
Zambia,0.17,0.56479,9800136,8134112.88,0.591462439752522
Zimbabwe,65%,0.67791,9788355,3425924.25,0.5631001688171139
