Country_Name,Country_Code,Indicator_Name,2017,2018,2019,2020
Lesotho,LSO,"GDP per capita, PPP (constant 2017 international $)",2668.291425,2614.658849,2583.924371,2279.895874
Late-demographic dividend,LTE,"GDP per capita, PPP (constant 2017 international $)",16026.39365,16763.17611,17431.26698,17315.06566
Lithuania,LTU,"GDP per capita, PPP (constant 2017 international $)",33761.87124,35427.46186,37062.58675,36732.03474
Luxembourg,LUX,"GDP per capita, PPP (constant 2017 international $)",112308.1738,113589.6705,113940.2374,110261.1574
Latvia,LVA,"GDP per capita, PPP (constant 2017 international $)",28650.00776,30036.08655,30858.75007,29932.49391
"Macao SAR, China",MAC,"GDP per capita, PPP (constant 2017 international $)",126183.6761,132416.8029,127161.4994,54797.92984
St. Martin (French part),MAF,"GDP per capita, PPP (constant 2017 international $)",,,,
Morocco,MAR,"GDP per capita, PPP (constant 2017 international $)",7312.056779,7446.93622,7537.485272,6916.346412
Monaco,MCO,"GDP per capita, PPP (constant 2017 international $)",,,,
Moldova,MDA,"GDP per capita, PPP (constant 2017 international $)",11651.31745,12363.14684,13022.00461,12324.73628
Madagascar,MDG,"GDP per capita, PPP (constant 2017 international $)",1584.424475,1592.053558,1618.532314,1510.141726
Maldives,MDV,"GDP per capita, PPP (constant 2017 international $)",18058.58108,18795.53035,19531.04256,13049.04666
Middle East & North Africa,MEA,"GDP per capita, PPP (constant 2017 international $)",16533.52623,16431.85564,16261.57505,15498.10151
Mexico,MEX,"GDP per capita, PPP (constant 2017 international $)",19721.26098,19928.39566,19701.33767,17887.75074
Marshall Islands,MHL,"GDP per capita, PPP (constant 2017 international $)",3706.253158,3806.689724,4029.086329,
Middle income,MIC,"GDP per capita, PPP (constant 2017 international $)",10884.67193,11274.61086,11577.73099,11209.93315
North Macedonia,MKD,"GDP per capita, PPP (constant 2017 international $)",15649.92742,16093.31042,16600.14365,15848.41929
Mali,MLI,"GDP per capita, PPP (constant 2017 international $)",2246.797421,2283.702413,2321.917173,2216.773262
Malta,MLT,"GDP per capita, PPP (constant 2017 international $)",42644.05085,43313.47703,43950.58805,39222.14335
Myanmar,MMR,"GDP per capita, PPP (constant 2017 international $)",4739.915445,5029.188086,5082.503161,4544.021569
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (constant 2017 international $)",10901.90893,10754.17509,10616.39832,10169.54664
Montenegro,MNE,"GDP per capita, PPP (constant 2017 international $)",19682.28335,20686.57591,21533.94924,18278.73079
Mongolia,MNG,"GDP per capita, PPP (constant 2017 international $)",11311.76113,11915.55675,12316.79137,11470.67383
Northern Mariana Islands,MNP,"GDP per capita, PPP (constant 2017 international $)",,,,
Mozambique,MOZ,"GDP per capita, PPP (constant 2017 international $)",1283.65987,1289.735948,1281.506041,1229.080019
Mauritania,MRT,"GDP per capita, PPP (constant 2017 international $)",5077.185987,5042.431198,5197.072251,4983.220633
Mauritius,MUS,"GDP per capita, PPP (constant 2017 international $)",21415.11611,22208.13812,22870.28625,19469.52459
Malawi,MWI,"GDP per capita, PPP (constant 2017 international $)",1446.473062,1471.037249,1514.662677,1486.778248
Malaysia,MYS,"GDP per capita, PPP (constant 2017 international $)",26661.50742,27558.13695,28364.47632,26435.17157
North America,NAC,"GDP per capita, PPP (constant 2017 international $)",58922.10326,60286.85774,61234.78167,58752.15407
Namibia,NAM,"GDP per capita, PPP (constant 2017 international $)",10171.42149,10092.25882,9845.213068,8893.813157
New Caledonia,NCL,"GDP per capita, PPP (constant 2017 international $)",,,,
Niger,NER,"GDP per capita, PPP (constant 2017 international $)",1163.687784,1200.972464,1224.510262,1196.87756
Nigeria,NGA,"GDP per capita, PPP (constant 2017 international $)",5190.356127,5155.075994,5135.499469,4916.721381
Nicaragua,NIC,"GDP per capita, PPP (constant 2017 international $)",6004.02858,5729.688224,5451.707835,5280.140581
Netherlands,NLD,"GDP per capita, PPP (constant 2017 international $)",55088.6338,56060.91363,56629.11079,54209.56384
Norway,NOR,"GDP per capita, PPP (constant 2017 international $)",64050.75617,64341.2589,64452.81262,63585.90351
Nepal,NPL,"GDP per capita, PPP (constant 2017 international $)",3565.197807,3773.715918,3952.760349,3800.065703
Nauru,NRU,"GDP per capita, PPP (constant 2017 international $)",12975.39238,13636.36094,13527.41194,
New Zealand,NZL,"GDP per capita, PPP (constant 2017 international $)",42285.3199,42866.12723,42877.94291,42404.39374
OECD members,OED,"GDP per capita, PPP (constant 2017 international $)",43303.09184,44062.46223,44553.58642,42288.34807
Oman,OMN,"GDP per capita, PPP (constant 2017 international $)",29077.3636,28350.94353,27294.57298,
Other small states,OSS,"GDP per capita, PPP (constant 2017 international $)",22676.92335,22687.31415,22723.89962,21103.12102
Pakistan,PAK,"GDP per capita, PPP (constant 2017 international $)",4571.205078,4739.472713,4690.484777,4622.770769
Panama,PAN,"GDP per capita, PPP (constant 2017 international $)",30446.83723,31012.94615,31432.11327,25381.84845
Peru,PER,"GDP per capita, PPP (constant 2017 international $)",12506.52938,12781.41644,12853.69207,11260.84575
Philippines,PHL,"GDP per capita, PPP (constant 2017 international $)",8120.868793,8516.136549,8914.723798,7953.581644
Palau,PLW,"GDP per capita, PPP (constant 2017 international $)",17826.39361,18444.30776,17572.6226,
Papua New Guinea,PNG,"GDP per capita, PPP (constant 2017 international $)",4285.628756,4190.094895,4349.808048,4101.218882
Poland,POL,"GDP per capita, PPP (constant 2017 international $)",30064.50348,31674.13162,33120.51784,32238.15726
Pre-demographic dividend,PRE,"GDP per capita, PPP (constant 2017 international $)",3539.369789,3529.137179,3543.50029,3377.194829
Puerto Rico,PRI,"GDP per capita, PPP (constant 2017 international $)",34363.74599,34299.35854,34804.93471,33442.83157
"Korea, Dem. People's Rep.",PRK,"GDP per capita, PPP (constant 2017 international $)",,,,
Portugal,PRT,"GDP per capita, PPP (constant 2017 international $)",33044.71674,34040.72556,34879.70597,32181.15454
Paraguay,PRY,"GDP per capita, PPP (constant 2017 international $)",12590.54844,12827.70802,12615.52865,12335.47236
West Bank and Gaza,PSE,"GDP per capita, PPP (constant 2017 international $)",6401.740891,6318.210068,6245.448697,5394.071688
Pacific island small states,PSS,"GDP per capita, PPP (constant 2017 international $)",7290.787253,7410.7022,7326.508834,6120.970992
Post-demographic dividend,PST,"GDP per capita, PPP (constant 2017 international $)",47464.36234,48359.20575,48999.14915,46457.37534
