ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,date,validOn,validTo,POINT_X,POINT_Y
Ethiopia,ET,Oromia,ET04,Ilu Aba Bora,ET0403,Becho (Ilu Aba Bora),ET040314,,<Null>,,2019/08/19,2020/10/08,,35.71043877000,8.09127269700
Ethiopia,ET,Oromia,ET04,South West Shewa,ET0413,Becho (SW Shewa),ET041309,,<Null>,,2019/08/19,2020/10/08,,38.24461101300,8.65926257800
Ethiopia,ET,Oromia,ET04,Buno Bedele,ET0416,Bedele town,ET041621,,<Null>,,2019/08/19,2020/10/08,,36.34874604900,8.45159103100
Ethiopia,ET,Oromia,ET04,East Hararge,ET0410,Bedeno,ET041013,,<Null>,,2019/08/19,2020/10/08,,41.63894802500,9.06395722400
Ethiopia,ET,Oromia,ET04,West Hararge,ET0409,Bedesa,ET040914,,<Null>,,2019/08/19,2020/10/08,,40.77533694200,8.90498617500
Ethiopia,ET,Oromia,ET04,West Wellega,ET0401,Begi,ET040116,,<Null>,,2019/08/19,2020/10/08,,34.51955756000,9.36083885900
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Bekoji town,ET040894,,<Null>,,2019/08/19,2020/10/08,,39.25104807600,7.53097173300
Ethiopia,ET,Oromia,ET04,Arsi,ET0408,Bele Gesgar,ET040823,,<Null>,,2019/08/19,2020/10/08,,39.97647638000,7.68287878400
Ethiopia,ET,SNNP,ET07,South Omo,ET0707,Bena Tsemay,ET070705,,<Null>,,2019/08/19,2020/10/08,,36.66649263000,5.45127954600
Ethiopia,ET,Sidama,ET16,Sidama,ET1600,Bensa,ET160008,,<Null>,,2019/08/19,2020/10/08,,38.86264305700,6.53441319400
Ethiopia,ET,Afar,ET02,Kilbati /Zone2,ET0202,Berahile,ET020205,,<Null>,,2019/08/19,2020/10/08,,40.18073711500,13.96102657400
Ethiopia,ET,Oromia,ET04,Bale,ET0411,Berbere,ET041114,,<Null>,,2019/08/19,2020/10/08,,40.16450169400,6.71199669800
Ethiopia,ET,Oromia,ET04,Finfine Special,ET0420,Bereh,ET042011,,<Null>,,2019/08/19,2020/10/08,,38.95238994400,9.11706287000
