"Year","State","Category","Percent"
"2004","Utah","natural gas",2.3019400164994543
"2004","Utah","Hydro",1.197541049045959
"2004","Vermont","Renewables",7.31214403821422
"2004","Vermont","nuclear",70.88002939555392
"2004","Vermont","Hydro",21.42200992099945
"2004","Virginia","Renewables",1.2676317251964961
"2004","Virginia","Petroleum",6.651758541297272
"2004","Virginia","coal",45.969513324688386
"2004","Virginia","natural gas",8.092730304072829
"2004","Virginia","nuclear",37.46658903855823
"2004","Washington","Renewables",1.5079813883349704
"2004","Washington","coal",10.30387809160987
"2004","Washington","natural gas",8.327628798476146
"2004","Washington","nuclear",8.910979493437305
"2004","Washington","Hydro",70.92572199569432
"2004","WestVirginia","coal",98.66301656178294
"2004","Wisconsin","coal",70.94073279590354
"2004","Wisconsin","natural gas",3.549804518562087
"2004","Wisconsin","nuclear",20.56533923814137
"2004","Wisconsin","Hydro",3.084454900875342
"2004","Wyoming","Renewables",1.3893580130153798
"2004","Wyoming","coal",97.07942083811841
"2004","Wyoming","Hydro",1.3353149136436309
"2014","Alabama","coal",32.4185755620159
"2014","Alabama","natural gas",32.50448444361972
"2014","Alabama","nuclear",28.345807302942205
"2014","Alabama","Hydro",6.506395057146588
"2014","Alaska","Petroleum",7.1020699500356885
"2014","Alaska","coal",7.994289793004997
"2014","Alaska","natural gas",57.441113490364025
"2014","Alaska","Hydro",27.462526766595293
"2014","Arizona","Renewables",5.635631622978249
"2014","Arizona","coal",37.180179866146126
"2014","Arizona","natural gas",23.624860568878976
"2014","Arizona","nuclear",28.16595789180145
"2014","Arizona","Hydro",5.343697713329615
"2014","Arkansas","coal",55.45355739486665
"2014","Arkansas","natural gas",15.604046484407657
"2014","Arkansas","nuclear",24.20867820416353
"2014","Arkansas","Hydro",4.526377393194549
"2014","California","Renewables",26.272427970573876
"2014","California","natural gas",55.890738961264
"2014","California","nuclear",8.919204171326854
"2014","California","Hydro",8.623052566909784
"2014","Colorado","Renewables",14.000299031884275
"2014","Colorado","coal",60.81000261652899
"2014","Colorado","natural gas",22.29469592195268
"2014","Colorado","Hydro",2.8763129368668934
"2014","Connecticut","Renewables",2.2881303239445376
"2014","Connecticut","Petroleum",1.557545234098116
"2014","Connecticut","coal",2.5648199962693528
"2014","Connecticut","natural gas",42.9708387738606
"2014","Connecticut","nuclear",49.24765280109432
"2014","Connecticut","Hydro",1.3710128707330722
"2014","Delaware","Petroleum",2.7284926196511106
"2014","Delaware","coal",12.896973311465635
"2014","Delaware","natural gas",84.37453406888325
"2014","Florida","Renewables",1.2678409085819975
"2014","Florida","coal",23.194636643334093
"2014","Florida","natural gas",62.131369993685425
"2014","Florida","nuclear",12.480462889566624
"2014","Georgia","coal",37.05350134269779
"2014","Georgia","natural gas",33.53356744474282
"2014","Georgia","nuclear",26.9117950836604
"2014","Georgia","Hydro",1.8715141499690149
